,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Tiger Woods,68.31,2664,39
1,2,2,Phil Mickelson,69.24,3185,46
2,3,3,Steve Flesch,69.3,4574,66
3,4,4,David Duval,69.59,2575,37
4,5,5,Ernie Els,69.62,2367,34
5,6,6,Jim Furyk,69.8,3490,50
6,7,7,Kenny Perry,69.81,3002,43
7,8,8,Davis Love III,69.83,3631,52
8,9,9,Vijay Singh,69.96,3428,49
9,10,10,Hal Sutton,70.02,3641,52
10,11,11,Paul Azinger,70.08,2733,39
11,T12,T12,Robert Allenby,70.11,3716,53
12,T12,T12,John Huston,70.11,3225,46
13,14,14,Bob May,70.13,3647,52
14,15,15,David Peoples,70.14,4138,59
15,T16,T16,Bill Glasson,70.2,3861,55
16,T16,T16,Kevin Sutherland,70.2,3931,56
17,T16,T16,Grant Waite,70.2,3510,50
18,T19,T19,Stephen Ames,70.23,4284,61
19,T19,T19,Greg Kraft,70.23,4354,62
20,T21,T21,Tom Byrum,70.25,3723,53
21,T21,T21,David Toms,70.25,4285,61
22,23,23,Steve Lowery,70.27,4216,60
23,24,24,Blaine McCallister,70.3,4429,63
24,T25,T25,Skip Kendall,70.32,4641,66
25,T25,T25,Jesper Parnevik,70.32,2672,38
26,27,27,Jeff Sluman,70.34,4572,65
27,28,28,Fred Funk,70.36,4503,64
28,29,29,Nick Price,70.38,2393,34
29,T30,T30,Joe Durant,70.41,4154,59
30,T30,T30,Scott Verplank,70.41,4154,59
31,T32,T32,Fred Couples,70.43,2817,40
32,T32,T32,Scott Hoch,70.43,4085,58
33,T34,T34,Stewart Cink,70.44,3804,54
34,T34,T34,Frank Lickliter II,70.44,4438,63
35,36,36,Mike Weir,70.45,3875,55
36,T37,T37,Greg Chalmers,70.46,4016,57
37,T37,T37,Loren Roberts,70.46,3241,46
38,39,39,Jonathan Kaye,70.52,4866,69
39,40,40,Chris Riley,70.54,3950,56
40,41,41,Joel Edwards,70.55,4374,62
41,42,42,Chris DiMarco,70.56,4798,68
42,43,43,Mark Calcavecchia,70.57,3952,56
43,T44,T44,Justin Leonard,70.59,3953,56
44,T44,T44,Len Mattiace,70.59,4518,64
45,T44,T44,Kirk Triplett,70.59,4094,58
46,47,47,Scott Dunlap,70.61,4307,61
47,48,48,Brandel Chamblee,70.63,3037,43
48,T49,T49,Chris Perry,70.65,4380,62
49,T49,T49,Paul Stankowski,70.65,3250,46
50,51,51,Jerry Kelly,70.66,4805,68
51,52,52,Jay Williamson,70.71,4596,65
52,53,53,Stuart Appleby,70.73,3183,45
53,54,54,Larry Mize,70.75,2830,40
54,55,55,Carl Paulson,70.77,4671,66
55,56,56,Mark Wiebe,70.79,4035,57
56,T57,T57,J.P. Hayes,70.8,3823,54
57,T57,T57,Rocco Mediate,70.8,3257,46
58,59,59,Lee Janzen,70.81,3824,54
59,T60,T60,Tom Lehman,70.82,2691,38
60,T60,T60,Scott McCarron,70.82,4391,62
61,T60,T60,Frank Nobilo,70.82,4037,57
62,63,63,Dan Forsman,70.84,3967,56
63,64,64,Paul Goydos,70.85,4251,60
64,65,65,Olin Browne,70.87,4394,62
65,66,66,Duffy Waldorf,70.91,3049,43
66,67,67,Harrison Frazar,70.92,3475,49
67,68,68,Esteban Toledo,70.93,5107,72
68,69,69,Jerry Smith,70.94,4682,66
69,70,70,Peter Jacobsen,70.98,3265,46
70,T71,T71,Glen Day,71.0,4118,58
71,T71,T71,Robin Freeman,71.0,4686,66
72,T71,T71,Brent Geiberger,71.0,3337,47
73,T71,T71,Dudley Hart,71.0,3266,46
74,T71,T71,Franklin Langham,71.0,4118,58
75,T76,T76,Tim Herron,71.02,3977,56
76,T76,T76,Glen Hnatiuk,71.02,4332,61
77,T76,T76,Shaun Micheel,71.02,4474,63
78,T79,T79,Woody Austin,71.03,4688,66
79,T79,T79,Mark Brooks,71.03,4191,59
80,T79,T79,Brad Faxon,71.03,4120,58
81,T82,T82,Craig Barlow,71.05,4405,62
82,T82,T82,Neal Lancaster,71.05,4334,61
83,T84,T84,Cameron Beckman,71.06,3766,53
84,T84,T84,Russ Cochran,71.06,3553,50
85,T84,T84,Pete Jordan,71.06,4548,64
86,T84,T84,Steve Pate,71.06,3837,54
87,88,88,Brad Elder,71.08,5118,72
88,T89,T89,Sergio Garcia,71.1,2062,29
89,T89,T89,Sean Murphy,71.1,5048,71
90,T89,T89,Craig Parry,71.1,2915,41
91,92,92,Jean Van de Velde,71.11,3129,44
92,T93,T93,Rick Fehr,71.13,3343,47
93,T93,T93,Robert Gamez,71.13,3912,55
94,T93,T93,Joe Ogilvie,71.13,4268,60
95,T96,T96,Doug Barron,71.15,3700,52
96,T96,T96,K.J. Choi,71.15,4269,60
97,98,98,Tom Scherrer,71.16,4768,67
98,99,99,Ben Bates,71.17,5124,72
99,T100,T100,J.L. Lewis,71.18,4342,61
100,T100,T100,David Sutherland,71.18,4698,66
101,T102,T102,John Cook,71.21,4130,58
102,T102,T102,Bob Tway,71.21,4344,61
103,T104,T104,Jimmy Green,71.23,3775,53
104,T104,T104,Mike Reid,71.23,3419,48
105,106,106,Mike Sposa,71.24,3633,51
106,107,107,Brian Henninger,71.25,4275,60
107,108,108,Rory Sabbatini,71.26,3777,53
108,109,109,Brian Gay,71.27,4704,66
109,T110,T110,Carlos Franco,71.28,3279,46
110,T110,T110,Brandt Jobe,71.28,4562,64
111,112,112,Robert Damron,71.29,4135,58
112,113,113,Brett Quigley,71.3,3066,43
113,114,114,Bob Estes,71.32,2924,41
114,115,115,Tom Pernice Jr.,71.33,4708,66
115,116,116,Jim Carter,71.34,4352,61
116,117,117,Shigeki Maruyama,71.35,3496,49
117,118,118,Billy Andrade,71.36,4567,64
118,T119,T119,Matt Gogel,71.37,4425,62
119,T119,T119,Andrew Magee,71.37,3640,51
120,T119,T119,Craig Stadler,71.37,3069,43
121,122,122,Steve Jones,71.38,2998,42
122,123,123,Joey Sindelar,71.39,4212,59
123,124,124,Jay Don Blake,71.4,4284,60
124,125,125,Scott Gump,71.41,5213,73
125,126,126,Casey Martin,71.43,4286,60
126,127,127,Notah Begay III,71.49,3360,47
127,128,128,Steve Elkington,71.5,2431,34
128,T129,T129,Fulton Allem,71.51,3647,51
129,T129,T129,Bradley Hughes,71.51,4791,67
130,T131,T131,Doug Dunakey,71.54,3863,54
131,T131,T131,Billy Mayfair,71.54,4078,57
132,133,133,Tommy Armour III,71.55,4436,62
133,134,134,Brian Watts,71.57,4008,56
134,135,135,Michael Bradley,71.58,3794,53
135,136,136,"Dave Stockton, Jr.",71.59,4582,64
136,137,137,Bob Friend,71.63,4584,64
137,138,138,Mike Springer,71.64,4012,56
138,T139,T139,Ronnie Black,71.65,3941,55
139,T139,T139,David Frost,71.65,3439,48
140,141,141,John Maginnes,71.66,4873,68
141,142,142,Jim McGovern,71.71,2510,35
142,143,143,Ted Tryba,71.73,5380,75
143,T144,T144,Steve Gotsche,71.75,4592,64
144,T144,T144,Omar Uresti,71.75,4951,69
145,146,146,Edward Fryatt,71.77,4737,66
146,147,147,Gabriel Hjertstedt,71.78,4235,59
147,148,148,Trevor Dodds,71.79,4092,57
148,T149,T149,Jay Delsing,71.81,4883,68
149,T149,T149,Brad Fabel,71.81,4596,64
150,151,151,David Morland IV,71.82,4453,62
151,152,152,Craig Perks,71.83,4166,58
152,T153,T153,Mathew Goggin,71.85,4886,68
153,T153,T153,Charles Raulerson,71.85,4670,65
154,155,155,Bob Burns,71.88,4169,58
155,T156,T156,Bart Bryant,71.9,3667,51
156,T156,T156,Jeff Maggert,71.9,3739,52
157,158,158,Michael Clark II,71.91,4027,56
158,159,159,Dennis Paulson,71.93,3884,54
159,160,160,Mike Brisky,71.95,4605,64
160,161,161,Nick Faldo,71.96,2015,28
161,162,162,Barry Cheesman,71.99,5111,71
162,T163,T163,Emlyn Aubrey,72.04,3746,52
163,T163,T163,Jay Haas,72.04,3818,53
164,165,165,Bob Heintz,72.06,4972,69
165,T166,T166,Rich Beem,72.07,4324,60
166,T166,T166,Kelly Gibson,72.07,4324,60
167,T166,T166,Dicky Pride,72.07,5045,70
168,169,169,P.H. Horgan III,72.08,3676,51
169,T170,T170,Craig Spence,72.09,4614,64
170,T170,T170,Kevin Wentworth,72.09,4614,64
171,T172,T172,Paul Curry,72.1,3605,50
172,T172,T172,Jeff Gove,72.1,4470,62
173,174,174,Gary Nicklaus,72.13,4472,62
174,175,175,Mark O'Meara,72.14,2525,35
175,176,176,Tom Purtzer,72.18,2887,40
176,177,177,Jason Caron,72.19,4115,57
177,178,178,Jason Buha,72.22,4261,59
178,T179,T179,Perry Moss,72.24,2962,41
179,T179,T179,Steve Stricker,72.24,3034,42
180,T181,T181,Joe Ozaki,72.3,2386,33
181,T181,T181,Corey Pavin,72.3,3832,53
182,T183,T183,Bobby Cochran,72.32,4267,59
183,T183,T183,John Rollins,72.32,4050,56
184,185,185,Eric Booker,72.34,4485,62
185,186,186,Ryan Howison,72.36,4269,59
186,187,187,Chip Beck,72.41,2969,41
187,188,188,Mike Hulbert,72.46,5072,70
188,189,189,Keith Nolan,72.51,3408,47
189,190,190,Tommy Tolles,72.52,3046,42
190,T191,T191,Aaron Bengoechea,72.61,4139,57
191,T191,T191,Steve Hart,72.61,4066,56
192,193,193,John Daly,72.8,3713,51
193,194,194,Nolan Henke,72.88,4810,66
194,195,195,Craig Bowden,73.22,3368,46
