,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Corey Pavin,25,15
1,T2,T2,Eric Booker,31,14
2,T2,T2,Blaine McCallister,30,14
3,4,4,Andrew Coltart,4,13
4,T5,T5,Phil Blackmar,15,12
5,T5,T5,Greg Chalmers,28,12
6,T5,T5,Mathew Goggin,32,12
7,T5,T5,"Dave Stockton, Jr.",31,12
8,T5,T5,Duffy Waldorf,23,12
9,T10,T10,K.J. Choi,30,11
10,T10,T10,Joey Gullion,7,11
11,T10,T10,Brett Quigley,21,11
12,T13,T13,Doug Barron,27,10
13,T13,T13,Craig Bowden,25,10
14,T13,T13,Jason Caron,29,10
15,T13,T13,Brad Fabel,30,10
16,T13,T13,Robin Freeman,32,10
17,T13,T13,Steve Hart,30,10
18,T13,T13,Gabriel Hjertstedt,29,10
19,T13,T13,P.H. Horgan III,25,10
20,T13,T13,Jonathan Kaye,34,10
21,T13,T13,John Maginnes,32,10
22,T13,T13,Larry Mize,21,10
23,T13,T13,Perry Moss,21,10
24,T13,T13,Tom Pernice Jr.,32,10
25,T13,T13,Craig Spence,31,10
26,T13,T13,Steve Stricker,21,10
27,T28,T28,Billy Andrade,31,9
28,T28,T28,Woody Austin,32,9
29,T28,T28,Chip Beck,21,9
30,T28,T28,Mark Calcavecchia,28,9
31,T28,T28,Michael Clark II,28,9
32,T28,T28,Fred Couples,19,9
33,T28,T28,Ben Crenshaw,13,9
34,T28,T28,John Daly,26,9
35,T28,T28,Jay Delsing,33,9
36,T28,T28,Joe Durant,28,9
37,T28,T28,David Edwards,15,9
38,T28,T28,Steve Elkington,17,9
39,T28,T28,Brad Faxon,29,9
40,T28,T28,Rick Fehr,24,9
41,T28,T28,Edward Fryatt,32,9
42,T28,T28,Fred Funk,32,9
43,T28,T28,Sergio Garcia,16,9
44,T28,T28,Paul Goydos,30,9
45,T28,T28,Mathias Grönberg,2,9
46,T28,T28,Bob Heintz,34,9
47,T28,T28,Brian Henninger,29,9
48,T28,T28,Glen Hnatiuk,30,9
49,T28,T28,Mike Hulbert,34,9
50,T28,T28,John Huston,23,9
51,T28,T28,Peter Jacobsen,22,9
52,T28,T28,Franklin Langham,28,9
53,T28,T28,Frank Lickliter II,31,9
54,T28,T28,Mark O'Meara,19,9
55,T28,T28,Carl Paulson,33,9
56,T28,T28,Jeff Sluman,32,9
57,T28,T28,Craig Stadler,21,9
58,T28,T28,Omar Uresti,34,9
59,T60,T60,Stephen Ames,31,8
60,T60,T60,Stuart Appleby,24,8
61,T60,T60,Tommy Armour III,30,8
62,T60,T60,Emlyn Aubrey,26,8
63,T60,T60,Craig Barlow,31,8
64,T60,T60,Andy Bean,16,8
65,T60,T60,Cameron Beckman,26,8
66,T60,T60,Notah Begay III,24,8
67,T60,T60,Aaron Bengoechea,29,8
68,T60,T60,Ronnie Black,28,8
69,T60,T60,Jay Don Blake,29,8
70,T60,T60,Mark Brooks,29,8
71,T60,T60,Jeff Brown,1,8
72,T60,T60,Tom Byrum,27,8
73,T60,T60,Jim Carter,30,8
74,T60,T60,Barry Cheesman,35,8
75,T60,T60,Stewart Cink,27,8
76,T60,T60,Trevor Dodds,29,8
77,T60,T60,Luke Donald,3,8
78,T60,T60,Joel Edwards,29,8
79,T60,T60,Carlos Franco,24,8
80,T60,T60,Harrison Frazar,24,8
81,T60,T60,Jim Furyk,25,8
82,T60,T60,"Jim Gallagher, Jr.",16,8
83,T60,T60,Kelly Gibson,30,8
84,T60,T60,Wayne Grady,15,8
85,T60,T60,Dudley Hart,24,8
86,T60,T60,J.P. Hayes,26,8
87,T60,T60,Tim Herron,28,8
88,T60,T60,Scott Hoch,29,8
89,T60,T60,Lee Janzen,27,8
90,T60,T60,Miguel Angel Jiménez,11,8
91,T60,T60,Steve Jones,21,8
92,T60,T60,Skip Kendall,32,8
93,T60,T60,Hank Kuehne,6,8
94,T60,T60,Bob Lohr,1,8
95,T60,T60,Davis Love III,25,8
96,T60,T60,Steve Lowery,30,8
97,T60,T60,Shigeki Maruyama,26,8
98,T60,T60,Dick Mast,17,8
99,T60,T60,Len Mattiace,31,8
100,T60,T60,Bob May,26,8
101,T60,T60,Shaun Micheel,31,8
102,T60,T60,Phil Mickelson,23,8
103,T60,T60,Sean Murphy,35,8
104,T60,T60,Frank Nobilo,28,8
105,T60,T60,Craig Parry,22,8
106,T60,T60,Dennis Paulson,26,8
107,T60,T60,David Peoples,28,8
108,T60,T60,Loren Roberts,24,8
109,T60,T60,John Rollins,27,8
110,T60,T60,Tom Scherrer,33,8
111,T60,T60,Paul Stankowski,22,8
112,T60,T60,Kevin Sutherland,27,8
113,T60,T60,Hal Sutton,25,8
114,T60,T60,Esteban Toledo,35,8
115,T60,T60,Bob Tway,30,8
116,T60,T60,Scott Verplank,28,8
117,T60,T60,Grant Waite,26,8
118,T60,T60,Brian Watts,29,8
119,T60,T60,Mike Weir,28,8
