,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Skip Kendall,32,6
1,T1,T1,Blaine McCallister,30,6
2,T3,T3,Paul Azinger,20,5
3,T3,T3,Gabriel Hjertstedt,29,5
4,T3,T3,Jonathan Kaye,34,5
5,T3,T3,Andrew Magee,26,5
6,T3,T3,David Morland IV,31,5
7,T8,T8,Rich Beem,29,4
8,T8,T8,Greg Chalmers,28,4
9,T8,T8,Brad Elder,34,4
10,T8,T8,Scott Hoch,29,4
11,T8,T8,Steve Jones,21,4
12,T8,T8,Franklin Langham,28,4
13,T8,T8,Jim McGovern,18,4
14,T8,T8,Kenny Perry,20,4
15,T8,T8,Jeff Sluman,32,4
16,T8,T8,Mike Springer,31,4
17,T8,T8,Kirk Triplett,28,4
18,T8,T8,Mike Weir,28,4
19,T8,T8,Brett Wetterich,9,4
20,T8,T8,Jay Williamson,32,4
21,T8,T8,Tiger Woods,20,4
22,T23,T23,Robert Allenby,26,3
23,T23,T23,Stuart Appleby,24,3
24,T23,T23,Craig Barlow,31,3
25,T23,T23,Notah Begay III,24,3
26,T23,T23,Michael Bradley,26,3
27,T23,T23,Mike Brisky,31,3
28,T23,T23,Mark Brooks,29,3
29,T23,T23,Michael Campbell,6,3
30,T23,T23,Mark Carnevale,7,3
31,T23,T23,Barry Cheesman,35,3
32,T23,T23,Chris DiMarco,33,3
33,T23,T23,Scott Dunlap,30,3
34,T23,T23,Joel Edwards,29,3
35,T23,T23,Brad Faxon,29,3
36,T23,T23,Harrison Frazar,24,3
37,T23,T23,Robin Freeman,32,3
38,T23,T23,Edward Fryatt,32,3
39,T23,T23,Keiichiro Fukabori,3,3
40,T23,T23,Robert Gamez,26,3
41,T23,T23,Sergio Garcia,16,3
42,T23,T23,Jeff Gove,31,3
43,T23,T23,Nolan Henke,32,3
44,T23,T23,John Huston,23,3
45,T23,T23,Greg Kraft,29,3
46,T23,T23,Justin Leonard,28,3
47,T23,T23,J.L. Lewis,30,3
48,T23,T23,Davis Love III,25,3
49,T23,T23,Steve Lowery,30,3
50,T23,T23,Jeff Maggert,27,3
51,T23,T23,Len Mattiace,31,3
52,T23,T23,Bob May,26,3
53,T23,T23,Billy Mayfair,29,3
54,T23,T23,Rocco Mediate,24,3
55,T23,T23,Phil Mickelson,23,3
56,T23,T23,Sean Murphy,35,3
57,T23,T23,Gary Nicklaus,30,3
58,T23,T23,Joe Ozaki,18,3
59,T23,T23,Tom Pernice Jr.,32,3
60,T23,T23,Chris Perry,31,3
61,T23,T23,Dicky Pride,35,3
62,T23,T23,Tom Purtzer,21,3
63,T23,T23,Brett Quigley,21,3
64,T23,T23,Loren Roberts,24,3
65,T23,T23,Rory Sabbatini,26,3
66,T23,T23,Brent Schwarzrock,19,3
67,T23,T23,Craig Stadler,21,3
68,T23,T23,"Dave Stockton, Jr.",31,3
69,T23,T23,Steve Stricker,21,3
70,T23,T23,Esteban Toledo,35,3
71,T23,T23,Ted Tryba,37,3
72,T23,T23,Bob Tway,30,3
73,T23,T23,Scott Verplank,28,3
74,T23,T23,Grant Waite,26,3
75,T76,T76,Fulton Allem,25,2
76,T76,T76,Stephen Ames,31,2
77,T76,T76,Billy Andrade,31,2
78,T76,T76,Tommy Armour III,30,2
79,T76,T76,Woody Austin,32,2
80,T76,T76,Doug Barron,27,2
81,T76,T76,Ben Bates,35,2
82,T76,T76,Cameron Beckman,26,2
83,T76,T76,Thomas Bjørn,9,2
84,T76,T76,Eric Booker,31,2
85,T76,T76,Olin Browne,31,2
86,T76,T76,Bart Bryant,25,2
87,T76,T76,Jason Buha,29,2
88,T76,T76,Bob Burns,29,2
89,T76,T76,Ángel Cabrera,6,2
90,T76,T76,Jim Carter,30,2
91,T76,T76,Brandel Chamblee,21,2
92,T76,T76,K.J. Choi,30,2
93,T76,T76,Stewart Cink,27,2
94,T76,T76,Michael Clark II,28,2
95,T76,T76,Russ Cochran,25,2
96,T76,T76,Bobby Cochran,30,2
97,T76,T76,Fred Couples,19,2
98,T76,T76,Paul Curry,25,2
99,T76,T76,Robert Damron,28,2
100,T76,T76,Jay Delsing,33,2
101,T76,T76,Trevor Dodds,29,2
102,T76,T76,Doug Dunakey,27,2
103,T76,T76,Joe Durant,28,2
104,T76,T76,David Duval,19,2
105,T76,T76,Steve Elkington,17,2
106,T76,T76,Bob Estes,21,2
107,T76,T76,Brad Fabel,30,2
108,T76,T76,Nick Faldo,15,2
109,T76,T76,Todd Fischer,1,2
110,T76,T76,Steve Flesch,32,2
111,T76,T76,Dan Forsman,27,2
112,T76,T76,Carlos Franco,24,2
113,T76,T76,Jeff Freeman,10,2
114,T76,T76,Bob Friend,32,2
115,T76,T76,Fred Funk,32,2
116,T76,T76,Jim Furyk,25,2
117,T76,T76,Brian Gay,33,2
118,T76,T76,Brent Geiberger,24,2
119,T76,T76,Bob Gilder,14,2
120,T76,T76,Derek Gillespie,1,2
121,T76,T76,Bill Glasson,27,2
122,T76,T76,Matt Gogel,30,2
123,T76,T76,Mathew Goggin,32,2
124,T76,T76,Retief Goosen,13,2
125,T76,T76,Steve Gotsche,32,2
126,T76,T76,Paul Goydos,30,2
127,T76,T76,Wayne Grady,15,2
128,T76,T76,Jimmy Green,27,2
129,T76,T76,Dan Halldorson,4,2
130,T76,T76,J.P. Hayes,26,2
131,T76,T76,Bob Heintz,34,2
132,T76,T76,Brian Henninger,29,2
133,T76,T76,Tim Herron,28,2
134,T76,T76,Glen Hnatiuk,30,2
135,T76,T76,Charles Howell III,13,2
136,T76,T76,Bradley Hughes,33,2
137,T76,T76,Mike Hulbert,34,2
138,T76,T76,Lee Janzen,27,2
139,T76,T76,Brandt Jobe,32,2
140,T76,T76,Pete Jordan,31,2
141,T76,T76,Jerry Kelly,32,2
142,T76,T76,Michael Kirk,1,2
143,T76,T76,Neal Lancaster,31,2
144,T76,T76,Tom Lehman,21,2
145,T76,T76,Frank Lickliter II,31,2
146,T76,T76,John Maginnes,32,2
147,T76,T76,Casey Martin,29,2
148,T76,T76,Shigeki Maruyama,26,2
149,T76,T76,Dick Mast,17,2
150,T76,T76,Scott McCarron,30,2
151,T76,T76,Shaun Micheel,31,2
152,T76,T76,Colin Montgomerie,9,2
153,T76,T76,Perry Moss,21,2
154,T76,T76,"Pat Nanney, Jr.",1,2
155,T76,T76,Frank Nobilo,28,2
156,T76,T76,Keith Nolan,23,2
157,T76,T76,Mark O'Meara,19,2
158,T76,T76,Joe Ogilvie,30,2
159,T76,T76,Jesper Parnevik,20,2
160,T76,T76,Steve Pate,28,2
161,T76,T76,Dennis Paulson,26,2
162,T76,T76,Carl Paulson,33,2
163,T76,T76,Corey Pavin,25,2
164,T76,T76,David Peoples,28,2
165,T76,T76,Craig Perks,28,2
166,T76,T76,Dan Pohl,5,2
167,T76,T76,Nick Price,18,2
168,T76,T76,Sam Randolph,1,2
169,T76,T76,Charles Raulerson,32,2
170,T76,T76,John Restino,18,2
171,T76,T76,Larry Rinker,16,2
172,T76,T76,John Rollins,27,2
173,T76,T76,Gene Sauers,8,2
174,T76,T76,Tom Scherrer,33,2
175,T76,T76,Joey Sindelar,30,2
176,T76,T76,Vijay Singh,26,2
177,T76,T76,Dave Spengler,1,2
178,T76,T76,Mike Standly,13,2
179,T76,T76,Paul Stankowski,22,2
180,T76,T76,Kevin Sutherland,27,2
181,T76,T76,Hal Sutton,25,2
182,T76,T76,Hidemichi Tanaka,3,2
183,T76,T76,Tommy Tolles,20,2
184,T76,T76,David Toms,31,2
185,T76,T76,Greg Twiggs,2,2
186,T76,T76,Bill Van Orman,1,2
187,T76,T76,Duffy Waldorf,23,2
188,T76,T76,Brian Watts,29,2
189,T76,T76,D.A. Weibring,14,2
190,T76,T76,Lee Westwood,10,2
191,T76,T76,Mark Wiebe,28,2
192,T76,T76,Willie Wood,14,2
193,T76,T76,Richard Zokol,11,2
194,T195,T195,Bob Ackerman,1,1
195,T195,T195,Michael Allen,1,1
196,T195,T195,Jeremy Anderson,1,1
197,T195,T195,Emlyn Aubrey,26,1
198,T195,T195,Aaron Baddeley,9,1
199,T195,T195,Ricky Barnes,1,1
200,T195,T195,Dave Barr,6,1
201,T195,T195,Todd Barranger,5,1
202,T195,T195,Andy Bean,16,1
203,T195,T195,Chip Beck,21,1
204,T195,T195,Aaron Bengoechea,29,1
205,T195,T195,"David Berganio, Jr.",4,1
206,T195,T195,Ronnie Black,28,1
207,T195,T195,Phil Blackmar,15,1
208,T195,T195,Jay Don Blake,29,1
209,T195,T195,Russ Bloom,1,1
210,T195,T195,Tom Byrum,27,1
211,T195,T195,Mark Calcavecchia,28,1
212,T195,T195,Jason Caron,29,1
213,T195,T195,Darren Clarke,10,1
214,T195,T195,Erik Compton,1,1
215,T195,T195,John Cook,28,1
216,T195,T195,Ben Crenshaw,13,1
217,T195,T195,John Daly,26,1
218,T195,T195,Glen Day,28,1
219,T195,T195,Danny Edwards,1,1
220,T195,T195,Ernie Els,20,1
221,T195,T195,Rick Fehr,24,1
222,T195,T195,Keith Fergus,7,1
223,T195,T195,"Jim Gallagher, Jr.",16,1
224,T195,T195,Kelly Gibson,30,1
225,T195,T195,John Godwin,1,1
226,T195,T195,Ken Green,3,1
227,T195,T195,Danny Green,1,1
228,T195,T195,Joey Gullion,7,1
229,T195,T195,Scott Gump,36,1
230,T195,T195,Jay Haas,26,1
231,T195,T195,Gary Hallberg,10,1
232,T195,T195,Robert Hamilton,1,1
233,T195,T195,Steve Hart,30,1
234,T195,T195,Dudley Hart,24,1
235,T195,T195,Mike Heinen,3,1
236,T195,T195,P.H. Horgan III,25,1
237,T195,T195,Kazuhiko Hosokawa,14,1
238,T195,T195,Ryan Howison,30,1
239,T195,T195,Hale Irwin,1,1
240,T195,T195,Peter Jacobsen,22,1
241,T195,T195,Miguel Angel Jiménez,11,1
242,T195,T195,Bobby Kalinowski,3,1
243,T195,T195,Robert Karlsson,3,1
244,T195,T195,Tom Kite,6,1
245,T195,T195,Brian Kontak,1,1
246,T195,T195,Hank Kuehne,6,1
247,T195,T195,Bernhard Langer,10,1
248,T195,T195,Bruce Lietzke,9,1
249,T195,T195,Edward Loar,5,1
250,T195,T195,Sandy Lyle,18,1
251,T195,T195,Steve Madsen,1,1
252,T195,T195,Joey Maxon,1,1
253,T195,T195,Greg Meyer,1,1
254,T195,T195,Larry Mize,21,1
255,T195,T195,David Ogrin,7,1
256,T195,T195,Ted Oh,1,1
257,T195,T195,Gary Orr,4,1
258,T195,T195,Craig Parry,22,1
259,T195,T195,Ted Purdy,1,1
260,T195,T195,Mike Reid,23,1
261,T195,T195,Chris Riley,28,1
262,T195,T195,Clarence Rose,7,1
263,T195,T195,Dave Rummells,1,1
