,GIR_Percentage_-_150-175_yards_RANK THIS WEEK,GIR_Percentage_-_150-175_yards_RANK LAST WEEK,GIR_Percentage_-_150-175_yards_PLAYER NAME,GIR_Percentage_-_150-175_yards_ROUNDS,GIR_Percentage_-_150-175_yards_%,GIR_Percentage_-_150-175_yards_GREENS HIT,GIR_Percentage_-_150-175_yards_TOTAL HOLES,GIR_Percentage_-_150-175_yards_RELATIVE TO PAR
0,T1,T1,Scott Dunlap,80,100.0,1.0,1,-1.00
1,T1,T1,Kevin Johnson,93,100.0,1.0,1,E
2,T1,T1,Nick Price,74,100.0,1.0,1,-1.00
3,T1,T1,Mike Sposa,96,100.0,1.0,1,-1.00
4,T1,T1,Mike Weir,86,100.0,1.0,1,E
5,T1,T1,Tiger Woods,76,100.0,1.0,1,E
6,T7,T7,Michael Clark II,87,50.0,1.0,2,E
7,T7,T7,José Coceres,60,50.0,1.0,2,E
8,T9,T9,Briny Baird,106,0.0,,1,E
9,T9,T9,Keith Clearwater,62,0.0,,1,E
10,T9,T9,Chris DiMarco,108,0.0,,1,E
11,T9,T9,Ernie Els,70,0.0,,1,E
12,T9,T9,Brad Faxon,95,0.0,,1,E
13,T9,T9,Harrison Frazar,88,0.0,,1,E
14,T9,T9,Jim Furyk,88,0.0,,1,E
15,T9,T9,Jimmy Green,94,0.0,,2,E
16,T9,T9,J.J. Henry,86,0.0,,1,E
17,T9,T9,Mark Hensby,71,0.0,,1,E
18,T9,T9,Per-Ulrik Johansson,82,0.0,,1,E
19,T9,T9,Steve Jones,75,0.0,,1,E
20,T9,T9,Pete Jordan,105,0.0,,1,E
21,T9,T9,Jerry Kelly,104,0.0,,1,E
22,T9,T9,Steve Lowery,100,0.0,,2,E
23,T9,T9,Tom Pernice Jr.,106,0.0,,1,E
24,T9,T9,David Toms,100,0.0,,1,E
