,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Sean Murphy,70,"10""",0.833,1,192
1,2,2,Rich Beem,91,"11""",2.667,3,124
2,3,3,Tim Herron,97,"1' 0""",1.0,1,21
3,4,4,Steve Allan,88,"1' 5""",5.5,4,189
4,5,5,Jerry Kelly,104,"1' 7""",17.75,11,31
5,6,6,David Frost,87,"1' 8""",34.667,21,180
6,7,7,Corey Pavin,72,"1' 9""",17.25,10,183
7,8,8,Hunter Haas,78,"1' 11""",5.75,3,191
8,9,9,Kelly Grunewald,66,"2' 0""",9.833,5,186
9,10,10,Shigeki Maruyama,98,"2' 2""",46.0,21,107
10,T11,T11,Jonathan Kaye,116,"2' 3""",40.667,18,74
11,T11,T11,Loren Roberts,84,"2' 3""",42.917,19,116
12,T13,T13,Paul Gow,79,"2' 4""",16.333,7,140
13,T13,T13,Kaname Yokoo,81,"2' 4""",40.083,17,127
14,T15,T15,John Cook,91,"2' 5""",63.833,26,3
15,T15,T15,Scott Dunlap,80,"2' 5""",21.75,9,120
16,T15,T15,Mark Wiebe,62,"2' 5""",4.75,2,130
17,T18,T18,Robert Damron,91,"2' 6""",50.083,20,136
18,T18,T18,Danny Ellis,76,"2' 6""",76.583,31,170
19,T18,T18,Harrison Frazar,88,"2' 6""",40.417,16,87
20,T18,T18,Jimmy Green,94,"2' 6""",60.917,24,171
21,T18,T18,Davis Love III,75,"2' 6""",132.75,54,20
22,T18,T18,Dennis Paulson,75,"2' 6""",4.917,2,140
23,T18,T18,Kirk Triplett,88,"2' 6""",44.417,18,19
24,25,25,Ted Tryba,110,"2' 7""",70.833,27,114
25,T26,T26,Joel Edwards,99,"2' 8""",68.333,26,35
26,T26,T26,Brent Geiberger,84,"2' 8""",53.083,20,78
27,T26,T26,Andrew McLardy,75,"2' 8""",32.167,12,125
28,T26,T26,Gary Nicklaus,96,"2' 8""",34.583,13,178
29,T26,T26,Paul Stankowski,91,"2' 8""",40.417,15,85
30,T31,T31,Bob May,86,"2' 9""",36.0,13,38
