,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Vijay Singh,26,14,,2.0,4.0
1,2,2,Phil Mickelson,23,13,2.0,4.0,4.0
2,3,3,Davis Love III,20,12,1.0,3.0,
3,T4,T4,Chris DiMarco,29,10,1.0,1.0,2.0
4,T4,T4,Scott Hoch,24,10,2.0,1.0,
5,T6,T6,Ernie Els,19,9,,1.0,5.0
6,T6,T6,Justin Leonard,30,9,1.0,,
7,T6,T6,David Toms,28,9,3.0,1.0,
8,T6,T6,Tiger Woods,19,9,5.0,,1.0
9,T10,T10,Bob Estes,26,8,2.0,1.0,1.0
10,T10,T10,Jim Furyk,24,8,1.0,2.0,
11,T10,T10,Sergio Garcia,18,8,2.0,2.0,
12,T10,T10,Frank Lickliter II,29,8,1.0,1.0,
13,T10,T10,Scott Verplank,26,8,1.0,1.0,1.0
14,T15,T15,David Duval,20,7,1.0,2.0,1.0
15,T15,T15,Jerry Kelly,31,7,,1.0,
16,T15,T15,Bernhard Langer,17,7,,1.0,3.0
17,T15,T15,Jeff Sluman,30,7,1.0,1.0,1.0
18,T15,T15,Kevin Sutherland,30,7,,1.0,
19,T20,T20,Billy Andrade,27,6,,1.0,1.0
20,T20,T20,Stewart Cink,29,6,,,2.0
21,T20,T20,Joe Durant,25,6,2.0,1.0,
22,T20,T20,Brad Faxon,26,6,1.0,,
23,T20,T20,Steve Flesch,32,6,,,
24,T20,T20,Steve Lowery,28,6,,1.0,2.0
25,T20,T20,Kenny Perry,26,6,1.0,,
26,T20,T20,Nick Price,20,6,,,1.0
27,T20,T20,Brett Quigley,21,6,,1.0,
28,T20,T20,Mike Weir,23,6,1.0,2.0,1.0
29,T30,T30,Robert Allenby,29,5,2.0,,
30,T30,T30,Mark Calcavecchia,23,5,1.0,1.0,1.0
31,T30,T30,K.J. Choi,29,5,,,
32,T30,T30,Brian Gay,32,5,,1.0,
33,T30,T30,Dudley Hart,25,5,,,1.0
34,T30,T30,J.J. Henry,28,5,,2.0,
35,T30,T30,Charles Howell III,24,5,,1.0,1.0
36,T30,T30,Tom Lehman,23,5,,2.0,1.0
37,T30,T30,Billy Mayfair,29,5,,1.0,1.0
38,T30,T30,Rocco Mediate,21,5,,2.0,
39,T30,T30,Chris Smith,30,5,,,1.0
40,T30,T30,Kirk Triplett,26,5,,1.0,
41,T30,T30,Bob Tway,29,5,,1.0,1.0
42,T43,T43,Stuart Appleby,29,4,,,
43,T43,T43,Paul Azinger,20,4,,1.0,
44,T43,T43,Cameron Beckman,29,4,1.0,,
45,T43,T43,"David Berganio, Jr.",25,4,,,1.0
46,T43,T43,John Daly,25,4,,,
47,T43,T43,Harrison Frazar,25,4,,,
48,T43,T43,Fred Funk,33,4,,,2.0
49,T43,T43,Matt Gogel,26,4,,,
50,T43,T43,Jeff Maggert,27,4,,,
51,T43,T43,Shigeki Maruyama,27,4,1.0,,
52,T43,T43,Scott McCarron,25,4,1.0,,1.0
53,T43,T43,Jesper Parnevik,25,4,1.0,,
54,T43,T43,Tom Pernice Jr.,33,4,1.0,,
55,T43,T43,Chris Riley,30,4,,1.0,
56,T43,T43,Steve Stricker,20,4,1.0,,
57,T58,T58,Olin Browne,30,3,,,1.0
58,T58,T58,Joel Edwards,30,3,1.0,,
59,T58,T58,Dan Forsman,25,3,,,
60,T58,T58,Brent Geiberger,25,3,,,
61,T58,T58,Paul Gow,27,3,,1.0,
62,T58,T58,J.P. Hayes,23,3,,,2.0
63,T58,T58,Tim Herron,29,3,,,1.0
64,T58,T58,Neal Lancaster,36,3,,,1.0
65,T58,T58,Dennis Paulson,25,3,,1.0,1.0
66,T58,T58,Rory Sabbatini,23,3,,2.0,
67,T58,T58,Jerry Smith,31,3,,,1.0
68,T58,T58,Hal Sutton,26,3,1.0,,1.0
69,T58,T58,Jay Williamson,35,3,,,
70,T58,T58,Kaname Yokoo,27,3,,,
71,T72,T72,Stephen Ames,26,2,,,
72,T72,T72,Woody Austin,34,2,,,
73,T72,T72,Briny Baird,31,2,,1.0,
74,T72,T72,Rich Beem,31,2,,,
75,T72,T72,Mark Brooks,27,2,,1.0,
76,T72,T72,Ángel Cabrera,8,2,,,
77,T72,T72,Brandel Chamblee,23,2,,1.0,1.0
78,T72,T72,Darren Clarke,7,2,,,2.0
79,T72,T72,José Coceres,19,2,2.0,,
80,T72,T72,John Cook,25,2,1.0,,
81,T72,T72,Glen Day,28,2,,,
82,T72,T72,Steve Elkington,20,2,,,
83,T72,T72,Edward Fryatt,31,2,,,
84,T72,T72,Retief Goosen,10,2,1.0,,
85,T72,T72,David Gossett,15,2,1.0,,
86,T72,T72,Paul Goydos,29,2,,,
87,T72,T72,Jay Haas,21,2,,,
88,T72,T72,Bradley Hughes,33,2,,,1.0
89,T72,T72,Toshi Izawa,5,2,,1.0,
90,T72,T72,Lee Janzen,29,2,,1.0,
91,T72,T72,Miguel Angel Jiménez,15,2,,,1.0
92,T72,T72,Per-Ulrik Johansson,29,2,,,
93,T72,T72,Greg Kraft,33,2,,,
94,T72,T72,Matt Kuchar,11,2,,1.0,1.0
95,T72,T72,Ian Leggatt,29,2,,,
96,T72,T72,Len Mattiace,30,2,,,
97,T72,T72,Jim McGovern,21,2,,,
98,T72,T72,Michael Muehr,32,2,,,
99,T72,T72,Geoff Ogilvy,23,2,,1.0,1.0
100,T72,T72,Carl Paulson,31,2,,,1.0
101,T72,T72,David Peoples,31,2,,,1.0
102,T72,T72,Craig Perks,30,2,,1.0,
103,T72,T72,Chris Perry,26,2,,,
104,T72,T72,Loren Roberts,25,2,,,
105,T72,T72,Brent Schwarzrock,20,2,,,
106,T72,T72,Joey Sindelar,25,2,,1.0,
107,T72,T72,Paul Stankowski,27,2,,1.0,
108,T72,T72,Toru Taniguchi,9,2,,,1.0
