,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Dennis Paulson,75,25.0,1.0,4,+1.000
1,T2,T2,Richie Coughlan,66,20.0,2.0,10,+0.500
2,T2,T2,Hunter Haas,78,20.0,2.0,10,+2.500
3,4,4,Kelly Grunewald,66,18.18,2.0,11,-0.500
4,T5,T5,Mark Hensby,71,16.67,1.0,6,-1.000
5,T5,T5,Chris Perry,80,16.67,2.0,12,+1.000
6,7,7,Doug Barron,62,15.79,3.0,19,-0.333
7,T8,T8,Tom Byrum,85,14.29,5.0,35,+0.200
8,T8,T8,Jimmy Green,94,14.29,5.0,35,+0.600
9,10,10,David Frost,87,13.89,5.0,36,-0.400
10,11,11,Mark Brooks,88,13.79,4.0,29,-0.250
11,T12,T12,Bob Burns,92,13.64,6.0,44,-0.167
12,T12,T12,Geoff Ogilvy,60,13.64,3.0,22,E
13,T12,T12,Rocky Walcher,59,13.64,3.0,22,E
14,15,15,Loren Roberts,84,12.9,4.0,31,-0.250
15,16,16,Paul Goydos,86,12.12,4.0,33,-0.500
16,17,17,David Morland IV,88,11.76,4.0,34,+1.000
17,18,18,Scott Dunlap,80,11.11,2.0,18,-0.500
18,19,19,Jim Carter,103,10.91,6.0,55,+0.500
19,T20,T20,Keith Clearwater,62,10.0,1.0,10,-1.000
20,T20,T20,Brian Gay,114,10.0,3.0,30,E
21,T20,T20,Andrew McLardy,75,10.0,2.0,20,E
22,T23,T23,Briny Baird,106,9.52,4.0,42,-0.250
23,T23,T23,Jason Gore,82,9.52,2.0,21,+1.500
24,T23,T23,Bob May,86,9.52,2.0,21,E
25,T26,T26,Pete Jordan,105,9.38,3.0,32,+0.333
26,T26,T26,Esteban Toledo,116,9.38,3.0,32,+0.333
27,T28,T28,Gabriel Hjertstedt,76,9.09,2.0,22,+1.000
28,T28,T28,Glen Hnatiuk,104,9.09,3.0,33,E
29,T28,T28,Kevin Johnson,93,9.09,1.0,11,E
30,31,31,Skip Kendall,111,8.93,5.0,56,-0.200
31,T32,T32,Fulton Allem,56,8.82,3.0,34,+0.667
32,T32,T32,Ian Leggatt,84,8.82,3.0,34,-0.333
33,T32,T32,Spike McRoy,95,8.82,3.0,34,E
34,T35,T35,Matt Gogel,83,8.7,2.0,23,+0.500
35,T35,T35,Brandt Jobe,96,8.7,2.0,23,E
36,T35,T35,Andrew Magee,97,8.7,4.0,46,E
37,T38,T38,Steve Allan,88,8.33,1.0,12,E
38,T38,T38,Brandel Chamblee,77,8.33,1.0,12,E
39,T38,T38,Ben Ferguson,76,8.33,1.0,12,+1.000
40,T38,T38,Cliff Kresge,84,8.33,1.0,12,E
