,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,2843889
1,2,2,Phil Mickelson,2201941
2,3,3,David Toms,1895798
3,4,4,Davis Love III,1584732
4,5,5,Scott Hoch,1437660
5,6,6,David Duval,1400880
6,7,7,Bob Estes,1397738
7,8,8,Scott Verplank,1391701
8,9,9,Chris DiMarco,1297601
9,10,10,Jim Furyk,1270367
10,11,11,Joe Durant,1190842
11,12,12,Mark Calcavecchia,995788
12,13,13,Brad Faxon,975706
13,14,14,Frank Lickliter II,970956
14,15,15,Tom Lehman,953830
15,16,16,Jeff Sluman,920976
16,17,17,Scott McCarron,896753
17,18,18,Kenny Perry,893033
18,19,19,Justin Leonard,891921
19,20,20,Stewart Cink,871514
20,21,21,Steve Lowery,869410
21,22,22,Hal Sutton,861973
22,23,23,Billy Mayfair,858001
23,24,24,Steve Stricker,838114
24,25,25,Kevin Sutherland,761786
25,26,26,Paul Azinger,754565
26,27,27,Jerry Kelly,745803
27,28,28,Rocco Mediate,737217
28,29,29,Kirk Triplett,694101
29,30,30,Tom Pernice Jr.,659381
30,31,31,Billy Andrade,656523
31,32,32,Brian Gay,649681
32,33,33,Fred Funk,618502
33,34,34,Steve Flesch,603776
34,35,35,Chris Riley,599112
35,36,36,Joel Edwards,596764
36,37,37,Bob Tway,560929
37,38,38,J.J. Henry,536923
38,39,39,Cameron Beckman,535671
39,40,40,Robert Damron,529594
40,41,41,Dudley Hart,517855
41,42,42,John Cook,511389
42,43,43,Brett Quigley,478467
43,44,44,Tim Herron,472720
44,45,45,Chris Smith,466405
45,46,46,Lee Janzen,452814
46,47,47,Mark Brooks,449722
47,48,48,John Daly,414457
48,49,49,Olin Browne,407818
49,50,50,Briny Baird,406000
50,51,51,Dennis Paulson,405553
51,52,52,Harrison Frazar,396228
52,53,53,Skip Kendall,376851
53,54,54,David Gossett,374063
54,55,55,Paul Stankowski,371802
55,56,56,Matt Gogel,364892
56,57,57,Glen Day,357890
57,58,58,Jeff Maggert,356803
58,59,59,David Peoples,356328
59,60,60,Brent Geiberger,355597
60,61,61,"David Berganio, Jr.",342541
61,62,62,Garrett Willis,342019
62,63,63,Jonathan Kaye,341605
63,64,64,Neal Lancaster,328790
64,65,65,Joey Sindelar,327432
65,66,66,J.P. Hayes,311482
66,67,67,Len Mattiace,296390
67,68,68,Jerry Smith,296015
68,69,69,Loren Roberts,292036
69,70,70,Brandel Chamblee,291043
70,71,71,Mike Sposa,288156
71,72,72,Matt Kuchar,286335
72,73,73,Chris Perry,284196
73,74,74,Jay Haas,282570
74,75,75,Bob May,267468
75,76,76,Scott Simpson,256265
76,77,77,J.L. Lewis,254309
77,78,78,Carl Paulson,254104
78,79,79,John Huston,252626
79,80,80,Greg Kraft,251802
80,81,81,Jay Williamson,238015
81,82,82,Rich Beem,230282
82,83,83,Corey Pavin,229200
83,84,84,Brian Watts,228647
84,85,85,Dan Forsman,228097
85,86,86,Larry Mize,220089
86,87,87,Mark O'Meara,219310
87,88,88,Jay Don Blake,218288
88,89,89,Duffy Waldorf,213731
89,90,90,Scott Dunlap,210389
90,91,91,Craig Barlow,207069
91,92,92,Michael Muehr,204625
92,93,93,Brandt Jobe,203533
93,94,94,Woody Austin,203176
94,95,95,Spike McRoy,200827
95,96,96,Brad Elder,198484
96,97,97,Tom Byrum,195962
97,98,98,Pete Jordan,193044
98,99,99,Fred Couples,192992
99,100,100,Paul Goydos,187779
100,101,101,Russ Cochran,181278
101,102,102,Bob Burns,176523
102,103,103,Shaun Micheel,175547
103,104,104,Lee Porter,173231
104,105,105,Jim Carter,172963
105,106,106,Joe Ogilvie,171595
106,107,107,John Riegger,171111
107,108,108,Franklin Langham,166269
108,109,109,Brent Schwarzrock,161168
109,110,110,Mark Wiebe,154396
110,111,111,Ted Tryba,154024
111,112,112,Tommy Tolles,152322
112,113,113,Tripp Isenhour,149726
113,114,114,Blaine McCallister,140294
114,115,115,Steve Pate,135983
