,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Tiger Woods,76,11.04,151,1368
1,2,2,Davis Love III,75,11.93,161,1350
2,3,3,Charles Howell III,89,11.96,183,1530
3,4,4,Nick Price,74,12.01,160,1332
4,T5,T5,Bob Estes,91,12.31,195,1584
5,T5,T5,Jim Furyk,88,12.31,195,1584
6,7,7,Scott McCarron,98,12.35,209,1692
7,8,8,Scott Verplank,99,12.37,216,1746
8,9,9,Bernhard Langer,62,12.48,137,1098
9,10,10,John Cook,91,12.82,203,1584
10,11,11,Kenny Perry,94,12.86,206,1602
11,12,12,Vijay Singh,98,12.98,215,1656
12,13,13,Kevin Sutherland,101,13.04,230,1764
13,14,14,Kirk Triplett,88,13.12,196,1494
14,T15,T15,Chris DiMarco,108,13.16,244,1854
15,T15,T15,Loren Roberts,84,13.16,199,1512
16,17,17,Jeff Sluman,106,13.19,247,1872
17,18,18,Glen Day,89,13.23,200,1512
18,19,19,Tom Lehman,82,13.39,188,1404
19,20,20,Billy Mayfair,102,13.5,243,1800
20,21,21,Hal Sutton,96,13.51,231,1710
21,22,22,Fred Funk,118,13.53,285,2106
22,23,23,Rocco Mediate,69,13.61,169,1242
23,24,24,Phil Mickelson,85,13.62,201,1476
24,25,25,Paul Azinger,79,13.64,194,1422
25,26,26,Cameron Beckman,103,13.69,244,1782
26,27,27,Frank Nobilo,91,13.73,220,1602
27,28,28,Scott Hoch,84,13.76,208,1512
28,29,29,Mike Weir,86,13.82,214,1548
29,30,30,David Toms,100,13.89,240,1728
30,31,31,Jesper Parnevik,91,13.92,228,1638
31,32,32,Jay Haas,75,13.97,181,1296
32,33,33,Bob Tway,109,13.99,267,1908
33,34,34,Brian Gay,114,14.04,283,2016
34,T35,T35,Stephen Ames,88,14.09,213,1512
35,T35,T35,Joel Edwards,99,14.09,251,1782
36,37,37,John Riegger,86,14.29,216,1512
37,38,38,Greg Chalmers,92,14.36,230,1602
38,39,39,Briny Baird,106,14.4,267,1854
39,40,40,Craig Barlow,74,14.43,187,1296
40,41,41,Joe Durant,80,14.44,208,1440
41,42,42,Stewart Cink,102,14.49,253,1746
42,43,43,Bill Glasson,69,14.53,170,1170
43,44,44,Jerry Kelly,104,14.58,265,1818
44,45,45,Neal Lancaster,107,14.6,276,1890
45,46,46,David Duval,78,14.61,192,1314
46,47,47,Esteban Toledo,116,14.62,300,2052
47,48,48,Jonathan Kaye,116,14.63,295,2016
48,49,49,Skip Kendall,111,14.66,285,1944
49,50,50,Lee Janzen,96,14.67,243,1656
50,51,51,Brian Watts,56,14.68,148,1008
51,52,52,Brad Faxon,95,14.69,230,1566
52,53,53,Tim Herron,97,14.71,241,1638
53,54,54,Sergio Garcia,64,14.72,159,1080
54,55,55,Len Mattiace,98,14.74,252,1710
55,56,56,J.J. Henry,86,14.75,223,1512
56,57,57,"David Berganio, Jr.",76,14.76,194,1314
57,58,58,Mark Brooks,88,14.77,234,1584
58,T59,T59,Donnie Hammond,51,14.81,136,918
59,T59,T59,Steve Lowery,100,14.81,256,1728
60,61,61,Mike Sposa,96,14.87,249,1674
61,62,62,Russ Cochran,76,14.92,196,1314
62,63,63,Steve Stricker,73,14.96,175,1170
63,64,64,David Peoples,96,14.99,251,1674
64,65,65,Glen Hnatiuk,104,15.02,273,1818
65,66,66,Robert Allenby,108,15.04,287,1908
66,67,67,Olin Browne,99,15.05,260,1728
67,T68,T68,Steve Flesch,112,15.09,288,1908
68,T68,T68,Larry Mize,76,15.09,201,1332
69,70,70,José Coceres,60,15.11,155,1026
70,71,71,Brent Geiberger,84,15.12,215,1422
71,72,72,José María Olazábal,51,15.13,128,846
72,73,73,Scott Simpson,73,15.14,199,1314
73,74,74,Craig Parry,68,15.17,172,1134
74,75,75,Dudley Hart,80,15.19,205,1350
75,76,76,John Huston,64,15.28,165,1080
76,77,77,Willie Wood,52,15.38,144,936
77,78,78,Mark Calcavecchia,81,15.4,219,1422
78,79,79,Shigeki Maruyama,98,15.43,261,1692
79,80,80,Chris Perry,80,15.46,217,1404
80,81,81,Lee Porter,93,15.49,251,1620
81,82,82,Brett Quigley,67,15.52,176,1134
82,83,83,Stuart Appleby,105,15.53,274,1764
83,T84,T84,Paul Gow,79,15.56,210,1350
84,T84,T84,Corey Pavin,72,15.56,196,1260
85,T86,T86,K.J. Choi,95,15.58,258,1656
86,T86,T86,Greg Kraft,105,15.58,286,1836
87,T88,T88,Fulton Allem,56,15.67,158,1008
88,T88,T88,Dan Forsman,81,15.67,220,1404
89,T88,T88,Ted Tryba,110,15.67,299,1908
90,91,91,Spike McRoy,95,15.69,257,1638
91,92,92,Justin Leonard,106,15.71,280,1782
92,93,93,Chris Riley,104,15.72,283,1800
93,T94,T94,Pete Jordan,105,15.75,292,1854
94,T94,T94,Chris Smith,101,15.75,275,1746
95,96,96,Per-Ulrik Johansson,82,15.76,227,1440
96,97,97,Jay Don Blake,100,15.8,273,1728
97,98,98,Billy Andrade,82,15.82,225,1422
98,99,99,Bob May,86,15.83,228,1440
99,100,100,David Frost,87,15.84,248,1566
100,101,101,Robert Damron,91,15.87,260,1638
101,102,102,Ernie Els,70,15.93,172,1080
102,103,103,Matt Gogel,83,15.98,233,1458
103,104,104,Joey Sindelar,69,15.99,190,1188
104,T105,T105,Shaun Micheel,103,16.0,288,1800
105,T105,T105,Michael Muehr,94,16.0,265,1656
106,T107,T107,Jeff Hart,87,16.01,245,1530
107,T107,T107,Jeff Maggert,84,16.01,242,1512
108,109,109,Jay Williamson,92,16.05,260,1620
109,T110,T110,Ian Leggatt,84,16.07,243,1512
110,T110,T110,Frank Lickliter II,102,16.07,295,1836
111,112,112,Michael Clark II,87,16.21,248,1530
112,113,113,Jim Carter,103,16.23,295,1818
113,114,114,Harrison Frazar,88,16.27,246,1512
114,115,115,J.P. Hayes,76,16.3,223,1368
115,116,116,Brent Schwarzrock,63,16.31,185,1134
116,117,117,Chris Tidland,83,16.32,235,1440
117,T118,T118,Tom Byrum,85,16.34,250,1530
118,T118,T118,Tom Pernice Jr.,106,16.34,300,1836
119,120,120,Grant Waite,78,16.37,224,1368
120,121,121,Edward Fryatt,93,16.41,260,1584
121,122,122,Fred Couples,68,16.42,201,1224
122,123,123,J.L. Lewis,108,16.51,315,1908
123,124,124,John Daly,84,16.53,244,1476
124,125,125,Brad Elder,111,16.56,325,1962
125,T126,T126,Jim McGovern,66,16.58,188,1134
126,T126,T126,Mark O'Meara,69,16.58,194,1170
127,128,128,Bob Burns,92,16.6,266,1602
128,129,129,Steve Elkington,64,16.67,183,1098
129,T130,T130,Brandt Jobe,96,16.73,283,1692
130,T130,T130,Paul Stankowski,91,16.73,265,1584
131,132,132,Blaine McCallister,80,16.74,241,1440
132,133,133,Marco Dawson,57,16.76,172,1026
133,134,134,Ronnie Black,51,16.78,154,918
134,135,135,Jerry Smith,95,16.9,289,1710
135,T136,T136,Brandel Chamblee,77,16.96,235,1386
136,T136,T136,Craig Perks,78,16.96,232,1368
137,T138,T138,Tommy Armour III,93,16.97,278,1638
138,T138,T138,Dennis Paulson,75,16.97,226,1332
139,140,140,Bradley Hughes,96,17.02,288,1692
