,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Brian Henninger,81,3.5,35,10
1,T1,T1,Rory Sabbatini,73,3.5,70,20
2,T3,T3,Jay Don Blake,100,3.7,37,10
3,T3,T3,Robert Damron,91,3.7,37,10
4,T3,T3,Marco Dawson,57,3.7,37,10
5,T3,T3,Scott Dunlap,80,3.7,37,10
6,T7,T7,Jeff Maggert,84,3.73,153,41
7,T7,T7,Chris Perry,80,3.73,41,11
8,9,9,Bob Estes,91,3.74,352,94
9,T10,T10,Davis Love III,75,3.75,304,81
10,T10,T10,Blaine McCallister,80,3.75,75,20
11,T10,T10,Kenny Perry,94,3.75,236,63
12,13,13,Cameron Beckman,103,3.77,113,30
13,14,14,Steve Flesch,112,3.78,151,40
14,T15,T15,Fulton Allem,56,3.8,190,50
15,T15,T15,Mathew Goggin,96,3.8,38,10
16,T15,T15,Brandt Jobe,96,3.8,38,10
17,T15,T15,Neal Lancaster,107,3.8,152,40
18,T15,T15,Billy Mayfair,102,3.8,190,50
19,T15,T15,Mark Wiebe,62,3.8,38,10
20,T21,T21,David Duval,78,3.81,240,63
21,T21,T21,Carl Paulson,93,3.81,80,21
22,T23,T23,Scott McCarron,98,3.82,191,50
23,T23,T23,Chris Riley,104,3.82,191,50
24,T25,T25,Stuart Appleby,105,3.83,153,40
25,T25,T25,Robin Freeman,105,3.83,115,30
26,T25,T25,Mike Weir,86,3.83,203,53
27,T28,T28,Danny Ellis,76,3.84,192,50
28,T28,T28,Bob Tway,109,3.84,119,31
29,T30,T30,John Huston,64,3.85,77,20
30,T30,T30,Bob May,86,3.85,158,41
31,T30,T30,David Peoples,96,3.85,77,20
32,33,33,Tommy Armour III,93,3.86,193,50
33,T34,T34,Charles Howell III,89,3.87,116,30
34,T34,T34,Tom Lehman,82,3.87,201,52
35,T34,T34,Mark O'Meara,69,3.87,116,30
36,T34,T34,Scott Simpson,73,3.87,120,31
37,T34,T34,David Toms,100,3.87,201,52
38,T39,T39,Matt Gogel,83,3.88,159,41
39,T39,T39,Per-Ulrik Johansson,82,3.88,155,40
40,T39,T39,Tom Pernice Jr.,106,3.88,155,40
41,42,42,Chris DiMarco,108,3.89,444,114
42,T43,T43,"David Berganio, Jr.",76,3.9,39,10
43,T43,T43,Greg Chalmers,92,3.9,39,10
44,T43,T43,José Coceres,60,3.9,160,41
45,T43,T43,John Cook,91,3.9,78,20
46,T43,T43,Brian Gay,114,3.9,160,41
47,T43,T43,Jeff Hart,87,3.9,39,10
48,T43,T43,Lee Janzen,96,3.9,195,50
49,T43,T43,Greg Kraft,105,3.9,39,10
50,T43,T43,Len Mattiace,98,3.9,39,10
51,T43,T43,Lee Porter,93,3.9,121,31
52,T43,T43,Jerry Smith,95,3.9,39,10
53,T43,T43,Paul Stankowski,91,3.9,39,10
54,T43,T43,Tommy Tolles,89,3.9,78,20
55,T43,T43,Kirk Triplett,88,3.9,39,10
56,T57,T57,Russ Cochran,76,3.91,43,11
57,T57,T57,Steve Jones,75,3.91,43,11
58,T57,T57,Andrew McLardy,75,3.91,43,11
59,60,60,Shaun Micheel,103,3.92,196,50
60,T61,T61,Tom Byrum,85,3.93,118,30
61,T61,T61,Glen Day,89,3.93,118,30
62,T61,T61,Sergio Garcia,64,3.93,173,44
63,T61,T61,Rocco Mediate,69,3.93,118,30
64,T61,T61,Jesper Parnevik,91,3.93,157,40
65,T61,T61,Scott Verplank,99,3.93,212,54
66,T67,T67,John Riegger,86,3.94,122,31
67,T67,T67,Vijay Singh,98,3.94,280,71
68,T67,T67,Tiger Woods,76,3.94,248,63
69,T70,T70,Kevin Johnson,93,3.95,83,21
70,T70,T70,Jerry Kelly,104,3.95,79,20
71,T70,T70,Justin Leonard,106,3.95,87,22
72,T70,T70,J.L. Lewis,108,3.95,83,21
73,T70,T70,Nick Price,74,3.95,79,20
74,T70,T70,Jeff Sluman,106,3.95,79,20
75,76,76,Mike Sposa,96,3.96,202,51
76,77,77,Duffy Waldorf,77,3.97,123,31
77,78,78,Ernie Els,70,3.98,215,54
78,T79,T79,Stephen Ames,88,4.0,40,10
79,T79,T79,Paul Azinger,79,4.0,40,10
80,T79,T79,Briny Baird,106,4.0,40,10
81,T79,T79,Bob Burns,92,4.0,80,20
82,T79,T79,Jim Carter,103,4.0,40,10
83,T79,T79,John Daly,84,4.0,120,30
84,T79,T79,Steve Elkington,64,4.0,40,10
85,T79,T79,Brad Faxon,95,4.0,44,11
86,T79,T79,Carlos Franco,87,4.0,80,20
87,T79,T79,Harrison Frazar,88,4.0,40,10
88,T79,T79,J.J. Henry,86,4.0,40,10
89,T79,T79,Tim Herron,97,4.0,84,21
90,T79,T79,Craig Kanada,80,4.0,40,10
91,T79,T79,Ian Leggatt,84,4.0,124,31
92,T79,T79,Steve Lowery,100,4.0,172,43
93,T79,T79,Larry Mize,76,4.0,40,10
94,T79,T79,Frank Nobilo,91,4.0,80,20
95,T79,T79,Dennis Paulson,75,4.0,44,11
96,T79,T79,Chris Smith,101,4.0,124,31
97,T79,T79,Garrett Willis,88,4.0,40,10
98,T79,T79,Kaname Yokoo,81,4.0,80,20
99,T100,T100,Robert Allenby,108,4.03,125,31
100,T100,T100,Woody Austin,99,4.03,121,30
101,T100,T100,Olin Browne,99,4.03,121,30
102,T100,T100,Joel Edwards,99,4.03,161,40
103,T100,T100,Jimmy Green,94,4.03,125,31
104,T100,T100,Pete Jordan,105,4.03,125,31
105,T100,T100,Skip Kendall,111,4.03,161,40
106,T100,T100,Bernhard Langer,62,4.03,133,33
107,T100,T100,Spike McRoy,95,4.03,121,30
108,T100,T100,Steve Pate,89,4.03,121,30
109,T110,T110,Michael Clark II,87,4.05,162,40
110,T110,T110,Andrew Magee,97,4.05,162,40
111,T110,T110,Grant Waite,78,4.05,81,20
112,T113,T113,Mark Brooks,88,4.06,126,31
113,T113,T113,Joe Durant,80,4.06,134,33
114,T115,T115,Fred Couples,68,4.07,122,30
115,T115,T115,David Frost,87,4.07,122,30
116,T115,T115,Bill Glasson,69,4.07,167,41
117,T115,T115,Kent Jones,74,4.07,122,30
118,T115,T115,Jonathan Kaye,116,4.07,122,30
119,T120,T120,Mark Calcavecchia,81,4.09,90,22
120,T120,T120,Jim Furyk,88,4.09,90,22
121,T122,T122,Jeremy Anderson,69,4.1,41,10
122,T122,T122,Billy Andrade,82,4.1,41,10
123,T122,T122,Doug Barron,62,4.1,41,10
124,T122,T122,Kelly Grunewald,66,4.1,41,10
125,T122,T122,Mark Hensby,71,4.1,41,10
126,T122,T122,Tripp Isenhour,92,4.1,41,10
127,T122,T122,David Morland IV,88,4.1,41,10
128,T122,T122,Chris Tidland,83,4.1,127,31
129,T122,T122,Ted Tryba,110,4.1,86,21
130,T122,T122,Jay Williamson,92,4.1,41,10
131,132,132,Stewart Cink,102,4.13,128,31
132,T133,T133,Bradley Hughes,96,4.14,87,21
133,T133,T133,Frank Lickliter II,102,4.14,87,21
134,T133,T133,Dicky Pride,78,4.14,87,21
135,136,136,Joe Ogilvie,110,4.15,83,20
136,137,137,Keith Clearwater,62,4.16,129,31
137,T138,T138,Doug Dunakey,83,4.2,42,10
138,T138,T138,Brad Elder,111,4.2,42,10
139,T138,T138,Fred Funk,118,4.2,84,20
140,T138,T138,Gary Nicklaus,96,4.2,84,20
141,T138,T138,Corey Pavin,72,4.2,42,10
142,T138,T138,Loren Roberts,84,4.2,42,10
143,T138,T138,Kevin Sutherland,101,4.2,42,10
144,T138,T138,Brian Wilson,88,4.2,42,10
145,146,146,Steve Allan,88,4.24,89,21
146,T147,T147,Jason Gore,82,4.3,43,10
147,T147,T147,Paul Gow,79,4.3,43,10
148,T147,T147,Gabriel Hjertstedt,76,4.3,43,10
149,T147,T147,Glen Hnatiuk,104,4.3,43,10
150,151,151,Scott Hoch,84,4.36,48,11
151,152,152,Craig Parry,68,4.37,131,30
152,153,153,Hunter Haas,78,4.38,92,21
153,T154,T154,Craig Perks,78,4.4,44,10
154,T154,T154,Tom Scherrer,69,4.4,132,30
155,156,156,Esteban Toledo,116,4.45,89,20
