,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Tiger Woods,76,61.22,150,245
1,2,2,David Duval,78,57.14,132,231
2,3,3,Vijay Singh,98,56.9,169,297
3,4,4,Phil Mickelson,85,56.18,150,267
4,5,5,Davis Love III,75,53.28,130,244
5,6,6,Sergio Garcia,64,51.91,95,183
6,7,7,Mark Calcavecchia,81,51.5,137,266
7,8,8,Charles Howell III,89,51.19,151,295
8,9,9,Stuart Appleby,105,51.06,168,329
9,10,10,Scott McCarron,98,50.92,166,326
10,11,11,Jesper Parnevik,91,50.68,149,294
11,12,12,Frank Lickliter II,102,50.15,171,341
12,T13,T13,John Daly,84,50.0,138,276
13,T13,T13,Chris DiMarco,108,50.0,172,344
14,15,15,Mike Weir,86,49.82,139,279
15,16,16,Jeff Sluman,106,49.3,177,359
16,17,17,Scott Hoch,84,49.13,141,287
17,18,18,Ernie Els,70,48.97,95,194
18,19,19,Rory Sabbatini,73,48.94,115,235
19,20,20,Kevin Sutherland,101,48.27,167,346
20,21,21,Jason Gore,82,48.04,135,281
21,22,22,Carlos Franco,87,47.95,140,292
22,23,23,Stephen Ames,88,47.68,144,302
23,24,24,Billy Mayfair,102,47.54,164,345
24,25,25,Tom Lehman,82,47.53,125,263
25,26,26,Shigeki Maruyama,98,47.39,145,306
26,27,27,Kenny Perry,94,47.32,150,317
27,28,28,Chris Smith,101,47.06,160,340
28,29,29,Jim Furyk,88,46.67,133,285
29,30,30,Bob Estes,91,46.62,131,281
30,31,31,Jerry Kelly,104,45.94,164,357
31,32,32,David Toms,100,45.87,150,327
32,33,33,Harrison Frazar,88,45.76,135,295
33,34,34,Stewart Cink,102,45.63,146,320
34,35,35,José Coceres,60,45.61,78,171
35,36,36,Fred Couples,68,45.57,108,237
36,37,37,J.J. Henry,86,45.24,133,294
37,38,38,Steve Flesch,112,45.07,169,375
38,39,39,Rocco Mediate,69,45.02,104,231
39,40,40,Brandt Jobe,96,44.98,148,329
40,41,41,John Huston,64,44.83,91,203
41,42,42,Skip Kendall,111,44.79,172,384
42,43,43,Ian Leggatt,84,44.75,132,295
43,44,44,Kaname Yokoo,81,44.64,125,280
44,45,45,Justin Leonard,106,44.61,149,334
45,46,46,Nick Price,74,44.4,103,232
46,47,47,Brian Gay,114,44.36,169,381
47,48,48,Garrett Willis,88,44.23,138,312
48,49,49,Paul Stankowski,91,44.19,137,310
49,50,50,Woody Austin,99,44.18,148,335
50,51,51,Dudley Hart,80,44.17,106,240
51,52,52,Joey Sindelar,69,44.16,102,231
52,53,53,Rich Beem,91,44.12,135,306
53,54,54,David Peoples,96,43.96,142,323
54,55,55,Brent Schwarzrock,63,43.89,97,221
55,56,56,Jim McGovern,66,43.87,93,212
56,57,57,Tom Pernice Jr.,106,43.71,153,350
57,58,58,Jonathan Kaye,116,43.53,175,402
58,59,59,K.J. Choi,95,43.49,137,315
59,60,60,Steve Stricker,73,43.42,99,228
60,61,61,Bob May,86,43.41,112,258
61,62,62,Olin Browne,99,43.35,137,316
62,63,63,Craig Barlow,74,43.32,107,247
63,64,64,Mathew Goggin,96,43.2,143,331
64,65,65,Mike Sposa,96,42.94,140,326
65,66,66,Marco Dawson,57,42.79,92,215
66,67,67,"David Berganio, Jr.",76,42.68,105,246
67,68,68,Scott Verplank,99,42.63,136,319
68,69,69,Brad Faxon,95,42.61,124,291
69,70,70,Grant Waite,78,42.59,115,270
70,71,71,Geoff Ogilvy,60,42.57,86,202
71,72,72,Greg Chalmers,92,42.38,128,302
72,73,73,Edward Fryatt,93,42.33,127,300
73,74,74,Russ Cochran,76,42.26,112,265
74,75,75,Kevin Johnson,93,42.17,132,313
75,76,76,Joel Edwards,99,42.15,145,344
76,77,77,Brad Elder,111,42.12,163,387
77,78,78,Tommy Armour III,93,42.04,132,314
78,79,79,Kirk Triplett,88,42.03,116,276
79,80,80,Hal Sutton,96,42.01,134,319
80,81,81,Matt Gogel,83,41.99,118,281
81,82,82,Tommy Tolles,89,41.97,128,305
