,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Joe Durant,25,7
1,T1,T1,Scott Verplank,26,7
2,T3,T3,Robert Allenby,29,6
3,T3,T3,Billy Andrade,27,6
4,T3,T3,Stuart Appleby,29,6
5,T3,T3,Olin Browne,30,6
6,T3,T3,Mark Calcavecchia,23,6
7,T3,T3,Brian Claar,8,6
8,T3,T3,Trevor Dodds,2,6
9,T3,T3,Brad Elder,35,6
10,T3,T3,Steve Flesch,32,6
11,T3,T3,Greg Kraft,33,6
12,T3,T3,Davis Love III,20,6
13,T3,T3,Billy Mayfair,29,6
14,T3,T3,Jean Van de Velde,17,6
15,T3,T3,Mark Wiebe,24,6
16,T3,T3,Willie Wood,16,6
17,T18,T18,Stephen Ames,26,5
18,T18,T18,Paul Azinger,20,5
19,T18,T18,Craig Barlow,23,5
20,T18,T18,Doug Barron,25,5
21,T18,T18,Jay Don Blake,31,5
22,T18,T18,Mark Brooks,27,5
23,T18,T18,Jim Carter,28,5
24,T18,T18,Russ Cochran,24,5
25,T18,T18,John Cook,25,5
26,T18,T18,Fred Couples,19,5
27,T18,T18,John Daly,25,5
28,T18,T18,Chris DiMarco,29,5
29,T18,T18,Scott Dunlap,28,5
30,T18,T18,Dan Forsman,25,5
31,T18,T18,Carlos Franco,27,5
32,T18,T18,Robin Freeman,34,5
33,T18,T18,Fred Funk,33,5
34,T18,T18,Jeff Gallagher,7,5
35,T18,T18,Brent Geiberger,25,5
36,T18,T18,Matt Gogel,26,5
37,T18,T18,Mathew Goggin,33,5
38,T18,T18,Paul Goydos,29,5
39,T18,T18,Glen Hnatiuk,31,5
40,T18,T18,Scott Hoch,24,5
41,T18,T18,John Huston,20,5
42,T18,T18,Kevin Johnson,32,5
43,T18,T18,Skip Kendall,33,5
44,T18,T18,Justin Leonard,30,5
45,T18,T18,J.L. Lewis,31,5
46,T18,T18,Jeff Maggert,27,5
47,T18,T18,Blaine McCallister,28,5
48,T18,T18,Scott McCarron,25,5
49,T18,T18,Spike McRoy,31,5
50,T18,T18,Phil Mickelson,23,5
51,T18,T18,Joe Ogilvie,34,5
52,T18,T18,Dennis Paulson,25,5
53,T18,T18,Kenny Perry,26,5
54,T18,T18,Joey Sindelar,25,5
55,T18,T18,Vijay Singh,26,5
56,T18,T18,Jeff Sluman,30,5
57,T18,T18,Kevin Sutherland,30,5
58,T18,T18,Jay Williamson,35,5
59,T18,T18,Garrett Willis,33,5
60,T61,T61,Steve Allan,31,4
61,T61,T61,Fulton Allem,21,4
62,T61,T61,Woody Austin,34,4
63,T61,T61,Briny Baird,31,4
64,T61,T61,Cameron Beckman,29,4
65,T61,T61,"David Berganio, Jr.",25,4
66,T61,T61,Ronnie Black,17,4
67,T61,T61,Jeff Brehaut,26,4
68,T61,T61,Bart Bryant,10,4
69,T61,T61,Bob Burns,29,4
70,T61,T61,Tom Byrum,27,4
71,T61,T61,Ángel Cabrera,8,4
72,T61,T61,Greg Chalmers,27,4
73,T61,T61,Barry Cheesman,16,4
74,T61,T61,K.J. Choi,29,4
75,T61,T61,Stewart Cink,29,4
76,T61,T61,Michael Clark II,30,4
77,T61,T61,Keith Clearwater,23,4
78,T61,T61,José Coceres,19,4
79,T61,T61,Richie Coughlan,26,4
80,T61,T61,Robert Damron,27,4
81,T61,T61,Marco Dawson,19,4
82,T61,T61,Glen Day,28,4
83,T61,T61,David Duval,20,4
84,T61,T61,Joel Edwards,30,4
85,T61,T61,Steve Elkington,20,4
86,T61,T61,Danny Ellis,27,4
87,T61,T61,Ernie Els,19,4
88,T61,T61,Bob Estes,26,4
89,T61,T61,Brad Fabel,10,4
90,T61,T61,Brad Faxon,26,4
91,T61,T61,Keith Fergus,3,4
92,T61,T61,Harrison Frazar,25,4
93,T61,T61,David Frost,27,4
94,T61,T61,Edward Fryatt,31,4
95,T61,T61,Jim Furyk,24,4
96,T61,T61,Robert Gamez,22,4
97,T61,T61,Brian Gay,32,4
