,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Mark Calcavecchia,84,34.43,21,61
1,2,2,Brian Gay,117,32.58,29,89
2,3,3,Nick Price,69,32.14,18,56
3,4,4,Shigeki Maruyama,87,31.88,22,69
4,5,5,Glen Hnatiuk,95,31.11,28,90
5,6,6,Stewart Cink,92,29.21,26,89
6,7,7,Brad Faxon,93,28.57,18,63
7,8,8,Lee Porter,91,28.05,23,82
8,9,9,J.P. Hayes,78,27.54,19,69
9,10,10,Dan Forsman,83,27.37,26,95
10,11,11,Greg Chalmers,94,26.88,25,93
11,12,12,Joe Durant,87,26.76,19,71
12,13,13,Jim Carter,98,26.74,23,86
13,14,14,John Huston,99,26.67,24,90
14,15,15,Stuart Appleby,97,26.6,25,94
15,16,16,Tommy Tolles,64,26.47,18,68
16,17,17,Tim Clark,76,26.32,20,76
17,18,18,Kirk Triplett,84,26.15,17,65
18,19,19,Bart Bryant,69,25.97,20,77
19,20,20,Jeff Maggert,83,25.81,16,62
20,21,21,Craig Parry,69,25.68,19,74
21,22,22,Greg Kraft,86,25.64,20,78
22,23,23,Jonathan Kaye,83,25.61,21,82
23,24,24,Paul Goydos,66,25.49,13,51
24,T25,T25,José Coceres,51,25.0,10,40
25,T25,T25,Fred Couples,64,25.0,9,36
26,T25,T25,John Riegger,88,25.0,28,112
27,28,28,Jeff Gove,89,24.75,25,101
28,29,29,Pat Perez,89,24.64,17,69
29,30,30,Scott Verplank,93,24.59,15,61
30,31,31,Hal Sutton,74,24.56,14,57
31,32,32,Scott Hoch,71,24.49,12,49
32,33,33,Jim Furyk,88,24.32,18,74
33,T34,T34,Tom Pernice Jr.,101,24.1,20,83
