,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Tiger Woods,69,34.38,11.0,32
1,2,2,Notah Begay III,76,33.33,9.0,27
2,3,3,John Huston,99,31.58,6.0,19
3,4,4,Kenneth Staton,104,30.23,13.0,43
4,5,5,Harrison Frazar,88,25.64,10.0,39
5,6,6,Jim Furyk,88,24.0,6.0,25
6,7,7,Robert Gamez,69,23.33,7.0,30
7,8,8,Ben Crane,91,22.73,10.0,44
8,9,9,Kenny Perry,98,22.22,10.0,45
9,10,10,Chris DiMarco,111,20.51,8.0,39
10,T11,T11,Robert Allenby,96,20.0,6.0,30
11,T11,T11,Craig Barlow,62,20.0,7.0,35
12,T11,T11,Joe Durant,87,20.0,3.0,15
13,T11,T11,Paul Goydos,66,20.0,4.0,20
14,T11,T11,Lee Janzen,101,20.0,8.0,40
15,T11,T11,Mark O'Meara,68,20.0,4.0,20
16,T11,T11,Corey Pavin,78,20.0,4.0,20
17,T11,T11,David Peoples,105,20.0,8.0,40
18,19,19,John Riegger,88,19.51,8.0,41
19,T20,T20,Tim Herron,102,19.05,8.0,42
20,T20,T20,Steve Lowery,98,19.05,8.0,42
21,22,22,Bradley Hughes,60,18.75,6.0,32
22,23,23,Tripp Isenhour,68,18.6,8.0,43
23,24,24,Charles Howell III,118,18.42,7.0,38
24,T25,T25,John Cook,85,18.18,4.0,22
25,T25,T25,Bernhard Langer,55,18.18,2.0,11
26,27,27,Scott McCarron,106,18.0,9.0,50
27,28,28,Jason Hill,59,17.86,5.0,28
28,29,29,Brian Gay,117,17.65,9.0,51
29,30,30,Carlos Franco,107,17.54,10.0,57
30,31,31,Jonathan Byrd,96,17.39,8.0,46
31,T32,T32,David Gossett,95,17.14,6.0,35
32,T32,T32,J.P. Hayes,78,17.14,6.0,35
33,T32,T32,Jonathan Kaye,83,17.14,6.0,35
34,35,35,Rod Pampling,98,17.07,7.0,41
35,T36,T36,Billy Andrade,100,16.67,6.0,36
36,T36,T36,Chad Campbell,111,16.67,7.0,42
37,T36,T36,Loren Roberts,93,16.67,4.0,24
38,39,39,Tom Scherrer,98,16.36,9.0,55
39,T40,T40,Glen Day,107,16.28,7.0,43
40,T40,T40,J.L. Lewis,98,16.28,7.0,43
41,42,42,Tim Petrovic,92,16.22,6.0,37
42,43,43,Ernie Els,68,16.0,4.0,25
43,44,44,Grant Waite,98,15.79,6.0,38
44,45,45,Per-Ulrik Johansson,87,15.63,5.0,32
45,46,46,Briny Baird,110,15.38,6.0,39
46,T47,T47,Davis Love III,92,15.15,5.0,33
47,T47,T47,Bryce Molder,65,15.15,5.0,33
48,T49,T49,José Coceres,51,15.0,3.0,20
49,T49,T49,Jeff Maggert,83,15.0,3.0,20
50,T49,T49,Duffy Waldorf,90,15.0,6.0,40
51,52,52,Dennis Paulson,89,14.89,7.0,47
52,T53,T53,Bart Bryant,69,14.81,4.0,27
53,T53,T53,Brent Geiberger,95,14.81,4.0,27
