,GIR_Percentage_-__100_yards_RANK THIS WEEK,GIR_Percentage_-__100_yards_RANK LAST WEEK,GIR_Percentage_-__100_yards_PLAYER NAME,GIR_Percentage_-__100_yards_ROUNDS,GIR_Percentage_-__100_yards_%,GIR_Percentage_-__100_yards_GREENS HIT,GIR_Percentage_-__100_yards_TOTAL HOLES,GIR_Percentage_-__100_yards_RELATIVE TO PAR
0,1,1,Tim Petrovic,92,95.15,98,103,-0.55
1,2,2,Hidemichi Tanaka,104,94.59,105,111,-0.56
2,3,3,Jim Furyk,88,94.32,83,88,-0.55
3,4,4,Donnie Hammond,60,93.55,58,62,-0.47
4,5,5,Fred Funk,106,92.97,119,128,-0.51
5,T6,T6,José María Olazábal,71,92.86,52,56,-0.63
6,T6,T6,Nick Price,69,92.86,52,56,-0.44
7,8,8,Dan Forsman,83,91.82,101,110,-0.44
8,9,9,Mike Weir,94,91.43,96,105,-0.46
9,T10,T10,Paul Azinger,69,91.23,52,57,-0.58
10,T10,T10,John Senden,96,91.23,104,114,-0.54
11,12,12,Billy Mayfair,99,91.11,82,90,-0.57
12,13,13,Mark O'Meara,68,91.07,51,56,-0.49
13,14,14,Heath Slocum,96,90.91,80,88,-0.38
14,15,15,Kaname Yokoo,74,90.48,76,84,-0.43
15,16,16,John Rollins,124,90.45,142,157,-0.56
16,17,17,Chad Campbell,111,90.43,104,115,-0.63
17,18,18,Tom Lehman,78,90.38,47,52,-0.49
18,19,19,Notah Begay III,76,90.35,103,114,-0.57
19,20,20,Scott Verplank,93,90.2,92,102,-0.53
20,21,21,John Riegger,88,90.18,101,112,-0.52
21,22,22,John Cook,85,90.14,64,71,-0.53
22,23,23,J.L. Lewis,98,90.08,118,131,-0.55
23,T24,T24,Rocco Mediate,79,90.0,72,80,-0.65
24,T24,T24,Kevin Sutherland,96,90.0,63,70,-0.44
25,26,26,Harrison Frazar,88,89.8,88,98,-0.47
26,27,27,Craig Barlow,62,89.74,70,78,-0.57
27,28,28,Carl Paulson,84,89.72,96,107,-0.53
28,T29,T29,Brad Elder,76,89.71,61,68,-0.54
29,T29,T29,David Toms,106,89.71,122,136,-0.69
30,T31,T31,K.J. Choi,93,89.62,95,106,-0.54
31,T31,T31,Frank Lickliter II,94,89.62,95,106,-0.59
32,T33,T33,Per-Ulrik Johansson,87,89.61,69,77,-0.58
33,T33,T33,Tiger Woods,69,89.61,69,77,-0.64
34,35,35,Jay Williamson,91,89.47,102,114,-0.48
35,36,36,J.J. Henry,112,89.39,118,132,-0.51
36,37,37,Rory Sabbatini,69,89.19,66,74,-0.52
37,38,38,Bob Estes,93,89.16,74,83,-0.46
38,39,39,Brian Gay,117,89.08,106,119,-0.57
39,40,40,David Peoples,105,88.99,97,109,-0.59
40,41,41,Duffy Waldorf,90,88.89,80,90,-0.65
41,42,42,Briny Baird,110,88.8,111,125,-0.55
42,43,43,Mathew Goggin,64,88.76,79,89,-0.42
43,44,44,David Duval,78,88.75,71,80,-0.7
44,45,45,Craig Stadler,72,88.71,55,62,-0.64
45,46,46,Rod Pampling,98,88.7,102,115,-0.55
46,47,47,Kirk Triplett,84,88.57,62,70,-0.5
47,48,48,Billy Andrade,100,88.33,106,120,-0.57
48,49,49,Kent Jones,105,88.32,121,137,-0.5
49,50,50,Brent Geiberger,95,88.29,98,111,-0.52
50,51,51,Stuart Appleby,97,87.97,117,133,-0.56
51,52,52,Frank Nobilo,94,87.96,95,108,-0.45
52,53,53,Mark Calcavecchia,84,87.91,80,91,-0.53
53,54,54,"David Berganio, Jr.",80,87.88,87,99,-0.55
54,T55,T55,Paul Claxton,83,87.76,86,98,-0.48
55,T55,T55,Phil Tataurangi,88,87.76,86,98,-0.59
56,57,57,Retief Goosen,56,87.69,57,65,-0.7
57,58,58,Peter Lonard,93,87.62,92,105,-0.61
58,T59,T59,Jeff Brehaut,87,87.61,99,113,-0.62
59,T59,T59,Jeff Gove,89,87.61,99,113,-0.39
60,61,61,Chris Riley,104,87.13,88,101,-0.5
61,T62,T62,Chris DiMarco,111,87.1,108,124,-0.58
62,T62,T62,Spike McRoy,69,87.1,54,62,-0.39
63,64,64,Bob May,91,87.07,101,116,-0.48
64,65,65,Tim Herron,102,87.04,94,108,-0.53
65,66,66,Scott McCarron,106,87.0,87,100,-0.6
66,67,67,Grant Waite,98,86.99,107,123,-0.55
67,68,68,Fred Couples,64,86.96,60,69,-0.52
68,69,69,Carlos Franco,107,86.79,138,159,-0.48
69,70,70,Ernie Els,68,86.76,59,68,-0.58
70,T71,T71,Robert Allenby,96,86.67,117,135,-0.56
71,T71,T71,Pat Perez,89,86.67,78,90,-0.55
72,73,73,Esteban Toledo,106,86.52,77,89,-0.31
73,T74,T74,David Gossett,95,86.49,96,111,-0.45
74,T74,T74,Paul Stankowski,100,86.49,96,111,-0.66
75,T76,T76,Tom Scherrer,98,86.41,89,103,-0.42
76,T76,T76,Mike Sposa,111,86.41,89,103,-0.43
77,78,78,Tim Clark,76,86.27,88,102,-0.56
