,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Kenny Perry,98,319,Phoenix Open,2,17
1,2,2,Bob Estes,93,225,FedEx St. Jude Classic,3,14
2,3,3,Larry Mize,22,223,Buick Classic,1,16
3,4,4,Tim Petrovic,92,221,The Honda Classic,1,16
4,5,5,Jesper Parnevik,85,219,BellSouth Classic,2,8
5,6,6,Robert Allenby,96,206,SEI Pennsylvania Classic,3,17
6,7,7,Steve Lowery,98,205,Bob Hope Chrysler Classic,3,13
7,8,8,Jerry Kelly,99,204,THE TOUR Championship presented by Coca-Cola,4,11
8,9,6,Robert Allenby,96,201,THE TOUR Championship presented by Coca-Cola,3,17
9,10,3,Larry Mize,22,189,Greater Milwaukee Open,2,11
10,11,11,Craig Stadler,72,186,THE PLAYERS Championship,3,13
11,T12,12,Kaname Yokoo,74,182,Southern Farm Bureau Classic,1,14
12,T12,13,J.L. Lewis,98,182,Valero Texas Open,4,17
13,T14,14,Corey Pavin,78,181,MasterCard Colonial,1,13
14,T14,15,Ernie Els,68,181,Verizon Byron Nelson Classic,4,13
15,T16,16,Mike Hulbert,55,178,FedEx St. Jude Classic,1,18
16,T16,17,Joey Sindelar,104,178,THE PLAYERS Championship,2,9
17,18,18,Jeff Maggert,83,177,Compaq Classic of New Orleans,2,17
18,19,19,Rod Pampling,98,173,SEI Pennsylvania Classic,1,10
19,T20,20,Carlos Franco,107,169,Bell Canadian Open,1,18
20,T20,21,Graeme McDowell,12,169,World Golf Championships-NEC Invitational,1,12
21,22,22,Tom Byrum,77,168,Reno-Tahoe Open,2,16
22,T23,23,Davis Love III,92,163,Disney Golf Classic,4,12
23,T23,24,Per-Ulrik Johansson,87,163,Southern Farm Bureau Classic,2,15
24,T25,22,Tom Byrum,77,161,SEI Pennsylvania Classic,2,16
25,T25,26,Guy Boros,28,161,Michelob Championship at Kingsmill,1,12
26,T25,27,Shaun Micheel,100,161,B.C. Open,2,17
27,28,28,Tommy Tolles,64,151,Reno-Tahoe Open,2,15
28,T29,29,Mike Sposa,111,150,Phoenix Open,2,16
29,T29,30,Joe Ogilvie,50,150,Greater Milwaukee Open,1,13
30,31,31,David Duval,78,149,Buick Challenge,2,14
31,32,20,Carlos Franco,107,146,THE PLAYERS Championship,3,18
