,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,John Huston,99,"35' 8""",24393,57,2032.75,-3.00
1,2,2,David Gossett,95,"35' 11""",28040,65,2336.667,+10.00
2,3,3,John Riegger,88,"36' 9""",33040,75,2753.333,+6.00
3,4,4,Tommy Armour III,82,"37' 8""",28015,62,2334.583,+6.00
4,5,5,"David Berganio, Jr.",80,"38' 2""",31175,68,2597.917,E
5,6,6,Joe Durant,87,"38' 6""",16170,35,1347.5,+7.00
6,T7,T7,John Cook,85,"38' 7""",22246,48,1853.8329999999999,+8.00
7,T7,T7,Brian Gay,117,"38' 7""",47644,103,3970.333,+8.00
8,9,9,David Toms,106,"39' 0""",41174,88,3431.167,+17.00
9,10,10,Duffy Waldorf,90,"39' 6""",33197,70,2766.417,+5.00
10,11,11,Dudley Hart,88,"39' 9""",29589,62,2465.75,+19.00
11,12,12,Scott Dunlap,74,"40' 1""",37030,77,3085.833,+22.00
12,13,13,Billy Mayfair,99,"40' 2""",25050,52,2087.5,+7.00
13,T14,T14,Steve Elkington,82,"40' 3""",35762,74,2980.167,+13.00
14,T14,T14,Harrison Frazar,88,"40' 3""",42472,88,3539.333,+7.00
15,16,16,Bernhard Langer,55,"40' 6""",11179,23,931.5830000000001,+2.00
16,T17,T17,Olin Browne,107,"40' 8""",40044,82,3337.0,+10.00
17,T17,T17,Brian Henninger,66,"40' 8""",30232,62,2519.333,+5.00
18,19,19,J.J. Henry,112,"40' 9""",43002,88,3583.5,+8.00
19,T20,T20,Chris Smith,103,"40' 11""",36827,75,3068.917,+9.00
20,T20,T20,Bob Tway,103,"40' 11""",38814,79,3234.5,+12.00
21,T22,T22,Fred Couples,64,"41' 0""",22150,45,1845.8329999999999,+11.00
22,T22,T22,Dan Forsman,83,"41' 0""",31519,64,2626.583,+10.00
23,24,24,Notah Begay III,76,"41' 1""",30566,62,2547.167,+2.00
24,25,25,Ian Leggatt,97,"41' 2""",42972,87,3581.0,+22.00
25,26,26,Phil Tataurangi,88,"41' 5""",43205,87,3600.417,+13.00
26,T27,T27,Jeff Brehaut,87,"41' 6""",45814,92,3817.833,+14.00
27,T27,T27,Chad Campbell,111,"41' 6""",44810,90,3734.167,+8.00
28,T27,T27,Skip Kendall,103,"41' 6""",42301,85,3525.083,+18.00
29,30,30,Pat Bates,94,"41' 7""",32431,65,2702.583,+8.00
30,T31,T31,Tom Lehman,78,"41' 8""",22021,44,1835.0829999999999,+4.00
31,T31,T31,Rocco Mediate,79,"41' 8""",26989,54,2249.083,+16.00
32,T33,T33,Sergio Garcia,79,"41' 9""",28048,56,2337.333,-1.00
33,T33,T33,Frank Lickliter II,94,"41' 9""",38099,76,3174.917,+6.00
34,T33,T33,Tim Petrovic,92,"41' 9""",41122,82,3426.833,+1.00
35,T33,T33,Kevin Sutherland,96,"41' 9""",35555,71,2962.917,+20.00
36,37,37,Russ Cochran,68,"41' 10""",35124,70,2927.0,+17.00
37,T38,T38,Ben Crane,91,"41' 11""",47788,95,3982.333,+7.00
38,T38,T38,Jason Hill,59,"41' 11""",35180,70,2931.667,+17.00
39,T40,T40,Gary Nicklaus,66,"42' 0""",28250,56,2354.167,+7.00
40,T40,T40,Mark O'Meara,68,"42' 0""",22158,44,1846.5,+12.00
41,T42,T42,Woody Austin,102,"42' 1""",59082,117,4923.5,+13.00
