,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Bob Heintz,68,8.43,573,68
1,2,2,Pat Perez,89,7.86,684,87
2,T3,T3,Ben Crane,91,7.78,692,89
3,T3,T3,Bryce Molder,65,7.78,490,63
4,5,5,Skip Kendall,103,7.66,774,101
5,T6,T6,J.P. Hayes,78,7.63,580,76
6,T6,T6,Rod Pampling,98,7.63,717,94
7,8,8,Olin Browne,107,7.55,785,104
8,T9,T9,Stephen Gangluff,75,7.52,564,75
9,T9,T9,Brian Gay,117,7.52,865,115
10,T11,T11,Billy Andrade,100,7.49,719,96
11,T11,T11,Robert Gamez,69,7.49,517,69
12,13,13,Jonathan Byrd,96,7.48,703,94
13,14,14,Chris Riley,104,7.47,747,100
14,T15,T15,Tim Herron,102,7.45,738,99
15,T15,T15,José María Olazábal,71,7.45,477,64
16,T17,T17,Lee Porter,91,7.43,654,88
17,T17,T17,Kirk Triplett,84,7.43,587,79
18,19,19,Kaname Yokoo,74,7.4,533,72
19,20,20,Brett Quigley,93,7.39,680,92
20,21,21,Steve Stricker,68,7.38,465,63
21,22,22,Greg Kraft,86,7.36,618,84
22,T23,T23,Paul Azinger,69,7.35,463,63
23,T23,T23,Fred Couples,64,7.35,441,60
24,T23,T23,Joel Edwards,101,7.35,742,101
25,T23,T23,Tripp Isenhour,68,7.35,500,68
26,T27,T27,Greg Chalmers,94,7.34,668,91
27,T27,T27,Jay Haas,83,7.34,580,79
28,29,29,Bob Burns,99,7.32,703,96
29,T30,T30,Brandel Chamblee,85,7.31,614,84
30,T30,T30,K.J. Choi,93,7.31,651,89
31,32,32,Geoff Ogilvy,90,7.3,628,86
32,T33,T33,Robert Damron,85,7.28,597,82
33,T33,T33,Mathew Goggin,64,7.28,466,64
34,T33,T33,Phil Mickelson,97,7.28,684,94
35,T33,T33,Brian Watts,58,7.28,393,54
36,37,37,Harrison Frazar,88,7.27,640,88
37,T38,T38,Matt Gogel,79,7.26,552,76
38,T38,T38,Joe Ogilvie,50,7.26,363,50
39,T40,T40,Brad Faxon,93,7.24,615,85
40,T40,T40,Paul Goydos,66,7.24,478,66
41,T42,T42,Woody Austin,102,7.23,716,99
42,T42,T42,Scott Simpson,61,7.23,441,61
43,T44,T44,David Frost,90,7.22,650,90
44,T44,T44,Esteban Toledo,106,7.22,736,102
45,T46,T46,Glen Day,107,7.2,742,103
46,T46,T46,Brad Elder,76,7.2,533,74
47,T46,T46,Andrew Magee,91,7.2,634,88
48,T49,T49,Tom Byrum,77,7.19,554,77
49,T49,T49,Dan Forsman,83,7.19,582,81
50,T51,T51,Jay Don Blake,107,7.18,754,105
51,T51,T51,Deane Pappas,90,7.18,632,88
52,T51,T51,Nick Price,69,7.18,474,66
53,T54,T54,John Huston,99,7.16,687,96
