,Putting_from_10_RANK THIS WEEK,Putting_from_10_RANK LAST WEEK,Putting_from_10_PLAYER NAME,Putting_from_10_ROUNDS,Putting_from_10_% MADE,Putting_from_10_ATTEMPTS,Putting_from_10_PUTTS MADE
0,T1,T1,Kenny Perry,98,72.73,22,16
1,T1,T1,Paul Stankowski,100,72.73,11,8
2,3,3,David Frost,90,71.43,21,15
3,4,4,Joel Edwards,101,70.59,17,12
4,T5,T5,Brian Bateman,94,68.0,25,17
5,T5,T5,Chris Smith,103,68.0,25,17
6,7,7,Craig Barlow,62,66.67,24,16
7,8,8,Jerry Kelly,99,65.0,20,13
8,9,9,Craig Parry,69,64.29,14,9
9,10,10,Brett Quigley,93,63.64,22,14
10,T11,T11,Jess Daley,76,63.16,19,12
11,T11,T11,Scott Simpson,61,63.16,19,12
12,13,13,Brent Geiberger,95,61.9,21,13
13,14,14,Michael Muehr,73,61.54,13,8
14,T15,T15,Michael Clark II,97,60.87,23,14
15,T15,T15,Jeff Sluman,118,60.87,23,14
16,17,17,J.P. Hayes,78,60.71,28,17
17,T18,T18,Bob Burns,99,60.0,20,12
18,T18,T18,Tom Byrum,77,60.0,20,12
19,T18,T18,Mathew Goggin,64,60.0,10,6
20,T18,T18,Dudley Hart,88,60.0,10,6
21,T18,T18,David Morland IV,58,60.0,10,6
22,T18,T18,Esteban Toledo,106,60.0,20,12
23,24,24,Bob Tway,103,59.09,22,13
24,T25,T25,Len Mattiace,106,58.82,17,10
25,T25,T25,Garrett Willis,80,58.82,17,10
26,T27,T27,Mark Brooks,97,58.33,24,14
27,T27,T27,Craig Perks,91,58.33,12,7
28,29,29,Shigeki Maruyama,87,57.89,19,11
29,30,30,Harrison Frazar,88,57.14,21,12
30,31,31,Steve Allan,93,56.52,23,13
31,T32,T32,Jim Carter,98,56.25,16,9
32,T32,T32,Steve Elkington,82,56.25,16,9
33,T32,T32,Bryce Molder,65,56.25,16,9
34,35,35,Phil Tataurangi,88,55.56,18,10
35,36,36,Peter Lonard,93,55.0,20,11
36,T37,T37,Scott Hoch,71,54.55,11,6
37,T37,T37,Michael Long,71,54.55,22,12
38,T37,T37,Geoff Ogilvy,90,54.55,22,12
39,40,40,Steve Lowery,98,54.17,24,13
40,41,41,Grant Waite,98,53.85,26,14
41,T42,T42,Lee Janzen,101,53.33,15,8
42,T42,T42,Pete Jordan,78,53.33,15,8
43,T42,T42,Craig Stadler,72,53.33,15,8
44,45,45,John Huston,99,53.13,32,17
45,46,46,Carl Paulson,84,52.63,19,10
46,T47,T47,Jonathan Byrd,96,52.38,21,11
47,T47,T47,Robert Damron,85,52.38,21,11
48,T47,T47,John Riegger,88,52.38,21,11
49,T47,T47,Brian Watts,58,52.38,21,11
50,T51,T51,Stewart Cink,92,52.17,23,12
51,T51,T51,Bob May,91,52.17,23,12
52,T53,T53,Olin Browne,107,50.0,24,12
53,T53,T53,Brandel Chamblee,85,50.0,24,12
54,T53,T53,Paul Claxton,83,50.0,18,9
55,T53,T53,Brad Elder,76,50.0,12,6
56,T53,T53,Tim Herron,102,50.0,22,11
57,T53,T53,Charles Howell III,118,50.0,16,8
58,T53,T53,Kent Jones,105,50.0,30,15
59,T53,T53,Bernhard Langer,55,50.0,12,6
60,T53,T53,Ian Leggatt,97,50.0,22,11
61,T53,T53,Frank Lickliter II,94,50.0,14,7
62,T53,T53,Rocco Mediate,79,50.0,14,7
63,T53,T53,Phil Mickelson,97,50.0,20,10
64,T53,T53,Gary Nicklaus,66,50.0,10,5
65,T53,T53,Matt Peterson,80,50.0,20,10
66,T53,T53,Lee Porter,91,50.0,20,10
67,T53,T53,Brett Wetterich,89,50.0,22,11
68,69,69,John Rollins,124,48.39,31,15
69,70,70,Skip Kendall,103,48.15,27,13
70,71,71,Pat Bates,94,47.83,23,11
71,72,72,K.J. Choi,93,47.62,21,10
72,T73,T73,Rich Beem,99,47.37,19,9
73,T73,T73,Shaun Micheel,100,47.37,19,9
74,T73,T73,Tom Pernice Jr.,101,47.37,19,9
75,T76,T76,Tommy Armour III,82,47.06,17,8
76,T76,T76,Fred Funk,106,47.06,34,16
77,T76,T76,Duffy Waldorf,90,47.06,17,8
78,79,79,Glen Hnatiuk,95,46.88,32,15
79,T80,T80,Michael Allen,76,46.67,15,7
80,T80,T80,Joe Durant,87,46.67,15,7
81,T80,T80,Robin Freeman,79,46.67,15,7
82,T80,T80,Jeff Gove,89,46.67,15,7
83,T80,T80,Greg Kraft,86,46.67,30,14
84,T85,T85,Carlos Franco,107,46.15,26,12
85,T85,T85,Bob Heintz,68,46.15,13,6
86,T85,T85,Per-Ulrik Johansson,87,46.15,13,6
87,88,88,Scott McCarron,106,45.83,24,11
88,T89,T89,Cameron Beckman,87,45.45,11,5
89,T89,T89,Robert Gamez,69,45.45,22,10
90,T89,T89,Matt Gogel,79,45.45,11,5
91,T92,T92,Chris Riley,104,45.0,20,9
92,T92,T92,Scott Verplank,93,45.0,20,9
93,T94,T94,Tom Scherrer,98,44.83,29,13
94,T94,T94,Mike Sposa,111,44.83,29,13
95,T96,T96,Jonathan Kaye,83,44.44,18,8
96,T96,T96,Blaine McCallister,75,44.44,18,8
97,T98,T98,Bart Bryant,69,43.75,16,7
98,T98,T98,Tim Clark,76,43.75,32,14
99,T98,T98,Tommy Tolles,64,43.75,16,7
100,101,101,Jeff Brehaut,87,43.33,30,13
101,102,102,Miguel Angel Jiménez,60,42.86,14,6
102,103,103,Bo Van Pelt,78,42.42,33,14
103,104,104,Vijay Singh,102,42.31,26,11
104,105,105,Justin Leonard,97,42.11,19,8
105,T106,T106,Donnie Hammond,60,41.67,12,5
106,T106,T106,Peter Jacobsen,67,41.67,12,5
107,T106,T106,José María Olazábal,71,41.67,12,5
108,T109,T109,Dan Forsman,83,41.18,17,7
109,T109,T109,Andrew Magee,91,41.18,17,7
110,111,111,Paul Goydos,66,40.91,22,9
111,T112,T112,Briny Baird,110,40.74,27,11
112,T112,T112,Jay Williamson,91,40.74,27,11
113,T114,T114,Chris DiMarco,111,40.0,20,8
114,T114,T114,Scott Dunlap,74,40.0,20,8
115,T114,T114,Brad Faxon,93,40.0,15,6
116,T114,T114,Matt Kuchar,82,40.0,15,6
117,T114,T114,Mark O'Meara,68,40.0,10,4
118,T119,T119,Woody Austin,102,39.13,23,9
119,T119,T119,Chad Campbell,111,39.13,23,9
120,T121,T121,Davis Love III,92,38.89,18,7
121,T121,T121,Kevin Sutherland,96,38.89,18,7
122,123,123,Kaname Yokoo,74,38.46,13,5
123,T124,T124,Brandt Jobe,94,38.1,21,8
124,T124,T124,Frank Nobilo,94,38.1,21,8
125,T126,T126,"David Berganio, Jr.",80,37.5,16,6
126,T126,T126,Luke Donald,106,37.5,24,9
127,T126,T126,Brian Henninger,66,37.5,16,6
128,T126,T126,J.J. Henry,112,37.5,16,6
129,T126,T126,Kirk Triplett,84,37.5,16,6
130,T131,T131,Jay Don Blake,107,36.84,19,7
131,T131,T131,Stephen Gangluff,75,36.84,19,7
132,T131,T131,Dennis Paulson,89,36.84,19,7
133,134,134,Brian Gay,117,36.67,30,11
134,T135,T135,Eduardo Herrera,59,36.36,11,4
135,T135,T135,J.L. Lewis,98,36.36,22,8
136,T135,T135,Joe Ogilvie,50,36.36,11,4
137,T135,T135,Rod Pampling,98,36.36,22,8
138,T135,T135,Pat Perez,89,36.36,22,8
139,T140,T140,Paul Gow,99,36.0,25,9
140,T140,T140,David Peoples,105,36.0,25,9
141,T142,T142,Russ Cochran,68,35.71,14,5
142,T142,T142,Mike Hulbert,55,35.71,14,5
143,T142,T142,Billy Mayfair,99,35.71,28,10
144,T145,T145,Ben Crane,91,35.29,17,6
145,T145,T145,David Duval,78,35.29,17,6
146,T145,T145,Jason Hill,59,35.29,17,6
147,T148,T148,Billy Andrade,100,33.33,15,5
148,T148,T148,Stuart Appleby,97,33.33,12,4
149,T148,T148,Glen Day,107,33.33,27,9
150,T148,T148,Edward Fryatt,94,33.33,21,7
151,T148,T148,David Gossett,95,33.33,27,9
152,T148,T148,Tim Petrovic,92,33.33,12,4
153,T148,T148,Nick Price,69,33.33,18,6
154,T148,T148,John Senden,96,33.33,15,5
155,T148,T148,Joey Sindelar,104,33.33,24,8
156,157,157,Notah Begay III,76,31.82,22,7
157,T158,T158,Loren Roberts,93,31.58,19,6
158,T158,T158,Jerry Smith,91,31.58,19,6
159,T160,T160,John Cook,85,31.25,16,5
160,T160,T160,Bob Estes,93,31.25,16,5
161,T160,T160,Jay Haas,83,31.25,16,5
162,T160,T160,Steve Stricker,68,31.25,16,5
163,T164,T164,Fulton Allem,64,30.77,13,4
164,T164,T164,Paul Azinger,69,30.77,13,4
165,T164,T164,Sergio Garcia,79,30.77,13,4
166,167,167,Steve Flesch,110,30.43,23,7
167,T168,T168,Bradley Hughes,60,30.0,10,3
168,T168,T168,Tom Lehman,78,30.0,10,3
169,T168,T168,Corey Pavin,78,30.0,10,3
170,T168,T168,Dicky Pride,51,30.0,10,3
171,T168,T168,David Toms,106,30.0,20,6
172,T173,T173,Jeff Maggert,83,29.41,17,5
173,T173,T173,Hidemichi Tanaka,104,29.41,17,5
174,T175,T175,Robert Allenby,96,29.17,24,7
175,T175,T175,Heath Slocum,96,29.17,24,7
176,T177,T177,Neal Lancaster,101,28.57,14,4
177,T177,T177,Spike McRoy,69,28.57,14,4
178,T179,T179,Franklin Langham,72,26.67,15,4
179,T179,T179,Kenneth Staton,104,26.67,30,8
180,T181,T181,Fred Couples,64,25.0,16,4
181,T181,T181,Tripp Isenhour,68,25.0,12,3
182,T181,T181,Brenden Pappas,62,25.0,20,5
183,T181,T181,Jesper Parnevik,85,25.0,12,3
184,T181,T181,Mike Weir,94,25.0,12,3
185,186,186,Steve Jones,71,23.53,17,4
186,187,187,Ernie Els,68,20.0,10,2
187,188,188,Boo Weekley,57,10.0,10,1
