,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Bernhard Langer,16,46.2
1,2,2,Billy Andrade,31,73.4
2,3,3,Brad Faxon,25,88.4
3,4,4,Chris Riley,28,94.7
4,5,5,Jim Carter,29,96.8
5,6,6,Carl Paulson,28,103.8
6,7,7,Phil Tataurangi,25,105.1
7,8,8,José María Olazábal,20,105.4
8,9,9,David Frost,29,106.2
9,10,10,Loren Roberts,25,109.3
10,11,11,Pat Bates,29,110.6
11,T12,T12,Brandel Chamblee,30,112.3
12,T12,T12,Geoff Ogilvy,27,112.3
13,14,14,Ben Crane,30,112.9
14,15,15,Matt Kuchar,27,119.6
15,16,16,Mark O'Meara,24,125.4
16,17,17,Shigeki Maruyama,24,125.8
17,18,18,Jonathan Byrd,32,129.1
18,19,19,Bryce Molder,22,130.2
19,20,20,Brad Elder,26,132.9
20,21,21,Retief Goosen,15,133.8
21,22,22,Donnie Hammond,17,135.8
22,23,23,Brandt Jobe,28,138.0
23,24,24,Tim Herron,30,140.8
24,25,25,Scott Hoch,21,143.3
25,26,26,Jim Furyk,25,144.0
26,T27,T27,David Duval,24,145.1
27,T27,T27,John Rollins,34,145.1
28,29,29,Skip Kendall,31,146.2
29,30,30,Steve Allan,30,146.5
30,31,31,Steve Elkington,23,147.0
31,32,32,Scott Verplank,26,147.5
32,T33,T33,Brent Geiberger,29,149.1
33,T33,T33,Corey Pavin,24,149.1
34,35,35,Scott Simpson,25,149.9
35,36,36,Rocco Mediate,23,150.6
36,37,37,Ernie Els,18,153.0
37,38,38,Dan Forsman,25,153.3
38,39,39,Craig Parry,21,153.9
39,40,40,Jeff Sluman,32,156.0
40,41,41,Justin Leonard,26,158.0
41,42,42,Davis Love III,26,165.3
42,43,43,John Riegger,29,165.6
43,44,44,Lee Janzen,29,166.7
44,45,45,Robert Damron,28,166.8
45,46,46,Jay Don Blake,34,169.4
46,47,47,Mathew Goggin,20,170.0
47,48,48,Matt Gogel,25,170.2
48,49,49,Bob May,30,170.3
49,50,50,Michael Muehr,27,170.7
50,51,51,David Peoples,30,170.8
51,52,52,Neal Lancaster,31,171.2
52,53,53,David Toms,27,172.2
53,54,54,Spike McRoy,25,172.8
54,T55,T55,Jess Daley,27,173.2
55,T55,T55,Vijay Singh,28,173.2
56,57,57,Kirk Triplett,25,173.8
57,58,58,Chad Campbell,34,175.8
58,59,59,Greg Chalmers,31,175.9
59,60,60,Kenny Perry,27,176.0
60,61,61,Brett Quigley,32,176.2
61,62,62,Steve Flesch,32,177.2
62,63,63,Phil Mickelson,26,177.4
63,64,64,Paul Azinger,20,177.6
64,65,65,Olin Browne,33,178.1
65,66,66,José Coceres,16,180.4
66,67,67,Dicky Pride,16,180.6
67,68,68,Mark Calcavecchia,25,182.5
68,69,69,Jay Williamson,30,183.3
69,70,70,Tommy Tolles,20,183.5
70,71,71,Craig Stadler,22,183.8
71,72,72,Scott McCarron,28,183.9
72,73,73,Peter Jacobsen,21,184.7
73,74,74,Deane Pappas,34,185.2
74,75,75,Bob Heintz,28,189.5
75,76,76,Billy Mayfair,31,192.4
76,77,77,Chris Smith,30,194.8
77,78,78,Stephen Gangluff,27,195.8
78,79,79,Kent Jones,33,198.6
79,80,80,Duffy Waldorf,27,201.2
80,81,81,Jay Haas,24,201.7
81,82,82,K.J. Choi,27,201.8
82,83,83,Rod Pampling,29,202.1
83,84,84,Bob Burns,30,202.8
84,85,85,Stephen Ames,28,202.9
85,86,86,Len Mattiace,28,203.8
86,87,87,Esteban Toledo,32,203.9
87,88,88,Jesper Parnevik,26,204.3
88,89,89,Pat Perez,30,204.6
89,90,90,Tiger Woods,18,205.3
90,91,91,John Daly,21,205.9
91,92,92,Joel Edwards,28,207.7
92,93,93,Edward Fryatt,34,207.9
93,94,94,Gary Nicklaus,26,209.1
94,95,95,Steve Pate,21,209.3
95,96,96,Mike Sposa,34,209.4
96,97,97,Craig Barlow,22,210.2
97,98,98,Chris DiMarco,29,211.4
98,99,99,John Cook,25,213.9
99,100,100,Fred Funk,29,215.1
100,101,101,Bob Tway,28,216.8
101,102,102,Brian Gay,34,218.2
102,103,103,Blaine McCallister,27,219.3
103,104,104,Grant Waite,31,220.4
104,T105,T105,J.P. Hayes,24,223.1
105,T105,T105,Craig Perks,28,223.1
