,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Tiger Woods,18,1.66,113,68
1,2,2,Vijay Singh,28,2.05,197,96
2,3,3,Jim Furyk,25,2.08,177,85
3,4,4,Loren Roberts,25,2.11,196,93
4,5,5,Fred Funk,29,2.13,226,106
5,6,6,Jerry Kelly,29,2.15,211,98
6,7,7,Chris DiMarco,29,2.16,229,106
7,T8,T8,Joel Edwards,28,2.18,220,101
8,T8,T8,Glen Hnatiuk,28,2.18,203,93
9,10,10,Chris Riley,28,2.19,219,100
10,11,11,Rod Pampling,29,2.2,207,94
11,12,12,Justin Leonard,26,2.21,208,94
12,13,13,Dan Forsman,25,2.22,180,81
13,T14,T14,Jeff Sluman,32,2.24,262,117
14,T14,T14,David Toms,27,2.24,228,102
15,T14,T14,Bob Tway,28,2.24,222,99
16,T17,T17,Bob May,30,2.26,201,89
17,T17,T17,John Rollins,34,2.26,271,120
18,T17,T17,Scott Verplank,26,2.26,206,91
19,T20,T20,Ernie Els,18,2.27,141,62
20,T20,T20,David Peoples,30,2.27,238,105
21,22,22,John Riegger,29,2.28,196,86
22,T23,T23,Retief Goosen,15,2.3,124,54
23,T23,T23,Jay Haas,24,2.3,182,79
24,T25,T25,Bob Estes,26,2.31,201,87
25,T25,T25,Peter Jacobsen,21,2.31,155,67
26,T27,T27,Bob Burns,30,2.33,224,96
27,T27,T27,Brandel Chamblee,30,2.33,196,84
28,T29,T29,Cameron Beckman,26,2.34,199,85
29,T29,T29,Phil Mickelson,26,2.34,220,94
30,T31,T31,Chad Campbell,34,2.35,256,109
31,T31,T31,Peter Lonard,24,2.35,219,93
32,T31,T31,Esteban Toledo,32,2.35,240,102
33,T34,T34,Bart Bryant,20,2.36,156,66
34,T34,T34,Shaun Micheel,30,2.36,229,97
35,T36,T36,Glen Day,31,2.37,244,103
36,T36,T36,Carlos Franco,31,2.37,249,105
37,T38,T38,John Huston,26,2.39,229,96
38,T38,T38,Kenny Perry,27,2.39,227,95
39,T40,T40,Luke Donald,30,2.4,250,104
40,T40,T40,Scott Hoch,21,2.4,168,70
41,T40,T40,Charles Howell III,32,2.4,269,112
42,T43,T43,Jonathan Kaye,27,2.43,197,81
43,T43,T43,Tom Lehman,22,2.43,170,70
44,T43,T43,Tim Petrovic,31,2.43,216,89
