,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Ernie Els,68,68.0,748,11
1,2,2,Cameron Beckman,87,68.82,1514,22
2,3,3,Chris DiMarco,111,68.88,1653,24
3,4,4,Retief Goosen,56,68.9,689,10
4,5,5,Vijay Singh,102,69.08,829,12
5,6,6,Nick Price,69,69.22,1246,18
6,7,7,David Toms,106,69.25,1385,20
7,8,8,Charles Howell III,118,69.35,2150,31
8,T9,T9,Bob Estes,93,69.42,2152,31
9,T9,T9,Jerry Kelly,99,69.42,1319,19
10,11,11,Phil Mickelson,97,69.43,1458,21
11,T12,T12,Fred Funk,106,69.47,2501,36
12,T12,T12,Jim Furyk,88,69.47,1320,19
13,14,14,Lee Janzen,101,69.56,1252,18
14,15,15,Kenny Perry,98,69.59,2227,32
15,16,16,John Rollins,124,69.61,2854,41
16,17,17,Rocco Mediate,79,69.63,1323,19
17,18,18,Briny Baird,110,69.64,2716,39
18,19,19,Jay Haas,83,69.67,1672,24
19,20,20,Stuart Appleby,97,69.7,1603,23
20,21,21,David Duval,78,69.72,1255,18
21,22,22,Steve Flesch,110,69.77,1814,26
22,23,23,David Peoples,105,69.78,2233,32
23,24,24,Loren Roberts,93,69.83,2025,29
24,25,25,Robert Allenby,96,69.84,1746,25
25,26,26,Pat Perez,89,69.88,1817,26
26,27,27,Tiger Woods,69,69.92,839,12
27,28,28,Glen Hnatiuk,95,69.93,2098,30
28,29,29,Joel Edwards,101,69.97,2029,29
29,T30,T30,Donnie Hammond,60,70.0,1050,15
30,T30,T30,John Huston,99,70.0,2030,29
31,T30,T30,Steve Lowery,98,70.0,1610,23
32,T30,T30,Bob May,91,70.0,1890,27
33,T34,T34,Kevin Sutherland,96,70.04,1751,25
34,T34,T34,Bob Tway,103,70.04,1611,23
35,36,36,John Riegger,88,70.07,1892,27
36,37,37,Justin Leonard,97,70.09,1612,23
37,38,38,Mike Weir,94,70.14,1964,28
38,39,39,Dan Forsman,83,70.16,1754,25
39,40,40,Rod Pampling,98,70.17,2035,29
40,41,41,Billy Andrade,100,70.2,2106,30
41,42,42,Olin Browne,107,70.21,2387,34
42,43,43,Pat Bates,94,70.22,1896,27
43,44,44,Ian Leggatt,97,70.24,1475,21
44,45,45,Frank Lickliter II,94,70.26,1897,27
45,46,46,Scott Verplank,93,70.27,1546,22
46,47,47,John Senden,96,70.29,1968,28
47,48,48,Fred Couples,64,70.32,1547,22
48,49,49,Michael Allen,76,70.35,1618,23
49,50,50,J.J. Henry,112,70.36,2533,36
50,51,51,Joe Durant,87,70.38,1478,21
51,T52,T52,Tim Clark,76,70.39,1619,23
52,T52,T52,Carlos Franco,107,70.39,1971,28
53,T54,T54,Chad Campbell,111,70.4,2112,30
54,T54,T54,Chris Riley,104,70.4,2112,30
55,56,56,Brent Geiberger,95,70.41,2746,39
56,57,57,K.J. Choi,93,70.42,1690,24
57,T58,T58,Stewart Cink,92,70.43,1479,21
58,T58,T58,Scott McCarron,106,70.43,1479,21
59,60,60,Mike Sposa,111,70.44,3029,43
60,61,61,Peter Lonard,93,70.49,2890,41
61,T62,T62,Bart Bryant,69,70.5,1551,22
62,T62,T62,Bryce Molder,65,70.5,1269,18
63,T62,T62,Steve Stricker,68,70.5,1551,22
64,T65,T65,Shaun Micheel,100,70.52,1622,23
65,T65,T65,Corey Pavin,78,70.52,1481,21
66,T67,T67,Bob Burns,99,70.53,2116,30
67,T67,T67,Michael Long,71,70.53,1199,17
68,T69,T69,Ben Crane,91,70.54,1693,24
69,T69,T69,Brian Gay,117,70.54,2751,39
70,T69,T69,J.L. Lewis,98,70.54,2610,37
71,72,72,Rich Beem,99,70.56,1905,27
72,73,73,Jonathan Byrd,96,70.57,1976,28
73,74,74,Shigeki Maruyama,87,70.58,1694,24
74,75,75,Craig Barlow,62,70.6,1059,15
75,76,76,Davis Love III,92,70.61,1624,23
76,T77,T77,Dicky Pride,51,70.63,1342,19
77,T77,T77,Boo Weekley,57,70.63,1130,16
78,79,79,Stephen Ames,89,70.64,1766,25
79,T80,T80,Steve Allan,93,70.66,2049,29
80,T80,T80,Kent Jones,105,70.66,2473,35
81,82,82,Harrison Frazar,88,70.67,1060,15
82,83,83,Tim Herron,102,70.68,1767,25
83,T84,T84,Mark Calcavecchia,84,70.71,1697,24
84,T84,T84,Brad Faxon,93,70.71,1980,28
85,T84,T84,Paul Gow,99,70.71,1697,24
86,T84,T84,Len Mattiace,106,70.71,2687,38
87,88,88,Kirk Triplett,84,70.72,1273,18
88,89,89,Andrew Magee,91,70.74,1627,23
89,90,90,Notah Begay III,76,70.75,1698,24
90,T91,T91,Bo Van Pelt,78,70.76,1769,25
91,T91,T91,Jay Williamson,91,70.76,1769,25
92,93,93,Pete Jordan,78,70.77,1557,22
93,94,94,Hidemichi Tanaka,104,70.78,1911,27
94,95,95,J.P. Hayes,78,70.8,1770,25
95,T96,T96,Tom Byrum,77,70.81,1912,27
96,T96,T96,Neal Lancaster,101,70.81,1912,27
97,98,98,Luke Donald,106,70.82,1558,22
98,T99,T99,Matt Peterson,80,70.83,2125,30
99,T99,T99,Esteban Toledo,106,70.83,1629,23
100,101,101,Dudley Hart,88,70.85,1842,26
101,102,102,Jeff Gove,89,70.86,1984,28
102,103,103,Tommy Armour III,82,70.87,2197,31
103,T104,T104,David Frost,90,70.88,1843,26
104,T104,T104,Skip Kendall,103,70.88,2410,34
105,T106,T106,John Cook,85,70.92,1844,26
106,T106,T106,Tom Lehman,78,70.92,1702,24
107,108,108,Rory Sabbatini,69,70.93,993,14
108,T109,T109,Craig Parry,69,70.94,1206,17
109,T109,T109,Paul Stankowski,100,70.94,2412,34
110,T111,T111,Glen Day,107,70.95,2696,38
111,T111,T111,Peter Jacobsen,67,70.95,1348,19
112,T111,T111,José María Olazábal,71,70.95,1490,21
113,114,114,Matt Kuchar,82,70.96,1774,25
114,115,115,Jay Don Blake,107,70.97,2058,29
115,T116,T116,Robin Freeman,79,71.0,1846,26
116,T116,T116,Dennis Paulson,89,71.0,1562,22
117,T116,T116,Duffy Waldorf,90,71.0,2059,29
118,119,119,Tom Pernice Jr.,101,71.04,1847,26
119,T120,T120,Stephen Gangluff,75,71.05,1421,20
120,T120,T120,Spike McRoy,69,71.05,1350,19
121,122,122,Tom Scherrer,98,71.06,2345,33
122,T123,T123,Per-Ulrik Johansson,87,71.07,1990,28
123,T123,T123,Jeff Sluman,118,71.07,2132,30
124,125,125,Phil Tataurangi,88,71.08,1848,26
125,126,126,"David Berganio, Jr.",80,71.12,1778,25
126,T127,T127,Jim Carter,98,71.13,2205,31
127,T127,T127,Mathew Goggin,64,71.13,1636,23
128,T129,T129,Steve Elkington,82,71.17,1708,24
129,T129,T129,Joey Sindelar,104,71.17,1708,24
130,131,131,David Morland IV,58,71.18,1210,17
131,T132,T132,Mark O'Meara,68,71.19,1139,16
132,T132,T132,Jesper Parnevik,85,71.19,1851,26
133,T134,T134,Billy Mayfair,99,71.2,2492,35
134,T134,T134,Frank Nobilo,94,71.2,2492,35
135,136,136,Geoff Ogilvy,90,71.21,2065,29
136,137,137,Greg Chalmers,94,71.26,2209,31
137,138,138,John Daly,62,71.27,1069,15
138,139,139,Tim Petrovic,92,71.29,1996,28
139,T140,T140,Jeff Maggert,83,71.3,1640,23
140,T140,T140,Kaname Yokoo,74,71.3,1426,20
141,142,142,Paul Claxton,83,71.31,1854,26
142,143,143,Paul Azinger,69,71.32,1569,22
143,T144,T144,Tripp Isenhour,68,71.33,1712,24
144,T144,T144,Greg Kraft,86,71.33,1926,27
145,146,146,Brandt Jobe,94,71.36,1784,25
146,T147,T147,Mark Brooks,97,71.38,2070,29
147,T147,T147,Edward Fryatt,94,71.38,1713,24
148,T147,T147,Chris Smith,103,71.38,1713,24
149,150,150,Robert Gamez,69,71.41,1214,17
150,151,151,Brian Henninger,66,71.43,1643,23
151,152,152,Jess Daley,76,71.47,2144,30
152,153,153,Michael Clark II,97,71.48,1644,23
153,154,154,Sergio Garcia,79,71.5,1001,14
154,155,155,Russ Cochran,68,71.52,1502,21
155,156,156,Steve Pate,64,71.55,1431,20
156,157,157,David Gossett,95,71.57,2004,28
157,T158,T158,Matt Gogel,79,71.58,1718,24
158,T158,T158,Steve Jones,71,71.58,1360,19
159,T160,T160,Woody Austin,102,71.66,2078,29
160,T160,T160,Lee Porter,91,71.66,2293,32
161,T162,T162,Brian Bateman,94,71.69,2294,32
162,T162,T162,Bernhard Langer,55,71.69,1147,16
163,T162,T162,Kenneth Staton,104,71.69,2294,32
164,165,165,Franklin Langham,72,71.71,1506,21
165,T166,T166,Jeff Brehaut,87,71.72,1793,25
166,T166,T166,Brandel Chamblee,85,71.72,2080,29
167,168,168,Grant Waite,98,71.74,2439,34
168,169,169,Blaine McCallister,75,71.85,1868,26
169,170,170,Miguel Angel Jiménez,60,71.88,1222,17
170,171,171,Scott Dunlap,74,71.89,1366,19
171,172,172,Scott Hoch,71,71.93,1079,15
172,T173,T173,Paul Goydos,66,71.95,1511,21
173,T173,T173,Bradley Hughes,60,71.95,1439,20
174,T173,T173,Heath Slocum,96,71.95,1583,22
175,T173,T173,Craig Stadler,72,71.95,1439,20
176,177,177,Brad Elder,76,71.96,1871,26
177,178,178,Joe Ogilvie,50,72.0,1224,17
178,179,179,José Coceres,51,72.07,1009,14
179,180,180,Brenden Pappas,62,72.09,1658,23
