,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,69,34.46,2343,68
1,2,2,Nick Price,69,34.58,2282,66
2,T3,T3,Justin Leonard,97,34.77,3268,94
3,T3,T3,Phil Mickelson,97,34.77,3268,94
4,T5,T5,Chris DiMarco,111,34.8,3689,106
5,T5,T5,Fred Funk,106,34.8,3689,106
6,7,7,Loren Roberts,93,34.85,3241,93
7,T8,T8,Chris Riley,104,34.86,3486,100
8,T8,T8,Bob Tway,103,34.86,3451,99
9,T10,T10,Kenny Perry,98,34.88,3314,95
10,T10,T10,Vijay Singh,102,34.88,3348,96
11,T10,T10,Scott Verplank,93,34.88,3174,91
12,13,13,John Rollins,124,34.89,4187,120
13,14,14,David Toms,106,34.9,3560,102
14,15,15,John Huston,99,34.91,3351,96
15,16,16,Cameron Beckman,87,34.92,2968,85
16,T17,T17,Pat Bates,94,35.01,3186,91
17,T17,T17,Dudley Hart,88,35.01,2941,84
18,19,19,Davis Love III,92,35.05,3049,87
19,T20,T20,Jonathan Byrd,96,35.06,3296,94
20,T20,T20,Dan Forsman,83,35.06,2840,81
21,T20,T20,Charles Howell III,118,35.06,3927,112
22,T23,T23,Glen Hnatiuk,95,35.08,3262,93
23,T23,T23,Peter Lonard,93,35.08,3262,93
24,T25,T25,Rich Beem,99,35.09,3334,95
25,T25,T25,David Duval,78,35.09,2632,75
26,T27,T27,Fred Couples,64,35.1,2106,60
27,T27,T27,Joel Edwards,101,35.1,3545,101
28,T27,T27,Len Mattiace,106,35.1,3721,106
29,T27,T27,Mike Weir,94,35.1,3229,92
30,T31,T31,Olin Browne,107,35.11,3651,104
31,T31,T31,K.J. Choi,93,35.11,3125,89
32,T31,T31,Glen Day,107,35.11,3616,103
33,T31,T31,Steve Flesch,110,35.11,3687,105
34,T35,T35,Brent Geiberger,95,35.12,3231,92
35,T35,T35,Steve Pate,64,35.12,2107,60
36,37,37,Kirk Triplett,84,35.14,2776,79
37,T38,T38,Bart Bryant,69,35.15,2320,66
38,T38,T38,Bob Burns,99,35.15,3374,96
39,T40,T40,David Peoples,105,35.16,3692,105
40,T40,T40,John Riegger,88,35.16,3024,86
41,T42,T42,Ben Crane,91,35.17,3130,89
42,T42,T42,Bob Estes,93,35.17,3060,87
43,T42,T42,Donnie Hammond,60,35.17,2110,60
44,T45,T45,Jim Furyk,88,35.18,2990,85
45,T45,T45,Brandt Jobe,94,35.18,3307,94
46,T45,T45,Steve Lowery,98,35.18,3237,92
47,48,48,Sergio Garcia,79,35.19,2534,72
48,49,49,Jeff Sluman,118,35.21,4119,117
49,50,50,Scott McCarron,106,35.22,3452,98
50,T51,T51,Tim Herron,102,35.23,3488,99
51,T51,T51,Jerry Kelly,99,35.23,3453,98
52,T53,T53,"David Berganio, Jr.",80,35.25,2785,79
53,T53,T53,Shigeki Maruyama,87,35.25,3067,87
54,T53,T53,Esteban Toledo,106,35.25,3596,102
55,T56,T56,Skip Kendall,103,35.26,3561,101
56,T56,T56,Bob May,91,35.26,3138,89
57,58,58,Ernie Els,68,35.27,2187,62
58,T59,T59,Robert Allenby,96,35.28,3352,95
59,T59,T59,Notah Begay III,76,35.28,2611,74
60,T59,T59,Retief Goosen,56,35.28,1905,54
61,T59,T59,Chris Smith,103,35.28,3528,100
62,63,63,Geoff Ogilvy,90,35.3,3036,86
63,64,64,Carlos Franco,107,35.31,3708,105
64,T65,T65,Stuart Appleby,97,35.33,3321,94
65,T65,T65,Peter Jacobsen,67,35.33,2367,67
66,T65,T65,Shaun Micheel,100,35.33,3427,97
67,T65,T65,Bryce Molder,65,35.33,2226,63
68,T65,T65,Tom Pernice Jr.,101,35.33,3498,99
69,T70,T70,Chad Campbell,111,35.34,3852,109
70,T70,T70,J.P. Hayes,78,35.34,2686,76
71,T70,T70,John Senden,96,35.34,3287,93
72,T73,T73,Billy Andrade,100,35.35,3394,96
73,T73,T73,Bernhard Langer,55,35.35,1909,54
74,T75,T75,Rocco Mediate,79,35.36,2652,75
75,T75,T75,Frank Nobilo,94,35.36,3324,94
76,T75,T75,Duffy Waldorf,90,35.36,3076,87
77,T78,T78,Brian Gay,117,35.37,4067,115
78,T78,T78,Hidemichi Tanaka,104,35.37,3608,102
79,T80,T80,Steve Elkington,82,35.38,2795,79
80,T80,T80,Matt Kuchar,82,35.38,2901,82
81,T80,T80,Rod Pampling,98,35.38,3326,94
82,T83,T83,Mathew Goggin,64,35.39,2265,64
83,T83,T83,Jay Haas,83,35.39,2796,79
84,T83,T83,Neal Lancaster,101,35.39,3574,101
85,T86,T86,Tom Byrum,77,35.4,2726,77
86,T86,T86,Luke Donald,106,35.4,3682,104
87,T86,T86,Tripp Isenhour,68,35.4,2407,68
88,89,89,Brian Henninger,66,35.41,2337,66
89,90,90,Brandel Chamblee,85,35.43,2976,84
90,T91,T91,Jay Don Blake,107,35.44,3721,105
91,T91,T91,David Gossett,95,35.44,3296,93
92,T91,T91,Lee Janzen,101,35.44,3402,96
93,T91,T91,Per-Ulrik Johansson,87,35.44,3083,87
94,T91,T91,Ian Leggatt,97,35.44,3296,93
95,T91,T91,J.L. Lewis,98,35.44,3473,98
96,T91,T91,Joey Sindelar,104,35.44,3615,102
97,T98,T98,Frank Lickliter II,94,35.45,3155,89
98,T98,T98,Matt Peterson,80,35.45,2836,80
99,100,100,Briny Baird,110,35.46,3830,108
100,101,101,Corey Pavin,78,35.47,2696,76
101,T102,T102,Scott Hoch,71,35.5,2485,70
102,T102,T102,Kevin Sutherland,96,35.5,3195,90
103,T104,T104,Stephen Ames,89,35.51,3089,87
104,T104,T104,Greg Chalmers,94,35.51,3231,91
105,T104,T104,Stewart Cink,92,35.51,3125,88
106,T104,T104,Joe Durant,87,35.51,3054,86
107,T108,T108,Robert Gamez,69,35.52,2451,69
108,T108,T108,Stephen Gangluff,75,35.52,2664,75
109,T110,T110,Brad Faxon,93,35.53,3020,85
110,T110,T110,Craig Stadler,72,35.53,2416,68
111,T112,T112,Phil Tataurangi,88,35.54,2985,84
112,T112,T112,Kaname Yokoo,74,35.54,2559,72
113,T114,T114,Steve Allan,93,35.55,3235,91
114,T114,T114,Jay Williamson,91,35.55,3235,91
115,T116,T116,Jeff Gove,89,35.56,3165,89
116,T116,T116,Jonathan Kaye,83,35.56,2880,81
117,T118,T118,Andrew Magee,91,35.57,3130,88
118,T118,T118,Tim Petrovic,92,35.57,3166,89
119,120,120,Kenneth Staton,104,35.58,3629,102
120,T121,T121,Lee Porter,91,35.59,3132,88
121,T121,T121,Dicky Pride,51,35.59,1815,51
122,T121,T121,Steve Stricker,68,35.59,2242,63
123,124,124,Paul Gow,99,35.6,3418,96
124,125,125,Jim Carter,98,35.61,3490,98
125,T126,T126,John Cook,85,35.62,2921,82
126,T126,T126,Miguel Angel Jiménez,60,35.62,2066,58
127,128,128,Kent Jones,105,35.63,3670,103
128,T129,T129,Mark Calcavecchia,84,35.65,2816,79
129,T129,T129,Billy Mayfair,99,35.65,3351,94
130,T129,T129,Brett Quigley,93,35.65,3280,92
131,T132,T132,Brad Elder,76,35.66,2639,74
132,T132,T132,Spike McRoy,69,35.66,2389,67
133,T132,T132,Heath Slocum,96,35.66,3281,92
134,T135,T135,Jess Daley,76,35.67,2711,76
135,T135,T135,Harrison Frazar,88,35.67,3139,88
136,T135,T135,Pat Perez,89,35.67,3103,87
137,T138,T138,Brian Bateman,94,35.68,3247,91
138,T138,T138,Michael Clark II,97,35.68,3390,95
139,T138,T138,Matt Gogel,79,35.68,2712,76
140,141,141,J.J. Henry,112,35.69,3854,108
141,T142,T142,Paul Goydos,66,35.7,2356,66
142,T142,T142,Dennis Paulson,89,35.7,3106,87
143,T144,T144,Craig Perks,91,35.71,3107,87
144,T144,T144,Paul Stankowski,100,35.71,3500,98
145,T146,T146,David Morland IV,58,35.72,2072,58
146,T146,T146,Rory Sabbatini,69,35.72,2286,64
147,T146,T146,Tommy Tolles,64,35.72,2286,64
148,T149,T149,Mark Brooks,97,35.73,3323,93
149,T149,T149,Paul Claxton,83,35.73,2966,83
150,T149,T149,Russ Cochran,68,35.73,2394,67
151,T149,T149,Mike Sposa,111,35.73,3895,109
152,T153,T153,Jeff Brehaut,87,35.75,3110,87
153,T153,T153,Mike Hulbert,55,35.75,1895,53
154,T153,T153,José María Olazábal,71,35.75,2288,64
155,T153,T153,Jesper Parnevik,85,35.75,3003,84
156,T157,T157,Robin Freeman,79,35.76,2682,75
157,T157,T157,Steve Jones,71,35.76,2432,68
158,T159,T159,Tim Clark,76,35.77,2611,73
159,T159,T159,Tom Lehman,78,35.77,2504,70
160,T159,T159,Craig Parry,69,35.77,2468,69
161,162,162,Blaine McCallister,75,35.79,2684,75
162,163,163,Mark O'Meara,68,35.8,2363,66
163,164,164,Woody Austin,102,35.82,3546,99
164,165,165,Bo Van Pelt,78,35.83,2795,78
165,166,166,Grant Waite,98,35.84,3441,96
166,T167,T167,Bradley Hughes,60,35.85,2151,60
167,T167,T167,Greg Kraft,86,35.85,3011,84
168,T169,T169,David Frost,90,35.86,3227,90
169,T169,T169,Michael Long,71,35.86,2546,71
170,T169,T169,Joe Ogilvie,50,35.86,1793,50
171,T172,T172,John Daly,62,35.87,2188,61
172,T172,T172,Jeff Maggert,83,35.87,2977,83
173,174,174,Carl Paulson,84,35.88,2942,82
174,175,175,Craig Barlow,62,35.9,2082,58
175,176,176,Deane Pappas,90,35.95,3164,88
176,177,177,Michael Muehr,73,35.96,2553,71
177,178,178,Edward Fryatt,94,35.97,3309,92
178,179,179,Tom Scherrer,98,35.98,3418,95
179,180,180,Brett Wetterich,89,35.99,3131,87
180,T181,T181,Tommy Armour III,82,36.01,2917,81
181,T181,T181,Robert Damron,85,36.01,2953,82
182,T183,T183,Paul Azinger,69,36.03,2270,63
183,T183,T183,Jerry Smith,91,36.03,3135,87
184,T185,T185,Eduardo Herrera,59,36.05,2127,59
185,T185,T185,Jason Hill,59,36.05,2127,59
186,T187,T187,Brian Watts,58,36.09,1949,54
187,T187,T187,Boo Weekley,57,36.09,2057,57
188,T189,T189,Bob Heintz,68,36.1,2455,68
189,T189,T189,Scott Simpson,61,36.1,2202,61
190,T189,T189,Garrett Willis,80,36.1,2816,78
191,192,192,Franklin Langham,72,36.19,2497,69
192,193,193,Richard Zokol,53,36.22,1847,51
193,194,194,Hal Sutton,74,36.23,2645,73
194,195,195,Michael Allen,76,36.24,2682,74
195,196,196,Pete Jordan,78,36.26,2828,78
196,T197,T197,Fulton Allem,64,36.27,2321,64
