,Late_Par_5_Scoring_Average_RANK THIS WEEK,Late_Par_5_Scoring_Average_RANK LAST WEEK,Late_Par_5_Scoring_Average_PLAYER NAME,Late_Par_5_Scoring_Average_ROUNDS,Late_Par_5_Scoring_Average_AVG,Late_Par_5_Scoring_Average_TOTAL STROKES,Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,69,4.34,525,121
1,2,2,David Toms,106,4.43,873,197
2,3,3,Sergio Garcia,79,4.44,466,105
3,T4,T4,Jonathan Byrd,96,4.47,768,172
4,T4,T4,Scott McCarron,106,4.47,751,168
5,6,6,Charles Howell III,118,4.49,776,173
6,7,7,Vijay Singh,102,4.5,837,186
7,8,8,John Daly,62,4.51,415,92
8,9,9,Peter Lonard,93,4.52,511,113
9,T10,T10,Retief Goosen,56,4.53,417,92
10,T10,T10,Rocco Mediate,79,4.53,571,126
11,T10,T10,Phil Mickelson,97,4.53,797,176
12,T10,T10,Kenny Perry,98,4.53,698,154
13,T14,T14,Ernie Els,68,4.54,404,89
14,T14,T14,Dan Forsman,83,4.54,744,164
15,T14,T14,Bob May,91,4.54,658,145
16,T14,T14,Craig Stadler,72,4.54,509,112
17,T14,T14,Steve Stricker,68,4.54,413,91
18,T19,T19,Stuart Appleby,97,4.55,719,158
19,T19,T19,Jonathan Kaye,83,4.55,578,127
20,T19,T19,Justin Leonard,97,4.55,723,159
21,T22,T22,Brandt Jobe,94,4.56,784,172
22,T22,T22,Davis Love III,92,4.56,584,128
23,T22,T22,Len Mattiace,106,4.56,739,162
24,T22,T22,Bob Tway,103,4.56,839,184
25,T26,T26,Notah Begay III,76,4.57,558,122
26,T26,T26,Chris DiMarco,111,4.57,868,190
27,T26,T26,John Huston,99,4.57,695,152
28,T26,T26,Jerry Kelly,99,4.57,782,171
29,T26,T26,John Senden,96,4.57,677,148
30,T26,T26,Chris Smith,103,4.57,759,166
31,T26,T26,Duffy Waldorf,90,4.57,613,134
32,T33,T33,Fred Couples,64,4.58,389,85
33,T33,T33,Fred Funk,106,4.58,802,175
34,T33,T33,David Peoples,105,4.58,857,187
35,T36,T36,Ben Crane,91,4.59,766,167
36,T36,T36,Steve Flesch,110,4.59,927,202
37,T36,T36,Tim Herron,102,4.59,698,152
38,T36,T36,Ian Leggatt,97,4.59,794,173
39,T36,T36,Bryce Molder,65,4.59,523,114
40,T41,T41,Briny Baird,110,4.6,782,170
41,T41,T41,Cameron Beckman,87,4.6,718,156
42,T41,T41,John Cook,85,4.6,575,125
43,T41,T41,Robert Damron,85,4.6,616,134
44,T41,T41,David Duval,78,4.6,566,123
45,T41,T41,Lee Janzen,101,4.6,772,168
46,T41,T41,Shaun Micheel,100,4.6,878,191
47,T41,T41,José María Olazábal,71,4.6,377,82
48,T41,T41,Nick Price,69,4.6,474,103
49,T41,T41,Scott Verplank,93,4.6,731,159
50,T51,T51,Robert Allenby,96,4.61,645,140
51,T51,T51,Joel Edwards,101,4.61,751,163
52,T51,T51,Brad Faxon,93,4.61,526,114
53,T51,T51,Carlos Franco,107,4.61,793,172
54,T51,T51,Dudley Hart,88,4.61,641,139
55,T51,T51,Rod Pampling,98,4.61,807,175
56,T51,T51,Rory Sabbatini,69,4.61,530,115
57,T51,T51,Jeff Sluman,118,4.61,973,211
58,T51,T51,Phil Tataurangi,88,4.61,618,134
59,T60,T60,Brad Elder,76,4.62,536,116
60,T60,T60,Jason Hill,59,4.62,457,99
61,T60,T60,Steve Lowery,98,4.62,689,149
62,T60,T60,Shigeki Maruyama,87,4.62,578,125
63,T60,T60,Carl Paulson,84,4.62,614,133
64,T60,T60,Pat Perez,89,4.62,716,155
65,T66,T66,Michael Allen,76,4.63,570,123
66,T66,T66,Billy Andrade,100,4.63,745,161
