,Par_5_Eagle_Leaders_RANK THIS WEEK,Par_5_Eagle_Leaders_RANK LAST WEEK,Par_5_Eagle_Leaders_PLAYER NAME,Par_5_Eagle_Leaders_ROUNDS,Par_5_Eagle_Leaders_TOTAL,Par_5_Eagle_Leaders_TOTAL PAR 5 HOLES,Par_5_Eagle_Leaders_TOTAL HOLE OUTS
0,T1,T1,Jonathan Byrd,96,15,328,1.0
1,T1,T1,J.J. Henry,112,15,369,1.0
2,T1,T1,David Toms,106,15,351,1.0
3,T4,T4,John Daly,62,14,215,1.0
4,T4,T4,Peter Lonard,93,14,312,3.0
5,T4,T4,Scott McCarron,106,14,336,
6,T4,T4,Bob Tway,103,14,344,1.0
7,T8,T8,Charles Howell III,118,13,378,2.0
8,T8,T8,Phil Mickelson,97,13,319,2.0
9,T8,T8,John Senden,96,13,324,2.0
10,T11,T11,Robert Allenby,96,12,317,
11,T11,T11,Ben Crane,91,12,316,2.0
12,T11,T11,Sergio Garcia,79,12,228,4.0
13,T11,T11,Bob May,91,12,314,2.0
14,T11,T11,Vijay Singh,102,12,329,1.0
15,T11,T11,Paul Stankowski,100,12,339,3.0
16,17,17,John Rollins,124,11,422,
17,T18,T18,David Duval,78,10,264,1.0
18,T18,T18,Edward Fryatt,94,10,321,1.0
19,T18,T18,Tim Herron,102,10,334,1.0
20,T18,T18,Per-Ulrik Johansson,87,10,301,1.0
21,T18,T18,Ian Leggatt,97,10,324,2.0
22,T18,T18,Carl Paulson,84,10,284,1.0
23,T18,T18,David Peoples,105,10,371,1.0
24,T25,T25,Stuart Appleby,97,9,331,3.0
25,T25,T25,Rich Beem,99,9,324,
26,T25,T25,Greg Chalmers,94,9,324,4.0
27,T25,T25,Brad Elder,76,9,250,4.0
28,T25,T25,Paul Gow,99,9,326,2.0
29,T25,T25,John Huston,99,9,331,1.0
30,T25,T25,Brandt Jobe,94,9,330,1.0
31,T25,T25,Rocco Mediate,79,9,267,
32,T25,T25,Craig Perks,91,9,310,1.0
33,T25,T25,Chris Smith,103,9,347,1.0
34,T25,T25,Kenneth Staton,104,9,359,1.0
35,T25,T25,Mike Weir,94,9,332,
36,T25,T25,Brett Wetterich,89,9,308,2.0
37,T38,T38,Stephen Ames,89,8,301,3.0
38,T38,T38,Brian Bateman,94,8,316,
39,T38,T38,Steve Elkington,82,8,266,2.0
40,T38,T38,Robert Gamez,69,8,238,1.0
41,T38,T38,Dudley Hart,88,8,282,1.0
42,T38,T38,Lee Janzen,101,8,345,
43,T38,T38,Justin Leonard,97,8,319,2.0
44,T38,T38,Steve Lowery,98,8,315,3.0
45,T38,T38,Geoff Ogilvy,90,8,311,2.0
46,T38,T38,Jesper Parnevik,85,8,287,
47,T38,T38,Tim Petrovic,92,8,310,2.0
48,T38,T38,Rory Sabbatini,69,8,220,1.0
49,T38,T38,Bo Van Pelt,78,8,276,1.0
50,T51,T51,Steve Allan,93,7,318,1.0
51,T51,T51,Michael Allen,76,7,259,1.0
52,T51,T51,Jay Don Blake,107,7,360,2.0
53,T51,T51,Mark Calcavecchia,84,7,274,2.0
54,T51,T51,Jim Carter,98,7,330,
55,T51,T51,K.J. Choi,93,7,305,2.0
56,T51,T51,Chris DiMarco,111,7,357,1.0
57,T51,T51,Carlos Franco,107,7,386,
58,T51,T51,Retief Goosen,56,7,192,1.0
59,T51,T51,Steve Jones,71,7,233,
60,T51,T51,Davis Love III,92,7,285,2.0
