,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,T1,T1,Jonathan Byrd,96,17.0
1,T1,T1,J.J. Henry,112,17.0
2,T1,T1,David Toms,106,17.0
3,4,4,Phil Mickelson,97,16.0
4,T5,T5,Charles Howell III,118,15.0
5,T5,T5,Bob May,91,15.0
6,T5,T5,Scott McCarron,106,15.0
7,T5,T5,Bob Tway,103,15.0
8,T9,T9,Robert Allenby,96,14.0
9,T9,T9,John Daly,62,14.0
10,T9,T9,Peter Lonard,93,14.0
11,T12,T12,Brad Elder,76,13.0
12,T12,T12,John Rollins,124,13.0
13,T12,T12,John Senden,96,13.0
14,T15,T15,Greg Chalmers,94,12.0
15,T15,T15,Ben Crane,91,12.0
16,T15,T15,Sergio Garcia,79,12.0
17,T15,T15,Vijay Singh,102,12.0
18,T15,T15,Paul Stankowski,100,12.0
19,T20,T20,Stuart Appleby,97,11.0
20,T20,T20,David Duval,78,11.0
21,T20,T20,Per-Ulrik Johansson,87,11.0
22,T20,T20,Jesper Parnevik,85,11.0
23,T20,T20,David Peoples,105,11.0
24,T25,T25,Steve Allan,93,10.0
25,T25,T25,Rich Beem,99,10.0
26,T25,T25,Carlos Franco,107,10.0
27,T25,T25,Edward Fryatt,94,10.0
28,T25,T25,Paul Gow,99,10.0
29,T25,T25,Tim Herron,102,10.0
30,T25,T25,John Huston,99,10.0
31,T25,T25,Lee Janzen,101,10.0
32,T25,T25,Brandt Jobe,94,10.0
33,T25,T25,Ian Leggatt,97,10.0
34,T25,T25,Davis Love III,92,10.0
35,T25,T25,Shigeki Maruyama,87,10.0
36,T25,T25,Rocco Mediate,79,10.0
37,T25,T25,Carl Paulson,84,10.0
38,T25,T25,Craig Perks,91,10.0
39,T25,T25,Kenneth Staton,104,10.0
40,T41,T41,Brian Bateman,94,9.0
41,T41,T41,Cameron Beckman,87,9.0
42,T41,T41,Steve Elkington,82,9.0
43,T41,T41,Steve Flesch,110,9.0
44,T41,T41,Dudley Hart,88,9.0
45,T41,T41,Shaun Micheel,100,9.0
46,T41,T41,Tim Petrovic,92,9.0
47,T41,T41,Rory Sabbatini,69,9.0
48,T41,T41,Chris Smith,103,9.0
49,T41,T41,Tommy Tolles,64,9.0
50,T41,T41,Bo Van Pelt,78,9.0
51,T41,T41,Mike Weir,94,9.0
52,T41,T41,Brett Wetterich,89,9.0
53,T54,T54,Stephen Ames,89,8.0
54,T54,T54,Jay Don Blake,107,8.0
55,T54,T54,Mark Calcavecchia,84,8.0
56,T54,T54,Robert Gamez,69,8.0
57,T54,T54,Retief Goosen,56,8.0
58,T54,T54,Steve Jones,71,8.0
59,T54,T54,Justin Leonard,97,8.0
60,T54,T54,J.L. Lewis,98,8.0
61,T54,T54,Steve Lowery,98,8.0
62,T54,T54,Andrew Magee,91,8.0
63,T54,T54,Geoff Ogilvy,90,8.0
64,T54,T54,Dennis Paulson,89,8.0
65,T54,T54,Pat Perez,89,8.0
66,T54,T54,Brett Quigley,93,8.0
67,T54,T54,Craig Stadler,72,8.0
68,T54,T54,Jay Williamson,91,8.0
69,T54,T54,Kaname Yokoo,74,8.0
70,T71,T71,Michael Allen,76,7.0
71,T71,T71,"David Berganio, Jr.",80,7.0
72,T71,T71,Chad Campbell,111,7.0
73,T71,T71,Jim Carter,98,7.0
74,T71,T71,K.J. Choi,93,7.0
75,T71,T71,Fred Couples,64,7.0
76,T71,T71,Chris DiMarco,111,7.0
77,T71,T71,Joel Edwards,101,7.0
78,T71,T71,David Gossett,95,7.0
79,T71,T71,Jay Haas,83,7.0
80,T71,T71,Jerry Kelly,99,7.0
81,T71,T71,Neal Lancaster,101,7.0
82,T71,T71,Brenden Pappas,62,7.0
83,T71,T71,Tom Pernice Jr.,101,7.0
84,T71,T71,Joey Sindelar,104,7.0
85,T71,T71,Jeff Sluman,118,7.0
86,T71,T71,Phil Tataurangi,88,7.0
87,T71,T71,Scott Verplank,93,7.0
88,T71,T71,Grant Waite,98,7.0
89,T90,T90,Billy Andrade,100,6.0
90,T90,T90,Notah Begay III,76,6.0
91,T90,T90,Jeff Brehaut,87,6.0
92,T90,T90,Stewart Cink,92,6.0
93,T90,T90,Ernie Els,68,6.0
94,T90,T90,Bob Estes,93,6.0
95,T90,T90,Dan Forsman,83,6.0
96,T90,T90,Harrison Frazar,88,6.0
97,T90,T90,Robin Freeman,79,6.0
98,T90,T90,Fred Funk,106,6.0
99,T90,T90,Brian Gay,117,6.0
100,T90,T90,Brent Geiberger,95,6.0
101,T90,T90,Eduardo Herrera,59,6.0
102,T90,T90,Glen Hnatiuk,95,6.0
103,T90,T90,Jonathan Kaye,83,6.0
104,T90,T90,Billy Mayfair,99,6.0
105,T90,T90,Mark O'Meara,68,6.0
106,T90,T90,Joe Ogilvie,50,6.0
107,T90,T90,Deane Pappas,90,6.0
108,T90,T90,Kenny Perry,98,6.0
109,T90,T90,Nick Price,69,6.0
110,T90,T90,Boo Weekley,57,6.0
111,T90,T90,Garrett Willis,80,6.0
112,T90,T90,Tiger Woods,69,6.0
113,T114,T114,Tommy Armour III,82,5.0
114,T114,T114,Briny Baird,110,5.0
115,T114,T114,Mark Brooks,97,5.0
116,T114,T114,Bart Bryant,69,5.0
117,T114,T114,Michael Clark II,97,5.0
118,T114,T114,Jess Daley,76,5.0
119,T114,T114,Robert Damron,85,5.0
120,T114,T114,Luke Donald,106,5.0
121,T114,T114,Joe Durant,87,5.0
122,T114,T114,Brad Faxon,93,5.0
123,T114,T114,Bob Heintz,68,5.0
124,T114,T114,Jason Hill,59,5.0
125,T114,T114,Tripp Isenhour,68,5.0
126,T114,T114,Miguel Angel Jiménez,60,5.0
127,T114,T114,Kent Jones,105,5.0
128,T114,T114,Greg Kraft,86,5.0
129,T114,T114,Matt Kuchar,82,5.0
130,T114,T114,Frank Lickliter II,94,5.0
131,T114,T114,Len Mattiace,106,5.0
132,T114,T114,Frank Nobilo,94,5.0
133,T114,T114,Matt Peterson,80,5.0
134,T114,T114,Chris Riley,104,5.0
135,T114,T114,Tom Scherrer,98,5.0
136,T114,T114,Mike Sposa,111,5.0
137,T114,T114,Steve Stricker,68,5.0
138,T114,T114,Kevin Sutherland,96,5.0
139,T114,T114,Duffy Waldorf,90,5.0
140,T141,T141,Woody Austin,102,4.0
141,T141,T141,Olin Browne,107,4.0
142,T141,T141,Tom Byrum,77,4.0
143,T141,T141,Brandel Chamblee,85,4.0
144,T141,T141,Tim Clark,76,4.0
145,T141,T141,José Coceres,51,4.0
146,T141,T141,John Cook,85,4.0
147,T141,T141,Scott Dunlap,74,4.0
148,T141,T141,Mathew Goggin,64,4.0
