,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Stuart Appleby,90,62.12,82,132,27.0
1,2,2,Arron Oberholser,80,60.16,74,123,26.0
2,3,3,Kevin Sutherland,97,60.14,86,143,28.0
3,4,4,Jay Williamson,93,60.0,93,155,39.0
4,5,5,Jay Haas,89,59.54,78,131,27.0
5,6,6,Justin Leonard,80,59.06,75,127,24.0
6,7,7,Geoff Ogilvy,86,58.82,80,136,41.0
7,8,8,Vijay Singh,106,58.58,99,169,17.0
8,9,9,Gavin Coles,69,58.26,67,115,44.0
9,10,10,Scott Verplank,97,58.17,89,153,46.0
10,11,11,Jeff Sluman,106,57.89,77,133,29.0
11,12,12,Tiger Woods,74,57.73,56,97,8.0
12,13,13,Doug Barron,90,57.64,83,144,42.0
13,14,14,Paul Stankowski,67,57.29,55,96,14.0
14,15,15,Robert Allenby,87,57.27,63,110,29.0
15,16,16,John Huston,76,56.93,78,137,42.0
16,17,17,Deane Pappas,75,56.76,63,111,32.0
17,18,18,John Maginnes,87,56.64,81,143,56.0
18,19,19,Carl Pettersson,80,56.45,70,124,30.0
19,T20,T20,Steven Alker,87,56.43,79,140,54.0
20,T20,T20,Rod Pampling,87,56.43,79,140,28.0
21,22,22,Kirk Triplett,92,56.05,88,157,45.0
22,23,23,Dudley Hart,66,56.03,65,116,39.0
23,24,24,Tim Herron,102,55.7,83,149,45.0
24,25,25,Kenny Perry,98,55.56,75,135,22.0
25,26,26,Dan Forsman,98,55.26,63,114,34.0
26,27,27,Greg Chalmers,98,55.1,108,196,70.0
27,28,28,Anthony Painter,87,55.09,92,167,46.0
28,29,29,Nick Price,65,55.05,60,109,39.0
29,30,30,Stewart Cink,104,55.0,88,160,61.0
30,31,31,Lee Janzen,83,54.92,67,122,33.0
31,32,32,David Frost,80,54.89,73,133,43.0
32,33,33,Chris DiMarco,98,54.73,81,148,48.0
33,34,34,Phil Mickelson,87,54.68,76,139,40.0
34,35,35,John Daly,56,54.64,53,97,28.0
35,36,36,Mark Calcavecchia,84,54.62,71,130,33.0
36,37,37,Matt Gogel,77,54.55,72,132,42.0
37,38,38,Hidemichi Tanaka,112,54.49,85,156,41.0
38,39,39,Jim Carter,95,54.11,79,146,48.0
39,40,40,Steve Flesch,110,53.99,88,163,46.0
40,41,41,Jerry Kelly,108,53.9,83,154,46.0
41,42,42,John Senden,111,53.67,95,177,31.0
42,43,43,David Toms,90,53.49,69,129,26.0
