,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Len Mattiace,94,75.98,136,179
1,2,2,Andrew Magee,91,75.0,129,172
2,3,3,Jay Haas,89,74.25,124,167
3,4,4,Bernhard Langer,65,74.19,92,124
4,5,5,Steve Stricker,59,73.57,103,140
5,6,6,Nick Price,65,72.65,85,117
6,7,7,Chris Riley,96,72.49,137,189
7,8,8,Fred Couples,71,72.34,68,94
8,9,9,Steven Alker,87,72.07,129,179
9,10,10,Justin Leonard,80,71.81,107,149
10,11,11,Arron Oberholser,80,70.97,132,186
11,12,12,Vijay Singh,106,70.91,117,165
12,13,13,Brett Quigley,92,70.62,125,177
13,14,14,Kirk Triplett,92,70.44,112,159
14,15,15,K.J. Choi,112,70.41,119,169
15,16,16,J.P. Hayes,79,70.0,105,150
16,17,17,Dudley Hart,66,69.92,93,133
17,18,18,Matt Gogel,77,69.75,113,162
18,19,19,Richard Johnson,89,69.46,141,203
19,20,20,David Peoples,96,68.88,135,196
20,21,21,Robert Allenby,87,68.64,81,118
21,22,22,Tom Pernice Jr.,105,68.37,147,215
22,23,23,Mike Sposa,72,68.26,114,167
23,T24,T24,Stuart Appleby,90,68.18,105,154
24,T24,T24,Hank Kuehne,73,68.18,90,132
25,26,26,Glen Day,103,68.14,139,204
26,27,27,David Toms,90,68.12,94,138
27,28,28,Kevin Sutherland,97,68.07,113,166
28,T29,T29,Skip Kendall,110,68.04,149,219
29,T29,T29,John Riegger,55,68.04,66,97
30,31,31,Jeff Brehaut,110,67.92,144,212
31,32,32,Ben Crane,94,67.89,129,190
32,T33,T33,Alex Cejka,98,67.88,112,165
33,T33,T33,David Frost,80,67.88,131,193
34,T35,T35,Jerry Kelly,108,67.74,126,186
35,T35,T35,Rod Pampling,87,67.74,105,155
36,37,37,Darren Clarke,61,67.68,67,99
37,38,38,Brian Gay,100,67.58,148,219
38,39,39,Tom Byrum,97,67.45,143,212
39,T40,T40,Jim Furyk,104,67.28,109,162
40,T40,T40,Garrett Willis,97,67.28,146,217
41,42,42,Rory Sabbatini,95,67.23,119,177
42,43,43,Brandt Jobe,77,67.19,86,128
43,44,44,Charles Howell III,120,67.17,133,198
44,45,45,Notah Begay III,92,67.16,137,204
45,46,46,Brent Geiberger,51,66.94,81,121
46,47,47,Hal Sutton,81,66.91,91,136
47,T48,T48,Peter Lonard,96,66.86,117,175
48,T48,T48,Deane Pappas,75,66.86,113,169
49,50,50,Stewart Cink,104,66.5,135,203
50,51,51,Olin Browne,113,66.35,140,211
51,52,52,Jeff Sluman,106,66.32,128,193
52,53,53,Scott McCarron,86,66.18,90,136
53,54,54,Paul Goydos,86,66.1,117,177
54,55,55,Tim Petrovic,108,66.02,136,206
55,56,56,Bob Estes,92,66.0,99,150
56,57,57,Pat Bates,111,65.92,147,223
57,58,58,Hidemichi Tanaka,112,65.78,148,225
58,59,59,Kent Jones,74,65.75,96,146
59,60,60,Doug Barron,90,65.67,132,201
60,61,61,Darron Stiles,93,65.64,128,195
61,62,62,Fred Funk,112,65.63,147,224
62,63,63,Greg Chalmers,98,65.55,156,238
63,64,64,Chris DiMarco,98,65.54,97,148
64,65,65,Brad Faxon,97,65.5,112,171
65,66,66,Mark Calcavecchia,84,65.45,108,165
66,67,67,Lee Janzen,83,65.44,89,136
67,68,68,Robert Damron,96,65.4,138,211
68,69,69,Brian Bateman,70,65.38,85,130
69,70,70,Stephen Ames,91,65.1,125,192
70,71,71,Dicky Pride,73,65.07,95,146
71,72,72,Tim Herron,102,65.05,121,186
72,73,73,Per-Ulrik Johansson,96,64.95,126,194
73,74,74,Billy Andrade,100,64.89,146,225
74,75,75,Neal Lancaster,110,64.84,142,219
75,76,76,Matt Kuchar,63,64.79,92,142
76,77,77,Aaron Baddeley,71,64.67,97,150
77,78,78,Glen Hnatiuk,92,64.65,128,198
78,T79,T79,Peter Jacobsen,75,64.63,95,147
79,T79,T79,Jay Williamson,93,64.63,148,229
80,81,81,Steve Flesch,110,64.62,137,212
81,82,82,Carl Pettersson,80,64.6,104,161
82,83,83,Dan Forsman,98,64.37,112,174
83,84,84,Billy Mayfair,105,64.25,124,193
84,85,85,Dean Wilson,82,64.24,106,165
85,86,86,Paul Stankowski,67,64.23,79,123
86,87,87,Scott Laycock,71,64.19,95,148
87,88,88,Shigeki Maruyama,87,64.1,100,156
88,89,89,Mathew Goggin,90,63.86,106,166
89,90,90,Corey Pavin,88,63.81,134,210
90,91,91,John Rollins,89,63.76,95,149
91,92,92,"Dave Stockton, Jr.",79,63.69,107,168
92,93,93,Kenichi Kuboya,91,63.64,126,198
93,94,94,Donnie Hammond,92,63.59,124,195
94,95,95,Retief Goosen,69,63.53,54,85
95,96,96,Robert Gamez,114,63.45,151,238
96,97,97,Loren Roberts,87,63.37,109,172
97,98,98,Tiger Woods,74,63.3,69,109
98,99,99,John Senden,111,63.27,124,196
99,100,100,Geoff Ogilvy,86,63.22,110,174
100,101,101,J.J. Henry,100,63.13,125,198
101,102,102,Duffy Waldorf,90,63.1,106,168
102,103,103,Luke Donald,88,62.9,117,186
103,104,104,Paul Azinger,73,62.82,98,156
104,105,105,Esteban Toledo,109,62.66,146,233
105,106,106,Aaron Barber,94,62.63,119,190
106,107,107,Carlos Franco,99,62.62,129,206
107,108,108,Jim Carter,95,62.56,132,211
108,109,109,Adam Scott,52,62.5,55,88
109,110,110,Anthony Painter,87,62.39,136,218
110,111,111,Gavin Coles,69,62.35,101,162
111,112,112,Jay Don Blake,77,62.32,86,138
112,113,113,Briny Baird,113,62.3,119,191
113,114,114,Kenny Perry,98,62.28,104,167
114,115,115,Akio Sadakata,83,62.26,99,159
115,116,116,Ernie Els,65,62.2,51,82
116,117,117,Joel Edwards,60,61.97,88,142
117,118,118,Cliff Kresge,102,61.88,125,202
118,119,119,John Maginnes,87,61.75,113,183
119,120,120,Rocco Mediate,80,61.65,82,133
120,121,121,Ian Leggatt,71,61.43,86,140
121,122,122,David Gossett,92,61.41,113,184
122,T123,T123,Steve Allan,53,61.34,73,119
123,T123,T123,Mike Weir,80,61.34,73,119
124,125,125,Phil Mickelson,87,61.29,76,124
125,126,126,Craig Perks,82,61.24,109,178
126,127,127,Gene Sauers,87,61.14,118,193
127,128,128,Pat Perez,95,61.05,116,190
128,129,129,Jason Gore,83,60.89,123,202
129,130,130,Bob Burns,88,60.82,118,194
130,131,131,Craig Barlow,95,60.78,124,204
131,132,132,Andy Miller,75,60.69,105,173
132,133,133,Chad Campbell,105,60.65,94,155
133,134,134,Jason Caron,74,60.59,103,170
134,135,135,Brenden Pappas,105,60.56,129,213
135,136,136,Jesper Parnevik,102,60.53,115,190
136,137,137,Mark Brooks,90,60.51,118,195
137,138,138,Woody Austin,107,60.41,119,197
138,T139,T139,Paul Gow,62,60.12,98,163
139,T139,T139,Thomas Levet,85,60.12,98,163
140,T139,T139,Scott Verplank,97,60.12,101,168
141,142,142,Spike McRoy,103,60.1,119,198
142,T143,T143,Jason Buha,61,60.0,84,140
143,T143,T143,Brad Elder,51,60.0,66,110
144,T143,T143,Frank Lickliter II,94,60.0,114,190
145,T146,T146,Chris Anderson,96,59.69,117,196
146,T146,T146,Jonathan Byrd,101,59.69,117,196
147,148,148,Cameron Beckman,86,59.66,105,176
148,149,149,Mike Grob,83,59.43,104,175
149,150,150,Shaun Micheel,97,59.34,108,182
150,151,151,Mark Wilson,82,59.28,115,194
151,152,152,Kaname Yokoo,56,59.23,77,130
152,153,153,Jonathan Kaye,91,59.06,88,149
153,154,154,Joey Sindelar,93,58.92,109,185
154,155,155,Todd Fischer,97,58.88,126,214
155,156,156,Carl Paulson,101,58.87,136,231
156,157,157,Tom Gillis,71,58.82,80,136
157,158,158,Bob Tway,89,58.78,87,148
158,159,159,Brent Schwarzrock,60,58.68,71,121
159,160,160,Tommy Armour III,66,58.65,78,133
160,161,161,John Daly,56,58.49,62,106
161,162,162,Tim Clark,79,58.44,90,154
162,163,163,Davis Love III,85,58.4,73,125
163,164,164,Mark O'Meara,69,58.27,74,127
164,165,165,Ben Curtis,69,58.06,90,155
165,166,166,John Morgan,81,57.95,113,195
166,167,167,David Sutherland,77,57.82,85,147
167,168,168,Patrick Sheehan,101,57.77,119,206
168,T169,T169,Rich Beem,80,57.66,79,137
169,T169,T169,Marco Dawson,86,57.66,79,137
170,171,171,Ty Tryon,52,57.63,68,118
171,172,172,John Huston,76,57.34,82,143
172,173,173,Brian Henninger,56,57.27,63,110
173,174,174,Tom Lehman,87,57.03,73,128
174,175,175,Jeff Maggert,81,56.64,81,143
175,176,176,Heath Slocum,101,56.28,121,215
176,177,177,Kenneth Staton,59,55.86,81,145
177,178,178,J.L. Lewis,99,55.61,114,205
178,179,179,Joe Durant,96,55.48,86,155
179,180,180,José Coceres,62,55.33,83,150
180,181,181,Steve Lowery,86,55.03,93,169
181,182,182,Harrison Frazar,88,54.89,101,184
182,183,183,Mike Heinen,89,54.82,91,166
183,184,184,Sergio Garcia,62,54.12,46,85
184,185,185,Cameron Yancey,58,53.55,83,155
185,186,186,Vance Veazey,66,53.38,71,133
186,187,187,Jeff Klein,60,53.1,77,145
187,188,188,Todd Barranger,78,52.41,87,166
188,189,189,Michael Clark II,54,48.98,48,98
189,190,190,Chris Smith,92,48.03,73,152
