,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,Brent Geiberger,51,92.98,53,57
1,2,2,Brett Quigley,92,92.23,95,103
2,3,3,Brad Elder,51,92.16,47,51
3,4,4,Tiger Woods,74,91.53,54,59
4,5,5,Corey Pavin,88,91.07,102,112
5,6,6,John Rollins,89,91.0,91,100
6,T7,T7,Steven Alker,87,90.72,88,97
7,T7,T7,Jerry Kelly,108,90.72,88,97
8,9,9,Steve Stricker,59,90.67,68,75
9,10,10,Jim Furyk,104,90.63,87,96
10,11,11,Stewart Cink,104,90.23,120,133
11,12,12,Patrick Sheehan,101,90.12,146,162
12,13,13,Arron Oberholser,80,89.34,109,122
13,14,14,Tim Herron,102,89.15,115,129
14,15,15,Mark Brooks,90,89.08,106,119
15,T16,T16,Matt Kuchar,63,88.89,64,72
16,T16,T16,Adam Scott,52,88.89,56,63
17,18,18,Dan Forsman,98,88.78,87,98
18,19,19,Scott McCarron,86,88.75,71,80
19,20,20,Stuart Appleby,90,88.68,94,106
20,21,21,Billy Mayfair,105,88.46,92,104
21,22,22,Bob Tway,89,88.39,99,112
22,23,23,Vijay Singh,106,88.37,114,129
23,24,24,Davis Love III,85,88.24,75,85
24,25,25,Jason Gore,83,88.17,82,93
25,26,26,Steve Allan,53,88.16,67,76
26,T27,T27,Charles Howell III,120,88.12,89,101
27,T27,T27,Geoff Ogilvy,86,88.12,89,101
28,29,29,John Morgan,81,88.07,96,109
29,30,30,Pat Bates,111,88.03,125,142
30,31,31,Paul Stankowski,67,87.69,57,65
31,32,32,Skip Kendall,110,87.66,135,154
32,33,33,Carlos Franco,99,87.6,113,129
33,T34,T34,Aaron Baddeley,71,87.5,91,104
34,T34,T34,Ben Crane,94,87.5,98,112
35,36,36,"Dave Stockton, Jr.",79,87.32,62,71
36,37,37,Jeff Maggert,81,87.31,117,134
37,38,38,Brad Faxon,97,87.27,96,110
38,T39,T39,Neal Lancaster,110,87.25,130,149
39,T39,T39,Rocco Mediate,80,87.25,89,102
40,41,41,Mike Sposa,72,87.21,75,86
41,42,42,Luke Donald,88,87.13,88,101
42,43,43,Garrett Willis,97,87.02,114,131
43,44,44,Mike Weir,80,86.9,73,84
44,45,45,Deane Pappas,75,86.73,85,98
45,T46,T46,Retief Goosen,69,86.67,52,60
46,T46,T46,Paul Gow,62,86.67,65,75
47,T46,T46,Jay Haas,89,86.67,91,105
48,T46,T46,Chris Riley,96,86.67,117,135
49,T46,T46,David Sutherland,77,86.67,65,75
50,51,51,Tom Pernice Jr.,105,86.55,103,119
51,T52,T52,Matt Gogel,77,86.36,76,88
52,T52,T52,Lee Janzen,83,86.36,57,66
53,T52,T52,Mark Wilson,82,86.36,76,88
54,55,55,Shigeki Maruyama,87,86.32,82,95
55,56,56,Olin Browne,113,86.23,119,138
56,T57,T57,Thomas Levet,85,86.0,86,100
57,T57,T57,Steve Lowery,86,86.0,86,100
58,59,59,Todd Barranger,78,85.96,98,114
59,60,60,Brent Schwarzrock,60,85.94,55,64
60,61,61,Heath Slocum,101,85.93,116,135
61,62,62,John Huston,76,85.88,73,85
62,63,63,Marco Dawson,86,85.85,91,106
63,64,64,Kenny Perry,98,85.84,97,113
64,65,65,Carl Paulson,101,85.83,109,127
65,T66,T66,Brandt Jobe,77,85.71,96,112
66,T66,T66,Andrew Magee,91,85.71,84,98
67,68,68,Craig Perks,82,85.57,83,97
68,69,69,Justin Leonard,80,85.56,77,90
69,70,70,Ernie Els,65,85.51,59,69
70,71,71,Alex Cejka,98,85.42,82,96
71,T72,T72,Len Mattiace,94,85.37,70,82
72,T72,T72,Kirk Triplett,92,85.37,70,82
73,74,74,Jim Carter,95,85.25,104,122
74,75,75,Scott Laycock,71,85.23,75,88
75,76,76,Tim Petrovic,108,85.21,121,142
76,T77,T77,Woody Austin,107,85.19,115,135
77,T77,T77,Jonathan Kaye,91,85.19,92,108
78,79,79,Dicky Pride,73,85.11,80,94
79,80,80,Tom Lehman,87,85.07,57,67
80,81,81,Bob Estes,92,85.05,91,107
81,82,82,Tom Byrum,97,85.04,108,127
82,83,83,Per-Ulrik Johansson,96,84.96,113,133
83,84,84,Doug Barron,90,84.89,118,139
84,85,85,K.J. Choi,112,84.82,95,112
85,86,86,Kevin Sutherland,97,84.72,61,72
86,87,87,Notah Begay III,92,84.62,99,117
87,88,88,Mike Heinen,89,84.55,93,110
88,89,89,Chris DiMarco,98,84.5,109,129
89,90,90,Jason Buha,61,84.48,49,58
90,91,91,Dudley Hart,66,84.42,65,77
91,92,92,Jesper Parnevik,102,84.35,97,115
92,93,93,Jeff Sluman,106,84.33,113,134
93,T94,T94,Brenden Pappas,105,84.26,91,108
94,T94,T94,Pat Perez,95,84.26,91,108
95,96,96,Phil Mickelson,87,84.21,64,76
96,97,97,Mark O'Meara,69,83.93,47,56
97,98,98,Steve Flesch,110,83.89,125,149
98,99,99,Jay Don Blake,77,83.7,77,92
99,100,100,Fred Funk,112,83.69,118,141
100,101,101,Darren Clarke,61,83.64,46,55
101,T102,T102,Nick Price,65,83.54,66,79
102,T102,T102,Loren Roberts,87,83.54,66,79
103,104,104,Brian Henninger,56,83.53,71,85
104,105,105,Hank Kuehne,73,83.52,76,91
105,106,106,Craig Barlow,95,83.48,96,115
106,T107,T107,Jonathan Byrd,101,83.33,85,102
107,T107,T107,Jason Caron,74,83.33,75,90
108,T107,T107,Harrison Frazar,88,83.33,105,126
109,T107,T107,Sergio Garcia,62,83.33,40,48
110,T107,T107,Bernhard Langer,65,83.33,50,60
111,T107,T107,Kenneth Staton,59,83.33,50,60
112,T107,T107,Hidemichi Tanaka,112,83.33,125,150
113,114,114,Chris Anderson,96,83.2,104,125
114,115,115,David Frost,80,83.17,84,101
115,116,116,Bob Burns,88,83.16,79,95
116,T117,T117,Mark Calcavecchia,84,83.06,103,124
117,T117,T117,Joey Sindelar,93,83.06,103,124
118,119,119,Cameron Beckman,86,83.02,88,106
119,120,120,Jay Williamson,93,83.01,127,153
120,121,121,Donnie Hammond,92,83.0,83,100
121,122,122,Esteban Toledo,109,82.96,112,135
122,T123,T123,Stephen Ames,91,82.93,102,123
123,T123,T123,Billy Andrade,100,82.93,102,123
124,125,125,Frank Lickliter II,94,82.91,97,117
125,126,126,Dean Wilson,82,82.73,91,110
126,127,127,David Peoples,96,82.68,105,127
127,128,128,David Gossett,92,82.64,100,121
128,129,129,Aaron Barber,94,82.5,99,120
129,130,130,Chris Smith,92,82.47,80,97
130,131,131,Robert Allenby,87,82.43,61,74
131,132,132,Shaun Micheel,97,82.41,89,108
132,133,133,Robert Gamez,114,82.39,131,159
133,134,134,Joel Edwards,60,82.35,70,85
134,135,135,Robert Damron,96,82.31,121,147
135,136,136,Gavin Coles,69,82.0,82,100
136,137,137,Brian Gay,100,81.97,100,122
137,138,138,Rich Beem,80,81.82,63,77
138,139,139,Spike McRoy,103,81.67,98,120
139,T140,T140,Joe Durant,96,81.48,88,108
140,T140,T140,Scott Verplank,97,81.48,110,135
141,142,142,John Senden,111,81.4,105,129
142,143,143,Paul Goydos,86,81.3,100,123
143,144,144,Cliff Kresge,102,81.25,104,128
144,145,145,Rod Pampling,87,81.13,86,106
145,T146,T146,Darron Stiles,93,80.95,85,105
146,T146,T146,Vance Veazey,66,80.95,68,84
147,148,148,J.J. Henry,100,80.91,89,110
148,149,149,Briny Baird,113,80.8,101,125
149,150,150,Ben Curtis,69,80.46,70,87
150,151,151,Tommy Armour III,66,80.43,74,92
151,152,152,Tim Clark,79,80.41,78,97
152,153,153,Rory Sabbatini,95,80.16,101,126
153,T154,T154,Brian Bateman,70,80.0,64,80
154,T154,T154,Michael Clark II,54,80.0,52,65
155,T154,T154,John Daly,56,80.0,48,60
156,T157,T157,Greg Chalmers,98,79.82,91,114
157,T157,T157,Richard Johnson,89,79.82,87,109
158,159,159,Glen Day,103,79.55,105,132
159,T160,T160,Peter Jacobsen,75,79.49,62,78
160,T160,T160,Cameron Yancey,58,79.49,62,78
161,162,162,Carl Pettersson,80,79.41,81,102
162,163,163,Paul Azinger,73,79.31,69,87
163,164,164,David Toms,90,79.27,65,82
164,165,165,John Maginnes,87,79.13,91,115
165,166,166,Kenichi Kuboya,91,79.09,87,110
166,167,167,Mathew Goggin,90,79.0,79,100
167,168,168,Glen Hnatiuk,92,78.95,105,133
168,169,169,Fred Couples,71,78.69,48,61
169,170,170,Andy Miller,75,78.57,77,98
170,171,171,José Coceres,62,78.43,80,102
171,172,172,Chad Campbell,105,78.18,86,110
172,173,173,John Riegger,55,77.94,53,68
173,174,174,Anthony Painter,87,77.88,88,113
174,T175,T175,Todd Fischer,97,77.78,98,126
175,T175,T175,J.P. Hayes,79,77.78,77,99
176,T175,T175,Hal Sutton,81,77.78,77,99
177,178,178,Tom Gillis,71,77.23,78,101
178,179,179,Ian Leggatt,71,76.67,69,90
