,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Chris Riley,96,67.23,119,177
1,2,2,Stephen Ames,91,65.38,102,156
2,3,3,Brandt Jobe,77,64.19,95,148
3,4,4,Corey Pavin,88,64.0,128,200
4,5,5,Vijay Singh,106,63.95,94,147
5,6,6,Kirk Triplett,92,63.71,79,124
6,7,7,Arron Oberholser,80,63.58,110,173
7,8,8,Jay Haas,89,63.35,102,161
8,9,9,Steve Stricker,59,60.81,90,148
9,10,10,Jerry Kelly,108,60.76,96,158
10,11,11,Shigeki Maruyama,87,60.74,99,163
11,12,12,Nick Price,65,60.66,74,122
12,T13,T13,Jim Furyk,104,60.45,81,134
13,T13,T13,Bernhard Langer,65,60.45,81,134
14,15,15,Tom Pernice Jr.,105,60.41,148,245
15,16,16,Darren Clarke,61,60.4,61,101
16,17,17,Loren Roberts,87,60.39,93,154
17,18,18,Ben Crane,94,60.38,128,212
18,19,19,Bob Estes,92,60.14,86,143
19,20,20,Billy Mayfair,105,60.1,116,193
20,21,21,Stewart Cink,104,60.0,108,180
21,22,22,Geoff Ogilvy,86,59.76,98,164
22,23,23,Tim Herron,102,59.62,127,213
23,T24,T24,Patrick Sheehan,101,59.57,140,235
24,T24,T24,Bob Tway,89,59.57,84,141
25,26,26,Jeff Sluman,106,59.56,109,183
26,27,27,Len Mattiace,94,59.46,110,185
27,28,28,Fred Funk,112,59.44,107,180
28,29,29,Brian Gay,100,59.35,127,214
29,30,30,Mark Calcavecchia,84,58.68,98,167
30,31,31,David Peoples,96,58.51,110,188
31,32,32,Richard Johnson,89,58.25,113,194
32,33,33,Glen Day,103,58.13,118,203
33,34,34,Tom Byrum,97,57.98,109,188
34,35,35,Kent Jones,74,57.97,80,138
35,36,36,Woody Austin,107,57.95,113,195
36,37,37,Esteban Toledo,109,57.92,139,240
37,38,38,Brian Henninger,56,57.8,63,109
38,39,39,Steven Alker,87,57.78,104,180
39,40,40,Hal Sutton,81,57.72,71,123
40,41,41,Aaron Baddeley,71,57.71,101,175
41,42,42,Scott McCarron,86,57.35,78,136
42,43,43,Bob Burns,88,57.3,102,178
43,44,44,Per-Ulrik Johansson,96,57.14,108,189
44,45,45,Brad Faxon,97,57.06,101,177
45,46,46,Mike Weir,80,57.02,69,121
46,47,47,Ernie Els,65,56.99,53,93
47,48,48,Heath Slocum,101,56.78,113,199
48,49,49,Brett Quigley,92,56.74,101,178
49,T50,T50,Dan Forsman,98,56.73,97,171
50,T50,T50,Harrison Frazar,88,56.73,97,171
51,T52,T52,Billy Andrade,100,56.64,128,226
52,T52,T52,Fred Couples,71,56.64,64,113
53,54,54,Dudley Hart,66,56.62,77,136
54,55,55,Notah Begay III,92,56.59,103,182
55,56,56,Retief Goosen,69,56.57,56,99
56,T57,T57,Pat Bates,111,56.52,117,207
57,T57,T57,Justin Leonard,80,56.52,78,138
58,59,59,K.J. Choi,112,56.5,100,177
59,60,60,Pat Perez,95,56.44,127,225
60,61,61,Charles Howell III,120,56.4,119,211
61,62,62,J.P. Hayes,79,56.33,89,158
62,63,63,Stuart Appleby,90,56.05,88,157
63,64,64,J.J. Henry,100,55.98,103,184
64,65,65,Tim Petrovic,108,55.96,108,193
65,T66,T66,Jonathan Kaye,91,55.83,91,163
66,T66,T66,Scott Laycock,71,55.83,91,163
67,68,68,Peter Lonard,96,55.8,101,181
68,69,69,Luke Donald,88,55.73,107,192
69,70,70,Tim Clark,79,55.63,79,142
70,71,71,Robert Damron,96,55.61,104,187
71,72,72,Dean Wilson,82,55.56,95,171
72,T73,T73,David Frost,80,55.49,96,173
73,T73,T73,Skip Kendall,110,55.49,96,173
74,T73,T73,Rod Pampling,87,55.49,91,164
75,76,76,Garrett Willis,97,55.45,117,211
76,77,77,Shaun Micheel,97,55.43,102,184
77,78,78,Paul Goydos,86,55.29,94,170
78,79,79,Scott Verplank,97,55.28,89,161
79,80,80,John Rollins,89,55.19,85,154
80,81,81,Paul Gow,62,55.17,80,145
81,82,82,Andrew Magee,91,54.91,95,173
82,83,83,Brian Bateman,70,54.89,73,133
83,84,84,Glen Hnatiuk,92,54.74,104,190
84,85,85,John Senden,111,54.73,110,201
85,86,86,Matt Gogel,77,54.67,82,150
86,87,87,Davis Love III,85,54.62,71,130
87,88,88,Steve Flesch,110,54.55,114,209
88,T89,T89,Tom Lehman,87,54.47,67,123
89,T89,T89,Anthony Painter,87,54.47,128,235
90,91,91,Robert Allenby,87,54.46,55,101
91,92,92,Jay Williamson,93,54.45,104,191
92,93,93,Rory Sabbatini,95,54.33,113,208
93,94,94,David Gossett,92,54.29,114,210
94,95,95,Jesper Parnevik,102,54.23,109,201
95,96,96,Andy Miller,75,54.19,97,179
96,97,97,Tommy Armour III,66,54.1,66,122
97,98,98,Hidemichi Tanaka,112,53.99,115,213
98,T99,T99,Joel Edwards,60,53.68,73,136
99,T99,T99,John Maginnes,87,53.68,102,190
100,T99,T99,John Riegger,55,53.68,51,95
101,102,102,Briny Baird,113,53.66,88,164
102,103,103,José Coceres,62,53.6,67,125
103,104,104,Matt Kuchar,63,53.47,77,144
104,105,105,Steve Lowery,86,53.44,101,189
105,106,106,Kenny Perry,98,53.13,85,160
106,T107,T107,Olin Browne,113,53.02,114,215
107,T107,T107,Chad Campbell,105,53.02,79,149
108,109,109,Alex Cejka,98,52.91,100,189
109,110,110,Craig Perks,82,52.85,102,193
110,111,111,Dicky Pride,73,52.78,76,144
111,112,112,Mike Sposa,72,52.76,67,127
112,113,113,Robert Gamez,114,52.7,117,222
113,114,114,Donnie Hammond,92,52.69,98,186
114,T115,T115,J.L. Lewis,99,52.58,112,213
115,T115,T115,Brent Schwarzrock,60,52.58,51,97
116,117,117,Jonathan Byrd,101,52.56,113,215
117,118,118,David Toms,90,52.54,62,118
118,119,119,Chris DiMarco,98,52.48,74,141
119,120,120,Kevin Sutherland,97,52.45,75,143
120,121,121,Carlos Franco,99,52.43,97,185
121,T122,T122,Steve Allan,53,52.34,56,107
122,T122,T122,Tiger Woods,74,52.34,56,107
123,124,124,Carl Pettersson,80,52.33,90,172
124,125,125,Lee Janzen,83,52.29,80,153
125,126,126,Deane Pappas,75,51.92,108,208
126,T127,T127,Ben Curtis,69,51.91,68,131
127,T127,T127,Brenden Pappas,105,51.91,122,235
128,129,129,Hank Kuehne,73,51.81,86,166
129,130,130,Craig Barlow,95,51.63,95,184
130,131,131,Jeff Maggert,81,51.4,92,179
131,132,132,Jim Carter,95,51.37,94,183
132,133,133,Mark Brooks,90,51.3,99,193
133,134,134,Chris Anderson,96,51.23,104,203
134,135,135,Darron Stiles,93,50.83,92,181
135,136,136,Peter Jacobsen,75,50.74,69,136
136,137,137,Jason Gore,83,50.71,107,211
137,138,138,Thomas Levet,85,50.7,72,142
138,139,139,Neal Lancaster,110,50.68,111,219
139,140,140,Phil Mickelson,87,50.65,78,154
140,141,141,Adam Scott,52,50.52,49,97
141,142,142,Carl Paulson,101,50.47,108,214
142,143,143,Cliff Kresge,102,50.46,110,218
143,144,144,Marco Dawson,86,50.31,80,159
144,T145,T145,Kenichi Kuboya,91,50.0,105,210
145,T145,T145,Rocco Mediate,80,50.0,67,134
146,T145,T145,Paul Stankowski,67,50.0,63,126
147,148,148,Todd Fischer,97,49.76,104,209
148,149,149,Gavin Coles,69,49.67,75,151
