,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Hank Kuehne,73,321.4,44994,140
1,2,2,John Daly,56,314.3,34576,110
2,3,3,Phil Mickelson,87,306.0,48049,157
3,4,4,Darren Clarke,61,304.9,32928,108
4,5,5,Ernie Els,65,303.3,36398,120
5,6,6,Vijay Singh,106,301.9,60982,202
6,7,7,Sergio Garcia,62,300.9,34306,114
7,8,8,Mike Heinen,89,300.8,52340,174
8,9,9,Brenden Pappas,105,300.3,61266,204
9,10,10,Mathew Goggin,90,299.8,50965,170
10,T11,T11,Deane Pappas,75,299.5,43431,145
11,T11,T11,Tiger Woods,74,299.5,40735,136
12,13,13,Retief Goosen,69,299.4,38320,128
13,14,14,Andrew Magee,91,299.3,52684,176
14,T15,T15,Davis Love III,85,299.2,46671,156
15,T15,T15,Adam Scott,52,299.2,27523,92
16,17,17,Todd Barranger,78,298.8,44223,148
17,18,18,Harrison Frazar,88,298.7,50786,170
18,19,19,Carlos Franco,99,298.0,57811,194
19,20,20,Brian Bateman,70,297.2,38929,131
20,21,21,Jason Gore,83,296.7,48957,165
21,T22,T22,Jonathan Kaye,91,295.9,52085,176
22,T22,T22,Ty Tryon,52,295.9,28994,98
23,24,24,Jonathan Byrd,101,295.3,59354,201
24,T25,T25,Jason Caron,74,295.2,41030,139
25,T25,T25,Brent Schwarzrock,60,295.2,33658,114
26,27,27,Kenny Perry,98,295.1,56947,193
27,T28,T28,Robert Allenby,87,294.8,47160,160
28,T28,T28,Ian Leggatt,71,294.8,40095,136
29,30,30,K.J. Choi,112,294.7,61302,208
30,T31,T31,Chad Campbell,105,294.6,60091,204
31,T31,T31,Charles Howell III,120,294.6,67748,230
32,T31,T31,Neal Lancaster,110,294.6,62453,212
33,T31,T31,Scott McCarron,86,294.6,47433,161
34,35,35,Stuart Appleby,90,294.4,50054,170
35,36,36,Tommy Armour III,66,294.3,37078,126
36,T37,T37,Craig Barlow,95,293.9,54658,186
37,T37,T37,Kenneth Staton,59,293.9,32917,112
38,T39,T39,Brent Geiberger,51,293.8,29972,102
39,T39,T39,Paul Stankowski,67,293.8,39073,133
40,41,41,Rich Beem,80,293.6,45210,154
41,T42,T42,Fred Couples,71,293.4,39021,133
42,T42,T42,Carl Paulson,101,293.4,59270,202
43,T44,T44,Andy Miller,75,293.3,43413,148
44,T44,T44,Rory Sabbatini,95,293.3,54256,185
45,T46,T46,J.J. Henry,100,293.2,56301,192
46,T46,T46,Patrick Sheehan,101,293.2,57465,196
47,T46,T46,Chris Smith,92,293.2,53942,184
48,49,49,Marco Dawson,86,292.9,48616,166
49,50,50,Peter Lonard,96,292.8,52699,180
50,51,51,Brandt Jobe,77,292.7,45075,154
51,52,52,Briny Baird,113,292.2,63692,218
52,T53,T53,Geoff Ogilvy,86,291.8,47858,164
53,T53,T53,John Senden,111,291.8,61856,212
54,55,55,Darron Stiles,93,291.6,51321,176
