,Last_5_Events_-_Power_RANK THIS WEEK,Last_5_Events_-_Power_RANK LAST WEEK,Last_5_Events_-_Power_PLAYER NAME,Last_5_Events_-_Power_EVENTS,Last_5_Events_-_Power_RATING
0,1,1,Hank Kuehne,4,10.0
1,2,2,Nick Watney,1,9.8
2,3,3,James McLean,1,9.7
3,4,T8,Davis Love III,3,9.5
4,5,4,Brenden Pappas,4,9.4
5,T6,T5,Stuart Appleby,5,9.3
6,T6,T5,Barry Cheesman,1,9.3
7,T6,T8,Vijay Singh,4,9.3
8,T9,T5,Darren Clarke,4,9.2
9,T9,T8,Deane Pappas,3,9.2
10,T11,T11,"Joe Acosta, Jr.",1,9.1
11,T11,T11,Eduardo Romero,2,9.1
12,T11,T11,Ty Tryon,1,9.1
13,T14,T14,Sergio Garcia,3,9.0
14,T14,T14,Adam Scott,4,9.0
15,T16,T16,Chris Downes,1,8.9
16,T16,T16,Ernie Els,4,8.9
17,T16,T16,Andy Miller,1,8.9
18,T16,T16,Charles Warren,1,8.9
19,T16,T16,Tiger Woods,4,8.9
20,T21,T21,Ángel Cabrera,1,8.8
21,T21,T21,Harrison Frazar,3,8.8
22,T21,T21,Andrew Magee,3,8.8
23,T21,T21,Phil Mickelson,3,8.8
24,T21,T21,Jon Mills,1,8.8
25,T21,T21,Rod Pampling,3,8.8
26,T21,T21,Tyler Swanson,1,8.8
27,T28,T29,Craig Barlow,5,8.7
28,T28,T29,Carlos Franco,1,8.7
29,T28,T29,Steve Lowery,3,8.7
30,T28,T29,Patrick Sheehan,3,8.7
31,T32,T33,Woody Austin,4,8.6
32,T32,T33,Derek Gillespie,1,8.6
33,T32,T33,Mathias Grönberg,1,8.6
34,T32,T33,Mark Hensby,1,8.6
35,T32,T21,Kenny Perry,3,8.6
36,T32,T33,Rory Sabbatini,5,8.6
37,T32,T33,Kenneth Staton,1,8.6
38,T39,T39,"Jim Gallagher, Jr.",1,8.5
39,T39,T39,Retief Goosen,5,8.5
40,T39,T39,Jason Gore,3,8.5
41,T39,T39,Ken Green,1,8.5
42,T39,T39,John Huston,4,8.5
43,T39,T39,Dennis Paulson,2,8.5
44,T39,T39,Chris Smith,2,8.5
45,T46,T46,Jonathan Byrd,4,8.4
46,T46,T46,Raphael Jacquelin,1,8.4
47,T46,T46,Per-Ulrik Johansson,1,8.4
48,T46,T46,Brett Quigley,4,8.4
49,T46,T46,Mike Sposa,1,8.4
50,T46,T46,Darron Stiles,1,8.4
51,T52,T52,Paul Casey,2,8.3
52,T52,T52,Mike Heinen,2,8.3
53,T52,T52,Scott McCarron,3,8.3
54,T55,T55,Tommy Armour III,2,8.2
55,T55,T55,Mathew Goggin,2,8.2
56,T55,T55,Robert Karlsson,1,8.2
57,T55,T55,Bob May,4,8.2
58,T55,T55,Brent Schwarzrock,3,8.2
59,T60,T60,Chris Baryla,1,8.1
60,T60,T60,Cameron Beckman,3,8.1
61,T60,T60,Tom Carter,2,8.1
62,T60,T60,Kelly Gibson,2,8.1
63,T60,T60,Geoff Ogilvy,4,8.1
64,T60,T60,Carl Paulson,3,8.1
65,T60,T60,Mike Standly,3,8.1
66,T67,T67,Chad Campbell,4,8.0
67,T67,T67,Ignacio Garrido,2,8.0
68,T69,T69,Tom Gillis,1,7.9
69,T69,T69,Brandt Jobe,4,7.9
70,T69,T69,Yusaku Miyazato,1,7.9
71,T69,T69,Joey Sindelar,3,7.9
72,T73,T73,Brian Bateman,2,7.8
73,T73,T73,Mark Calcavecchia,2,7.8
74,T73,T73,Jonathan Kaye,4,7.8
75,T73,T73,Neal Lancaster,5,7.8
76,T73,T73,Patrick Moore,2,7.8
77,T73,T73,Justin Rose,3,7.8
78,T79,T79,Troy Matteson,2,7.7
79,T79,T79,Vance Veazey,4,7.7
80,T81,T81,Tim Herron,4,7.6
81,T81,T81,Charles Howell III,5,7.6
82,T81,T81,Hunter Mahan,2,7.6
83,T81,T81,Anthony Painter,3,7.6
84,T81,T81,Carl Pettersson,3,7.6
85,T86,T86,Robert Allenby,4,7.5
86,T86,T86,Brad Bryant,2,7.5
87,T86,T86,Brad Lardon,1,7.5
88,T86,T86,Peter Lonard,4,7.5
89,T86,T86,Greg Norman,1,7.5
90,T91,T91,Rich Beem,2,7.4
91,T91,T91,Jeff Brehaut,4,7.4
92,T91,T91,Jay Delsing,1,7.4
93,T91,T91,Toshi Izawa,2,7.4
94,T91,T91,John Senden,3,7.4
95,T91,T91,Lee Westwood,2,7.4
96,T97,T97,Briny Baird,4,7.3
97,T97,T97,Brent Geiberger,4,7.3
98,T97,T97,J.J. Henry,3,7.3
99,T97,T97,John Morgan,1,7.3
100,T97,T97,Chip Sullivan,1,7.3
101,T97,T97,D.J. Trahan,1,7.3
102,T103,T103,Steve Allan,3,7.2
103,T103,T103,Thomas Bjørn,2,7.2
104,T103,T103,Greg Chalmers,3,7.2
105,T103,T103,Robert Gamez,5,7.2
106,T103,T103,Craig Perks,1,7.2
107,T103,T103,John Riegger,3,7.2
108,T103,T103,Tom Scherrer,3,7.2
109,T103,T103,Mike Springer,3,7.2
110,T111,T111,Tom Lehman,5,7.0
111,T111,T111,Craig Stadler,1,7.0
112,T111,T111,Paul Stankowski,3,7.0
113,T114,T115,Stewart Cink,5,6.9
114,T114,T115,Russ Cochran,2,6.9
115,T114,T115,Mark Foster,1,6.9
116,T114,T115,David Gossett,4,6.9
117,T114,T115,Cliff Kresge,4,6.9
118,T114,T115,J.L. Lewis,3,6.9
119,T114,T115,"Dave Stockton, Jr.",2,6.9
120,T121,T122,Fred Couples,3,6.8
121,T121,T122,Joe Durant,5,6.8
122,T121,T122,Paul Gow,3,6.8
123,T121,T111,Shaun Micheel,2,6.8
124,T121,T122,Hennie Otto,2,6.8
125,T121,T122,Ian Poulter,2,6.8
126,T121,T122,Kevin Sutherland,3,6.8
127,T128,T128,Aaron Baddeley,5,6.7
128,T128,T128,Danny Briggs,1,6.7
129,T128,T128,Brian Davis,1,6.7
130,T128,T128,Niclas Fasth,3,6.7
131,T128,T128,Padraig Harrington,2,6.7
132,T128,T128,Mike Weir,4,6.7
133,T134,T135,Jeff Gallagher,2,6.6
134,T134,T135,Bill Glasson,3,6.6
135,T134,T135,Paul Lawrie,2,6.6
136,T134,T135,Ian Leggatt,2,6.6
137,T134,T135,David Toms,5,6.6
138,T139,T128,K.J. Choi,3,6.5
139,T139,140,Kent Jones,4,6.5
140,T141,T141,Michael Flynn,1,6.4
141,T141,T141,David Howell,1,6.4
142,T141,T141,Trevor Immelman,2,6.4
143,T141,T141,Jeff Maggert,4,6.4
144,T141,T141,Pat Perez,3,6.4
145,T146,T146,Trevor Dodds,1,6.3
146,T146,T146,Thomas Levet,3,6.3
147,T146,T146,Shigeki Maruyama,4,6.3
148,T146,T146,Mike Small,1,6.3
149,T150,T150,Stephen Ames,4,6.2
150,T150,T150,Tim Petrovic,4,6.2
151,T152,T152,Michael Bradley,1,6.1
152,T152,T152,Tom Pernice Jr.,4,6.1
153,T152,T152,David Sutherland,1,6.1
154,T155,T155,Ben Crane,4,6.0
155,T155,T155,Peter Jacobsen,2,6.0
156,T155,T155,Duffy Waldorf,4,6.0
157,T158,T158,Billy Andrade,5,5.9
158,T158,T158,Andy Bean,1,5.9
159,T158,T158,Edward Fryatt,1,5.9
160,T158,T158,Freddie Jacobson,3,5.9
161,T158,T158,Arron Oberholser,4,5.9
162,T158,T158,Hal Sutton,3,5.9
163,T158,T158,Grant Waite,1,5.9
164,T165,T165,"David Berganio, Jr.",2,5.8
165,T165,T165,Gary Hallberg,2,5.8
166,T165,T165,Lee Janzen,1,5.8
167,T165,T165,Kevin Na,1,5.8
168,T169,T169,Michael Campbell,2,5.7
169,T169,T169,Marco Dawson,1,5.7
170,T169,T169,Matt Gogel,3,5.7
171,T169,T169,Frank Lickliter II,2,5.7
172,T169,T169,Phillip Price,4,5.7
173,T169,T169,Akio Sadakata,2,5.7
174,T175,T175,Michael Clark II,2,5.6
175,T175,T175,Jim McGovern,3,5.6
176,T175,T175,Kirk Triplett,5,5.6
177,T178,T178,Brad Elder,1,5.5
178,T178,T178,Todd Fischer,2,5.5
179,T178,T178,Steve Stricker,2,5.5
180,T181,T181,Guy Boros,3,5.4
181,T181,T181,Scott Dunlap,1,5.4
182,T181,T181,Robin Freeman,2,5.4
183,T181,T181,Brian Henninger,2,5.4
184,T185,T185,Arjun Atwal,1,5.3
185,T185,T185,Bob Burns,2,5.3
186,T185,T185,Alex Cejka,2,5.3
187,T185,T185,Steve Jones,3,5.3
188,T185,T185,Greg Kraft,3,5.3
189,T185,T185,Billy Mayfair,1,5.3
190,T185,T185,Michael Muehr,2,5.3
191,T192,T192,Bart Bryant,4,5.2
192,T192,T192,Michael Harris,1,5.2
193,T194,T194,Jim Carter,1,5.1
194,T194,T194,Jim Furyk,5,5.1
195,T194,T194,David Peoples,4,5.1
196,T194,T194,Bob Tway,4,5.1
197,T198,T198,Aaron Barber,4,5.0
198,T198,T198,Phil Blackmar,1,5.0
199,T198,T198,Joel Edwards,1,5.0
200,T198,T198,Blaine McCallister,3,5.0
201,T198,T198,Alan Morin,1,5.0
202,T198,T198,Heath Slocum,4,5.0
203,T198,T198,Mario Tiziani,1,5.0
204,T198,T198,Mark Walker,1,5.0
205,T206,T206,Danny Ellis,3,4.9
206,T206,T206,Len Mattiace,4,4.9
207,T206,T206,Graeme McDowell,1,4.9
208,T206,T206,John Rollins,2,4.9
209,T206,T206,Jay Williamson,2,4.9
210,T211,T211,Ryuji Imada,1,4.8
211,T211,T211,Skip Kendall,5,4.8
212,T211,T211,Paul McGinley,1,4.8
213,T211,T211,Colin Montgomerie,2,4.8
214,T211,T211,Jesper Parnevik,4,4.8
215,T216,T216,Steve Flesch,5,4.7
216,T216,T216,Dan Forsman,4,4.7
217,T216,T216,Thongchai Jaidee,1,4.7
218,T216,T216,Jerry Kelly,5,4.7
219,T216,T216,Rocco Mediate,1,4.7
220,T216,T216,Jyoti Randhawa,1,4.7
221,T222,T222,Paul Azinger,3,4.6
222,T222,T222,J.P. Hayes,1,4.6
223,T222,T222,Bernhard Langer,4,4.6
224,T222,T222,Scott Laycock,4,4.6
225,226,226,Dean Wilson,1,4.5
226,T227,T227,Brandel Chamblee,2,4.4
227,T227,T227,Tim Clark,4,4.4
228,T227,T227,Taichi Teshima,1,4.4
229,T230,T231,Mark Brooks,2,4.2
230,T230,T231,Keith Fergus,2,4.2
231,T230,T231,David Frost,5,4.2
232,T233,T234,Scott Hoch,2,4.1
233,T233,T234,Kenichi Kuboya,3,4.1
234,T233,T234,Justin Leonard,3,4.1
235,T233,T234,Jarrod Moseley,1,4.1
236,T233,T234,Kaname Yokoo,1,4.1
237,T238,T239,José Coceres,3,4.0
238,T238,230,Jay Haas,3,4.0
239,T238,T239,Dudley Hart,1,4.0
240,T238,T239,Peter O'Malley,2,4.0
241,T238,T239,Chris Riley,4,4.0
242,T243,T243,Luke Donald,3,3.9
243,T243,T243,Stephen Leaney,1,3.9
244,T243,T243,Dicky Pride,3,3.9
