,Putting_Rating_RANK THIS WEEK,Putting_Rating_RANK LAST WEEK,Putting_Rating_PLAYER NAME,Putting_Rating_EVENTS,Putting_Rating_RATING
0,1,1,Mark Hensby,1,9.1
1,2,2,Yasuharu Imano,1,8.9
2,3,3,Trevor Dodds,1,8.8
3,T4,T4,Ricky Barnes,1,8.7
4,T4,T4,Mathias Grönberg,1,8.7
5,T4,T4,Nick Watney,1,8.7
6,T7,T7,Barry Cheesman,1,8.6
7,T7,T7,Søren Kjeldsen,1,8.6
8,9,9,Chris Downes,1,8.5
9,T10,T10,Danny Briggs,1,8.4
10,T10,T10,Paul Goydos,17,8.4
11,T10,T10,Ken Green,3,8.4
12,T10,T10,Todd Hamilton,1,8.4
13,T10,T10,Deane Pappas,13,8.4
14,T10,T10,Tag Ridings,1,8.4
15,T10,T10,Chris Riley,16,8.4
16,T10,T10,John Rollins,13,8.4
17,T18,T18,Brad Faxon,19,8.3
18,T18,T18,David Frost,15,8.3
19,T18,T18,Jay Haas,17,8.3
20,T18,T18,Padraig Harrington,5,8.3
21,T18,T18,J.P. Hayes,12,8.3
22,T18,T18,Pete Jordan,1,8.3
23,T18,T18,Justin Leonard,15,8.3
24,T18,T18,Scott McCarron,11,8.3
25,T18,T18,Greg Norman,2,8.3
26,T18,T18,Mark O'Meara,7,8.3
27,T18,T18,Hennie Otto,2,8.3
28,T18,T18,Tom Pernice Jr.,19,8.3
29,T18,T18,Steve Stricker,7,8.3
30,T31,T31,Arjun Atwal,1,8.2
31,T31,T31,Aaron Baddeley,13,8.2
32,T31,T31,Ángel Cabrera,3,8.2
33,T31,T31,Mark Calcavecchia,16,8.2
34,T31,T31,Greg Chalmers,16,8.2
35,T31,T31,Stewart Cink,20,8.2
36,T31,T31,Fred Couples,12,8.2
37,T31,T31,Chris DiMarco,19,8.2
38,T31,T31,Steve Elkington,6,8.2
39,T31,T31,Todd Fischer,15,8.2
40,T31,T31,Brian Henninger,10,8.2
41,T31,T31,Freddie Jacobson,5,8.2
42,T31,T31,Paul Lawrie,3,8.2
43,T31,T31,Jim McGovern,4,8.2
44,T31,T31,Vijay Singh,21,8.2
45,T31,T31,Garrett Willis,16,8.2
46,T31,T31,Tiger Woods,13,8.2
47,T31,T31,Richard Zokol,2,8.2
48,T49,T49,Steven Alker,13,8.1
49,T49,T49,Stuart Appleby,15,8.1
50,T49,T49,Tommy Armour III,10,8.1
51,T49,T49,Phil Blackmar,1,8.1
52,T49,T49,Guy Boros,3,8.1
53,T49,T49,John Cook,3,8.1
54,T49,T49,Glen Day,19,8.1
55,T49,T49,Luke Donald,16,8.1
56,T49,T49,David Duval,3,8.1
57,T49,T49,Brian Gay,13,8.1
58,T49,T49,Matt Gogel,11,8.1
59,T49,T49,Greg Kraft,6,8.1
60,T49,T49,Joel Kribel,3,8.1
61,T49,T49,Bernhard Langer,10,8.1
62,T49,T49,Jarrod Moseley,1,8.1
63,T49,T49,Kevin Na,1,8.1
64,T49,T49,Geoff Ogilvy,14,8.1
65,T49,T49,Rod Pampling,14,8.1
66,T49,T49,Corey Pavin,18,8.1
67,T49,T49,Jyoti Randhawa,1,8.1
68,T49,T49,Loren Roberts,17,8.1
69,T49,T49,Mike Small,1,8.1
70,T49,T49,Mike Springer,4,8.1
71,T49,T49,Paul Stankowski,12,8.1
72,T49,T49,"Dave Stockton, Jr.",7,8.1
73,T49,T49,Stan Utley,6,8.1
74,T49,T49,Mike Weir,14,8.1
75,T49,T49,Kaname Yokoo,5,8.1
76,T77,T77,Billy Andrade,18,8.0
77,T77,T77,Paul Casey,2,8.0
78,T77,T77,Michael Clark II,5,8.0
79,T77,T77,Ben Crane,18,8.0
80,T77,T77,John Daly,6,8.0
81,T77,T77,Nick Faldo,4,8.0
82,T77,T77,Jim Furyk,21,8.0
83,T77,T77,Jason Gore,11,8.0
