,Scoring_Rating_RANK THIS WEEK,Scoring_Rating_RANK LAST WEEK,Scoring_Rating_PLAYER NAME,Scoring_Rating_EVENTS,Scoring_Rating_RATING
0,1,1,Tiger Woods,13,9.0
1,2,2,Michael Bradley,1,8.8
2,2,2,Chris Downes,1,8.8
3,2,2,Mathias Grönberg,1,8.8
4,2,2,Vijay Singh,21,8.8
5,2,2,Mike Weir,14,8.8
6,7,7,Retief Goosen,12,8.7
7,8,8,Ricky Barnes,1,8.6
8,8,8,Barry Cheesman,1,8.6
9,8,8,Russ Cochran,2,8.6
10,8,8,Ernie Els,11,8.6
11,8,8,Padraig Harrington,5,8.6
12,8,8,Davis Love III,16,8.6
13,14,14,Robert Allenby,15,8.5
14,14,14,Paul Casey,2,8.5
15,14,14,Jim Furyk,21,8.5
16,17,17,Mark Calcavecchia,16,8.4
17,17,17,Darren Clarke,9,8.4
18,17,17,Fred Couples,12,8.4
19,17,17,Marco Dawson,10,8.4
20,17,17,Niclas Fasth,7,8.4
21,17,17,Steve Flesch,20,8.4
22,17,17,Jay Haas,17,8.4
23,17,17,Yasuharu Imano,1,8.4
24,17,17,Jerry Kelly,21,8.4
25,17,17,Justin Leonard,15,8.4
26,17,17,Scott McCarron,11,8.4
27,17,17,Geoff Ogilvy,14,8.4
28,17,17,Matt Peterson,1,8.4
29,17,17,Chris Riley,16,8.4
30,17,17,Phil Tataurangi,3,8.4
31,17,17,Nick Watney,1,8.4
32,33,33,Stephen Ames,19,8.3
33,33,33,Stuart Appleby,15,8.3
34,33,33,Briny Baird,22,8.3
35,33,33,Chad Campbell,21,8.3
36,33,33,Tom Carter,2,8.3
37,33,33,Stewart Cink,20,8.3
38,33,33,Trevor Dodds,1,8.3
39,33,33,Bob Estes,18,8.3
40,33,33,John Huston,16,8.3
41,33,33,Toshi Izawa,2,8.3
42,33,33,Kent Jones,12,8.3
43,33,33,Jim McGovern,4,8.3
44,33,33,Rod Pampling,14,8.3
45,33,33,Brenden Pappas,18,8.3
46,33,33,Kenny Perry,19,8.3
47,33,33,Tim Petrovic,19,8.3
48,33,33,Tag Ridings,1,8.3
49,33,33,Dave Rummells,1,8.3
50,33,33,Jeff Sluman,20,8.3
51,33,33,David Toms,14,8.3
52,33,33,Kirk Triplett,19,8.3
53,54,54,K.J. Choi,20,8.2
54,54,54,Michael Clark II,5,8.2
55,54,54,Jay Delsing,5,8.2
56,54,54,Chris DiMarco,19,8.2
57,54,54,Brad Faxon,19,8.2
58,54,54,Fred Funk,21,8.2
59,54,54,Tom Gillis,10,8.2
60,54,54,Ken Green,3,8.2
61,54,54,Charles Howell III,23,8.2
62,54,54,Pete Jordan,1,8.2
63,54,54,Paul Lawrie,3,8.2
64,54,54,Tom Lehman,16,8.2
65,54,54,Peter Lonard,17,8.2
66,54,54,Shigeki Maruyama,15,8.2
67,54,54,Arron Oberholser,15,8.2
68,54,54,Paul Stankowski,12,8.2
69,54,54,Hal Sutton,15,8.2
70,54,54,Bob Tway,16,8.2
71,54,54,Scott Verplank,20,8.2
72,54,54,Duffy Waldorf,16,8.2
73,74,74,Tommy Armour III,10,8.1
74,74,74,Cameron Beckman,17,8.1
75,74,74,Guy Boros,3,8.1
76,74,74,Jeff Brehaut,21,8.1
77,74,74,Ben Crane,18,8.1
78,74,74,Glen Day,19,8.1
79,74,74,Joe Durant,18,8.1
80,74,74,Dan Forsman,20,8.1
81,74,74,Paul Gow,9,8.1
82,74,74,Paul Goydos,17,8.1
83,74,74,J.P. Hayes,12,8.1
84,74,74,Tim Herron,20,8.1
85,74,74,Lee Janzen,13,8.1
86,74,74,Brandt Jobe,15,8.1
87,74,74,Jonathan Kaye,15,8.1
88,74,74,Skip Kendall,23,8.1
89,74,74,Bernhard Langer,10,8.1
90,74,74,Steve Lowery,12,8.1
91,74,74,Rocco Mediate,15,8.1
92,74,74,Dennis Paulson,9,8.1
93,74,74,Tom Pernice Jr.,19,8.1
94,74,74,Carl Pettersson,14,8.1
95,74,74,Brett Quigley,17,8.1
96,74,74,Loren Roberts,17,8.1
97,74,74,John Rollins,13,8.1
98,74,74,Mario Tiziani,1,8.1
99,74,74,Garrett Willis,16,8.1
100,101,101,Steve Allan,7,8.0
101,101,101,Billy Andrade,18,8.0
102,101,101,Woody Austin,20,8.0
103,101,101,Jonathan Byrd,19,8.0
104,101,101,Alex Cejka,16,8.0
105,101,101,Tim Clark,13,8.0
106,101,101,Luke Donald,16,8.0
107,101,101,Brad Elder,5,8.0
108,101,101,Steve Elkington,6,8.0
109,101,101,Carlos Franco,18,8.0
110,101,101,Harrison Frazar,16,8.0
111,101,101,David Frost,15,8.0
112,101,101,Jeff Gallagher,5,8.0
113,101,101,Robert Gamez,24,8.0
114,101,101,Brian Gay,13,8.0
115,101,101,Brent Geiberger,9,8.0
116,101,101,Matt Gogel,11,8.0
117,101,101,David Gossett,17,8.0
118,101,101,Mike Heinen,15,8.0
119,101,101,Trevor Immelman,4,8.0
120,101,101,Freddie Jacobson,5,8.0
121,101,101,Per-Ulrik Johansson,15,8.0
122,101,101,Hank Kuehne,13,8.0
123,101,101,Andrew Magee,18,8.0
124,101,101,Hunter Mahan,4,8.0
125,101,101,James McLean,5,8.0
126,101,101,Deane Pappas,13,8.0
127,101,101,David Peoples,18,8.0
128,101,101,Nick Price,12,8.0
129,101,101,Justin Rose,6,8.0
130,101,101,Rory Sabbatini,18,8.0
131,101,101,Adam Scott,8,8.0
132,101,101,John Senden,20,8.0
133,101,101,Patrick Sheehan,18,8.0
134,101,101,Joey Sindelar,17,8.0
135,101,101,Mike Small,1,8.0
136,101,101,David Sutherland,11,8.0
137,101,101,Kevin Sutherland,17,8.0
138,101,101,Hidemichi Tanaka,24,8.0
139,101,101,Dean Wilson,13,8.0
140,141,141,Aaron Baddeley,13,7.9
141,141,141,Craig Barlow,17,7.9
142,141,141,Pat Bates,18,7.9
143,141,141,"David Berganio, Jr.",6,7.9
144,141,141,Olin Browne,20,7.9
145,141,141,Greg Chalmers,16,7.9
146,141,141,John Daly,6,7.9
147,141,141,Robert Damron,14,7.9
148,141,141,Todd Fischer,15,7.9
149,141,141,J.J. Henry,17,7.9
150,141,141,Greg Kraft,6,7.9
151,141,141,Cliff Kresge,17,7.9
152,141,141,Neal Lancaster,19,7.9
153,141,141,Scott Laycock,10,7.9
154,141,141,Frank Lickliter II,15,7.9
155,141,141,Jeff Maggert,15,7.9
156,141,141,Billy Mayfair,17,7.9
157,141,141,Phil Mickelson,14,7.9
158,141,141,Colin Montgomerie,3,7.9
159,141,141,John Morgan,11,7.9
160,141,141,Mark O'Meara,7,7.9
161,141,141,Jesper Parnevik,17,7.9
162,141,141,Jeff Quinney,1,7.9
163,141,141,John Riegger,10,7.9
164,141,141,Chris Smith,14,7.9
165,141,141,Mike Springer,4,7.9
166,141,141,Mike Standly,4,7.9
167,141,141,Esteban Toledo,18,7.9
168,141,141,Richard Zokol,2,7.9
169,170,170,Aaron Barber,13,7.8
170,170,170,Todd Barranger,7,7.8
171,170,170,Brian Bateman,9,7.8
172,170,170,Danny Briggs,1,7.8
173,170,170,Tom Byrum,15,7.8
174,170,170,José Coceres,9,7.8
175,170,170,Michael Flynn,1,7.8
176,170,170,Sergio Garcia,7,7.8
177,170,170,Mathew Goggin,14,7.8
178,170,170,Dudley Hart,13,7.8
179,170,170,Brian Henninger,10,7.8
180,170,170,David Howell,1,7.8
181,170,170,Richard Johnson,16,7.8
182,170,170,Joel Kribel,3,7.8
183,170,170,Ian Leggatt,9,7.8
184,170,170,J.L. Lewis,16,7.8
185,170,170,Bob May,6,7.8
186,170,170,Greg Norman,2,7.8
187,170,170,Steve Pate,4,7.8
188,170,170,Pat Perez,15,7.8
189,170,170,Dicky Pride,12,7.8
190,170,170,Eduardo Romero,3,7.8
191,170,170,Tom Scherrer,7,7.8
192,170,170,Brent Schwarzrock,10,7.8
193,170,170,Heath Slocum,17,7.8
194,170,170,Mike Sposa,10,7.8
195,170,170,Darron Stiles,14,7.8
196,170,170,Chip Sullivan,1,7.8
197,198,198,Notah Begay III,15,7.7
198,198,198,Jay Don Blake,9,7.7
199,198,198,Brad Bryant,2,7.7
200,198,198,Ángel Cabrera,3,7.7
201,198,198,Jim Carter,14,7.7
202,198,198,Brian Claar,1,7.7
203,198,198,David Duval,3,7.7
204,198,198,David Edwards,8,7.7
205,198,198,Joel Edwards,7,7.7
206,198,198,Jason Gore,11,7.7
207,198,198,Michael Harris,1,7.7
208,198,198,Thomas Levet,15,7.7
209,198,198,Len Mattiace,16,7.7
210,198,198,Blaine McCallister,4,7.7
211,198,198,Spike McRoy,16,7.7
212,198,198,Shaun Micheel,19,7.7
213,198,198,David Morland IV,1,7.7
214,198,198,Carl Paulson,18,7.7
215,198,198,Corey Pavin,18,7.7
216,198,198,Craig Perks,11,7.7
217,198,198,Kenneth Staton,7,7.7
218,198,198,"Dave Stockton, Jr.",7,7.7
219,198,198,Steve Stricker,7,7.7
220,198,198,Grant Waite,6,7.7
221,198,198,Brian Watts,5,7.7
222,198,198,Jay Williamson,16,7.7
223,224,224,Steven Alker,13,7.6
224,224,224,Chris Anderson,14,7.6
225,224,224,Paul Azinger,10,7.6
226,224,224,Doug Barron,12,7.6
227,224,224,Rich Beem,11,7.6
228,224,224,Thomas Bjørn,2,7.6
229,224,224,Mark Brooks,13,7.6
230,224,224,Bart Bryant,6,7.6
231,224,224,Jason Buha,5,7.6
232,224,224,Jason Caron,7,7.6
233,224,224,Brandel Chamblee,6,7.6
234,224,224,Ben Curtis,12,7.6
235,224,224,Danny Ellis,7,7.6
236,224,224,Kelly Gibson,5,7.6
237,224,224,Mike Grob,13,7.6
238,224,224,Glen Hnatiuk,16,7.6
239,224,224,Peter Jacobsen,14,7.6
240,224,224,Kenichi Kuboya,14,7.6
241,224,224,Matt Kuchar,8,7.6
242,224,224,Jon Mills,1,7.6
243,224,224,Kelly Mitchum,2,7.6
244,224,224,Patrick Moore,2,7.6
245,224,224,Akio Sadakata,11,7.6
246,224,224,Ty Tryon,4,7.6
247,224,224,Charles Warren,1,7.6
248,249,249,Robert-Jan Derksen,1,7.5
249,249,249,"Jim Gallagher, Jr.",2,7.5
250,249,249,Derek Gillespie,1,7.5
251,249,249,Donnie Hammond,18,7.5
252,249,249,Steve Jones,5,7.5
253,249,249,Brad Lardon,1,7.5
254,249,249,Stephen Leaney,3,7.5
255,249,249,John Maginnes,12,7.5
256,249,249,Andy Miller,12,7.5
257,249,249,Alan Morin,1,7.5
258,249,249,John Morse,2,7.5
259,249,249,Gary Nicklaus,2,7.5
260,249,249,Anthony Painter,12,7.5
261,249,249,Gene Sauers,12,7.5
262,249,249,Scott Simpson,4,7.5
263,249,249,Craig Stadler,3,7.5
264,249,249,Stan Utley,6,7.5
265,249,249,Lee Westwood,5,7.5
266,249,249,Mark Wilson,10,7.5
267,268,268,Chris Baryla,1,7.4
268,268,268,Brian Davis,1,7.4
269,268,268,Nick Faldo,4,7.4
270,268,268,Graeme McDowell,1,7.4
271,268,268,Larry Mize,4,7.4
272,268,268,Michael Muehr,3,7.4
273,268,268,Hennie Otto,2,7.4
274,268,268,Ian Poulter,2,7.4
275,268,268,Phillip Price,4,7.4
276,268,268,D.A. Weibring,2,7.4
277,268,268,Willie Wood,6,7.4
278,279,279,Arjun Atwal,1,7.3
279,279,279,John Cook,3,7.3
280,279,279,Alastair Forsyth,1,7.3
281,279,279,Ignacio Garrido,2,7.3
282,279,279,Philip Golding,1,7.3
283,279,279,Mark Hensby,1,7.3
284,279,279,Troy Matteson,2,7.3
285,279,279,Yusaku Miyazato,1,7.3
286,279,279,José María Olazábal,5,7.3
287,279,279,Craig Parry,7,7.3
288,279,279,Vance Veazey,7,7.3
289,279,279,Kaname Yokoo,5,7.3
290,291,291,Bob Burns,13,7.2
291,291,291,Gavin Coles,5,7.2
292,291,291,Bill Glasson,7,7.2
293,291,291,Gary Hallberg,3,7.2
294,291,291,Scott Hoch,6,7.2
295,296,296,Kevin Na,1,7.1
296,296,296,D.J. Trahan,1,7.1
297,296,296,Cameron Yancey,5,7.1
298,299,299,Keith Fergus,2,7.0
299,299,299,Nolan Henke,2,7.0
300,299,299,Gabriel Hjertstedt,1,7.0
301,299,299,Thongchai Jaidee,1,7.0
302,299,299,Søren Kjeldsen,1,7.0
303,299,299,Peter O'Malley,2,7.0
304,299,299,Tyler Swanson,1,7.0
305,306,306,"Joe Acosta, Jr.",1,6.9
306,306,306,Mike Hulbert,1,6.9
307,306,306,Jarrod Moseley,1,6.9
308,309,309,Andy Bean,1,6.8
309,309,309,Phil Blackmar,1,6.8
310,309,309,Robin Freeman,4,6.8
311,309,309,Paul McGinley,1,6.8
312,309,309,Jyoti Randhawa,1,6.8
313,314,314,Taichi Teshima,1,6.7
314,315,315,Mark Foster,1,6.6
315,315,315,Ryuji Imada,1,6.6
316,315,315,Jeff Klein,4,6.6
317,315,315,Steen Tinning,1,6.6
318,319,319,Scott Dunlap,1,6.5
319,319,319,Raphael Jacquelin,1,6.5
320,321,321,Fulton Allem,2,6.4
321,321,321,Pierre Fulke,1,6.4
322,321,321,David Ogrin,1,6.4
323,324,324,Dan Halldorson,1,6.3
324,324,324,Robert Karlsson,1,6.3
325,326,326,Tim Wilkinson,1,6.2
326,327,327,Michael Campbell,2,6.1
327,328,328,Todd Rose,1,6.0
328,329,329,Todd Hamilton,1,5.9
329,329,329,Mark Walker,1,5.9
330,331,331,Edward Fryatt,1,5.7
