,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,T1,T1,David Gossett,92,51,66
1,T1,T1,John Senden,111,51,62
2,T3,T3,Jeff Brehaut,110,47,62
3,T3,T3,Joe Durant,96,47,56
4,T3,T3,J.L. Lewis,99,47,59
5,T3,T3,Garrett Willis,97,47,60
6,7,7,Darron Stiles,93,44,53
7,T8,T8,Briny Baird,113,43,62
8,T8,T8,Doug Barron,90,43,54
9,T8,T8,Jim Carter,95,43,49
10,T8,T8,Mike Heinen,89,43,54
11,T8,T8,Jerry Kelly,108,43,49
12,T8,T8,Heath Slocum,101,43,56
13,T14,T14,Carlos Franco,99,42,50
14,T14,T14,Jeff Sluman,106,42,47
15,T16,T16,Spike McRoy,103,41,49
16,T16,T16,David Sutherland,77,41,55
17,T16,T16,Esteban Toledo,109,41,57
18,T19,T19,Craig Barlow,95,40,52
19,T19,T19,K.J. Choi,112,40,46
20,T19,T19,J.J. Henry,100,40,46
21,T19,T19,David Peoples,96,40,44
22,T19,T19,Akio Sadakata,83,40,57
23,T19,T19,Gene Sauers,87,40,48
24,T25,T25,Dan Forsman,98,39,46
25,T25,T25,Robert Gamez,114,39,52
26,T25,T25,Per-Ulrik Johansson,96,39,52
27,T25,T25,Thomas Levet,85,39,46
28,T29,T29,Billy Andrade,100,38,45
29,T29,T29,Woody Austin,107,38,57
30,T29,T29,Pat Bates,111,38,47
31,T29,T29,Carl Paulson,101,38,54
32,T29,T29,Rory Sabbatini,95,38,58
33,T34,T34,Mathew Goggin,90,37,50
34,T34,T34,Glen Hnatiuk,92,37,46
35,T34,T34,Chris Smith,92,37,45
36,T37,T37,Steve Flesch,110,36,47
37,T37,T37,Fred Funk,112,36,44
38,T37,T37,John Morgan,81,36,52
39,T37,T37,Anthony Painter,87,36,49
40,T41,T41,Todd Barranger,78,35,53
41,T41,T41,Notah Begay III,92,35,48
42,T41,T41,Alex Cejka,98,35,44
43,T41,T41,Brian Gay,100,35,39
44,T41,T41,Charles Howell III,120,35,42
45,T41,T41,Hank Kuehne,73,35,40
46,T41,T41,Hidemichi Tanaka,112,35,42
47,T48,T48,Cameron Beckman,86,34,42
48,T48,T48,Jason Caron,74,34,42
49,T48,T48,Jason Gore,83,34,45
50,T48,T48,Neal Lancaster,110,34,50
51,T48,T48,Andrew Magee,91,34,42
52,T48,T48,Shaun Micheel,97,34,45
53,T48,T48,Kirk Triplett,92,34,40
54,T55,T55,Rich Beem,80,33,39
55,T55,T55,Marco Dawson,86,33,41
56,T55,T55,Brandt Jobe,77,33,40
57,T55,T55,Tom Pernice Jr.,105,33,42
58,T55,T55,Brent Schwarzrock,60,33,42
59,T60,T60,Stephen Ames,91,32,43
60,T60,T60,Olin Browne,113,32,39
61,T60,T60,Bob Burns,88,32,42
62,T60,T60,Jonathan Byrd,101,32,45
63,T60,T60,Paul Goydos,86,32,38
64,T60,T60,Mike Grob,83,32,38
65,T60,T60,Ian Leggatt,71,32,36
66,T60,T60,Billy Mayfair,105,32,52
67,T60,T60,Kenny Perry,98,32,37
68,T60,T60,Vijay Singh,106,32,38
69,T60,T60,Mark Wilson,82,32,43
70,T71,T71,Robert Allenby,87,31,39
71,T71,T71,Chris Anderson,96,31,39
72,T71,T71,Robert Damron,96,31,41
73,T71,T71,Jonathan Kaye,91,31,44
74,T71,T71,Tom Lehman,87,31,39
75,T71,T71,Steve Lowery,86,31,42
76,T77,T77,Tom Byrum,97,30,36
77,T77,T77,Kenichi Kuboya,91,30,44
78,T77,T77,John Maginnes,87,30,38
79,T77,T77,Pat Perez,95,30,49
80,T77,T77,Patrick Sheehan,101,30,46
81,T77,T77,Mike Sposa,72,30,35
82,T77,T77,Mike Weir,80,30,32
83,T77,T77,Jay Williamson,93,30,42
84,T85,T85,Steven Alker,87,29,33
85,T85,T85,Skip Kendall,110,29,31
86,T85,T85,Jeff Klein,60,29,44
87,T85,T85,Frank Lickliter II,94,29,40
88,T89,T89,Glen Day,103,28,35
89,T89,T89,Brad Faxon,97,28,36
90,T89,T89,Matt Gogel,77,28,33
91,T89,T89,Tim Herron,102,28,38
92,T89,T89,Matt Kuchar,63,28,34
93,T89,T89,Andy Miller,75,28,35
94,T89,T89,Craig Perks,82,28,39
95,T89,T89,Joey Sindelar,93,28,32
96,T89,T89,Kenneth Staton,59,28,40
97,T98,T98,Mark Calcavecchia,84,27,41
98,T98,T98,Chad Campbell,105,27,37
99,T98,T98,José Coceres,62,27,35
100,T98,T98,Harrison Frazar,88,27,36
101,T98,T98,Chris Riley,96,27,32
102,T98,T98,Kevin Sutherland,97,27,33
103,T98,T98,Hal Sutton,81,27,29
104,T98,T98,Duffy Waldorf,90,27,40
105,T98,T98,Dean Wilson,82,27,30
106,T107,T107,Todd Fischer,97,26,34
107,T107,T107,Donnie Hammond,92,26,36
108,T107,T107,Jeff Maggert,81,26,43
109,T107,T107,Mark O'Meara,69,26,35
110,T107,T107,Carl Pettersson,80,26,36
111,T107,T107,Brett Quigley,92,26,32
112,T107,T107,Ty Tryon,52,26,34
113,T107,T107,Vance Veazey,66,26,31
114,T115,T115,Stuart Appleby,90,25,37
115,T115,T115,Aaron Barber,94,25,39
116,T115,T115,Brian Bateman,70,25,35
117,T115,T115,Ben Curtis,69,25,34
118,T115,T115,Cliff Kresge,102,25,43
119,T115,T115,Brenden Pappas,105,25,41
120,T115,T115,Paul Stankowski,67,25,34
121,T115,T115,Bob Tway,89,25,31
122,T123,T123,Gavin Coles,69,24,35
123,T123,T123,Paul Gow,62,24,32
124,T123,T123,Arron Oberholser,80,24,34
125,T123,T123,Tim Petrovic,108,24,34
126,T123,T123,John Rollins,89,24,27
127,T123,T123,Steve Stricker,59,24,28
128,T123,T123,David Toms,90,24,35
129,T130,T130,Paul Azinger,73,23,30
130,T130,T130,Stewart Cink,104,23,29
131,T130,T130,Shigeki Maruyama,87,23,29
132,T130,T130,Rocco Mediate,80,23,29
133,T130,T130,Geoff Ogilvy,86,23,33
134,T135,T135,Tommy Armour III,66,22,31
135,T135,T135,Jay Don Blake,77,22,27
136,T135,T135,Mark Brooks,90,22,30
137,T135,T135,Greg Chalmers,98,22,28
138,T135,T135,Kent Jones,74,22,30
139,T140,T140,Ben Crane,94,21,30
140,T140,T140,Chris DiMarco,98,21,23
141,T140,T140,Luke Donald,88,21,28
142,T140,T140,Brad Elder,51,21,22
143,T140,T140,Rod Pampling,87,21,28
144,T140,T140,Jesper Parnevik,102,21,25
145,T140,T140,"Dave Stockton, Jr.",79,21,35
146,T140,T140,Cameron Yancey,58,21,29
147,T148,T148,Jason Buha,61,20,29
148,T148,T148,Tim Clark,79,20,28
149,T148,T148,David Frost,80,20,22
150,T148,T148,Tom Gillis,71,20,39
151,T148,T148,Jay Haas,89,20,24
152,T148,T148,Peter Lonard,96,20,32
153,T148,T148,Scott McCarron,86,20,24
154,T148,T148,Phil Mickelson,87,20,26
155,T148,T148,Corey Pavin,88,20,26
156,T157,T157,Michael Clark II,54,19,31
157,T157,T157,Bob Estes,92,19,25
158,T157,T157,Richard Johnson,89,19,25
159,T157,T157,Justin Leonard,80,19,21
160,T157,T157,Nick Price,65,19,20
161,T157,T157,Tiger Woods,74,19,25
162,T157,T157,Kaname Yokoo,56,19,21
163,T164,T164,Jim Furyk,104,18,18
164,T164,T164,Dudley Hart,66,18,22
165,T164,T164,Peter Jacobsen,75,18,27
166,T164,T164,Lee Janzen,83,18,25
167,T164,T164,Davis Love III,85,18,22
168,T164,T164,Len Mattiace,94,18,21
169,T164,T164,Deane Pappas,75,18,25
170,T171,T171,John Daly,56,17,26
171,T171,T171,Sergio Garcia,62,17,26
172,T171,T171,Retief Goosen,69,17,21
173,T171,T171,J.P. Hayes,79,17,22
174,T171,T171,Scott Laycock,71,17,31
175,T171,T171,John Riegger,55,17,21
176,T177,T177,Steve Allan,53,16,19
177,T177,T177,Aaron Baddeley,71,16,22
178,T177,T177,Darren Clarke,61,16,19
179,T177,T177,Joel Edwards,60,16,22
180,T177,T177,Bernhard Langer,65,16,19
181,T177,T177,Scott Verplank,97,16,25
182,T183,T183,Ernie Els,65,15,20
183,T183,T183,Dicky Pride,73,15,21
184,T183,T183,Adam Scott,52,15,19
185,T186,T186,Brian Henninger,56,14,17
186,T186,T186,John Huston,76,14,26
187,188,188,Brent Geiberger,51,13,17
188,189,189,Loren Roberts,87,12,16
189,190,190,Fred Couples,71,11,15
