,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Tiger Woods,74,76.5,1224,16
1,2,2,Carlos Franco,99,79.4,1746,22
2,3,3,Paul Stankowski,67,86.1,1206,14
3,4,4,Ernie Els,65,90.0,1080,12
4,5,5,Darren Clarke,61,97.2,972,10
5,6,6,Robert Gamez,114,97.7,2052,21
6,7,7,Jason Gore,83,99.6,1494,15
7,8,8,Darron Stiles,93,101.3,1620,16
8,9,9,Brent Geiberger,51,102.0,918,9
9,T10,T10,Sergio Garcia,62,102.6,1026,10
10,T10,T10,Kenneth Staton,59,102.6,1026,10
11,12,12,Mike Sposa,72,105.0,1260,12
12,13,13,Chad Campbell,105,108.0,1836,17
13,14,14,John Daly,56,112.0,1008,9
14,15,15,J.J. Henry,100,115.2,1728,15
15,16,16,Hank Kuehne,73,116.2,1278,11
16,17,17,Davis Love III,85,118.5,1422,12
17,18,18,Lee Janzen,83,120.0,1440,12
18,19,19,John Huston,76,122.7,1350,11
19,20,20,Brenden Pappas,105,123.6,1854,15
20,21,21,Patrick Sheehan,101,127.3,1782,14
21,22,22,David Gossett,92,127.4,1656,13
22,23,23,Pat Perez,95,128.8,1674,13
23,24,24,Jim Furyk,104,129.9,1818,14
24,25,25,Andrew Magee,91,133.5,1602,12
25,26,26,Woody Austin,107,133.7,1872,14
26,27,27,Aaron Baddeley,71,134.0,1206,9
27,28,28,Todd Barranger,78,135.0,1350,10
28,29,29,Rich Beem,80,138.6,1386,10
29,30,30,Vijay Singh,106,141.2,1836,13
30,T31,T31,Mike Heinen,89,144.0,1584,11
31,T31,T31,Jerry Kelly,108,144.0,1872,13
32,T31,T31,Steve Lowery,86,144.0,1440,10
33,T31,T31,David Peoples,96,144.0,1728,12
34,T31,T31,Tim Petrovic,108,144.0,1872,13
35,36,36,J.L. Lewis,99,145.5,1746,12
36,37,37,Matt Gogel,77,146.0,1314,9
37,38,38,Geoff Ogilvy,86,147.6,1476,10
38,39,39,Frank Lickliter II,94,148.9,1638,11
39,T40,T40,Andy Miller,75,150.0,1350,9
40,T40,T40,Mike Weir,80,150.0,1350,9
41,42,42,Chris Smith,92,150.5,1656,11
