,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Aaron Barber,67.8,339,5
1,2,2,John Huston,68.25,273,4
2,3,3,Jay Haas,68.33,410,6
3,4,4,Bob Estes,69.0,483,7
4,5,5,Robert Gamez,69.08,829,12
5,T6,T6,Jim Furyk,69.1,691,10
6,T6,T6,Charles Howell III,69.1,691,10
7,8,8,Paul Goydos,69.13,553,8
8,9,9,Retief Goosen,69.14,484,7
9,10,10,Stewart Cink,69.17,415,6
10,T11,T11,Jeff Brehaut,69.2,346,5
11,T11,T11,Ernie Els,69.2,346,5
12,T13,T13,Phil Mickelson,69.25,277,4
13,T13,T13,Pat Perez,69.25,554,8
14,15,15,Jeff Sluman,69.27,762,11
15,16,16,Mike Weir,69.29,485,7
16,17,17,Brent Schwarzrock,69.33,208,3
17,18,18,Arron Oberholser,69.38,555,8
18,19,19,Patrick Sheehan,69.42,833,12
19,T20,T20,Stuart Appleby,69.44,625,9
20,T20,T20,Jason Gore,69.44,625,9
21,T20,T20,David Toms,69.44,625,9
22,T23,T23,Fred Couples,69.5,417,6
23,T23,T23,Brent Geiberger,69.5,417,6
24,T23,T23,Tiger Woods,69.5,417,6
25,26,26,Ben Crane,69.56,626,9
26,T27,T27,Cameron Beckman,69.6,696,10
27,T27,T27,Hal Sutton,69.6,696,10
28,T29,T29,Mark Calcavecchia,69.67,627,9
29,T29,T29,Adam Scott,69.67,209,3
30,T29,T29,Kevin Sutherland,69.67,627,9
31,T29,T29,Hidemichi Tanaka,69.67,418,6
32,T29,T29,Kirk Triplett,69.67,627,9
33,34,34,Harrison Frazar,69.75,558,8
34,35,35,John Morgan,69.8,349,5
35,T36,T36,Peter Jacobsen,69.83,419,6
36,T36,T36,Richard Johnson,69.83,419,6
37,38,38,Chad Campbell,69.89,629,9
38,T39,T39,Brian Bateman,70.0,210,3
39,T39,T39,Olin Browne,70.0,560,8
40,T39,T39,Dan Forsman,70.0,630,9
41,T39,T39,Billy Mayfair,70.0,630,9
42,T39,T39,Deane Pappas,70.0,210,3
43,T39,T39,Scott Verplank,70.0,630,9
44,45,45,Lee Janzen,70.13,561,8
45,46,46,Fred Funk,70.14,491,7
46,47,47,Jeff Maggert,70.17,421,6
47,T48,T48,Aaron Baddeley,70.2,351,5
48,T48,T48,Jonathan Byrd,70.2,702,10
49,T48,T48,J.J. Henry,70.2,702,10
50,T48,T48,David Peoples,70.2,702,10
51,T48,T48,Nick Price,70.2,351,5
52,T48,T48,Duffy Waldorf,70.2,351,5
53,54,54,Skip Kendall,70.25,562,8
54,T55,T55,Brandt Jobe,70.29,492,7
55,T55,T55,Jay Williamson,70.29,492,7
56,T57,T57,David Frost,70.33,422,6
57,T57,T57,Loren Roberts,70.33,633,9
58,T57,T57,John Senden,70.33,844,12
59,T60,T60,Frank Lickliter II,70.38,563,8
60,T60,T60,Dicky Pride,70.38,563,8
61,T62,T62,Darren Clarke,70.4,352,5
62,T62,T62,Dean Wilson,70.4,352,5
63,T64,T64,K.J. Choi,70.43,493,7
64,T64,T64,Shaun Micheel,70.43,493,7
65,T66,T66,Brian Henninger,70.5,282,4
66,T66,T66,Rocco Mediate,70.5,564,8
67,T66,T66,John Rollins,70.5,564,8
68,T66,T66,Cameron Yancey,70.5,282,4
69,70,70,Briny Baird,70.54,917,13
70,71,71,Kenny Perry,70.57,494,7
71,T72,T72,Stephen Ames,70.6,353,5
72,T72,T72,Jason Buha,70.6,353,5
73,T72,T72,David Gossett,70.6,706,10
74,T72,T72,Jonathan Kaye,70.6,353,5
75,76,76,Jerry Kelly,70.62,918,13
76,77,77,Billy Andrade,70.63,565,8
77,78,78,Tim Petrovic,70.64,777,11
78,79,79,Heath Slocum,70.67,424,6
79,80,80,Carlos Franco,70.73,778,11
80,81,81,Mike Sposa,70.75,566,8
81,82,82,Rod Pampling,70.78,637,9
82,T83,T83,Thomas Levet,70.83,425,6
83,T83,T83,Darron Stiles,70.83,425,6
84,T85,T85,Donnie Hammond,70.86,496,7
85,T85,T85,Corey Pavin,70.86,496,7
86,87,87,Robert Allenby,70.88,567,8
87,88,88,Glen Day,70.89,638,9
88,T89,T89,Mark Brooks,70.92,922,13
89,T89,T89,Chris Riley,70.92,851,12
90,T91,T91,Steven Alker,71.0,284,4
91,T91,T91,Chris Anderson,71.0,284,4
92,T91,T91,Joe Durant,71.0,426,6
93,T91,T91,Kenichi Kuboya,71.0,426,6
94,T91,T91,Tom Lehman,71.0,355,5
95,T91,T91,Davis Love III,71.0,284,4
96,T91,T91,Brett Quigley,71.0,497,7
97,T91,T91,Vance Veazey,71.0,284,4
98,99,99,J.P. Hayes,71.1,711,10
99,100,100,Gene Sauers,71.11,640,9
100,101,101,Shigeki Maruyama,71.13,569,8
101,T102,T102,Hank Kuehne,71.17,427,6
102,T102,T102,Akio Sadakata,71.17,427,6
103,104,104,Matt Kuchar,71.2,356,5
104,T105,T105,Greg Chalmers,71.22,641,9
105,T105,T105,Brad Faxon,71.22,641,9
106,T105,T105,Tim Herron,71.22,641,9
107,108,108,Vijay Singh,71.25,285,4
108,T109,T109,Sergio Garcia,71.33,214,3
109,T109,T109,Bob Tway,71.33,642,9
110,T111,T111,John Daly,71.4,357,5
111,T111,T111,Luke Donald,71.4,714,10
112,T111,T111,Mathew Goggin,71.4,357,5
113,T111,T111,Len Mattiace,71.4,357,5
114,115,115,Tom Byrum,71.45,786,11
115,T116,T116,Doug Barron,71.5,572,8
116,T116,T116,Marco Dawson,71.5,572,8
117,T116,T116,Glen Hnatiuk,71.5,286,4
118,T116,T116,Brenden Pappas,71.5,572,8
119,T116,T116,Chris Smith,71.5,429,6
120,T116,T116,Mark Wilson,71.5,286,4
121,122,122,"Dave Stockton, Jr.",71.55,787,11
122,123,123,Tom Pernice Jr.,71.56,644,9
123,T124,T124,Woody Austin,71.57,501,7
124,T124,T124,Craig Barlow,71.57,501,7
125,126,126,Steve Stricker,71.71,502,7
126,T127,T127,Dudley Hart,71.78,646,9
127,T127,T127,Spike McRoy,71.78,646,9
128,129,129,Garrett Willis,71.83,431,6
129,130,130,Steve Flesch,71.85,934,13
130,T131,T131,Mike Heinen,71.86,503,7
131,T131,T131,Ian Leggatt,71.86,503,7
132,T131,T131,John Maginnes,71.86,503,7
133,134,134,Cliff Kresge,71.88,575,8
134,135,135,Craig Perks,71.89,647,9
135,T136,T136,Ben Curtis,72.0,648,9
136,T136,T136,Matt Gogel,72.0,288,4
137,T136,T136,Kent Jones,72.0,504,7
138,T136,T136,Andy Miller,72.0,360,5
139,T136,T136,Carl Paulson,72.0,720,10
140,T136,T136,John Riegger,72.0,216,3
141,T136,T136,Rory Sabbatini,72.0,504,7
142,T136,T136,Joey Sindelar,72.0,576,8
143,144,144,Chris DiMarco,72.1,721,10
144,T145,T145,Brian Gay,72.13,577,8
145,T145,T145,Mike Grob,72.13,577,8
146,147,147,Paul Azinger,72.14,505,7
147,T148,T148,Paul Gow,72.17,433,6
148,T148,T148,Justin Leonard,72.17,433,6
149,T150,T150,José Coceres,72.2,361,5
150,T150,T150,Andrew Magee,72.2,361,5
151,T150,T150,Carl Pettersson,72.2,361,5
152,153,153,Peter Lonard,72.29,506,7
153,154,154,Per-Ulrik Johansson,72.33,434,6
154,155,155,Jay Don Blake,72.38,579,8
155,156,156,Geoff Ogilvy,72.43,507,7
156,157,157,Robert Damron,72.44,652,9
157,T158,T158,Pat Bates,72.5,435,6
158,T158,T158,Bob Burns,72.5,580,8
159,T158,T158,David Sutherland,72.5,290,4
160,T161,T161,Gavin Coles,72.56,653,9
161,T161,T161,J.L. Lewis,72.56,653,9
162,163,163,Michael Clark II,72.6,363,5
163,164,164,Jim Carter,72.64,799,11
164,165,165,Tim Clark,72.71,509,7
165,166,166,Paul Stankowski,72.75,291,4
166,167,167,Alex Cejka,72.8,364,5
167,168,168,Jesper Parnevik,72.88,583,8
168,T169,T169,Notah Begay III,73.0,438,6
169,T169,T169,Todd Fischer,73.0,511,7
170,T169,T169,Tom Gillis,73.0,292,4
171,T169,T169,Steve Lowery,73.0,365,5
172,T169,T169,Kenneth Staton,73.0,146,2
173,T169,T169,Esteban Toledo,73.0,365,5
174,175,175,Scott McCarron,73.13,585,8
175,176,176,Joel Edwards,73.17,439,6
176,177,177,Rich Beem,73.2,366,5
177,178,178,Scott Laycock,73.25,293,4
178,179,179,Todd Barranger,73.3,733,10
179,180,180,Ty Tryon,73.33,440,6
180,181,181,Jason Caron,73.5,294,4
181,182,182,Anthony Painter,73.67,663,9
182,183,183,Brad Elder,73.71,516,7
183,T184,T184,Tommy Armour III,74.0,296,4
