,Front_9_Lowest_Round_RANK THIS WEEK,Front_9_Lowest_Round_RANK LAST WEEK,Front_9_Lowest_Round_PLAYER NAME,Front_9_Lowest_Round_LOW RND
0,T1,T1,Craig Barlow,28
1,T1,T1,Chris DiMarco,28
2,T3,T3,Jay Don Blake,29
3,T3,T3,Dan Forsman,29
4,T3,T3,Bill Glasson,29
5,T3,T3,John Huston,29
6,T3,T3,Skip Kendall,29
7,T3,T3,Justin Leonard,29
8,T3,T3,Steve Lowery,29
9,T3,T3,Andrew Magee,29
10,T3,T3,Phil Mickelson,29
11,T3,T3,Andy Miller,29
12,T3,T3,Pat Perez,29
13,T3,T3,Kenny Perry,29
14,T3,T3,Rory Sabbatini,29
15,T3,T3,Akio Sadakata,29
16,T3,T3,Vijay Singh,29
17,T3,T3,Ty Tryon,29
18,T3,T3,Scott Verplank,29
19,T3,T3,Mark Walker,29
20,T3,T3,Mike Weir,29
21,T22,T22,Robert Allenby,30
22,T22,T22,Tommy Armour III,30
23,T22,T22,Woody Austin,30
24,T22,T22,Paul Azinger,30
25,T22,T22,Aaron Baddeley,30
26,T22,T22,Aaron Barber,30
27,T22,T22,Todd Barranger,30
28,T22,T22,Bart Bryant,30
29,T22,T22,Jonathan Byrd,30
30,T22,T22,Tom Byrum,30
31,T22,T22,Chad Campbell,30
32,T22,T22,Jason Caron,30
33,T22,T22,Greg Chalmers,30
34,T22,T22,Brandel Chamblee,30
35,T22,T22,Russ Cochran,30
36,T22,T22,Fred Couples,30
37,T22,T22,Marco Dawson,30
38,T22,T22,Glen Day,30
39,T22,T22,Joel Edwards,30
40,T22,T22,Ernie Els,30
41,T22,T22,Nick Faldo,30
42,T22,T22,Steve Flesch,30
43,T22,T22,Carlos Franco,30
44,T22,T22,Harrison Frazar,30
45,T22,T22,Fred Funk,30
46,T22,T22,Jim Furyk,30
47,T22,T22,Robert Gamez,30
48,T22,T22,Sergio Garcia,30
49,T22,T22,Brian Gay,30
50,T22,T22,Brent Geiberger,30
51,T22,T22,Tom Gillis,30
52,T22,T22,Matt Gogel,30
53,T22,T22,Jason Gore,30
54,T22,T22,David Gossett,30
55,T22,T22,Jay Haas,30
56,T22,T22,Donnie Hammond,30
57,T22,T22,Mike Heinen,30
58,T22,T22,Tim Herron,30
59,T22,T22,David Howell,30
60,T22,T22,Trevor Immelman,30
61,T22,T22,Peter Jacobsen,30
62,T22,T22,Per-Ulrik Johansson,30
63,T22,T22,Kent Jones,30
64,T22,T22,Jonathan Kaye,30
65,T22,T22,Kenichi Kuboya,30
66,T22,T22,Hank Kuehne,30
67,T22,T22,Neal Lancaster,30
68,T22,T22,Bernhard Langer,30
69,T22,T22,J.L. Lewis,30
70,T22,T22,Frank Lickliter II,30
71,T22,T22,Jeff Maggert,30
72,T22,T22,John Maginnes,30
73,T22,T22,Billy Mayfair,30
74,T22,T22,Scott McCarron,30
75,T22,T22,Graeme McDowell,30
76,T22,T22,Brenden Pappas,30
77,T22,T22,David Peoples,30
78,T22,T22,Nick Price,30
79,T22,T22,Loren Roberts,30
80,T22,T22,John Rollins,30
81,T22,T22,Adam Scott,30
82,T22,T22,John Senden,30
83,T22,T22,Patrick Sheehan,30
84,T22,T22,Heath Slocum,30
85,T22,T22,Jeff Sluman,30
86,T22,T22,Chris Smith,30
87,T22,T22,Mike Sposa,30
88,T22,T22,Paul Stankowski,30
89,T22,T22,"Dave Stockton, Jr.",30
90,T22,T22,David Sutherland,30
91,T22,T22,Hidemichi Tanaka,30
92,T22,T22,Bob Tway,30
93,T22,T22,Vance Veazey,30
94,T22,T22,Willie Wood,30
95,T22,T22,Tiger Woods,30
96,T97,T97,Steven Alker,31
97,T97,T97,Steve Allan,31
98,T97,T97,Stephen Ames,31
99,T97,T97,Chris Anderson,31
100,T97,T97,Billy Andrade,31
101,T97,T97,Stuart Appleby,31
102,T97,T97,Briny Baird,31
103,T97,T97,Brian Bateman,31
104,T97,T97,Cameron Beckman,31
105,T97,T97,Rich Beem,31
106,T97,T97,Notah Begay III,31
107,T97,T97,"David Berganio, Jr.",31
108,T97,T97,Jeff Brehaut,31
109,T97,T97,Jason Buha,31
110,T97,T97,Bob Burns,31
111,T97,T97,Mark Calcavecchia,31
112,T97,T97,Jim Carter,31
113,T97,T97,Paul Casey,31
114,T97,T97,Alex Cejka,31
115,T97,T97,K.J. Choi,31
116,T97,T97,Stewart Cink,31
117,T97,T97,Michael Clark II,31
118,T97,T97,José Coceres,31
119,T97,T97,Ben Crane,31
120,T97,T97,Robert Damron,31
121,T97,T97,Luke Donald,31
122,T97,T97,Chris Downes,31
123,T97,T97,David Duval,31
124,T97,T97,Steve Elkington,31
125,T97,T97,Bob Estes,31
126,T97,T97,Niclas Fasth,31
127,T97,T97,Brad Faxon,31
128,T97,T97,Todd Fischer,31
129,T97,T97,Robin Freeman,31
130,T97,T97,David Frost,31
131,T97,T97,Jeff Gallagher,31
132,T97,T97,Retief Goosen,31
133,T97,T97,Paul Gow,31
134,T97,T97,Paul Goydos,31
135,T97,T97,J.P. Hayes,31
136,T97,T97,Brian Henninger,31
137,T97,T97,J.J. Henry,31
138,T97,T97,Charles Howell III,31
139,T97,T97,Lee Janzen,31
140,T97,T97,Brandt Jobe,31
141,T97,T97,Richard Johnson,31
142,T97,T97,Jerry Kelly,31
143,T97,T97,Joel Kribel,31
144,T97,T97,Matt Kuchar,31
145,T97,T97,Ian Leggatt,31
146,T97,T97,Tom Lehman,31
147,T97,T97,Thomas Levet,31
148,T97,T97,Peter Lonard,31
149,T97,T97,Davis Love III,31
150,T97,T97,Hunter Mahan,31
151,T97,T97,Shigeki Maruyama,31
152,T97,T97,Bob May,31
153,T97,T97,James McLean,31
154,T97,T97,Spike McRoy,31
155,T97,T97,Rocco Mediate,31
156,T97,T97,John Morgan,31
157,T97,T97,Gary Nicklaus,31
158,T97,T97,Greg Norman,31
159,T97,T97,Mark O'Meara,31
160,T97,T97,Arron Oberholser,31
161,T97,T97,Geoff Ogilvy,31
162,T97,T97,Anthony Painter,31
163,T97,T97,Rod Pampling,31
164,T97,T97,Deane Pappas,31
165,T97,T97,Jesper Parnevik,31
166,T97,T97,Steve Pate,31
167,T97,T97,Dennis Paulson,31
168,T97,T97,Carl Paulson,31
169,T97,T97,Corey Pavin,31
170,T97,T97,Tom Pernice Jr.,31
171,T97,T97,Chris Perry,31
172,T97,T97,Matt Peterson,31
173,T97,T97,Tim Petrovic,31
174,T97,T97,Carl Pettersson,31
175,T97,T97,Phillip Price,31
176,T97,T97,Dicky Pride,31
177,T97,T97,John Riegger,31
178,T97,T97,Chris Riley,31
179,T97,T97,Mark Roe,31
180,T97,T97,Justin Rose,31
181,T97,T97,Tom Scherrer,31
182,T97,T97,Craig Stadler,31
183,T97,T97,Kenneth Staton,31
184,T97,T97,Darron Stiles,31
185,T97,T97,Kevin Sutherland,31
186,T97,T97,Hal Sutton,31
187,T97,T97,David Toms,31
188,T97,T97,Kirk Triplett,31
189,T97,T97,Duffy Waldorf,31
190,T97,T97,Jay Williamson,31
191,T97,T97,Garrett Willis,31
192,T97,T97,Dean Wilson,31
193,T97,T97,Mark Wilson,31
194,T97,T97,Richard Zokol,31
195,T196,T196,JC Anderson,32
196,T196,T196,Ricky Barnes,32
197,T196,T196,Doug Barron,32
198,T196,T196,Pat Bates,32
199,T196,T196,Guy Boros,32
200,T196,T196,Mark Brooks,32
201,T196,T196,Olin Browne,32
202,T196,T196,Tim Clark,32
203,T196,T196,Darren Clarke,32
204,T196,T196,Bobby Cole,32
205,T196,T196,John Cook,32
206,T196,T196,Ben Curtis,32
207,T196,T196,John Daly,32
208,T196,T196,Brian Davis,32
209,T196,T196,Jay Delsing,32
210,T196,T196,Trevor Dodds,32
211,T196,T196,Joe Durant,32
212,T196,T196,David Edwards,32
213,T196,T196,Danny Ellis,32
214,T196,T196,Brad Fabel,32
215,T196,T196,Peter Fowler,32
216,T196,T196,Mathew Goggin,32
217,T196,T196,Ernie Gonzalez,32
218,T196,T196,Mike Grob,32
219,T196,T196,Padraig Harrington,32
220,T196,T196,Dudley Hart,32
221,T196,T196,Nolan Henke,32
222,T196,T196,Gabriel Hjertstedt,32
223,T196,T196,Glen Hnatiuk,32
224,T196,T196,Scott Hoch,32
225,T196,T196,Toshi Izawa,32
226,T196,T196,Steve Jones,32
227,T196,T196,Jeff Klein,32
228,T196,T196,Cliff Kresge,32
229,T196,T196,Scott Laycock,32
230,T196,T196,Gibby Martens,32
231,T196,T196,Len Mattiace,32
232,T196,T196,Blaine McCallister,32
233,T196,T196,Shaun Micheel,32
234,T196,T196,Larry Mize,32
235,T196,T196,Colin Montgomerie,32
236,T196,T196,Alan Morin,32
237,T196,T196,John Morse,32
238,T196,T196,José María Olazábal,32
239,T196,T196,Jerry Pate,32
240,T196,T196,Craig Perks,32
241,T196,T196,Ian Poulter,32
242,T196,T196,Brett Quigley,32
243,T196,T196,Eduardo Romero,32
244,T196,T196,Gene Sauers,32
245,T196,T196,Brent Schwarzrock,32
246,T196,T196,Joey Sindelar,32
247,T196,T196,Mike Springer,32
248,T196,T196,Curtis Strange,32
249,T196,T196,Steve Stricker,32
250,T196,T196,Mario Tiziani,32
251,T196,T196,Esteban Toledo,32
252,T196,T196,Grant Waite,32
253,T196,T196,Cameron Yancey,32
254,T196,T196,Kaname Yokoo,32
255,T256,T256,Brad Adamonis,33
256,T256,T256,Fulton Allem,33
257,T256,T256,Jeremy Anderson,33
258,T256,T256,Thomas Bjørn,33
259,T256,T256,Phil Blackmar,33
260,T256,T256,Craig Bowden,33
261,T256,T256,Danny Briggs,33
262,T256,T256,Brad Bryant,33
263,T256,T256,Ángel Cabrera,33
264,T256,T256,Tom Carter,33
265,T256,T256,Barry Cheesman,33
266,T256,T256,Gavin Coles,33
267,T256,T256,Patrick Damron,33
268,T256,T256,Paul Dietsche,33
269,T256,T256,Brad Elder,33
270,T256,T256,Keith Fergus,33
271,T256,T256,Alastair Forsyth,33
272,T256,T256,Edward Fryatt,33
273,T256,T256,"Jim Gallagher, Jr.",33
