,Round_3_Scoring_Average_RANK THIS WEEK,Round_3_Scoring_Average_RANK LAST WEEK,Round_3_Scoring_Average_PLAYER NAME,Round_3_Scoring_Average_AVG,Round_3_Scoring_Average_TOTAL STROKES,Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Chris Riley,68.0,1156,17
1,2,2,Steve Flesch,68.77,1513,22
2,3,3,Scott Verplank,68.91,1516,22
3,T4,T4,Chad Campbell,69.0,1656,24
4,T4,T4,Hal Sutton,69.0,1104,16
5,6,6,Stuart Appleby,69.06,1174,17
6,7,7,Vijay Singh,69.08,1727,25
7,8,8,Kenny Perry,69.09,1589,23
8,9,9,Briny Baird,69.17,1591,23
9,10,10,Sergio Garcia,69.18,761,11
10,11,11,Jeff Sluman,69.24,1454,21
11,12,12,Rod Pampling,69.27,1039,15
12,13,13,Mike Weir,69.28,1247,18
13,14,14,Davis Love III,69.39,1249,18
14,15,15,Rocco Mediate,69.41,1180,17
15,T16,T16,Cameron Beckman,69.47,1181,17
16,T16,T16,David Toms,69.47,1181,17
17,18,18,Chris DiMarco,69.48,1459,21
18,19,19,Justin Leonard,69.5,1112,16
19,20,20,Fred Funk,69.52,1599,23
20,21,21,Scott McCarron,69.53,1043,15
21,22,22,Jim Furyk,69.58,1670,24
22,23,23,Tiger Woods,69.65,1184,17
23,24,24,Ben Crane,69.68,1324,19
24,25,25,Tim Petrovic,69.7,1394,20
25,26,26,Tim Herron,69.76,1465,21
26,27,27,Bob Estes,69.81,1466,21
27,T28,T28,Robert Allenby,69.83,1257,18
28,T28,T28,Phil Mickelson,69.83,1257,18
29,30,30,Stewart Cink,69.86,1537,22
30,31,31,Ernie Els,69.87,1048,15
31,32,32,Notah Begay III,69.88,1118,16
32,33,33,Dicky Pride,69.92,909,13
33,T34,T34,Greg Chalmers,70.0,1190,17
34,T34,T34,Joel Edwards,70.0,490,7
35,T34,T34,Retief Goosen,70.0,1050,15
36,T34,T34,John Huston,70.0,1120,16
37,T38,T38,Robert Gamez,70.04,1751,25
38,T38,T38,Skip Kendall,70.04,1681,24
39,40,40,Woody Austin,70.05,1541,22
40,T41,T41,Paul Goydos,70.06,1191,17
41,T41,T41,Jay Haas,70.06,1261,18
42,T41,T41,Per-Ulrik Johansson,70.06,1261,18
43,44,44,Mark O'Meara,70.09,771,11
44,45,45,John Senden,70.1,1472,21
45,46,46,Todd Fischer,70.13,1122,16
46,47,47,Hidemichi Tanaka,70.15,1824,26
47,48,48,Jonathan Kaye,70.17,1263,18
48,49,49,Jeff Brehaut,70.18,1544,22
49,50,50,Fred Couples,70.19,1123,16
50,51,51,Darren Clarke,70.23,913,13
51,T52,T52,Jonathan Byrd,70.24,1475,21
52,T52,T52,Brad Faxon,70.24,1475,21
53,T52,T52,Neal Lancaster,70.24,1475,21
54,T55,T55,Pat Bates,70.25,1405,20
