,Tenth_Tee_Late_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Late_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Late_Lowest_Round_PLAYER NAME,Tenth_Tee_Late_Lowest_Round_ROUNDS,Tenth_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Tim Herron,102,61
1,T1,T1,Pat Perez,95,61
2,T3,T3,Briny Baird,113,62
3,T3,T3,Chris DiMarco,98,62
4,T3,T3,David Duval,47,62
5,T3,T3,Mike Heinen,89,62
6,T3,T3,Jerry Kelly,108,62
7,T3,T3,Scott McCarron,86,62
8,T3,T3,Adam Scott,52,62
9,T10,T10,Rich Beem,80,63
10,T10,T10,Tom Byrum,97,63
11,T10,T10,Darren Clarke,61,63
12,T10,T10,Brad Faxon,97,63
13,T10,T10,Dan Forsman,98,63
14,T10,T10,Jason Gore,83,63
15,T10,T10,Peter Jacobsen,75,63
16,T10,T10,Tom Lehman,87,63
17,T10,T10,Frank Lickliter II,94,63
18,T10,T10,Heath Slocum,101,63
19,T10,T10,Dean Wilson,82,63
20,T10,T10,Tiger Woods,74,63
21,T22,T22,Robert Allenby,87,64
22,T22,T22,Aaron Baddeley,71,64
23,T22,T22,Pat Bates,111,64
24,T22,T22,Jay Don Blake,77,64
25,T22,T22,Olin Browne,113,64
26,T22,T22,Bob Burns,88,64
27,T22,T22,John Daly,56,64
28,T22,T22,Robert Damron,96,64
29,T22,T22,Luke Donald,88,64
30,T22,T22,Chris Downes,4,64
31,T22,T22,Jim Furyk,104,64
32,T22,T22,Paul Goydos,86,64
33,T22,T22,Brian Henninger,56,64
34,T22,T22,John Huston,76,64
35,T22,T22,Richard Johnson,89,64
36,T22,T22,Hank Kuehne,73,64
37,T22,T22,Justin Leonard,80,64
38,T22,T22,Steve Lowery,86,64
39,T22,T22,Shigeki Maruyama,87,64
40,T22,T22,Rod Pampling,87,64
41,T22,T22,Dennis Paulson,49,64
42,T22,T22,Tom Pernice Jr.,105,64
43,T22,T22,Tim Petrovic,108,64
44,T22,T22,Loren Roberts,87,64
45,T22,T22,John Rollins,89,64
46,T22,T22,Rory Sabbatini,95,64
47,T22,T22,Vance Veazey,66,64
48,T22,T22,Mike Weir,80,64
49,T50,T50,Billy Andrade,100,65
50,T50,T50,Stuart Appleby,90,65
51,T50,T50,Woody Austin,107,65
52,T50,T50,Todd Barranger,78,65
53,T50,T50,Bart Bryant,25,65
54,T50,T50,Brandel Chamblee,43,65
55,T50,T50,Glen Day,103,65
56,T50,T50,Ernie Els,65,65
57,T50,T50,Bob Estes,92,65
58,T50,T50,Brian Gay,100,65
59,T50,T50,Brent Geiberger,51,65
60,T50,T50,Retief Goosen,69,65
61,T50,T50,David Gossett,92,65
62,T50,T50,Paul Gow,62,65
63,T50,T50,Jay Haas,89,65
64,T50,T50,Donnie Hammond,92,65
65,T50,T50,Dudley Hart,66,65
66,T50,T50,Charles Howell III,120,65
67,T50,T50,Skip Kendall,110,65
68,T50,T50,Kenichi Kuboya,91,65
69,T50,T50,Neal Lancaster,110,65
70,T50,T50,Bernhard Langer,65,65
71,T50,T50,Davis Love III,85,65
72,T50,T50,John Maginnes,87,65
73,T50,T50,Billy Mayfair,105,65
74,T50,T50,Rocco Mediate,80,65
75,T50,T50,Geoff Ogilvy,86,65
76,T50,T50,Anthony Painter,87,65
77,T50,T50,Brenden Pappas,105,65
78,T50,T50,David Peoples,96,65
79,T50,T50,Craig Perks,82,65
80,T50,T50,Chris Riley,96,65
81,T50,T50,Brent Schwarzrock,60,65
82,T50,T50,Patrick Sheehan,101,65
83,T50,T50,Joey Sindelar,93,65
84,T50,T50,Chris Smith,92,65
85,T50,T50,Mike Sposa,72,65
86,T50,T50,Paul Stankowski,67,65
87,T50,T50,Tom Watson,12,65
88,T50,T50,Jay Williamson,93,65
89,T90,T90,Fulton Allem,28,66
90,T90,T90,Stephen Ames,91,66
91,T90,T90,Chris Anderson,96,66
92,T90,T90,Craig Barlow,95,66
93,T90,T90,Mark Brooks,90,66
94,T90,T90,Brad Bryant,12,66
95,T90,T90,Jonathan Byrd,101,66
96,T90,T90,Mark Calcavecchia,84,66
97,T90,T90,Chad Campbell,105,66
98,T90,T90,Alex Cejka,98,66
