,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Ernie Els,65,3.83,161,42
1,2,2,Peter Jacobsen,75,3.87,523,135
2,T3,T3,Sergio Garcia,62,3.88,167,43
3,T3,T3,John Huston,76,3.88,376,97
4,T3,T3,Tiger Woods,74,3.88,159,41
5,6,6,Paul Gow,62,3.89,545,140
6,T7,T7,Charles Howell III,120,3.91,485,124
7,T7,T7,Nick Price,65,3.91,219,56
8,T9,T9,Stephen Ames,91,3.92,651,166
9,T9,T9,Bob Estes,92,3.92,376,96
10,T11,T11,Robert Allenby,87,3.93,472,120
11,T11,T11,Dan Forsman,98,3.93,586,149
12,T11,T11,Kirk Triplett,92,3.93,444,113
13,14,14,Lee Janzen,83,3.94,508,129
14,T15,T15,Brian Bateman,70,3.95,664,168
15,T15,T15,Shigeki Maruyama,87,3.95,593,150
16,T15,T15,Adam Scott,52,3.95,375,95
17,T18,T18,Glen Day,103,3.96,666,168
18,T18,T18,Jay Haas,89,3.96,432,109
19,T18,T18,Jerry Kelly,108,3.96,574,145
20,T18,T18,Duffy Waldorf,90,3.96,440,111
21,T22,T22,Olin Browne,113,3.97,894,225
22,T22,T22,Brent Geiberger,51,3.97,290,73
23,T22,T22,Len Mattiace,94,3.97,632,159
24,T22,T22,Rocco Mediate,80,3.97,361,91
25,T22,T22,Shaun Micheel,97,3.97,722,182
26,T22,T22,Tim Petrovic,108,3.97,908,229
27,T28,T28,Ben Crane,94,3.98,753,189
28,T28,T28,Chris DiMarco,98,3.98,689,173
29,T28,T28,Kent Jones,74,3.98,621,156
30,T28,T28,Justin Leonard,80,3.98,378,95
31,T28,T28,Brett Quigley,92,3.98,494,124
32,T33,T33,Woody Austin,107,3.99,795,199
33,T33,T33,Pat Bates,111,3.99,1072,269
34,T33,T33,Jim Furyk,104,3.99,566,142
35,T33,T33,Tim Herron,102,3.99,751,188
36,T33,T33,Skip Kendall,110,3.99,825,207
37,T33,T33,Hank Kuehne,73,3.99,587,147
38,T33,T33,Peter Lonard,96,3.99,431,108
39,T33,T33,Davis Love III,85,3.99,375,94
40,T33,T33,David Toms,90,3.99,359,90
41,T33,T33,Bob Tway,89,3.99,698,175
42,T43,T43,Briny Baird,113,4.0,944,236
43,T43,T43,José Coceres,62,4.0,244,61
44,T43,T43,Rod Pampling,87,4.0,672,168
45,T43,T43,David Peoples,96,4.0,881,220
46,T43,T43,Carl Pettersson,80,4.0,496,124
47,T43,T43,Vijay Singh,106,4.0,320,80
48,T49,T49,Aaron Baddeley,71,4.01,465,116
49,T49,T49,Rich Beem,80,4.01,465,116
50,T49,T49,Fred Couples,71,4.01,305,76
51,T49,T49,Robert Gamez,114,4.01,850,212
52,T49,T49,Brian Gay,100,4.01,710,177
53,T49,T49,J.P. Hayes,79,4.01,625,156
54,T49,T49,Cliff Kresge,102,4.01,830,207
55,T49,T49,Neal Lancaster,110,4.01,882,220
56,T49,T49,Loren Roberts,87,4.01,598,149
57,T49,T49,Brent Schwarzrock,60,4.01,297,74
58,T49,T49,Chris Smith,92,4.01,705,176
59,T60,T60,Harrison Frazar,88,4.02,708,176
60,T60,T60,Paul Goydos,86,4.02,796,198
61,T60,T60,Jonathan Kaye,91,4.02,438,109
