,Best_Sub-Par_Rounds_Streak_RANK THIS WEEK,Best_Sub-Par_Rounds_Streak_RANK LAST WEEK,Best_Sub-Par_Rounds_Streak_PLAYER NAME,Best_Sub-Par_Rounds_Streak_CAREER BEST STREAK,Best_Sub-Par_Rounds_Streak_BEST YTD STREAK,Best_Sub-Par_Rounds_Streak_CURRENT STREAK
0,1,1,Tim Petrovic,26,12.0,
1,2,2,Jeff Sluman,23,7.0,
2,T3,T3,Fred Couples,22,6.0,
3,T3,T3,Scott McCarron,22,8.0,
4,T5,T5,Stuart Appleby,21,12.0,
5,T5,T5,Bob Estes,21,7.0,
6,T5,T5,Scott Verplank,21,9.0,
7,T8,T8,Jay Don Blake,20,4.0,
8,T8,T8,Joey Sindelar,20,8.0,
9,T10,T10,Joe Durant,19,10.0,
10,T10,T10,Jesper Parnevik,19,9.0,
11,T10,T10,Dan Pohl,19,,
12,T13,T13,Glen Day,18,10.0,
13,T13,T13,Chris DiMarco,18,15.0,
14,T13,T13,Charles Howell III,18,11.0,
15,T13,T13,Craig Parry,18,5.0,
16,T17,T17,Ronnie Black,17,,
17,T17,T17,Jonathan Byrd,17,9.0,
18,T17,T17,Ed Fiori,17,,
19,T17,T17,Donnie Hammond,17,6.0,
20,T17,T17,Roger Maltbie,17,,
21,T17,T17,Shigeki Maruyama,17,17.0,
22,T17,T17,Mark O'Meara,17,4.0,
23,T17,T17,Vijay Singh,17,8.0,
24,T17,T17,Kirk Triplett,17,10.0,
25,T26,T26,Ken Green,16,3.0,
26,T26,T26,Lee Janzen,16,8.0,
27,T26,T26,Jerry Kelly,16,13.0,
28,T26,T26,Blaine McCallister,16,5.0,
29,T26,T26,Steve Pate,16,4.0,
30,T26,T26,Corey Pavin,16,9.0,
31,T26,T26,Tiger Woods,16,7.0,
32,T33,T33,Carlos Franco,15,7.0,
33,T33,T33,Scott Hoch,15,4.0,
34,T33,T33,Tom Kite,15,,
35,T33,T33,Davis Love III,15,10.0,
36,T33,T33,Andrew Magee,15,9.0,
37,T33,T33,Scott Simpson,15,2.0,
38,T33,T33,Craig Stadler,15,4.0,
39,T33,T33,Bob Tway,15,9.0,
40,T41,T41,Robert Allenby,14,8.0,
41,T41,T41,Russ Cochran,14,8.0,
42,T41,T41,Marco Dawson,14,5.0,
43,T41,T41,Steve Flesch,14,8.0,
44,T41,T41,Brent Geiberger,14,6.0,
45,T41,T41,John Huston,14,11.0,
46,T41,T41,Kent Jones,14,14.0,
47,T41,T41,Justin Leonard,14,13.0,
48,T41,T41,Frank Lickliter II,14,14.0,
49,T41,T41,Peter Lonard,14,5.0,
50,T41,T41,Jeff Maggert,14,6.0,
51,T41,T41,Rocco Mediate,14,12.0,
52,T41,T41,Joe Ogilvie,14,,
53,T41,T41,Loren Roberts,14,6.0,
54,T41,T41,Payne Stewart,14,,
55,T41,T41,Grant Waite,14,4.0,
56,T57,T57,Billy Andrade,13,9.0,
57,T57,T57,Woody Austin,13,10.0,
58,T57,T57,Paul Azinger,13,4.0,
59,T57,T57,Briny Baird,13,8.0,
60,T57,T57,Bart Bryant,13,5.0,
61,T57,T57,Brad Bryant,13,2.0,
62,T57,T57,Rex Caldwell,13,1.0,
63,T57,T57,John Cook,13,4.0,
64,T57,T57,Jay Delsing,13,13.0,
65,T57,T57,David Duval,13,2.0,
66,T57,T57,Steve Elkington,13,7.0,
67,T57,T57,Rick Fehr,13,1.0,
68,T57,T57,Dan Forsman,13,10.0,
69,T57,T57,David Frost,13,13.0,
70,T57,T57,Fred Funk,13,12.0,
71,T57,T57,Buddy Gardner,13,,
72,T57,T57,Brian Gay,13,4.0,
73,T57,T57,Paul Gow,13,9.0,
74,T57,T57,Peter Jacobsen,13,8.0,
75,T57,T57,Neal Lancaster,13,10.0,
76,T57,T57,Bernhard Langer,13,8.0,
77,T57,T57,Mark McCumber,13,,
78,T57,T57,Calvin Peete,13,,
79,T57,T57,David Peoples,13,11.0,
80,T57,T57,Mike Reid,13,,
81,T57,T57,Chris Riley,13,12.0,
82,T57,T57,Dave Rummells,13,1.0,
83,T57,T57,Tom Sieckmann,13,,
84,T57,T57,Tony Sills,13,,
85,T57,T57,Curtis Strange,13,1.0,
86,T57,T57,Mike Sullivan,13,1.0,
87,T57,T57,Mike Weir,13,10.0,
88,T89,T89,Dave Barr,12,,
89,T89,T89,Cameron Beckman,12,12.0,
90,T89,T89,Jeff Brehaut,12,12.0,
91,T89,T89,Mark Brooks,12,5.0,
92,T89,T89,Mark Calcavecchia,12,5.0,
93,T89,T89,Chad Campbell,12,8.0,
94,T89,T89,Greg Chalmers,12,5.0,
95,T89,T89,Stewart Cink,12,12.0,
96,T89,T89,Ben Crane,12,12.0,
97,T89,T89,Danny Edwards,12,,
98,T89,T89,David Edwards,12,3.0,
99,T89,T89,Joel Edwards,12,5.0,
100,T89,T89,Brad Faxon,12,9.0,
101,T89,T89,Todd Fischer,12,12.0,
102,T89,T89,Harrison Frazar,12,7.0,
103,T89,T89,Jim Furyk,12,9.0,
104,T89,T89,Robert Gamez,12,12.0,
105,T89,T89,Paul Goydos,12,12.0,
106,T89,T89,Jay Haas,12,9.0,
107,T89,T89,Mike Heinen,12,12.0,
108,T89,T89,Jonathan Kaye,12,8.0,
109,T89,T89,Skip Kendall,12,9.0,
110,T89,T89,Gary Koch,12,,
111,T89,T89,Greg Kraft,12,2.0,
112,T89,T89,Jim McGovern,12,5.0,
113,T89,T89,Phil Mickelson,12,9.0,
114,T89,T89,Larry Mize,12,2.0,
115,T89,T89,Gil Morgan,12,,
116,T89,T89,Frank Nobilo,12,,
117,T89,T89,José María Olazábal,12,3.0,
118,T89,T89,Don Pooley,12,,
119,T89,T89,Gene Sauers,12,4.0,
120,T89,T89,Chris Smith,12,5.0,
121,T89,T89,Paul Stankowski,12,7.0,
122,T89,T89,Kevin Sutherland,12,7.0,
123,T89,T89,Hal Sutton,12,6.0,
124,T89,T89,Duffy Waldorf,12,12.0,
125,T89,T89,Willie Wood,12,4.0,
126,T89,T89,Fuzzy Zoeller,12,,
127,T128,T128,Craig Barlow,11,11.0,
128,T128,T128,Chip Beck,11,,
129,T128,T128,George Burns,11,,
130,T128,T128,Bob Burns,11,4.0,
131,T128,T128,Tom Byrum,11,8.0,
132,T128,T128,Jim Carter,11,4.0,
133,T128,T128,Brandel Chamblee,11,4.0,
134,T128,T128,K.J. Choi,11,7.0,
135,T128,T128,Michael Clark II,11,6.0,
136,T128,T128,John Daly,11,5.0,
137,T128,T128,Brad Fabel,11,,
138,T128,T128,Keith Fergus,11,5.0,
139,T128,T128,Bruce Fleisher,11,,
140,T128,T128,Raymond Floyd,11,,
141,T128,T128,Sergio Garcia,11,5.0,
142,T128,T128,Mathew Goggin,11,5.0,
143,T128,T128,J.J. Henry,11,5.0,
144,T128,T128,Bradley Hughes,11,,
145,T128,T128,Ian Leggatt,11,4.0,
146,T128,T128,Tom Lehman,11,7.0,
147,T128,T128,Bruce Lietzke,11,,
148,T128,T128,John Mahaffey,11,,
149,T128,T128,Billy Mayfair,11,4.0,
150,T128,T128,Tommy Nakajima,11,,
151,T128,T128,Geoff Ogilvy,11,11.0,
152,T128,T128,David Ogrin,11,1.0,
153,T128,T128,Nick Price,11,4.0,
154,T128,T128,Tom Purtzer,11,,
155,T128,T128,Lee Rinker,11,1.0,
156,T128,T128,Clarence Rose,11,,
157,T128,T128,Rory Sabbatini,11,11.0,
158,T128,T128,Jim Simons,11,,
159,T128,T128,Tim Simpson,11,,
160,T128,T128,Jim Thorpe,11,,
161,T128,T128,David Toms,11,7.0,
162,T128,T128,Jay Williamson,11,4.0,
163,T128,T128,Richard Zokol,11,2.0,
164,T165,T165,Michael Allen,10,,
165,T165,T165,Brian Bateman,10,10.0,
166,T165,T165,Phil Blackmar,10,2.0,
167,T165,T165,Jason Buha,10,4.0,
168,T165,T165,Mark Carnevale,10,,
169,T165,T165,Lennie Clements,10,,
170,T165,T165,Jess Daley,10,,
171,T165,T165,Trevor Dodds,10,5.0,
172,T165,T165,Bob Gilder,10,,
173,T165,T165,Bill Glasson,10,7.0,
174,T165,T165,David Gossett,10,10.0,
175,T165,T165,Jeff Gove,10,,
176,T165,T165,Hubert Green,10,,
177,T165,T165,Scott Gump,10,,
178,T165,T165,Dudley Hart,10,6.0,
179,T165,T165,Nolan Henke,10,1.0,
180,T165,T165,Tim Herron,10,8.0,
181,T165,T165,Mike Hulbert,10,1.0,
182,T165,T165,Steve Jones,10,4.0,
183,T165,T165,Pete Jordan,10,2.0,
184,T165,T165,Kenny Knox,10,,
185,T165,T165,Mark Lye,10,,
186,T165,T165,Len Mattiace,10,5.0,
187,T165,T165,Shaun Micheel,10,5.0,
188,T165,T165,Larry Nelson,10,,
189,T165,T165,Greg Norman,10,3.0,
190,T165,T165,Craig Perks,10,5.0,
191,T165,T165,Tom Pernice Jr.,10,7.0,
192,T165,T165,Chris Perry,10,1.0,
193,T165,T165,Kenny Perry,10,8.0,
194,T165,T165,Brett Quigley,10,8.0,
195,T165,T165,Mike Smith,10,,
196,T165,T165,J.C. Snead,10,,
197,T165,T165,Steve Stricker,10,4.0,
198,T165,T165,David Sutherland,10,4.0,
199,T165,T165,Hidemichi Tanaka,10,6.0,
200,T165,T165,Phil Tataurangi,10,5.0,
201,T165,T165,Doug Tewell,10,,
202,T165,T165,Howard Twitty,10,,
203,T165,T165,Bobby Wadkins,10,,
204,T165,T165,Lanny Wadkins,10,,
205,T165,T165,Mark Wiebe,10,,
206,T207,T207,John Adams,9,,
207,T207,T207,Tommy Armour III,9,6.0,
208,T207,T207,Doug Barron,9,4.0,
209,T207,T207,Andy Bean,9,2.0,
210,T207,T207,Notah Begay III,9,6.0,
211,T207,T207,Guy Boros,9,7.0,
212,T207,T207,Bill Britton,9,,
213,T207,T207,Olin Browne,9,6.0,
214,T207,T207,Ángel Cabrera,9,2.0,
215,T207,T207,Alex Cejka,9,9.0,
216,T207,T207,Brian Claar,9,1.0,
217,T207,T207,Robert Damron,9,9.0,
218,T207,T207,Brad Elder,9,2.0,
219,T207,T207,Ernie Els,9,9.0,
220,T207,T207,Robin Freeman,9,4.0,
221,T207,T207,"Jim Gallagher, Jr.",9,3.0,
222,T207,T207,Kelly Gibson,9,4.0,
223,T207,T207,Matt Gogel,9,9.0,
224,T207,T207,Gary Hallberg,9,3.0,
225,T207,T207,Morris Hatalsky,9,,
226,T207,T207,Mark Hayes,9,1.0,
227,T207,T207,Brian Henninger,9,4.0,
228,T207,T207,Hale Irwin,9,,
229,T207,T207,Brandt Jobe,9,5.0,
230,T207,T207,Per-Ulrik Johansson,9,5.0,
231,T207,T207,Craig Kanada,9,1.0,
232,T207,T207,Matt Kuchar,9,4.0,
233,T207,T207,J.L. Lewis,9,8.0,
234,T207,T207,Bob Lohr,9,,
235,T207,T207,Steve Lowery,9,7.0,
236,T207,T207,Sandy Lyle,9,1.0,
237,T207,T207,Spike McRoy,9,6.0,
238,T207,T207,Colin Montgomerie,9,2.0,
239,T207,T207,Anthony Painter,9,3.0,
240,T207,T207,Rod Pampling,9,9.0,
241,T207,T207,Dennis Paulson,9,9.0,
242,T207,T207,John Rollins,9,7.0,
243,T207,T207,Ted Schulz,9,,
244,T207,T207,John Senden,9,6.0,
245,T207,T207,Patrick Sheehan,9,9.0,
246,T207,T207,Mike Sposa,9,5.0,
247,T207,T207,Mike Springer,9,4.0,
248,T207,T207,Ron Streck,9,,
249,T207,T207,Tommy Tolles,9,,
250,T207,T207,Omar Uresti,9,,
251,T207,T207,Stan Utley,9,2.0,
252,T207,T207,Tom Watson,9,1.0,
253,T207,T207,Kevin Wentworth,9,,
254,T207,T207,Robert Wrenn,9,,
255,T207,T207,Kaname Yokoo,9,3.0,
256,T257,T257,Steve Allan,8,8.0,
257,T257,T257,Fulton Allem,8,2.0,
258,T257,T257,Stephen Ames,8,8.0,
259,T257,T257,Ian Baker-Finch,8,,
260,T257,T257,Pat Bates,8,8.0,
261,T257,T257,Rich Beem,8,5.0,
262,T257,T257,Michael Bradley,8,2.0,
263,T257,T257,Ken Brown,8,,
264,T257,T257,Greg Bruckner,8,,
265,T257,T257,Curt Byrum,8,,
266,T257,T257,Michael Campbell,8,1.0,
267,T257,T257,T.C. Chen,8,,
268,T257,T257,Bobby Clampett,8,,
269,T257,T257,Tim Clark,8,6.0,
270,T257,T257,Keith Clearwater,8,1.0,
271,T257,T257,Ben Crenshaw,8,,
272,T257,T257,Mike Donald,8,1.0,
273,T257,T257,Luke Donald,8,8.0,
274,T257,T257,Scott Dunlap,8,1.0,
275,T257,T257,Nick Faldo,8,3.0,
276,T257,T257,Tom Gillis,8,8.0,
277,T257,T257,Retief Goosen,8,8.0,
278,T257,T257,Wayne Grady,8,,
279,T257,T257,J.P. Hayes,8,6.0,
280,T257,T257,Glen Hnatiuk,8,6.0,
281,T257,T257,David Ishii,8,,
282,T257,T257,Miguel Angel Jiménez,8,,
283,T257,T257,Brian Kamm,8,,
284,T257,T257,Wayne Levi,8,1.0,
285,T257,T257,Dick Mast,8,,
286,T257,T257,Johnny Miller,8,,
287,T257,T257,David Morland IV,8,,
288,T257,T257,Jodie Mudd,8,,
289,T257,T257,Jack Nicklaus,8,,
290,T257,T257,Arron Oberholser,8,8.0,
291,T257,T257,Brett Ogle,8,,
292,T257,T257,Jack Renner,8,,
293,T257,T257,Larry Rinker,8,2.0,
294,T257,T257,Lance Ten Broeck,8,,
295,T257,T257,Esteban Toledo,8,7.0,
296,T257,T257,Lee Trevino,8,,
297,T257,T257,Ted Tryba,8,,
298,T257,T257,Jean Van de Velde,8,,
299,T257,T257,Fred Wadsworth,8,,
300,T257,T257,D.A. Weibring,8,2.0,
301,T257,T257,Mark Wilson,8,6.0,
302,T303,T303,JC Anderson,7,,
303,T303,T303,Seve Ballesteros,7,,
304,T303,T303,Aaron Barber,7,7.0,
305,T303,T303,Todd Barranger,7,4.0,
306,T303,T303,"David Berganio, Jr.",7,4.0,
307,T303,T303,Charles Bolling,7,,
308,T303,T303,Danny Briggs,7,1.0,
309,T303,T303,Billy Ray Brown,7,,
310,T303,T303,Todd Demsey,7,,
311,T303,T303,Ed Dougherty,7,,
312,T303,T303,Doug Dunakey,7,,
313,T303,T303,Dave Eichelberger,7,,
314,T303,T303,Bob Friend,7,1.0,
315,T303,T303,David Graham,7,,
316,T303,T303,Jerry Haas,7,,
317,T303,T303,Padraig Harrington,7,3.0,
318,T303,T303,Jason Hill,7,,
319,T303,T303,Lon Hinkle,7,1.0,
320,T303,T303,Gabriel Hjertstedt,7,1.0,
321,T303,T303,Joe Inman,7,,
322,T303,T303,John Inman,7,,
323,T303,T303,Barry Jaeckel,7,,
324,T303,T303,Richard Johnson,7,7.0,
325,T303,T303,Billy Kratzert,7,,
326,T303,T303,Cliff Kresge,7,7.0,
327,T303,T303,Kenichi Kuboya,7,7.0,
328,T303,T303,John Maginnes,7,5.0,
329,T303,T303,Bob May,7,3.0,
330,T303,T303,Steve Melnyk,7,,
331,T303,T303,Tim Norris,7,,
332,T303,T303,Brenden Pappas,7,7.0,
333,T303,T303,Carl Paulson,7,7.0,
334,T303,T303,Lee Porter,7,,
335,T303,T303,Greg Powers,7,,
336,T303,T303,Phillip Price,7,5.0,
337,T303,T303,Dicky Pride,7,6.0,
338,T303,T303,Sam Randolph,7,,
339,T303,T303,Chi Chi Rodriguez,7,,
340,T303,T303,Akio Sadakata,7,7.0,
341,T303,T303,Bill Sander,7,,
342,T303,T303,Jerry Smith,7,,
343,T303,T303,"Dave Stockton, Jr.",7,4.0,
344,T303,T303,Greg Twiggs,7,1.0,
345,T303,T303,Lee Westwood,7,3.0,
346,T303,T303,Brian Wilson,7,,
347,T303,T303,Bob Wolcott,7,,
348,T303,T303,Mark Wurtz,7,,
349,T303,T303,Bruce Zabriski,7,,
350,T351,T351,"Joe Acosta, Jr.",6,1.0,
351,T351,T351,Isao Aoki,6,,
352,T351,T351,George Archer,6,,
353,T351,T351,Shane Bertsch,6,,
354,T351,T351,Woody Blackburn,6,,
355,T351,T351,Bobby Cochran,6,,
356,T351,T351,Jim Colbert,6,,
357,T351,T351,Frank Conner,6,,
358,T351,T351,Jim Dent,6,,
359,T351,T351,John Fought,6,,
360,T351,T351,Edward Fryatt,6,3.0,
361,T351,T351,Stephen Gangluff,6,,
362,T351,T351,Gibby Gilbert,6,,
363,T351,T351,Ernie Gonzalez,6,3.0,
364,T351,T351,Steve Gotsche,6,,
365,T351,T351,Jimmy Green,6,,
366,T351,T351,Dan Halldorson,6,1.0,
367,T351,T351,Steve Hart,6,,
368,T351,T351,Vance Heafner,6,,
369,T351,T351,Mark Hensby,6,3.0,
370,T351,T351,Eduardo Herrera,6,,
371,T351,T351,Trevor Immelman,6,6.0,
372,T351,T351,Hank Kuehne,6,6.0,
373,T351,T351,Barry Lane,6,,
374,T351,T351,Franklin Langham,6,1.0,
375,T351,T351,Scott Laycock,6,6.0,
376,T351,T351,Lyn Lott,6,,
377,T351,T351,David Lundstrom,6,1.0,
378,T351,T351,Casey Martin,6,,
379,T351,T351,Gary McCord,6,,
380,T351,T351,Pat McGowan,6,,
381,T351,T351,John Morse,6,3.0,
382,T351,T351,Perry Moss,6,,
383,T351,T351,Michael Muehr,6,2.0,
384,T351,T351,Bob Murphy,6,,
385,T351,T351,Sean Murphy,6,1.0,
386,T351,T351,Jim Nelford,6,,
387,T351,T351,Andy North,6,,
388,T351,T351,Mac O'Grady,6,,
389,T351,T351,Peter Oosterhuis,6,,
390,T351,T351,Deane Pappas,6,6.0,
391,T351,T351,Pat Perez,6,6.0,
392,T351,T351,Mark Pfeil,6,,
393,T351,T351,Victor Regalado,6,,
394,T351,T351,John Riegger,6,6.0,
395,T351,T351,Tom Scherrer,6,3.0,
396,T351,T351,Mike Schuchart,6,,
397,T351,T351,Adam Scott,6,4.0,
398,T351,T351,Brad Sherfy,6,,
399,T351,T351,Sonny Skinner,6,,
400,T351,T351,Heath Slocum,6,6.0,
401,T351,T351,Leonard Thompson,6,,
402,T351,T351,Robert Thompson,6,1.0,
403,T351,T351,Denis Watson,6,,
404,T351,T351,Brian Watts,6,4.0,
405,T351,T351,Garrett Willis,6,6.0,
406,T407,T407,Chris Anderson,5,5.0,
407,T407,T407,Jeremy Anderson,5,2.0,
408,T407,T407,Miller Barber,5,,
409,T407,T407,Ricky Barnes,5,5.0,
410,T407,T407,Brad Bell,5,,
411,T407,T407,Jim Benepe,5,1.0,
412,T407,T407,Thomas Bjørn,5,2.0,
413,T407,T407,Bob Boyd,5,,
414,T407,T407,George Cadle,5,,
415,T407,T407,Jason Caron,5,4.0,
416,T407,T407,Barry Cheesman,5,2.0,
417,T407,T407,Darren Clarke,5,5.0,
418,T407,T407,José Coceres,5,4.0,
419,T407,T407,Bobby Cole,5,1.0,
420,T407,T407,Tim Conley,5,1.0,
421,T407,T407,Richie Coughlan,5,,
422,T407,T407,Rod Curl,5,,
423,T407,T407,Paul Curry,5,,
424,T407,T407,Ben Curtis,5,5.0,
425,T407,T407,Terry Diehl,5,,
426,T407,T407,Bob Eastwood,5,,
427,T407,T407,John Elliott,5,,
428,T407,T407,Danny Ellis,5,4.0,
429,T407,T407,Forrest Fezler,5,,
430,T407,T407,Gene Fieger,5,,
431,T407,T407,Jeff Gallagher,5,4.0,
432,T407,T407,Al Geiberger,5,,
433,T407,T407,Jaime Gomez,5,,
434,T407,T407,Jason Gore,5,4.0,
435,T407,T407,Mike Grob,5,5.0,
436,T407,T407,Phillip Hancock,5,,
437,T407,T407,Bob Heintz,5,,
438,T407,T407,Tripp Isenhour,5,,
439,T407,T407,Toshi Izawa,5,2.0,
440,T407,T407,Freddie Jacobson,5,5.0,
441,T407,T407,Tom Jenkins,5,,
442,T407,T407,Kevin Johnson,5,,
443,T407,T407,Philip Jonas,5,,
444,T407,T407,Jeff Julian,5,,
445,T407,T407,Brad Lardon,5,1.0,
446,T407,T407,Stephen Leaney,5,3.0,
447,T407,T407,Michael Long,5,,
448,T407,T407,Mike McCullough,5,,
449,T407,T407,Mark McNulty,5,1.0,
450,T407,T407,John Morgan,5,5.0,
451,T407,T407,Gary Nicklaus,5,2.0,
452,T407,T407,Jerry Pate,5,1.0,
453,T407,T407,Carl Pettersson,5,5.0,
454,T407,T407,Bill Porter,5,,
455,T407,T407,Jeff Quinney,5,5.0,
456,T407,T407,Charles Raulerson,5,,
457,T407,T407,Bill Rogers,5,,
458,T407,T407,Justin Rose,5,4.0,
459,T407,T407,Jeff Roth,5,,
460,T407,T407,John Schroeder,5,,
461,T407,T407,Brent Schwarzrock,5,4.0,
462,T407,T407,Tom Shaw,5,,
463,T407,T407,Mike Small,5,1.0,
464,T407,T407,Mike Standly,5,4.0,
465,T407,T407,Kenneth Staton,5,3.0,
466,T407,T407,Chris Tidland,5,,
467,T407,T407,Chris Tucker,5,,
468,T407,T407,Vance Veazey,5,5.0,
469,T407,T407,Boo Weekley,5,,
470,T407,T407,Tom Weiskopf,5,,
471,T407,T407,Brett Wetterich,5,,
472,T407,T407,Dean Wilson,5,5.0,
473,T407,T407,Ian Woosnam,5,,
474,T475,T475,Steven Alker,4,4.0,
475,T475,T475,Aaron Baddeley,4,4.0,
476,T475,T475,Roy Biancalana,4,1.0,
477,T475,T475,Craig Bowden,4,1.0,
478,T475,T475,Kevin Burton,4,,
479,T475,T475,Tom Carter,4,4.0,
480,T475,T475,Paul Casey,4,1.0,
481,T475,T475,Paul Claxton,4,,
482,T475,T475,Andrew Coltart,4,,
483,T475,T475,Jeff Coston,4,,
484,T475,T475,Rett Crowder,4,,
485,T475,T475,Terry Dill,4,,
486,T475,T475,Dale Douglass,4,,
487,T475,T475,James Driscoll,4,,
488,T475,T475,Lee Elder,4,,
489,T475,T475,Niclas Fasth,4,4.0,
490,T475,T475,Jeff Freeman,4,,
491,T475,T475,Keiichiro Fukabori,4,,
492,T475,T475,Richard Green,4,,
493,T475,T475,Hunter Haas,4,,
494,T475,T475,David Howser,4,,
495,T475,T475,Zach Johnson,4,1.0,
496,T475,T475,Robert Karlsson,4,,
497,T475,T475,Jeff Klein,4,4.0,
498,T475,T475,Thomas Levet,4,4.0,
499,T475,T475,Pat Lindsey,4,,
500,T475,T475,Graeme McDowell,4,2.0,
501,T475,T475,James McLean,4,4.0,
502,T475,T475,Adam Mednick,4,1.0,
503,T475,T475,Allen Miller,4,,
504,T475,T475,Andy Miller,4,4.0,
505,T475,T475,Katsumasa Miyamoto,4,,
506,T475,T475,Bryce Molder,4,,
507,T475,T475,Patrick Moore,4,4.0,
508,T475,T475,Bobby Nichols,4,,
509,T475,T475,Mike Nicolette,4,,
510,T475,T475,Peter O'Malley,4,1.0,
511,T475,T475,Matt Peterson,4,3.0,
512,T475,T475,Gary Player,4,,
513,T475,T475,Eduardo Romero,4,1.0,
514,T475,T475,Ken Schall,4,,
515,T475,T475,Bob Shearer,4,,
