,YTD_Rounds_in_60s_Streak_RANK THIS WEEK,YTD_Rounds_in_60s_Streak_RANK LAST WEEK,YTD_Rounds_in_60s_Streak_PLAYER NAME,YTD_Rounds_in_60s_Streak_BEST STREAK
0,1,1,Chris DiMarco,14
1,T2,T2,Shigeki Maruyama,12
2,T2,T2,Tim Petrovic,12
3,4,4,Joe Durant,10
4,T5,T5,Stuart Appleby,9
5,T5,T5,Cameron Beckman,9
6,T5,T5,Paul Goydos,9
7,T5,T5,Justin Leonard,9
8,T5,T5,Mike Weir,9
9,T10,T10,Chad Campbell,8
10,T10,T10,Ernie Els,8
11,T10,T10,Fred Funk,8
12,T10,T10,Jim Furyk,8
13,T10,T10,Corey Pavin,8
14,T10,T10,Vijay Singh,8
15,T16,T16,K.J. Choi,7
16,T16,T16,Stewart Cink,7
17,T16,T16,Glen Day,7
18,T16,T16,Bob Estes,7
19,T16,T16,Dan Forsman,7
20,T16,T16,Charles Howell III,7
21,T16,T16,John Huston,7
22,T16,T16,Richard Johnson,7
23,T16,T16,Frank Lickliter II,7
24,T16,T16,Rocco Mediate,7
25,T16,T16,David Peoples,7
26,T16,T16,Kenny Perry,7
27,T16,T16,Chris Riley,7
28,T16,T16,Rory Sabbatini,7
29,T16,T16,David Toms,7
30,T16,T16,Kirk Triplett,7
31,T16,T16,Duffy Waldorf,7
32,T33,T33,Steve Allan,6
33,T33,T33,Stephen Ames,6
34,T33,T33,Briny Baird,6
35,T33,T33,Jeff Brehaut,6
36,T33,T33,Tim Clark,6
37,T33,T33,Carlos Franco,6
38,T33,T33,Harrison Frazar,6
39,T33,T33,Bill Glasson,6
40,T33,T33,Matt Gogel,6
41,T33,T33,Paul Gow,6
42,T33,T33,Kent Jones,6
43,T33,T33,Davis Love III,6
44,T33,T33,Geoff Ogilvy,6
45,T33,T33,Jesper Parnevik,6
46,T33,T33,Joey Sindelar,6
47,T33,T33,Heath Slocum,6
48,T33,T33,Bob Tway,6
49,T33,T33,Tiger Woods,6
50,T51,T51,Robert Allenby,5
51,T51,T51,Aaron Barber,5
52,T51,T51,Craig Barlow,5
53,T51,T51,Mark Calcavecchia,5
54,T51,T51,Alex Cejka,5
55,T51,T51,Darren Clarke,5
56,T51,T51,Russ Cochran,5
57,T51,T51,Fred Couples,5
58,T51,T51,Ben Crane,5
59,T51,T51,Robert Damron,5
60,T51,T51,Todd Fischer,5
61,T51,T51,Steve Flesch,5
62,T51,T51,Tom Gillis,5
63,T51,T51,Retief Goosen,5
64,T51,T51,David Gossett,5
65,T51,T51,Jay Haas,5
66,T51,T51,Donnie Hammond,5
67,T51,T51,Dudley Hart,5
68,T51,T51,J.P. Hayes,5
69,T51,T51,Mike Heinen,5
70,T51,T51,Peter Jacobsen,5
71,T51,T51,Freddie Jacobson,5
72,T51,T51,Per-Ulrik Johansson,5
73,T51,T51,Jerry Kelly,5
74,T51,T51,Skip Kendall,5
75,T51,T51,Hank Kuehne,5
76,T51,T51,Neal Lancaster,5
77,T51,T51,Scott Laycock,5
78,T51,T51,J.L. Lewis,5
79,T51,T51,Steve Lowery,5
80,T51,T51,Andrew Magee,5
81,T51,T51,John Maginnes,5
82,T51,T51,Scott McCarron,5
83,T51,T51,Jim McGovern,5
84,T51,T51,Shaun Micheel,5
85,T51,T51,Phil Mickelson,5
86,T51,T51,Arron Oberholser,5
87,T51,T51,Carl Paulson,5
88,T51,T51,John Riegger,5
89,T51,T51,Loren Roberts,5
90,T51,T51,Patrick Sheehan,5
91,T51,T51,Kevin Sutherland,5
92,T51,T51,Hal Sutton,5
93,T51,T51,Esteban Toledo,5
94,T95,T95,Billy Andrade,4
95,T95,T95,Tommy Armour III,4
96,T95,T95,Woody Austin,4
97,T95,T95,Paul Azinger,4
98,T95,T95,Aaron Baddeley,4
99,T95,T95,Doug Barron,4
100,T95,T95,Pat Bates,4
101,T95,T95,Notah Begay III,4
102,T95,T95,Olin Browne,4
103,T95,T95,Bob Burns,4
104,T95,T95,Jonathan Byrd,4
105,T95,T95,Jay Delsing,4
106,T95,T95,Luke Donald,4
107,T95,T95,Steve Elkington,4
108,T95,T95,Danny Ellis,4
109,T95,T95,Brad Faxon,4
110,T95,T95,Robert Gamez,4
111,T95,T95,Sergio Garcia,4
112,T95,T95,Brian Gay,4
113,T95,T95,Brian Henninger,4
114,T95,T95,J.J. Henry,4
115,T95,T95,Tim Herron,4
116,T95,T95,Glen Hnatiuk,4
117,T95,T95,Lee Janzen,4
118,T95,T95,Brandt Jobe,4
119,T95,T95,Cliff Kresge,4
120,T95,T95,Peter Lonard,4
121,T95,T95,Jeff Maggert,4
122,T95,T95,Spike McRoy,4
123,T95,T95,Patrick Moore,4
124,T95,T95,Rod Pampling,4
125,T95,T95,Deane Pappas,4
126,T95,T95,Brenden Pappas,4
127,T95,T95,Steve Pate,4
128,T95,T95,Dennis Paulson,4
129,T95,T95,Brett Quigley,4
130,T95,T95,John Rollins,4
131,T95,T95,Adam Scott,4
132,T95,T95,John Senden,4
133,T95,T95,Jeff Sluman,4
134,T95,T95,Craig Stadler,4
135,T95,T95,Paul Stankowski,4
136,T95,T95,David Sutherland,4
137,T95,T95,Hidemichi Tanaka,4
138,T95,T95,Vance Veazey,4
139,T95,T95,Scott Verplank,4
140,T95,T95,Jay Williamson,4
141,T95,T95,Garrett Willis,4
142,T95,T95,Mark Wilson,4
143,T95,T95,Willie Wood,4
144,T145,T145,Chris Anderson,3
145,T145,T145,Rich Beem,3
146,T145,T145,Guy Boros,3
147,T145,T145,Mark Brooks,3
148,T145,T145,Bart Bryant,3
149,T145,T145,Tom Byrum,3
150,T145,T145,Jim Carter,3
151,T145,T145,Brandel Chamblee,3
152,T145,T145,Michael Clark II,3
153,T145,T145,José Coceres,3
154,T145,T145,John Cook,3
155,T145,T145,John Daly,3
156,T145,T145,Marco Dawson,3
157,T145,T145,David Edwards,3
158,T145,T145,Joel Edwards,3
159,T145,T145,Niclas Fasth,3
160,T145,T145,Robin Freeman,3
161,T145,T145,David Frost,3
162,T145,T145,Edward Fryatt,3
163,T145,T145,Jeff Gallagher,3
164,T145,T145,Jason Gore,3
165,T145,T145,Ken Green,3
166,T145,T145,Mathias Grönberg,3
167,T145,T145,Jonathan Kaye,3
168,T145,T145,Kenichi Kuboya,3
169,T145,T145,Matt Kuchar,3
170,T145,T145,Bernhard Langer,3
171,T145,T145,Stephen Leaney,3
172,T145,T145,Ian Leggatt,3
173,T145,T145,Tom Lehman,3
174,T145,T145,Hunter Mahan,3
175,T145,T145,Len Mattiace,3
176,T145,T145,Bob May,3
177,T145,T145,Billy Mayfair,3
178,T145,T145,John Morgan,3
179,T145,T145,Mark O'Meara,3
180,T145,T145,Anthony Painter,3
181,T145,T145,Pat Perez,3
182,T145,T145,Craig Perks,3
183,T145,T145,Tom Pernice Jr.,3
184,T145,T145,Carl Pettersson,3
185,T145,T145,Nick Price,3
186,T145,T145,Dicky Pride,3
187,T145,T145,Justin Rose,3
188,T145,T145,Akio Sadakata,3
189,T145,T145,Gene Sauers,3
190,T145,T145,Brent Schwarzrock,3
191,T145,T145,Chris Smith,3
192,T145,T145,Mike Sposa,3
193,T145,T145,Mike Standly,3
194,T145,T145,"Dave Stockton, Jr.",3
195,T145,T145,Steve Stricker,3
196,T145,T145,Grant Waite,3
197,T145,T145,Lee Westwood,3
198,T145,T145,Dean Wilson,3
199,T145,T145,Cameron Yancey,3
200,T201,T201,Steven Alker,2
201,T201,T201,Fulton Allem,2
202,T201,T201,Ricky Barnes,2
203,T201,T201,Todd Barranger,2
204,T201,T201,Brian Bateman,2
205,T201,T201,Andy Bean,2
206,T201,T201,"David Berganio, Jr.",2
207,T201,T201,Jay Don Blake,2
208,T201,T201,Michael Bradley,2
209,T201,T201,Jason Buha,2
210,T201,T201,Ángel Cabrera,2
211,T201,T201,Jason Caron,2
212,T201,T201,Tom Carter,2
213,T201,T201,Greg Chalmers,2
214,T201,T201,Barry Cheesman,2
215,T201,T201,Ben Curtis,2
216,T201,T201,Brian Davis,2
217,T201,T201,David Duval,2
218,T201,T201,Brad Elder,2
219,T201,T201,"Jim Gallagher, Jr.",2
220,T201,T201,Ignacio Garrido,2
221,T201,T201,Brent Geiberger,2
222,T201,T201,Kelly Gibson,2
223,T201,T201,Mathew Goggin,2
224,T201,T201,Mike Grob,2
225,T201,T201,Padraig Harrington,2
226,T201,T201,Scott Hoch,2
227,T201,T201,Yasuharu Imano,2
228,T201,T201,Trevor Immelman,2
229,T201,T201,Toshi Izawa,2
230,T201,T201,Steve Jones,2
231,T201,T201,Jeff Klein,2
232,T201,T201,Greg Kraft,2
233,T201,T201,Thomas Levet,2
234,T201,T201,Blaine McCallister,2
235,T201,T201,Graeme McDowell,2
236,T201,T201,James McLean,2
237,T201,T201,Andy Miller,2
238,T201,T201,Greg Norman,2
239,T201,T201,José María Olazábal,2
240,T201,T201,Ian Poulter,2
241,T201,T201,Phillip Price,2
242,T201,T201,Tag Ridings,2
243,T201,T201,Scott Simpson,2
244,T201,T201,Mike Springer,2
245,T201,T201,Kenneth Staton,2
246,T201,T201,Darron Stiles,2
247,T201,T201,Phil Tataurangi,2
248,T201,T201,Mario Tiziani,2
249,T201,T201,Ty Tryon,2
250,T201,T201,Stan Utley,2
251,T201,T201,D.A. Weibring,2
252,T201,T201,Kaname Yokoo,2
