,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Niclas Fasth,61,68.6,24,35,-7.00
1,2,2,Vijay Singh,112,68.5,50,73,-12.00
2,3,3,Phil Mickelson,83,63.5,33,52,-8.00
3,4,4,Ernie Els,62,61.1,11,18,-2.00
4,5,5,Duffy Waldorf,79,60.9,28,46,-4.00
5,6,6,David Toms,80,60.8,31,51,-3.00
6,T7,T7,Robert Damron,92,60.0,39,65,-1.00
7,T7,T7,John Huston,62,60.0,12,20,-3.00
8,9,9,Joe Durant,85,59.0,23,39,-3.00
9,10,10,Hunter Mahan,94,58.9,33,56,-8.00
10,T11,T11,Bob Estes,73,58.6,17,29,-5.00
11,T11,T11,Tim Petrovic,111,58.6,34,58,-3.00
12,13,13,Omar Uresti,85,57.4,31,54,-7.00
13,T14,T14,Bart Bryant,73,57.1,16,28,-4.00
14,T14,T14,Brad Faxon,94,57.1,32,56,-8.00
15,T14,T14,Hidemichi Tanaka,89,57.1,20,35,-6.00
16,17,17,Russ Cochran,61,56.8,25,44,-6.00
17,18,18,Dennis Paulson,71,56.4,31,55,-8.00
18,T19,T19,Mark Calcavecchia,79,56.3,27,48,-5.00
19,T19,T19,Craig Perks,75,56.3,36,64,-4.00
20,T21,T21,Tommy Armour III,87,56.0,28,50,-5.00
21,T21,T21,Brian Bateman,84,56.0,28,50,-5.00
22,T23,T23,Davis Love III,85,55.9,19,34,-7.00
23,T23,T23,Kevin Sutherland,86,55.9,33,59,-6.00
24,25,25,Steve Stricker,81,55.8,43,77,-5.00
25,26,26,Olin Browne,92,55.6,20,36,-2.00
26,27,27,Scott Hoch,52,55.2,16,29,E
27,28,28,Rod Pampling,98,55.1,43,78,-6.00
28,29,29,Bernhard Langer,59,55.0,22,40,-6.00
29,30,30,K.J. Choi,83,54.9,28,51,-8.00
30,T31,T31,Retief Goosen,56,54.8,17,31,-4.00
31,T31,T31,Arron Oberholser,77,54.8,23,42,-3.00
32,33,33,David Frost,78,54.5,18,33,-6.00
33,34,34,Geoff Ogilvy,91,54.4,31,57,-7.00
34,35,35,Alex Cejka,76,54.2,26,48,-6.00
35,T36,T36,Steve Allan,102,54.1,33,61,-8.00
36,T36,T36,Dudley Hart,60,54.1,20,37,-3.00
37,T38,T38,Shigeki Maruyama,93,53.8,35,65,-9.00
38,T38,T38,Nick Price,51,53.8,14,26,-5.00
39,40,40,José María Olazábal,56,53.7,22,41,-6.00
