,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Vijay Singh,112,63.61,388,610
1,2,2,Phil Mickelson,83,60.64,248,409
2,3,3,Russ Cochran,61,60.0,177,295
3,4,4,Joe Durant,85,59.86,176,294
4,5,5,Chris Smith,105,59.7,354,593
5,6,6,Sergio Garcia,65,59.68,222,372
6,7,7,Roland Thatcher,66,58.64,190,324
7,8,8,Carlos Franco,99,58.21,326,560
8,9,9,Briny Baird,100,57.81,274,474
9,10,10,Dennis Paulson,71,57.4,225,392
10,11,11,John Senden,99,56.83,262,461
11,12,12,Steve Flesch,109,56.46,284,503
12,13,13,Duffy Waldorf,79,56.43,180,319
13,14,14,Justin Rose,77,56.07,217,387
14,T15,T15,Robert Allenby,93,56.05,241,430
15,T15,T15,Geoff Ogilvy,91,56.05,250,446
16,17,17,Charles Howell III,104,55.98,281,502
17,18,18,John Riegger,53,55.94,160,286
18,19,19,Mathias Grönberg,91,55.67,280,503
19,20,20,Lee Janzen,84,55.56,240,432
20,21,21,Neal Lancaster,106,55.52,337,607
21,22,22,Omar Uresti,85,55.49,177,319
22,23,23,Brian Bateman,84,55.44,209,377
23,24,24,Michael Allen,87,55.04,284,516
24,25,25,Tom Lehman,70,55.0,154,280
25,26,26,Tim Petrovic,111,54.88,298,543
26,27,27,Steve Allan,102,54.55,306,561
27,28,28,Ted Purdy,114,54.39,254,467
28,29,29,D.J. Brigman,79,54.31,208,383
29,30,30,Scott McCarron,88,54.29,228,420
30,31,31,Arron Oberholser,77,54.26,172,317
31,32,32,Hank Kuehne,91,54.25,338,623
32,33,33,Davis Love III,85,54.18,227,419
33,34,34,Danny Briggs,85,54.1,211,390
34,35,35,Joey Sindelar,100,53.94,253,469
35,36,36,Retief Goosen,56,53.82,155,288
36,37,37,John Daly,79,53.76,279,519
37,38,38,Cameron Beckman,99,53.69,240,447
38,39,39,Chad Campbell,100,53.52,251,469
39,40,40,Tim Herron,84,53.5,260,486
40,41,41,Ernie Els,62,53.44,194,363
41,42,42,Chris DiMarco,105,53.36,230,431
42,43,43,Jesper Parnevik,86,53.24,255,479
43,44,44,Fred Couples,54,53.16,160,301
44,45,45,Rory Sabbatini,89,53.14,262,493
45,46,46,Deane Pappas,72,53.08,207,390
46,47,47,Tiger Woods,78,52.93,235,444
47,48,48,Stephen Ames,97,52.92,245,463
48,49,49,Kenny Perry,79,52.9,210,397
49,50,50,Mark Wilson,62,52.89,128,242
50,51,51,Bo Van Pelt,107,52.78,266,504
51,52,52,Hunter Mahan,94,52.73,261,495
52,53,53,Daniel Chopra,108,52.7,322,611
53,54,54,Hidemichi Tanaka,89,52.62,181,344
54,55,55,Lucas Glover,95,52.55,237,451
55,56,56,Pat Perez,102,52.46,256,488
56,57,57,Stuart Appleby,84,52.44,215,410
57,58,58,John Huston,62,52.43,140,267
58,59,59,Stewart Cink,103,52.42,293,559
59,60,60,David Toms,80,52.38,198,378
60,61,61,Olin Browne,92,52.16,169,324
61,62,62,Ben Crane,92,52.07,239,459
62,63,63,Jeff Sluman,98,51.96,225,433
63,64,64,K.J. Choi,83,51.92,230,443
64,65,65,Robert Gamez,103,51.9,259,499
65,66,66,Brenden Pappas,111,51.8,388,749
66,67,67,Woody Austin,94,51.77,249,481
67,68,68,Carl Pettersson,100,51.71,272,526
68,69,69,Ryan Palmer,103,51.66,264,511
69,70,70,Jason Dufner,79,51.57,213,413
70,71,71,Kirk Triplett,88,51.53,168,326
71,72,72,Dudley Hart,60,51.51,154,299
72,T73,T73,Craig Barlow,80,51.43,180,350
73,T73,T73,Zach Johnson,109,51.43,216,420
74,75,75,Darren Clarke,54,51.37,131,255
75,76,76,Tommy Armour III,87,51.31,235,458
76,T77,T77,Notah Begay III,71,51.23,146,285
77,T77,T77,Harrison Frazar,86,51.23,208,406
78,79,79,Steve Lowery,91,51.16,264,516
79,80,80,Heath Slocum,92,51.11,184,360
80,81,81,Bernhard Langer,59,51.05,146,286
81,82,82,Jerry Kelly,113,51.0,229,449
82,83,83,Jason Bohn,98,50.99,231,453
83,84,84,Adam Scott,55,50.97,158,310
84,85,85,Steve Elkington,64,50.93,137,269
85,86,86,Scott Hend,81,50.89,258,507
86,87,87,Frank Lickliter II,89,50.87,204,401
87,88,88,Freddie Jacobson,83,50.81,252,496
88,89,89,Tom Carter,113,50.8,349,687
89,90,90,Danny Ellis,81,50.75,202,398
90,91,91,Brett Quigley,102,50.68,296,584
91,92,92,Brent Geiberger,94,50.67,226,446
92,93,93,Luke Donald,72,50.65,155,306
93,94,94,Ken Duke,89,50.6,252,498
94,95,95,Rich Beem,81,50.49,207,410
95,96,96,Jay Haas,84,50.39,192,381
96,97,97,Matt Kuchar,83,50.36,207,411
97,98,98,Mark Calcavecchia,79,50.26,193,384
98,99,99,Paul Azinger,75,50.23,222,442
99,100,100,Scott Hoch,52,50.22,112,223
100,101,101,J.J. Henry,103,50.2,255,508
101,102,102,Chris Couch,55,50.15,168,335
102,103,103,John Rollins,90,50.14,184,367
103,104,104,Jeff Brehaut,106,50.12,208,415
104,105,105,Billy Mayfair,109,50.11,219,437
105,T106,T106,Arjun Atwal,85,50.0,229,458
106,T106,T106,Grant Waite,79,50.0,218,436
107,108,108,Tom Pernice Jr.,103,49.89,219,439
108,T109,T109,Pat Bates,99,49.88,203,407
109,T109,T109,Tommy Tolles,67,49.88,214,429
110,111,111,David Branshaw,84,49.74,190,382
111,112,112,Joe Ogilvie,104,49.73,274,551
112,113,113,Rod Pampling,98,49.62,261,526
113,114,114,Jay Delsing,76,49.61,191,385
114,115,115,Spike McRoy,93,49.52,206,416
115,116,116,Dan Olsen,75,49.49,244,493
116,117,117,Shigeki Maruyama,93,49.47,232,469
117,118,118,Matt Gogel,86,49.46,183,370
118,119,119,Bart Bryant,73,49.39,122,247
119,120,120,Tag Ridings,53,49.34,149,302
120,121,121,Vaughn Taylor,84,49.25,196,398
121,122,122,Brad Faxon,94,49.16,234,476
122,123,123,Steve Pate,71,49.11,166,338
123,124,124,Todd Hamilton,92,49.02,249,508
124,125,125,Scott Verplank,92,48.97,142,290
125,126,126,Glen Day,101,48.95,232,474
126,127,127,Niclas Fasth,61,48.91,157,321
127,128,128,Justin Leonard,90,48.84,189,387
128,129,129,Jay Williamson,100,48.8,204,418
129,130,130,Mike Weir,75,48.77,179,367
130,131,131,Shaun Micheel,93,48.72,229,470
131,T132,T132,Mark O'Meara,58,48.69,130,267
132,T132,T132,Patrick Sheehan,113,48.69,278,571
133,134,134,J.L. Lewis,106,48.53,247,509
134,135,135,Rich Barcelo,67,48.52,180,371
135,T136,T136,Robert Damron,92,48.44,186,384
136,T136,T136,Kevin Na,100,48.44,202,417
137,138,138,Craig Parry,52,48.43,123,254
138,139,139,Blaine McCallister,68,48.41,168,347
139,140,140,Steve Stricker,81,48.34,248,513
140,T141,T141,Tim Clark,84,48.17,158,328
141,T141,T141,Bob Estes,73,48.17,171,355
142,143,143,Craig Perks,75,48.15,221,459
143,144,144,Kevin Sutherland,86,48.12,179,372
144,145,145,Jeff Maggert,60,48.06,124,258
145,146,146,Billy Andrade,104,48.03,280,583
146,T147,T147,Jonathan Kaye,79,48.0,180,375
147,T147,T147,Rocco Mediate,53,48.0,96,200
148,149,149,Ben Curtis,56,47.89,125,261
149,150,150,Roger Tambellini,81,47.86,212,443
150,151,151,Alex Cejka,76,47.85,167,349
151,152,152,Guy Boros,64,47.84,144,301
152,153,153,Bob Burns,88,47.72,188,394
153,154,154,Skip Kendall,99,47.6,208,437
154,155,155,José María Olazábal,56,47.59,148,311
155,156,156,Dan Forsman,79,47.38,181,382
156,157,157,Peter Lonard,68,47.32,168,355
157,158,158,Dicky Pride,66,47.31,132,279
158,159,159,Andre Stolz,53,47.04,143,304
159,160,160,Mike Heinen,53,46.74,129,276
160,161,161,Todd Fischer,104,46.59,253,543
161,162,162,Brian Kortan,65,46.56,149,320
162,163,163,Kent Jones,99,46.44,189,407
163,164,164,Richard Johnson,102,46.33,202,436
164,165,165,Bob Tway,90,46.19,200,433
165,166,166,Chris Riley,78,46.06,181,393
166,167,167,Jonathan Byrd,85,46.0,201,437
167,168,168,David Peoples,82,45.93,186,405
168,169,169,Gene Sauers,83,45.81,175,382
169,170,170,Fred Funk,97,45.72,139,304
170,171,171,Esteban Toledo,92,45.54,184,404
171,172,172,Dean Wilson,99,45.38,231,509
172,173,173,Craig Bowden,83,45.29,125,276
173,174,174,Stephen Leaney,84,45.11,166,368
174,175,175,J.P. Hayes,79,45.1,152,337
175,176,176,Aaron Baddeley,87,44.78,249,556
176,177,177,David Frost,78,44.57,164,368
177,T178,T178,Cliff Kresge,89,44.44,200,450
178,T178,T178,Len Mattiace,75,44.44,152,342
179,180,180,Nick Price,51,44.14,98,222
180,T181,T181,Greg Chalmers,70,43.7,163,373
181,T181,T181,Kris Cox,73,43.7,177,405
182,183,183,Kevin Muncrief,50,43.61,133,305
183,184,184,Loren Roberts,81,43.5,144,331
184,T185,T185,Tom Byrum,83,43.49,127,292
185,T185,T185,David Gossett,57,43.49,157,361
186,187,187,Hirofumi Miyase,65,43.41,112,258
187,188,188,John Cook,57,43.37,85,196
188,189,189,Tripp Isenhour,55,43.26,122,282
189,190,190,David Morland IV,73,42.95,134,312
190,191,191,Corey Pavin,83,42.39,131,309
191,192,192,Brian Gay,96,41.52,191,460
192,T193,T193,Mark Brooks,72,40.43,131,324
193,T193,T193,José Coceres,68,40.43,93,230
194,195,195,Mark Hensby,97,40.1,168,419
195,196,196,Scott Simpson,55,39.73,89,224
