,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Corey Pavin,83,0.535,35.836999999999996,67
1,2,2,Jay Haas,84,0.506,30.854,61
2,3,3,Ernie Els,62,0.445,18.243,41
3,4,4,José María Olazábal,56,0.44,18.491,42
4,5,5,Fred Couples,54,0.43200000000000005,19.012,44
5,6,6,Stewart Cink,103,0.391,30.923000000000002,79
6,7,7,Jonathan Byrd,85,0.364,26.603,73
7,8,8,Nick Price,51,0.35700000000000004,12.850999999999999,36
8,9,9,Steve Stricker,81,0.353,24.39,69
9,10,10,Vijay Singh,112,0.35200000000000004,31.349,89
10,11,11,Craig Parry,52,0.345,12.752,37
11,12,12,Brian Gay,96,0.342,30.112,88
12,13,13,Justin Leonard,90,0.336,21.813000000000002,65
13,14,14,Tiger Woods,78,0.335,18.077,54
14,15,15,David Frost,78,0.321,24.094,75
15,16,16,Rory Sabbatini,89,0.317,23.494,74
16,17,17,Kevin Sutherland,86,0.315,21.09,67
17,18,18,Chris DiMarco,105,0.299,23.031,77
18,19,19,Chris Riley,78,0.297,15.767000000000001,53
19,20,20,Dan Forsman,79,0.29100000000000004,19.178,66
20,T21,T21,Luke Donald,72,0.271,16.832,62
21,T21,T21,Craig Perks,75,0.271,17.09,63
22,23,23,Stuart Appleby,84,0.263,15.509,59
23,24,24,Bob Estes,73,0.262,13.354000000000001,51
24,T25,T25,Lee Janzen,84,0.26,18.2,70
25,T25,T25,Tim Petrovic,111,0.26,22.660999999999998,87
26,27,27,Loren Roberts,81,0.257,17.47,68
27,28,28,Glen Day,101,0.256,22.497,88
28,29,29,Jerry Kelly,113,0.25,21.963,88
29,30,30,Kirk Triplett,88,0.249,16.439,66
30,31,31,Carlos Franco,99,0.23600000000000002,21.28,90
31,T32,T32,Paul Azinger,75,0.233,15.17,65
32,T32,T32,Jesper Parnevik,86,0.233,17.234,74
33,34,34,Grant Waite,79,0.23199999999999998,15.748,68
34,35,35,Esteban Toledo,92,0.22699999999999998,18.143,80
35,36,36,Brad Faxon,94,0.226,15.825999999999999,70
36,37,37,Jason Dufner,79,0.22399999999999998,16.129,72
37,T38,T38,Ben Curtis,56,0.223,9.145,41
38,T38,T38,Rod Pampling,98,0.223,17.419,78
39,40,40,Craig Barlow,80,0.222,15.335999999999999,69
40,T41,T41,John Huston,62,0.221,9.96,45
41,T41,T41,Omar Uresti,85,0.221,16.809,76
42,43,43,Phil Mickelson,83,0.217,11.720999999999998,54
43,44,44,Len Mattiace,75,0.21600000000000003,15.085,70
44,45,45,Retief Goosen,56,0.213,8.539,40
45,46,46,David Peoples,82,0.205,15.34,75
46,47,47,Aaron Baddeley,87,0.201,15.239,76
47,48,48,Tom Lehman,70,0.196,11.362,58
48,T49,T49,John Daly,79,0.19,12.709000000000001,67
49,T49,T49,Mike Weir,75,0.19,10.425,55
50,51,51,Jeff Sluman,98,0.184,15.088,82
51,52,52,Tim Herron,84,0.182,11.979000000000001,66
52,53,53,Carl Pettersson,100,0.179,14.107999999999999,79
53,54,54,Davis Love III,85,0.156,9.502,61
54,55,55,Dean Wilson,99,0.145,13.171,91
55,T56,T56,Mark Brooks,72,0.14400000000000002,8.189,57
56,T56,T56,Steve Pate,71,0.14400000000000002,8.774,61
