,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Justin Leonard,90,74.14,43,58
1,2,2,Dan Forsman,79,72.0,36,50
2,3,3,Craig Parry,52,71.05,27,38
3,4,4,Stewart Cink,103,69.35,43,62
4,5,5,Hank Kuehne,91,69.12,47,68
5,6,6,Dennis Paulson,71,66.67,42,63
6,7,7,Rod Pampling,98,66.28,57,86
7,8,8,José Coceres,68,66.22,49,74
8,9,9,Corey Pavin,83,65.96,31,47
9,10,10,Adam Scott,55,65.63,21,32
10,11,11,Kevin Sutherland,86,65.57,40,61
11,12,12,Loren Roberts,81,65.52,38,58
12,13,13,Dudley Hart,60,65.0,26,40
13,T14,T14,John Huston,62,64.29,27,42
14,T14,T14,Nick Price,51,64.29,27,42
15,16,16,Tom Pernice Jr.,103,64.18,43,67
16,17,17,Jay Haas,84,63.27,31,49
17,T18,T18,Danny Ellis,81,62.71,37,59
18,T18,T18,Scott Verplank,92,62.71,37,59
19,20,20,Brenden Pappas,111,61.9,52,84
20,T21,T21,Tim Clark,84,61.82,34,55
21,T21,T21,Arron Oberholser,77,61.82,34,55
22,T23,T23,Geoff Ogilvy,91,61.64,45,73
23,T23,T23,Omar Uresti,85,61.64,45,73
24,25,25,Alex Cejka,76,61.54,40,65
25,26,26,Brad Faxon,94,60.94,39,64
26,27,27,Paul Azinger,75,60.61,40,66
27,T28,T28,Stephen Ames,97,60.53,46,76
28,T28,T28,Tag Ridings,53,60.53,23,38
29,30,30,Ernie Els,62,60.47,26,43
30,31,31,Jason Dufner,79,60.34,35,58
31,32,32,David Frost,78,60.27,44,73
32,33,33,Esteban Toledo,92,60.26,47,78
33,T34,T34,Michael Allen,87,60.0,33,55
34,T34,T34,Jonathan Byrd,85,60.0,48,80
35,T34,T34,Greg Chalmers,70,60.0,30,50
36,37,37,Jay Williamson,100,59.79,58,97
37,38,38,Phil Mickelson,83,59.65,34,57
38,39,39,Mark O'Meara,58,59.52,25,42
39,40,40,Steve Flesch,109,58.97,46,78
40,41,41,Len Mattiace,75,58.93,33,56
41,42,42,Dean Wilson,99,58.75,47,80
42,43,43,Brian Gay,96,58.67,44,75
43,44,44,Mike Weir,75,58.49,31,53
44,T45,T45,Tommy Armour III,87,58.21,39,67
45,T45,T45,Chris DiMarco,105,58.21,39,67
46,47,47,Matt Gogel,86,58.0,29,50
47,T48,T48,Steve Allan,102,57.89,55,95
48,T48,T48,Davis Love III,85,57.89,44,76
49,50,50,Roger Tambellini,81,57.63,34,59
50,51,51,Craig Barlow,80,57.53,42,73
51,T52,T52,Rich Beem,81,57.41,31,54
52,T52,T52,Danny Briggs,85,57.41,31,54
53,54,54,Carl Pettersson,100,57.33,43,75
54,T55,T55,Fred Funk,97,57.14,36,63
