,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Chris Riley,78,0.358,134,48.0
1,2,2,Rory Sabbatini,89,0.365,181,66.0
2,3,3,Carl Pettersson,100,0.369,203,75.0
3,4,4,Stuart Appleby,84,0.381,126,48.0
4,5,5,David Peoples,82,0.386,184,71.0
5,6,6,Zach Johnson,109,0.387,199,77.0
6,7,7,Corey Pavin,83,0.39399999999999996,170,67.0
7,8,8,Retief Goosen,56,0.39799999999999996,83,33.0
8,T9,T9,Ernie Els,62,0.402,102,41.0
9,T9,T9,Tom Lehman,70,0.402,127,51.0
10,11,11,Bo Van Pelt,107,0.405,168,68.0
11,12,12,Kirk Triplett,88,0.406,138,56.0
12,13,13,Bernhard Langer,59,0.408,98,40.0
13,14,14,Vijay Singh,112,0.409,159,65.0
14,15,15,Brian Gay,96,0.41,217,89.0
15,16,16,Ben Crane,92,0.41100000000000003,207,85.0
16,T17,T17,Skip Kendall,99,0.413,172,71.0
17,T17,T17,Craig Parry,52,0.413,80,33.0
18,19,19,Justin Rose,77,0.415,142,59.0
19,20,20,Glen Day,101,0.418,213,89.0
20,21,21,Bob Estes,73,0.42,119,50.0
21,22,22,Jesper Parnevik,86,0.42100000000000004,209,88.0
22,T23,T23,Peter Lonard,68,0.42200000000000004,135,57.0
23,T23,T23,Omar Uresti,85,0.42200000000000004,206,87.0
24,25,25,Jeff Maggert,60,0.423,97,41.0
25,26,26,Arron Oberholser,77,0.424,158,67.0
26,27,27,Tiger Woods,78,0.425,127,54.0
27,28,28,Todd Hamilton,92,0.428,173,74.0
28,29,29,Chad Campbell,100,0.431,153,66.0
29,T30,T30,Stewart Cink,103,0.434,159,69.0
30,T30,T30,Luke Donald,72,0.434,129,56.0
31,T30,T30,Justin Leonard,90,0.434,129,56.0
32,T33,T33,Jay Haas,84,0.435,115,50.0
33,T33,T33,Davis Love III,85,0.435,147,64.0
34,T35,T35,Fred Funk,97,0.436,156,68.0
35,T35,T35,Shigeki Maruyama,93,0.436,179,78.0
36,37,37,Darren Clarke,54,0.43700000000000006,87,38.0
37,T38,T38,Freddie Jacobson,83,0.439,173,76.0
38,T38,T38,Kevin Na,100,0.439,223,98.0
39,40,40,José Coceres,68,0.44,141,62.0
40,T41,T41,José María Olazábal,56,0.44299999999999995,106,47.0
41,T41,T41,Tom Pernice Jr.,103,0.44299999999999995,210,93.0
42,T41,T41,Steve Stricker,81,0.44299999999999995,174,77.0
43,T44,T44,Charles Howell III,104,0.445,182,81.0
44,T44,T44,Brian Kortan,65,0.445,155,69.0
45,46,46,Dean Wilson,99,0.447,246,110.0
46,47,47,Scott McCarron,88,0.44799999999999995,181,81.0
47,T48,T48,Ben Curtis,56,0.449,98,44.0
48,T48,T48,Jay Williamson,100,0.449,207,93.0
49,T50,T50,Dan Forsman,79,0.451,175,79.0
50,T50,T50,Jerry Kelly,113,0.451,182,82.0
51,T50,T50,Phil Mickelson,83,0.451,133,60.0
52,53,53,Robert Damron,92,0.452,219,99.0
53,54,54,Tim Petrovic,111,0.45299999999999996,192,87.0
54,55,55,Tim Herron,84,0.456,169,77.0
55,T56,T56,Danny Briggs,85,0.457,173,79.0
56,T56,T56,Daniel Chopra,108,0.457,276,126.0
57,T56,T56,Brad Faxon,94,0.457,173,79.0
58,T59,T59,Jason Dufner,79,0.45799999999999996,179,82.0
59,T59,T59,Rod Pampling,98,0.45799999999999996,166,76.0
60,T59,T59,Adam Scott,55,0.45799999999999996,83,38.0
61,T62,T62,Kevin Sutherland,86,0.45899999999999996,172,79.0
62,T62,T62,Bob Tway,90,0.45899999999999996,111,51.0
63,T64,T64,Billy Andrade,104,0.46,250,115.0
64,T64,T64,Jay Delsing,76,0.46,176,81.0
65,66,66,Joe Ogilvie,104,0.461,228,105.0
66,T67,T67,Michael Allen,87,0.462,182,84.0
67,T67,T67,Tom Byrum,83,0.462,169,78.0
68,T67,T67,Loren Roberts,81,0.462,158,73.0
69,70,70,Brenden Pappas,111,0.46299999999999997,285,132.0
70,T71,T71,Jeff Brehaut,106,0.46399999999999997,224,104.0
71,T71,T71,David Frost,78,0.46399999999999997,153,71.0
72,T71,T71,J.J. Henry,103,0.46399999999999997,192,89.0
73,74,74,Jeff Sluman,98,0.467,169,79.0
74,75,75,Joe Durant,85,0.46799999999999997,141,66.0
75,T76,T76,Arjun Atwal,85,0.469,194,91.0
76,T76,T76,David Branshaw,84,0.469,194,91.0
77,T76,T76,Niclas Fasth,61,0.469,145,68.0
78,T76,T76,Stephen Leaney,84,0.469,128,60.0
79,80,80,Stephen Ames,97,0.47,168,79.0
80,81,81,Jonathan Byrd,85,0.47100000000000003,206,97.0
81,82,82,Brian Bateman,84,0.47200000000000003,178,84.0
82,83,83,Olin Browne,92,0.473,207,98.0
83,84,84,Aaron Baddeley,87,0.474,234,111.0
84,85,85,Joey Sindelar,100,0.47600000000000003,189,90.0
85,86,86,Geoff Ogilvy,91,0.47700000000000004,199,95.0
86,T87,T87,Ryan Palmer,103,0.478,205,98.0
87,T87,T87,Hidemichi Tanaka,89,0.478,184,88.0
88,89,89,Mark O'Meara,58,0.48,98,47.0
89,T90,T90,Deane Pappas,72,0.48100000000000004,181,87.0
90,T90,T90,Patrick Sheehan,113,0.48100000000000004,231,111.0
91,T92,T92,Brent Geiberger,94,0.483,172,83.0
92,T92,T92,John Rollins,90,0.483,211,102.0
93,94,94,Steve Allan,102,0.484,215,104.0
94,95,95,Mathias Grönberg,91,0.486,214,104.0
95,96,96,Robert Gamez,103,0.488,209,102.0
96,T97,T97,Mark Hensby,97,0.489,227,111.0
97,T97,T97,Craig Perks,75,0.489,184,90.0
98,99,99,Kent Jones,99,0.49,210,103.0
99,T100,T100,J.P. Hayes,79,0.491,167,82.0
100,T100,T100,John Riegger,53,0.491,112,55.0
101,T102,T102,Craig Bowden,83,0.49200000000000005,189,93.0
102,T102,T102,John Daly,79,0.49200000000000005,183,90.0
103,T104,T104,Matt Gogel,86,0.494,176,87.0
104,T104,T104,Heath Slocum,92,0.494,162,80.0
105,T106,T106,Bob Burns,88,0.495,190,94.0
106,T106,T106,John Cook,57,0.495,107,53.0
107,T106,T106,Steve Flesch,109,0.495,182,90.0
108,T109,T109,Todd Fischer,104,0.496,256,127.0
109,T109,T109,Tripp Isenhour,55,0.496,127,63.0
110,T109,T109,Duffy Waldorf,79,0.496,117,58.0
111,T112,T112,Craig Barlow,80,0.49700000000000005,169,84.0
112,T112,T112,Mark Wilson,62,0.49700000000000005,143,71.0
113,T114,T114,Greg Chalmers,70,0.498,219,109.0
114,T114,T114,Ted Purdy,114,0.498,245,122.0
115,T116,T116,Tim Clark,84,0.5,152,76.0
116,T116,T116,Lee Janzen,84,0.5,140,70.0
117,T116,T116,Rocco Mediate,53,0.5,96,48.0
118,T119,T119,Cameron Beckman,99,0.503,181,91.0
119,T119,T119,Mark Calcavecchia,79,0.503,167,84.0
120,T119,T119,Chris DiMarco,105,0.503,167,84.0
121,T119,T119,Dicky Pride,66,0.503,153,77.0
122,123,123,Cliff Kresge,89,0.505,204,103.0
123,124,124,Scott Hoch,52,0.506,87,44.0
124,T125,T125,Harrison Frazar,86,0.507,203,103.0
125,T125,T125,Richard Johnson,102,0.507,217,110.0
126,127,127,Dudley Hart,60,0.508,118,60.0
127,T128,T128,Briny Baird,100,0.509,167,85.0
128,T128,T128,Carlos Franco,99,0.509,216,110.0
129,T130,T130,Paul Azinger,75,0.51,143,73.0
130,T130,T130,Steve Lowery,91,0.51,192,98.0
131,T132,T132,Bart Bryant,73,0.512,121,62.0
132,T132,T132,Steve Elkington,64,0.512,121,62.0
133,134,134,Dennis Paulson,71,0.513,158,81.0
134,T135,T135,Guy Boros,64,0.515,171,88.0
135,T135,T135,Esteban Toledo,92,0.515,202,104.0
136,137,137,Scott Verplank,92,0.516,128,66.0
137,138,138,Shaun Micheel,93,0.517,149,77.0
138,T139,T139,Alex Cejka,76,0.518,139,72.0
139,T139,T139,Kris Cox,73,0.518,164,85.0
140,T141,T141,Mark Brooks,72,0.52,148,77.0
141,T141,T141,Hank Kuehne,91,0.52,227,118.0
142,T141,T141,Len Mattiace,75,0.52,196,102.0
143,144,144,Brett Quigley,102,0.522,209,109.0
144,145,145,Hunter Mahan,94,0.523,235,123.0
145,146,146,Kenny Perry,79,0.524,143,75.0
146,147,147,Tommy Armour III,87,0.527,184,97.0
147,T148,T148,Pat Bates,99,0.528,176,93.0
148,T148,T148,K.J. Choi,83,0.528,144,76.0
149,T150,T150,Matt Kuchar,83,0.529,191,101.0
150,T150,T150,Vaughn Taylor,84,0.529,187,99.0
151,T152,T152,Woody Austin,94,0.53,202,107.0
152,T152,T152,David Toms,80,0.53,100,53.0
153,154,154,Scott Simpson,55,0.532,124,66.0
154,155,155,Nick Price,51,0.5329999999999999,90,48.0
155,156,156,Rich Barcelo,67,0.536,153,82.0
156,157,157,Mike Weir,75,0.5379999999999999,130,70.0
157,158,158,Rich Beem,81,0.54,137,74.0
158,159,159,Jonathan Kaye,79,0.541,148,80.0
159,160,160,D.J. Brigman,79,0.545,191,104.0
160,T161,T161,Robert Allenby,93,0.547,128,70.0
161,T161,T161,Danny Ellis,81,0.547,159,87.0
162,T163,T163,Sergio Garcia,65,0.5489999999999999,102,56.0
163,T163,T163,Frank Lickliter II,89,0.5489999999999999,195,107.0
