,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Fred Funk,97,77.23,1031,1335
1,2,2,Scott Verplank,92,77.13,978,1268
2,3,3,Craig Bowden,83,76.15,881,1157
3,4,4,Joe Durant,85,75.08,886,1180
4,5,5,Tom Byrum,83,74.67,861,1153
5,6,6,José Coceres,68,74.27,664,894
6,7,7,Bart Bryant,73,74.22,711,958
7,8,8,Olin Browne,92,73.53,900,1224
8,9,9,John Cook,57,73.41,541,737
9,10,10,Omar Uresti,85,73.13,868,1187
10,11,11,Hidemichi Tanaka,89,72.26,896,1240
11,12,12,Kirk Triplett,88,72.11,843,1169
12,13,13,Tim Clark,84,72.01,844,1172
13,14,14,Mark Wilson,62,71.96,621,863
14,15,15,Zach Johnson,109,71.91,1075,1495
15,16,16,Corey Pavin,83,71.88,790,1099
16,17,17,Jeff Brehaut,106,71.34,1033,1448
17,18,18,Heath Slocum,92,71.31,895,1255
18,19,19,Scott Simpson,55,70.72,541,765
19,20,20,Hirofumi Miyase,65,70.65,621,879
20,21,21,Jerry Kelly,113,70.4,1068,1517
21,22,22,Billy Mayfair,109,70.13,1026,1463
22,23,23,Ted Purdy,114,70.08,1094,1561
23,24,24,Robert Damron,92,70.02,897,1281
24,25,25,Rocco Mediate,53,69.92,465,665
25,26,26,Pat Bates,99,69.87,944,1351
26,27,27,Kent Jones,99,69.78,940,1347
27,28,28,Loren Roberts,81,69.77,764,1095
28,29,29,Tom Lehman,70,69.66,643,923
29,30,30,Luke Donald,72,69.61,701,1007
30,31,31,Notah Begay III,71,69.49,649,934
31,32,32,David Morland IV,73,69.35,706,1018
32,33,33,Jay Williamson,100,69.33,945,1363
33,34,34,Richard Johnson,102,69.27,983,1419
34,35,35,Jeff Maggert,60,69.25,581,839
