,Last_15_Events_-_Short_Game_RANK THIS WEEK,Last_15_Events_-_Short_Game_RANK LAST WEEK,Last_15_Events_-_Short_Game_PLAYER NAME,Last_15_Events_-_Short_Game_EVENTS,Last_15_Events_-_Short_Game_RATING
0,1,1,Vance Veazey,1,8.8
1,T2,T2,Steve Friesen,1,8.3
2,T2,T2,David Ogrin,1,8.3
3,4,4,Fulton Allem,1,8.1
4,T5,T5,Hiroyuki Fujita,1,8.0
5,T5,T5,David Howell,1,8.0
6,T7,T7,Mathias Grönberg,1,7.8
7,T7,T7,Jay Haas,5,7.8
8,T9,T9,Pete Jordan,1,7.7
9,T9,T9,Shingo Katayama,1,7.7
10,T9,T9,Ian Poulter,2,7.7
11,T9,T9,Chris Stroud,1,7.7
12,T13,T13,Michael Allen,7,7.4
13,T13,T13,Ernie Els,8,7.4
14,T13,T13,Loren Roberts,10,7.4
15,T16,T16,Paul Casey,4,7.3
16,T16,T16,Nick Gilliam,1,7.3
17,T18,T19,Greg Chalmers,7,7.2
18,T18,T19,Chris DiMarco,9,7.2
19,T18,T19,Carlos Franco,9,7.2
20,T18,T19,Hank Kuehne,8,7.2
21,T18,T19,Tom Watson,1,7.2
22,T23,T24,Notah Begay III,6,7.1
23,T23,T24,Jim Carter,4,7.1
24,T23,T16,Stewart Cink,6,7.1
25,T23,T24,Scott McCarron,9,7.1
26,T23,T24,Rory Sabbatini,8,7.1
27,T23,T24,Stan Utley,3,7.1
28,T23,T66,Tiger Woods,9,7.1
29,T30,T29,Craig Bowden,4,7.0
30,T30,T29,John Huston,6,7.0
31,T30,T29,Bobby Kalinowski,1,7.0
32,T30,T29,John Morgan,4,7.0
33,T30,T29,José María Olazábal,9,7.0
34,T30,T29,Tim Thelen,1,7.0
35,T30,T29,David Toms,9,7.0
36,T30,T29,Omar Uresti,7,7.0
37,T30,T29,Lee Westwood,5,7.0
38,T30,T29,Casey Wittenberg,2,7.0
39,T40,T40,Tom Byrum,10,6.9
40,T40,T40,Jay Delsing,5,6.9
41,T40,T29,Todd Hamilton,7,6.9
42,T40,T40,Brian Henninger,1,6.9
43,T40,T40,Barry Lane,2,6.9
44,T40,T51,Davis Love III,5,6.9
45,T40,T40,Len Mattiace,8,6.9
46,T40,T40,Corey Pavin,10,6.9
47,T40,T40,Jean-Francois Remesy,1,6.9
48,T40,T40,Paul Stankowski,5,6.9
49,T40,T40,Kevin Sutherland,7,6.9
50,T40,T40,Tim Wilkinson,1,6.9
51,T40,T40,Dean Wilson,8,6.9
52,T53,T51,Robert Allenby,9,6.8
53,T53,T51,K.J. Choi,7,6.8
54,T53,T51,Robert Damron,11,6.8
55,T53,T51,Joe Durant,8,6.8
56,T53,T51,Retief Goosen,8,6.8
57,T53,T51,Dudley Hart,4,6.8
58,T53,T51,Bernhard Langer,11,6.8
59,T53,T51,Edward Loar,1,6.8
60,T53,T51,Billy Mayfair,8,6.8
61,T53,T51,Chris Nallen,1,6.8
62,T53,T51,Jyoti Randhawa,1,6.8
63,T53,T51,Mike Small,1,6.8
64,T53,T51,Steve Stricker,8,6.8
65,T53,T51,Willie Wood,4,6.8
66,T67,T66,Paul Azinger,8,6.7
67,T67,T66,Cameron Beckman,9,6.7
68,T67,T66,Danny Briggs,7,6.7
69,T67,T66,Darren Clarke,6,6.7
70,T67,T66,Russ Cochran,2,6.7
71,T67,T66,Ben Crane,8,6.7
72,T67,T66,Brad Faxon,8,6.7
73,T67,T66,Fred Funk,10,6.7
74,T67,T66,Brian Gay,8,6.7
75,T67,T66,Matt Gogel,11,6.7
76,T67,T66,Jonathan Kaye,8,6.7
77,T67,T66,Joe Ogilvie,6,6.7
78,T67,T66,Pat Perez,9,6.7
79,T67,T66,David Roesch,1,6.7
80,T67,T66,Heath Slocum,4,6.7
81,T67,T66,Mike Weir,8,6.7
82,T83,T83,Tim Clark,8,6.6
83,T83,T83,Tim Conley,1,6.6
84,T83,T83,Marco Dawson,3,6.6
