,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Brian Gay,96,1.5530000000000002,2628,1692
1,2,2,Greg Chalmers,70,1.556,1960,1260
2,T3,T3,José María Olazábal,56,1.56,1460,936
3,T3,T3,Steve Stricker,81,1.56,2190,1404
4,5,5,Stewart Cink,103,1.564,2731,1746
5,T6,T6,Brad Faxon,94,1.567,2510,1602
6,T6,T6,Nick Price,51,1.567,1410,900
7,8,8,Ben Crane,92,1.569,2598,1656
8,9,9,Corey Pavin,83,1.57,2232,1422
9,T10,T10,Carl Pettersson,100,1.5719999999999998,2744,1746
10,T10,T10,Tag Ridings,53,1.5719999999999998,1415,900
11,12,12,Dean Wilson,99,1.5730000000000002,2803,1782
12,13,13,Matt Gogel,86,1.574,2380,1512
13,14,14,Aaron Baddeley,87,1.5759999999999998,2411,1530
14,15,15,Joe Ogilvie,104,1.577,2895,1836
15,T16,T16,Darren Clarke,54,1.578,1363,864
16,T16,T16,Hank Kuehne,91,1.578,2528,1602
17,T18,T18,Jonathan Byrd,85,1.579,2359,1494
18,T18,T18,José Coceres,68,1.579,1819,1152
19,20,20,Tiger Woods,78,1.58,2048,1296
20,21,21,Mark Hensby,97,1.581,2646,1674
21,T22,T22,Chris Riley,78,1.5819999999999999,2107,1332
22,T22,T22,Loren Roberts,81,1.5819999999999999,2249,1422
23,T24,T24,Ernie Els,62,1.5830000000000002,1653,1044
24,T24,T24,Freddie Jacobson,83,1.5830000000000002,2280,1440
25,26,26,Len Mattiace,75,1.584,2139,1350
26,T27,T27,Shigeki Maruyama,93,1.585,2625,1656
27,T27,T27,Jesper Parnevik,86,1.585,2454,1548
28,T29,T29,Bob Estes,73,1.5859999999999999,2027,1278
29,T29,T29,David Peoples,82,1.5859999999999999,2284,1440
30,T31,T31,Paul Azinger,75,1.587,2142,1350
31,T31,T31,Bob Burns,88,1.587,2456,1548
32,T31,T31,Glen Day,101,1.587,2828,1782
33,T34,T34,Skip Kendall,99,1.588,2829,1782
34,T34,T34,Kirk Triplett,88,1.588,2401,1512
35,36,36,Mark O'Meara,58,1.589,1659,1044
36,T37,T37,Davis Love III,85,1.59,2146,1350
37,T37,T37,Brenden Pappas,111,1.59,3091,1944
38,39,39,John Rollins,90,1.591,2434,1530
39,T40,T40,Tom Byrum,83,1.5930000000000002,2380,1494
40,T40,T40,Daniel Chopra,108,1.5930000000000002,3040,1908
41,T40,T40,Richard Johnson,102,1.5930000000000002,2925,1836
42,T40,T40,Patrick Sheehan,113,1.5930000000000002,3182,1998
43,T44,T44,Todd Hamilton,92,1.595,2526,1584
44,T44,T44,Dennis Paulson,71,1.595,2038,1278
45,T46,T46,Harrison Frazar,86,1.5959999999999999,2356,1476
46,T46,T46,Retief Goosen,56,1.5959999999999999,1580,990
47,T46,T46,Geoff Ogilvy,91,1.5959999999999999,2499,1566
48,T49,T49,Stuart Appleby,84,1.597,2242,1404
49,T49,T49,Danny Ellis,81,1.597,2213,1386
50,T49,T49,Hunter Mahan,94,1.597,2702,1692
51,T49,T49,Kevin Na,100,1.597,2760,1728
52,T49,T49,Mike Weir,75,1.597,2099,1314
53,54,54,Michael Allen,87,1.598,2445,1530
54,T55,T55,Deane Pappas,72,1.599,2015,1260
55,T55,T55,Scott Verplank,92,1.599,2619,1638
56,T57,T57,Mark Calcavecchia,79,1.6,2246,1404
57,T57,T57,Chris DiMarco,105,1.6,2822,1764
58,T57,T57,Todd Fischer,104,1.6,2938,1836
59,T60,T60,Robert Gamez,103,1.601,2969,1854
60,T60,T60,Jay Haas,84,1.601,2277,1422
61,T60,T60,Tim Petrovic,111,1.601,3084,1926
62,63,63,Frank Lickliter II,89,1.6030000000000002,2481,1548
63,64,64,John Daly,79,1.604,2281,1422
64,T65,T65,Fred Funk,97,1.605,2774,1728
65,T65,T65,Justin Leonard,90,1.605,2455,1530
66,T67,T67,Arjun Atwal,85,1.6059999999999999,2399,1494
67,T67,T67,Tim Clark,84,1.6059999999999999,2428,1512
68,T67,T67,David Morland IV,73,1.6059999999999999,2110,1314
69,T67,T67,Rod Pampling,98,1.6059999999999999,2718,1692
70,T71,T71,Billy Andrade,104,1.607,3008,1872
71,T71,T71,Craig Bowden,83,1.607,2401,1494
72,T71,T71,David Frost,78,1.607,2256,1404
73,T71,T71,Zach Johnson,109,1.607,3095,1926
74,T71,T71,Kevin Sutherland,86,1.607,2343,1458
75,T76,T76,Bernhard Langer,59,1.608,1592,990
76,T76,T76,Phil Mickelson,83,1.608,2287,1422
77,T76,T76,Ryan Palmer,103,1.608,2895,1800
78,T76,T76,Esteban Toledo,92,1.608,2605,1620
79,T80,T80,Brent Geiberger,94,1.609,2635,1638
80,T80,T80,J.P. Hayes,79,1.609,2172,1350
81,T80,T80,Jerry Kelly,113,1.609,3156,1962
82,T80,T80,Scott McCarron,88,1.609,2490,1548
83,T80,T80,Craig Parry,52,1.609,1448,900
84,T80,T80,Rory Sabbatini,89,1.609,2490,1548
