,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Patrick Sheehan,113,44,742,5.9
1,2,2,Brenden Pappas,111,38,724,5.2
2,T3,T3,Daniel Chopra,108,30,660,4.5
3,T3,T3,Carl Pettersson,100,30,593,5.1
4,T5,T5,Hunter Mahan,94,29,602,4.8
5,T5,T5,Ted Purdy,114,29,711,4.1
6,T7,T7,Tom Carter,113,28,650,4.3
7,T7,T7,Glen Day,101,28,653,4.3
8,T7,T7,Rod Pampling,98,28,558,5.0
9,T10,T10,Stephen Ames,97,27,567,4.8
10,T10,T10,Cameron Beckman,99,27,602,4.5
11,T10,T10,Tim Petrovic,111,27,626,4.3
12,T10,T10,Brett Quigley,102,27,611,4.4
13,T14,T14,Pat Bates,99,26,596,4.4
14,T14,T14,Danny Briggs,85,26,500,5.2
15,T14,T14,Brent Geiberger,94,26,589,4.4
16,T14,T14,Frank Lickliter II,89,26,566,4.6
17,T18,T18,Zach Johnson,109,25,631,4.0
18,T18,T18,Neal Lancaster,106,25,642,3.9
19,T18,T18,Hidemichi Tanaka,89,25,517,4.8
20,T21,T21,Steve Allan,102,24,597,4.0
21,T21,T21,Briny Baird,100,24,485,4.9
22,T21,T21,Stewart Cink,103,24,614,3.9
23,T21,T21,Harrison Frazar,86,24,511,4.7
24,T21,T21,Jeff Sluman,98,24,524,4.6
25,T26,T26,Aaron Baddeley,87,23,578,4.0
26,T26,T26,Jonathan Byrd,85,23,562,4.1
27,T26,T26,Chad Campbell,100,23,506,4.5
28,T26,T26,David Frost,78,23,511,4.5
29,T26,T26,Hank Kuehne,91,23,631,3.6
30,T26,T26,J.L. Lewis,106,23,601,3.8
31,T26,T26,David Morland IV,73,23,452,5.1
32,T26,T26,Geoff Ogilvy,91,23,545,4.2
33,T26,T26,Joey Sindelar,100,23,564,4.1
