,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,1,1,Steve Flesch,109,4,47
1,T2,T2,Craig Barlow,80,3,42
2,T2,T2,Rory Sabbatini,89,3,50
3,T2,T2,Roland Thatcher,66,3,49
4,T5,T5,Steve Allan,102,2,51
5,T5,T5,Woody Austin,94,2,57
6,T5,T5,Aaron Baddeley,87,2,33
7,T5,T5,D.J. Brigman,79,2,53
8,T5,T5,Mark Calcavecchia,79,2,41
9,T5,T5,Daniel Chopra,108,2,43
10,T5,T5,Scott Hend,81,2,62
11,T5,T5,Neal Lancaster,106,2,62
12,T5,T5,Billy Mayfair,109,2,63
13,T5,T5,Shaun Micheel,93,2,49
14,T5,T5,Geoff Ogilvy,91,2,35
15,T5,T5,Pat Perez,102,2,67
16,T5,T5,Tim Petrovic,111,2,42
17,T5,T5,Brett Quigley,102,2,55
18,T5,T5,Tommy Tolles,67,2,44
19,T5,T5,Omar Uresti,85,2,43
20,T21,T21,Stuart Appleby,84,1,33
21,T21,T21,Paul Azinger,75,1,32
22,T21,T21,Cameron Beckman,99,1,55
23,T21,T21,Notah Begay III,71,1,40
24,T21,T21,Jonathan Byrd,85,1,37
25,T21,T21,Tom Carter,113,1,50
26,T21,T21,Alex Cejka,76,1,41
27,T21,T21,K.J. Choi,83,1,38
28,T21,T21,Tim Clark,84,1,36
29,T21,T21,Chris Couch,55,1,33
30,T21,T21,Kris Cox,73,1,40
31,T21,T21,Ben Crane,92,1,37
32,T21,T21,Joe Durant,85,1,51
33,T21,T21,Steve Elkington,64,1,33
34,T21,T21,David Frost,78,1,44
35,T21,T21,Mathias Grönberg,91,1,47
36,T21,T21,Mark Hensby,97,1,37
37,T21,T21,John Huston,62,1,44
38,T21,T21,Freddie Jacobson,83,1,35
39,T21,T21,Lee Janzen,84,1,58
40,T21,T21,Jonathan Kaye,79,1,45
41,T21,T21,Jerry Kelly,113,1,38
42,T21,T21,Skip Kendall,99,1,47
43,T21,T21,Cliff Kresge,89,1,52
44,T21,T21,Matt Kuchar,83,1,50
45,T21,T21,Hank Kuehne,91,1,40
46,T21,T21,J.L. Lewis,106,1,48
47,T21,T21,Steve Lowery,91,1,49
48,T21,T21,Shigeki Maruyama,93,1,35
49,T21,T21,Phil Mickelson,83,1,41
50,T21,T21,David Morland IV,73,1,44
51,T21,T21,Kevin Na,100,1,44
52,T21,T21,Mark O'Meara,58,1,26
53,T21,T21,Deane Pappas,72,1,34
54,T21,T21,Steve Pate,71,1,45
55,T21,T21,Loren Roberts,81,1,25
56,T21,T21,Gene Sauers,83,1,47
57,T21,T21,Adam Scott,55,1,22
58,T21,T21,Heath Slocum,92,1,40
59,T21,T21,Chris Smith,105,1,73
60,T21,T21,Andre Stolz,53,1,28
61,T21,T21,Esteban Toledo,92,1,49
62,T21,T21,David Toms,80,1,38
63,T21,T21,Kirk Triplett,88,1,27
64,T21,T21,Grant Waite,79,1,46
