,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Mark Brooks,34.0,204,6
1,2,2,Steve Allan,34.22,616,18
2,3,3,Matt Gogel,34.42,654,19
3,4,4,Dudley Hart,34.44,310,9
4,T5,T5,Tim Clark,34.5,552,16
5,T5,T5,Duffy Waldorf,34.5,483,14
6,7,7,David Toms,34.53,518,15
7,8,8,Bart Bryant,34.54,449,13
8,9,9,Jay Delsing,34.58,415,12
9,T10,T10,Retief Goosen,34.67,416,12
10,T10,T10,Tom Lehman,34.67,520,15
11,T10,T10,Vijay Singh,34.67,936,27
12,13,13,Brian Gay,34.69,555,16
13,14,14,John Daly,34.71,590,17
14,15,15,Justin Rose,34.75,556,16
15,16,16,Ernie Els,34.79,487,14
16,17,17,Chad Campbell,34.8,696,20
17,18,18,Arron Oberholser,34.81,557,16
18,19,19,Tom Byrum,34.82,592,17
19,20,20,Ryan Palmer,34.83,627,18
20,T21,T21,Stephen Ames,34.86,732,21
21,T21,T21,Ted Purdy,34.86,767,22
22,23,23,Sergio Garcia,34.87,523,15
23,24,24,Stuart Appleby,34.88,558,16
24,25,25,Daniel Chopra,34.9,733,21
25,26,26,Stewart Cink,34.91,768,22
26,27,27,Bob Estes,34.92,454,13
27,T28,T28,Davis Love III,34.94,594,17
28,T28,T28,Kenny Perry,34.94,559,16
29,T28,T28,Tiger Woods,34.94,629,18
30,T31,T31,Notah Begay III,35.0,385,11
31,T31,T31,John Huston,35.0,350,10
32,T31,T31,Frank Lickliter II,35.0,630,18
33,T31,T31,Rocco Mediate,35.0,280,8
34,T31,T31,David Morland IV,35.0,385,11
35,T31,T31,Pat Perez,35.0,700,20
36,T31,T31,Tom Pernice Jr.,35.0,665,19
37,38,38,Jerry Kelly,35.04,911,26
38,T39,T39,Deane Pappas,35.07,491,14
39,T39,T39,Heath Slocum,35.07,526,15
40,T41,T41,Rod Pampling,35.09,772,22
41,T41,T41,Scott Verplank,35.09,772,22
