,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Justin Rose,77,21.88,42,192
1,2,2,Ben Curtis,56,21.85,26,119
2,3,3,Tiger Woods,78,21.3,46,216
3,4,4,Vijay Singh,112,20.66,63,305
4,5,5,Retief Goosen,56,20.44,28,137
5,6,6,Carl Pettersson,100,20.3,55,271
6,7,7,Darren Clarke,54,20.0,23,115
7,8,8,Phil Mickelson,83,19.47,37,190
8,9,9,Deane Pappas,72,19.15,45,235
9,10,10,John Huston,62,19.01,27,142
10,11,11,Brenden Pappas,111,18.98,78,411
11,12,12,Steve Flesch,109,18.88,47,249
12,13,13,Tim Clark,84,18.54,33,178
13,14,14,Rory Sabbatini,89,18.39,48,261
14,15,15,Harrison Frazar,86,18.18,42,231
15,16,16,Frank Lickliter II,89,17.98,41,228
16,17,17,Hank Kuehne,91,17.86,65,364
17,18,18,Jason Dufner,79,17.8,42,236
18,19,19,Tim Petrovic,111,17.71,51,288
19,T20,T20,Carlos Franco,99,17.63,61,346
20,T20,T20,Brent Geiberger,94,17.63,49,278
21,22,22,Alex Cejka,76,17.37,29,167
22,23,23,Kenny Perry,79,17.35,34,196
23,24,24,Joe Ogilvie,104,17.17,51,297
24,25,25,Scott Hoch,52,17.16,23,134
25,26,26,Geoff Ogilvy,91,17.12,44,257
26,T27,T27,Fred Funk,97,17.11,26,152
27,T27,T27,Dennis Paulson,71,17.11,39,228
28,29,29,Jerry Kelly,113,17.02,40,235
29,30,30,Stuart Appleby,84,17.0,34,200
30,31,31,Lucas Glover,95,16.86,44,261
31,32,32,Chris Smith,105,16.82,56,333
32,33,33,Bo Van Pelt,107,16.73,42,251
33,34,34,Davis Love III,85,16.67,38,228
34,35,35,Tommy Tolles,67,16.53,39,236
35,36,36,Steve Lowery,91,16.38,48,293
36,37,37,Stewart Cink,103,16.32,47,288
37,38,38,Scott Verplank,92,16.3,22,135
38,39,39,D.J. Brigman,79,16.26,40,246
39,40,40,Rich Barcelo,67,16.16,37,229
40,41,41,Vaughn Taylor,84,16.13,40,248
41,42,42,Chris Riley,78,16.11,29,180
42,43,43,Justin Leonard,90,15.96,30,188
43,44,44,Jonathan Byrd,85,15.95,41,257
44,T45,T45,Stephen Ames,97,15.93,43,270
45,T45,T45,Sergio Garcia,65,15.93,29,182
46,47,47,Duffy Waldorf,79,15.92,25,157
47,48,48,Tag Ridings,53,15.91,28,176
48,49,49,Niclas Fasth,61,15.88,27,170
49,50,50,Steve Elkington,64,15.86,23,145
50,51,51,David Toms,80,15.84,32,202
51,T52,T52,John Senden,99,15.79,45,285
52,T52,T52,Jeff Sluman,98,15.79,36,228
53,T54,T54,Ernie Els,62,15.64,28,179
54,T54,T54,Freddie Jacobson,83,15.64,38,243
55,56,56,Shigeki Maruyama,93,15.51,38,245
56,57,57,Cameron Beckman,99,15.49,44,284
57,58,58,Pat Perez,102,15.47,43,278
58,59,59,Danny Briggs,85,15.42,39,253
59,T60,T60,Scott Hend,81,15.38,44,286
60,T60,T60,Roger Tambellini,81,15.38,38,247
61,62,62,Scott McCarron,88,15.35,37,241
62,T63,T63,Brian Bateman,84,15.32,36,235
63,T63,T63,Neal Lancaster,106,15.32,51,333
64,65,65,Woody Austin,94,15.3,43,281
