,Early_Lowest_Round_RANK THIS WEEK,Early_Lowest_Round_RANK LAST WEEK,Early_Lowest_Round_PLAYER NAME,Early_Lowest_Round_LOW RND
0,1,1,Robert Gamez,60
1,T2,T2,Chad Campbell,61
2,T2,T2,Joe Ogilvie,61
3,T2,T2,Ted Purdy,61
4,T5,T5,Steve Allan,62
5,T5,T5,Briny Baird,62
6,T5,T5,Notah Begay III,62
7,T5,T5,David Branshaw,62
8,T5,T5,José Coceres,62
9,T5,T5,J.L. Lewis,62
10,T5,T5,Hunter Mahan,62
11,T5,T5,Corey Pavin,62
12,T5,T5,Adam Scott,62
13,T5,T5,Jeff Sluman,62
14,T5,T5,Jay Williamson,62
15,T16,T16,Bob Burns,63
16,T16,T16,Alex Cejka,63
17,T16,T16,Stewart Cink,63
18,T16,T16,Danny Ellis,63
19,T16,T16,Todd Fischer,63
20,T16,T16,Carlos Franco,63
21,T16,T16,Harrison Frazar,63
22,T16,T16,Bill Glasson,63
23,T16,T16,Skip Kendall,63
24,T16,T16,Matt Kuchar,63
25,T16,T16,Phil Mickelson,63
26,T16,T16,Deane Pappas,63
27,T16,T16,Pat Perez,63
28,T16,T16,Tom Pernice Jr.,63
29,T16,T16,Carl Pettersson,63
30,T16,T16,Justin Rose,63
31,T16,T16,Vijay Singh,63
32,T16,T16,Scott Verplank,63
33,T16,T16,Mark Wilson,63
34,T35,T35,Stephen Ames,64
35,T35,T35,Stuart Appleby,64
36,T35,T35,Tommy Armour III,64
37,T35,T35,Arjun Atwal,64
38,T35,T35,Aaron Baddeley,64
39,T35,T35,Rich Beem,64
40,T35,T35,Mark Brooks,64
41,T35,T35,Olin Browne,64
42,T35,T35,Greg Chalmers,64
43,T35,T35,Daniel Chopra,64
44,T35,T35,John Daly,64
45,T35,T35,Jay Delsing,64
46,T35,T35,Luke Donald,64
47,T35,T35,Ken Duke,64
48,T35,T35,Ernie Els,64
49,T35,T35,Kelly Gibson,64
50,T35,T35,Lucas Glover,64
51,T35,T35,Matt Gogel,64
52,T35,T35,Retief Goosen,64
53,T35,T35,Jay Haas,64
54,T35,T35,Bill Haas,64
55,T35,T35,Tim Herron,64
56,T35,T35,Charles Howell III,64
57,T35,T35,Freddie Jacobson,64
58,T35,T35,Brandt Jobe,64
59,T35,T35,Per-Ulrik Johansson,64
60,T35,T35,Richard Johnson,64
61,T35,T35,Jonathan Kaye,64
62,T35,T35,Jerry Kelly,64
63,T35,T35,Hank Kuehne,64
