,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Retief Goosen,56,67.6,338,5
1,2,2,Mike Weir,75,67.83,407,6
2,3,3,Shigeki Maruyama,93,67.92,815,12
3,4,4,Scott Verplank,92,68.67,1236,18
4,5,5,Tiger Woods,78,68.71,481,7
5,6,6,Loren Roberts,81,68.78,619,9
6,7,7,Harrison Frazar,86,68.92,827,12
7,8,8,Vijay Singh,112,69.0,897,13
8,9,9,Phil Mickelson,83,69.14,484,7
9,10,10,Scott McCarron,88,69.15,899,13
10,11,11,Darren Clarke,54,69.33,416,6
11,12,12,Cameron Beckman,99,69.38,1110,16
12,13,13,Joe Ogilvie,104,69.41,1180,17
13,14,14,Jay Haas,84,69.44,625,9
14,15,15,Stephen Ames,97,69.56,1113,16
15,16,16,Tom Lehman,70,69.57,974,14
16,17,17,Notah Begay III,71,69.58,835,12
17,18,18,Jeff Sluman,98,69.6,1044,15
18,19,19,Rocco Mediate,53,69.63,557,8
19,20,20,Chad Campbell,100,69.64,975,14
20,21,21,Jeff Maggert,60,69.7,697,10
21,T22,T22,Olin Browne,92,69.75,1395,20
22,T22,T22,Scott Hoch,52,69.75,558,8
23,24,24,Steve Stricker,81,69.79,1326,19
24,T25,T25,K.J. Choi,83,69.82,1187,17
25,T25,T25,Mark Hensby,97,69.82,1187,17
26,27,27,Chris Riley,78,69.83,838,12
27,28,28,Chris DiMarco,105,69.87,1048,15
28,29,29,Ted Purdy,114,69.91,1608,23
29,30,30,Duffy Waldorf,79,69.93,979,14
30,31,31,J.L. Lewis,106,69.95,1469,21
31,T32,T32,Ben Curtis,56,70.0,420,6
32,T32,T32,Sergio Garcia,65,70.0,560,8
33,T32,T32,Tim Herron,84,70.0,1050,15
34,T32,T32,Jerry Kelly,113,70.0,1190,17
35,T32,T32,Adam Scott,55,70.0,420,6
36,T32,T32,Vaughn Taylor,84,70.0,1120,16
37,38,38,Kirk Triplett,88,70.08,911,13
38,39,39,Corey Pavin,83,70.09,771,11
39,T40,T40,Daniel Chopra,108,70.15,1403,20
40,T40,T40,Ben Crane,92,70.15,912,13
41,42,42,Bo Van Pelt,107,70.21,1685,24
42,43,43,Brad Faxon,94,70.22,632,9
43,44,44,Stewart Cink,103,70.25,562,8
44,45,45,José Coceres,68,70.27,773,11
45,46,46,Craig Parry,52,70.29,492,7
46,47,47,David Toms,80,70.3,703,10
47,T48,T48,Robert Gamez,103,70.31,914,13
48,T48,T48,Carl Pettersson,100,70.31,1125,16
49,T50,T50,Woody Austin,94,70.33,1055,15
50,T50,T50,Brian Gay,96,70.33,1688,24
51,T50,T50,Andre Stolz,53,70.33,844,12
52,T50,T50,Mark Wilson,62,70.33,1055,15
53,54,54,J.J. Henry,103,70.35,1196,17
54,T55,T55,Dudley Hart,60,70.36,774,11
55,T55,T55,Lee Janzen,84,70.36,774,11
56,57,57,David Peoples,82,70.37,1337,19
57,58,58,Glen Day,101,70.4,1408,20
58,59,59,Shaun Micheel,93,70.43,986,14
59,60,60,Joe Durant,85,70.44,1127,16
60,61,61,Jonathan Kaye,79,70.47,1057,15
61,T62,T62,Ernie Els,62,70.5,282,4
62,T62,T62,Rod Pampling,98,70.5,846,12
63,64,64,Hidemichi Tanaka,89,70.59,1200,17
64,65,65,Jason Bohn,98,70.61,1271,18
65,T66,T66,Alex Cejka,76,70.62,918,13
66,T66,T66,Matt Gogel,86,70.62,1483,21
67,T68,T68,John Rollins,90,70.63,1130,16
68,T68,T68,Scott Simpson,55,70.63,565,8
69,70,70,Todd Hamilton,92,70.64,989,14
70,71,71,Jay Williamson,100,70.65,1837,26
71,72,72,Brett Quigley,102,70.67,1484,21
72,73,73,Danny Briggs,85,70.69,919,13
73,74,74,Mark Calcavecchia,79,70.7,707,10
74,T75,T75,Bart Bryant,73,70.71,990,14
75,T75,T75,Joey Sindelar,100,70.71,1202,17
76,77,77,Robert Allenby,93,70.74,1344,19
77,78,78,Todd Fischer,104,70.75,1132,16
78,79,79,Tom Pernice Jr.,103,70.76,1203,17
