,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,1,1,Joe Durant,26,34,1.0,1,10,2004450
1,T2,T2,Kevin Na,32,30,2.0,3,7,2004430
2,T2,T2,Jeff Sluman,28,30,,1,3,2004480
3,4,4,Steve Allan,33,29,4.0,3,2,2004290
4,T5,T5,Sergio Garcia,18,28,1.0,1,16,2004040
5,T5,T5,Matt Hendrix,3,28,1.0,2,12,2004290
6,T5,T5,Tom Lehman,19,28,7.0,4,13,2004400
7,T5,T5,Rod Pampling,26,28,2.0,3,11,2004430
8,T9,T9,José Coceres,20,27,1.0,1,9,2004370
9,T9,T9,Vijay Singh,29,27,,1,12,2004240
10,T11,T11,Olin Browne,30,25,1.0,2,10,2004450
11,T11,T11,Tim Clark,26,25,5.0,1,4,2004380
12,T11,T11,Jerry Kelly,29,25,,3,11,2004490
13,T11,T11,Roland Thatcher,23,25,2.0,1,12,2004290
14,T15,T15,Jim Furyk,14,24,4.0,1,2,2004010
15,T15,T15,Adam Scott,16,24,,1,15,2004260
16,T17,T17,Jay Delsing,26,23,,3,17,2004450
17,T17,T17,Neal Lancaster,33,23,2.0,3,16,2004470
18,T17,T17,Billy Mayfair,32,23,8.0,2,14,2004080
19,T17,T17,John Senden,28,23,2.0,5,18,2004030
20,T17,T17,Bo Van Pelt,30,23,2.0,4,9,2004450
21,T17,T17,Duffy Waldorf,26,23,6.0,3,11,2004030
22,T23,T23,Brent Geiberger,31,22,,1,1,2004460
23,T23,T23,J.J. Henry,30,22,,1,4,2004460
24,T23,T23,Scott Hoch,17,22,1.0,1,9,2004320
25,T23,T23,Jeff Maggert,20,22,4.0,2,17,2004050
26,T23,T23,Geoff Ogilvy,26,22,,1,18,2004470
27,T23,T23,John Rollins,29,22,3.0,1,16,2004290
28,T23,T23,Camilo Villegas,10,22,1.0,2,10,2004420
29,T30,T30,Craig Barlow,25,21,,2,5,2004070
30,T30,T30,Chad Campbell,28,21,2.0,2,16,2004010
31,T30,T30,Carlos Franco,27,21,2.0,3,4,2004170
32,T30,T30,Lucas Glover,30,21,1.0,1,16,2004140
33,T30,T30,Retief Goosen,16,21,,1,8,2004040
34,T30,T30,Donnie Hammond,13,21,7.0,1,15,2004450
35,T30,T30,Justin Leonard,25,21,2.0,1,4,2004480
36,T30,T30,Rory Sabbatini,26,21,,4,15,2004080
37,T30,T30,Scott Simpson,18,21,2.0,2,18,2004390
38,T30,T30,Joey Sindelar,31,21,,2,1,2004290
39,T30,T30,Mark Wiebe,6,21,8.0,1,1,2004290
40,T41,T41,Bart Bryant,23,20,3.0,2,15,2004400
41,T41,T41,Daniel Chopra,33,20,,1,18,2004290
42,T41,T41,John Cook,19,20,3.0,2,17,2004020
43,T41,T41,Chris Couch,24,20,3.0,2,18,2004400
44,T41,T41,Luke Donald,21,20,1.0,2,1,2004260
45,T41,T41,Steve Elkington,20,20,2.0,1,4,2004460
46,T41,T41,Todd Fischer,33,20,,4,18,2004020
47,T41,T41,Steve Flesch,31,20,,2,18,2004040
48,T41,T41,Shigeki Maruyama,26,20,1.0,3,14,2004010
49,T41,T41,Arron Oberholser,23,20,5.0,1,15,2004340
50,T41,T41,David Peoples,26,20,2.0,1,9,2004290
51,T41,T41,Hidemichi Tanaka,27,20,2.0,3,14,2004290
52,T41,T41,Esteban Toledo,36,20,2.0,4,18,2004030
53,T54,T54,Rich Barcelo,26,19,,2,14,2004240
54,T54,T54,D.J. Brigman,27,19,1.0,3,2,2004390
55,T54,T54,Alex Cejka,24,19,,2,3,2004450
56,T54,T54,Ben Crane,27,19,,2,15,2004010
57,T54,T54,Trevor Dodds,20,19,2.0,2,14,2004290
58,T54,T54,Padraig Harrington,12,19,,1,16,2004340
59,T54,T54,Freddie Jacobson,24,19,1.0,2,8,2004220
60,T54,T54,Lee Janzen,25,19,1.0,1,16,2004450
61,T54,T54,Per-Ulrik Johansson,12,19,,3,11,2004030
62,T54,T54,Skip Kendall,29,19,,1,10,2004450
63,T54,T54,Hank Kuehne,30,19,2.0,4,8,2004060
64,T54,T54,Hunter Mahan,30,19,,2,18,2004400
65,T54,T54,Phil Mickelson,22,19,,4,11,2004150
66,T54,T54,Nick O'Hern,2,19,9.0,1,16,2004340
67,T54,T54,Deane Pappas,22,19,3.0,4,12,2004080
68,T54,T54,Brett Quigley,31,19,4.0,3,9,2004450
69,T54,T54,Kirk Triplett,24,19,2.0,1,2,2004050
70,T54,T54,Bob Tway,26,19,3.0,4,13,2004010
71,T72,T72,Stuart Appleby,25,18,1.0,1,14,2004470
72,T72,T72,Tommy Armour III,28,18,1.0,1,17,2004110
73,T72,T72,Briny Baird,30,18,1.0,4,18,2004280
74,T72,T72,Cameron Beckman,30,18,1.0,2,12,2004430
75,T72,T72,Fred Couples,16,18,1.0,3,18,2004010
76,T72,T72,Robert Damron,28,18,1.0,2,10,2004030
77,T72,T72,David Edwards,13,18,7.0,1,15,2004080
78,T72,T72,Joel Edwards,11,18,3.0,2,14,2004290
79,T72,T72,Fred Funk,29,18,13.0,4,11,2004390
80,T72,T72,Peter Jacobsen,10,18,,1,2,2004050
81,T72,T72,Kent Jones,32,18,1.0,4,17,2004040
82,T72,T72,Scott McCarron,27,18,1.0,2,16,2004110
83,T72,T72,Shaun Micheel,27,18,9.0,1,12,2004070
84,T72,T72,Joe Ogilvie,32,18,,3,10,2004400
85,T72,T72,Dennis Paulson,21,18,1.0,1,4,2004180
86,T72,T72,Ian Poulter,9,18,5.0,2,2,2004150
87,T72,T72,Ted Purdy,35,18,,4,18,2004170
