,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,1,1,Scott McCarron,27,15,6.0,4,13,2004270
1,T2,T2,Len Mattiace,25,14,,3,15,2004270
2,T2,T2,Rod Pampling,26,14,,4,4,2004020
3,T4,T4,Billy Andrade,31,13,6.0,1,10,2004170
4,T4,T4,Mike Weir,22,13,1.0,4,2,2004190
5,6,6,Hank Kuehne,30,12,,2,3,2004280
6,T7,T7,Chris Riley,23,11,,3,2,2004060
7,T7,T7,Adam Scott,16,11,,1,2,2004300
8,T9,T9,Paul Casey,11,10,,1,15,2004360
9,T9,T9,Brad Faxon,28,10,1.0,1,11,2004110
10,T9,T9,Spike McRoy,33,10,10.0,2,12,2004470
11,T9,T9,Mark O'Meara,17,10,10.0,3,13,2004360
12,T9,T9,Geoff Ogilvy,26,10,1.0,2,3,2004270
13,T9,T9,Dennis Paulson,21,10,2.0,1,11,2004210
14,T9,T9,Phil Tataurangi,8,10,,4,1,2004350
15,T16,T16,Craig Bowden,30,9,,2,7,2004120
16,T16,T16,Bob Burns,30,9,1.0,1,14,2004020
17,T16,T16,Greg Chalmers,22,9,,2,7,2004310
18,T16,T16,José Coceres,20,9,,1,12,2004100
19,T16,T16,Ben Crane,27,9,,1,13,2004230
20,T16,T16,Dan Forsman,28,9,1.0,2,8,2004380
21,T16,T16,David Gossett,25,9,1.0,1,13,2004170
22,T16,T16,Brian Henninger,9,9,,2,12,2004350
23,T16,T16,Scott Hoch,17,9,,1,13,2004020
24,T16,T16,Brian Kortan,24,9,1.0,2,18,2004180
25,T16,T16,Hunter Mahan,30,9,1.0,1,10,2004210
26,T16,T16,Kevin Na,32,9,,1,13,2004320
27,T16,T16,Brenden Pappas,34,9,3.0,3,3,2004320
28,T16,T16,Loren Roberts,22,9,2.0,4,15,2004240
29,T16,T16,John Rollins,29,9,,1,12,2004270
30,T31,T31,Aaron Baddeley,27,8,1.0,1,7,2004120
31,T31,T31,Mark Brooks,31,8,1.0,2,8,2004210
32,T31,T31,Jonathan Byrd,27,8,,3,1,2004160
33,T31,T31,Tom Byrum,25,8,,3,4,2004310
34,T31,T31,Todd Fischer,33,8,1.0,2,3,2004020
35,T31,T31,David Frost,26,8,,1,14,2004470
36,T31,T31,Robert Gamez,31,8,,1,12,2004210
37,T31,T31,Lucas Glover,30,8,2.0,1,9,2004470
38,T31,T31,Matt Gogel,25,8,,4,17,2004340
39,T31,T31,Tim Herron,26,8,,2,10,2004340
40,T31,T31,Brandt Jobe,9,8,1.0,1,12,2004060
41,T31,T31,Bobby Kalinowski,1,8,8.0,1,7,2004020
42,T31,T31,Davis Love III,24,8,,2,5,2004210
43,T31,T31,Ryan Palmer,33,8,,1,2,2004270
44,T31,T31,Steve Pate,24,8,,2,8,2004080
45,T31,T31,Tim Petrovic,32,8,,2,10,2004190
46,T31,T31,Justin Rose,22,8,8.0,2,5,2004390
47,T31,T31,Duffy Waldorf,26,8,1.0,3,11,2004060
48,T31,T31,Brian Watts,9,8,2.0,2,9,2004200
49,T31,T31,Garrett Willis,17,8,,1,13,2004350
50,T31,T31,Willie Wood,9,8,8.0,3,4,2004350
51,T52,T52,Stephen Ames,27,7,,1,17,2004060
52,T52,T52,Rich Beem,28,7,1.0,4,14,2004220
53,T52,T52,Jeff Brehaut,34,7,4.0,2,13,2004080
54,T52,T52,Mark Calcavecchia,24,7,,2,13,2004450
55,T52,T52,Jim Carter,18,7,2.0,2,9,2004080
56,T52,T52,Stewart Cink,28,7,,4,12,2004390
57,T52,T52,Tim Clark,26,7,1.0,2,5,2004470
58,T52,T52,Fred Couples,16,7,,1,12,2004440
59,T52,T52,Ben Curtis,20,7,,2,4,2004150
60,T52,T52,John Daly,22,7,2.0,1,13,2004460
61,T52,T52,Ken Duke,30,7,1.0,4,11,2004020
62,T52,T52,Danny Ellis,26,7,,3,8,2004240
63,T52,T52,Steve Flesch,31,7,,3,14,2004210
64,T52,T52,Carlos Franco,27,7,2.0,4,13,2004080
65,T52,T52,Fred Funk,29,7,,2,2,2004430
66,T52,T52,Brent Geiberger,31,7,,1,12,2004220
67,T52,T52,Jay Haas,23,7,5.0,3,3,2004280
68,T52,T52,Mark Hensby,29,7,3.0,2,11,2004380
69,T52,T52,Charles Howell III,30,7,1.0,2,6,2004270
70,T52,T52,John Huston,20,7,,4,8,2004010
71,T52,T52,Lee Janzen,25,7,3.0,2,1,2004060
72,T52,T52,Zach Johnson,30,7,1.0,1,16,2004240
73,T52,T52,Matt Kuchar,28,7,2.0,3,3,2004220
74,T52,T52,Stephen Leaney,24,7,3.0,1,2,2004060
75,T52,T52,Justin Leonard,25,7,1.0,1,15,2004170
76,T52,T52,Shigeki Maruyama,26,7,,1,7,2004360
77,T52,T52,Shaun Micheel,27,7,2.0,1,9,2004140
78,T52,T52,Phil Mickelson,22,7,4.0,2,7,2004190
79,T52,T52,Hirofumi Miyase,27,7,2.0,1,5,2004320
80,T52,T52,Larry Mize,13,7,4.0,1,18,2004310
81,T52,T52,Kevin Muncrief,21,7,,3,3,2004290
82,T52,T52,José María Olazábal,17,7,,1,2,2004120
83,T52,T52,Craig Parry,16,7,,1,18,2004100
84,T52,T52,Tom Pernice Jr.,31,7,1.0,1,10,2004240
85,T52,T52,Carl Pettersson,28,7,6.0,2,9,2004450
86,T52,T52,Ian Poulter,9,7,1.0,2,1,2004120
87,T52,T52,Nick Price,15,7,,1,7,2004250
88,T52,T52,Vijay Singh,29,7,1.0,1,1,2004320
89,T52,T52,Omar Uresti,28,7,,1,13,2004020
90,T52,T52,Scott Verplank,24,7,,4,14,2004120
91,T52,T52,Jay Williamson,33,7,,2,12,2004040
92,T52,T52,Dean Wilson,33,7,1.0,3,17,2004400
93,T52,T52,Tiger Woods,19,7,2.0,3,18,2004230
94,T95,T95,Tommy Armour III,28,6,5.0,4,10,2004360
95,T95,T95,Paul Azinger,23,6,,3,7,2004230
96,T95,T95,Rich Barcelo,26,6,4.0,3,11,2004310
97,T95,T95,Jay Don Blake,14,6,,1,4,2004350
98,T95,T95,David Branshaw,30,6,,4,12,2004270
99,T95,T95,D.J. Brigman,27,6,2.0,1,11,2004170
100,T95,T95,Chad Campbell,28,6,1.0,4,14,2004440
101,T95,T95,Alex Cejka,24,6,,1,18,2004440
102,T95,T95,K.J. Choi,24,6,6.0,2,16,2004490
103,T95,T95,Daniel Chopra,33,6,1.0,1,9,2004350
104,T95,T95,Darren Clarke,16,6,3.0,3,11,2004300
105,T95,T95,Erik Compton,2,6,2.0,1,4,2004100
106,T95,T95,John Cook,19,6,,2,14,2004350
107,T95,T95,Glen Day,33,6,1.0,1,15,2004030
108,T95,T95,Jay Delsing,26,6,5.0,4,4,2004220
109,T95,T95,Chris DiMarco,27,6,,3,6,2004440
110,T95,T95,Luke Donald,21,6,1.0,1,7,2004060
111,T95,T95,Jason Dufner,28,6,1.0,4,4,2004380
112,T95,T95,David Duval,9,6,1.0,4,2,2004450
113,T95,T95,Ernie Els,16,6,,4,10,2004360
114,T95,T95,Brian Gay,32,6,1.0,1,10,2004460
115,T95,T95,Kelly Gibson,10,6,1.0,3,14,2004050
116,T95,T95,Scott Hend,29,6,,1,8,2004220
117,T95,T95,Trevor Immelman,12,6,3.0,2,10,2004230
118,T95,T95,Freddie Jacobson,24,6,,2,17,2004250
119,T95,T95,Richard Johnson,32,6,,2,10,2004030
120,T95,T95,Jerry Kelly,29,6,,2,17,2004100
121,T95,T95,J.L. Lewis,32,6,1.0,2,12,2004460
122,T95,T95,Jeff Maggert,20,6,6.0,1,1,2004470
123,T95,T95,Rocco Mediate,19,6,2.0,3,15,2004460
124,T95,T95,Corey Pavin,23,6,4.0,4,17,2004250
125,T95,T95,Pat Perez,32,6,,3,8,2004390
126,T95,T95,Tag Ridings,18,6,,3,16,2004050
127,T95,T95,Paul Stankowski,14,6,1.0,1,3,2004030
128,T95,T95,Andre Stolz,20,6,,1,13,2004180
129,T95,T95,Steve Stricker,27,6,,3,4,2004310
130,T95,T95,Roger Tambellini,28,6,1.0,1,1,2004320
131,T95,T95,Tommy Tolles,25,6,,3,14,2004310
132,T95,T95,David Toms,24,6,2.0,1,4,2004460
133,T95,T95,Kirk Triplett,24,6,1.0,1,5,2004360
134,T95,T95,Bob Tway,26,6,,2,1,2004360
135,T95,T95,Tjaart van der Walt,12,6,,1,4,2004020
136,T95,T95,Bo Van Pelt,30,6,,2,4,2004020
137,T95,T95,Mark Wilson,19,6,1.0,2,10,2004320
138,T139,T139,Steve Allan,33,5,1.0,2,1,2004320
139,T139,T139,Fulton Allem,13,5,,1,4,2004110
140,T139,T139,Stuart Appleby,25,5,2.0,4,13,2004270
141,T139,T139,Woody Austin,29,5,1.0,3,11,2004280
142,T139,T139,Craig Barlow,25,5,1.0,1,18,2004370
143,T139,T139,Ricky Barnes,7,5,,2,14,2004140
144,T139,T139,Brian Bateman,24,5,,1,16,2004320
145,T139,T139,Pat Bates,32,5,,2,1,2004100
146,T139,T139,Cameron Beckman,30,5,1.0,1,4,2004020
147,T139,T139,Notah Begay III,23,5,,1,1,2004190
148,T139,T139,Thomas Bjørn,12,5,,2,8,2004300
149,T139,T139,Jason Bohn,29,5,,1,18,2004380
150,T139,T139,Guy Boros,24,5,3.0,3,6,2004450
151,T139,T139,Danny Briggs,28,5,,4,8,2004380
152,T139,T139,Russ Cochran,25,5,1.0,1,17,2004180
153,T139,T139,Chris Couch,24,5,,2,8,2004430
154,T139,T139,Kris Cox,26,5,,3,12,2004080
155,T139,T139,Robert Damron,28,5,1.0,1,9,2004220
156,T139,T139,Joe Durant,26,5,1.0,2,7,2004260
157,T139,T139,David Edwards,13,5,1.0,4,8,2004280
158,T139,T139,Steve Elkington,20,5,,1,7,2004270
159,T139,T139,Niclas Fasth,22,5,1.0,1,5,2004180
160,T139,T139,Nick Flanagan,10,5,,2,18,2004250
161,T139,T139,Harrison Frazar,25,5,2.0,2,17,2004450
162,T139,T139,Jim Furyk,14,5,,1,1,2004010
163,T139,T139,Nick Gilliam,1,5,,2,18,2004310
164,T139,T139,Retief Goosen,16,5,1.0,3,15,2004100
165,T139,T139,Ken Green,18,5,,2,13,2004050
166,T139,T139,Mike Grob,13,5,,2,1,2004370
167,T139,T139,Mathias Grönberg,32,5,1.0,1,18,2004220
168,T139,T139,Todd Hamilton,27,5,,1,6,2004440
169,T139,T139,Padraig Harrington,12,5,,2,15,2004440
170,T139,T139,Dudley Hart,23,5,,1,2,2004200
171,T139,T139,J.P. Hayes,27,5,,2,8,2004130
