,Approach_225-250_yards_RTP_RANK THIS WEEK,Approach_225-250_yards_RTP_RANK LAST WEEK,Approach_225-250_yards_RTP_PLAYER NAME,Approach_225-250_yards_RTP_ROUNDS,Approach_225-250_yards_RTP_AVG RTP
0,1,1,J.P. Hayes,63,-0.581
1,2,2,Chris Anderson,66,-0.56
2,3,3,D.J. Trahan,81,-0.508
3,4,4,Harrison Frazar,105,-0.5
4,5,5,Brenden Pappas,51,-0.455
5,6,6,Briny Baird,98,-0.435
6,T7,T7,Jeff Brehaut,71,-0.43200000000000005
7,T7,T7,Phillip Price,77,-0.43200000000000005
8,9,9,Rod Pampling,89,-0.429
9,10,10,Brent Geiberger,61,-0.425
10,11,11,Vijay Singh,111,-0.42200000000000004
11,12,12,Woody Austin,100,-0.41
12,13,13,Mark Hensby,70,-0.409
13,14,14,Mathias Grönberg,60,-0.40700000000000003
14,15,15,Jason Bohn,91,-0.40299999999999997
15,16,16,Arjun Atwal,65,-0.4
16,17,17,Michael Long,72,-0.386
17,T18,T18,Ben Crane,78,-0.381
18,T18,T18,José María Olazábal,55,-0.381
19,20,20,Paul Gow,78,-0.375
20,21,21,Dennis Paulson,63,-0.37
21,22,22,David Hearn,68,-0.365
22,23,23,Will MacKenzie,75,-0.35700000000000004
23,24,24,Carlos Franco,78,-0.353
24,25,25,Omar Uresti,84,-0.35200000000000004
25,26,26,Tommy Armour III,103,-0.34700000000000003
26,T27,T27,Zach Johnson,96,-0.33799999999999997
27,T27,T27,Scott Verplank,87,-0.33799999999999997
28,T29,T29,Bob Heintz,67,-0.33299999999999996
29,T29,T29,Charles Howell III,95,-0.33299999999999996
30,T29,T29,Jonathan Kaye,77,-0.33299999999999996
31,T29,T29,Hideto Tanihara,50,-0.33299999999999996
32,T29,T29,Bo Van Pelt,112,-0.33299999999999996
33,34,34,Tim Petrovic,97,-0.32899999999999996
34,T35,T35,Robert Allenby,95,-0.32799999999999996
35,T35,T35,Brian Davis,75,-0.32799999999999996
36,T35,T35,Jim Furyk,94,-0.32799999999999996
37,38,38,Scott Gutschewski,86,-0.326
38,39,39,Kent Jones,99,-0.324
39,40,40,David Toms,87,-0.321
40,41,41,Steve Allan,102,-0.314
41,42,42,Kevin Stadler,96,-0.313
42,43,43,Tim Herron,100,-0.31
43,44,44,Jonathan Byrd,103,-0.309
44,45,45,Kenny Perry,82,-0.308
45,46,46,Hunter Haas,83,-0.306
46,T47,T47,Billy Andrade,83,-0.304
47,T47,T47,Joe Ogilvie,103,-0.304
48,49,49,Lucas Glover,88,-0.301
49,50,50,John Elliott,58,-0.3
50,T51,T51,Brian Bateman,98,-0.294
51,T51,T51,Tom Lehman,69,-0.294
52,T51,T51,Mario Tiziani,67,-0.294
53,T51,T51,Charlie Wi,67,-0.294
54,55,55,Paul Azinger,66,-0.293
55,T56,T56,Steve Jones,56,-0.29
56,T56,T56,Ryan Palmer,101,-0.29
57,58,58,Brad Faxon,75,-0.289
58,59,59,Tiger Woods,76,-0.28800000000000003
59,60,60,Patrick Sheehan,114,-0.287
60,T61,T61,Bradley Hughes,52,-0.28600000000000003
61,T61,T61,Ian Poulter,62,-0.28600000000000003
62,T61,T61,Ted Purdy,122,-0.28600000000000003
63,T61,T61,Darron Stiles,78,-0.28600000000000003
64,T61,T61,Lee Westwood,50,-0.28600000000000003
65,T66,T66,Billy Mayfair,114,-0.28300000000000003
66,T66,T66,Geoff Ogilvy,97,-0.28300000000000003
67,68,68,Steve Lowery,100,-0.28
