,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Jim Furyk,94,0.982,70.67,72
1,2,2,Luke Donald,67,0.93,37.211,40
2,3,3,Kenny Perry,82,0.898,53.85,60
3,4,4,Tiger Woods,76,0.86,47.325,55
4,5,5,Loren Roberts,54,0.7709999999999999,37.006,48
5,6,6,Chris DiMarco,83,0.762,44.945,59
6,7,7,Alex Cejka,84,0.7609999999999999,53.251000000000005,70
7,8,8,Shigeki Maruyama,99,0.721,61.306000000000004,85
8,9,9,Robert Allenby,95,0.705,51.457,73
9,10,10,Vijay Singh,111,0.6970000000000001,61.372,88
10,11,11,Bob Estes,92,0.6759999999999999,54.056000000000004,80
11,12,12,Jeff Brehaut,71,0.633,39.852,63
12,13,13,Fred Couples,72,0.629,27.676,44
13,14,14,Jay Haas,54,0.615,24.003,39
14,15,15,Tim Clark,92,0.608,39.498000000000005,65
15,16,16,Scott Verplank,87,0.593,39.16,66
16,17,17,Brian Davis,75,0.5920000000000001,37.879,64
17,18,18,Mark Calcavecchia,92,0.586,45.137,77
18,19,19,Adam Scott,72,0.5660000000000001,29.408,52
19,20,20,Phil Mickelson,81,0.565,28.237,50
20,21,21,Corey Pavin,77,0.556,33.904,61
21,22,22,David Toms,87,0.546,34.968,64
22,23,23,Joey Sindelar,104,0.532,52.665,99
23,24,24,Stewart Cink,98,0.529,37.580999999999996,71
24,25,25,Joe Durant,81,0.523,36.056999999999995,69
25,26,26,Sergio Garcia,73,0.522,27.162,52
26,27,27,Woody Austin,100,0.49,44.553999999999995,91
27,T28,T28,Chad Campbell,95,0.47600000000000003,36.175,76
28,T28,T28,Tom Lehman,69,0.47600000000000003,23.816,50
29,30,30,Heath Slocum,103,0.45899999999999996,41.308,90
30,31,31,Bart Bryant,91,0.452,34.83,77
31,32,32,Rocco Mediate,73,0.436,28.803,66
32,33,33,Jason Bohn,91,0.435,35.678000000000004,82
33,34,34,Davis Love III,80,0.433,24.674,57
34,T35,T35,Fred Funk,102,0.42700000000000005,34.984,82
35,T35,T35,Bo Van Pelt,112,0.42700000000000005,39.668,93
36,37,37,Craig Barlow,81,0.425,27.171999999999997,64
37,38,38,Brad Faxon,75,0.415,24.086,58
38,39,39,Dudley Hart,84,0.41,29.921,73
39,40,40,Olin Browne,99,0.40700000000000003,34.214,84
40,41,41,Jeff Maggert,79,0.40299999999999997,24.201,60
41,42,42,Justin Rose,99,0.39899999999999997,35.503,89
42,43,43,Carl Pettersson,109,0.39399999999999996,37.066,94
43,44,44,Justin Leonard,78,0.39299999999999996,21.616,55
44,45,45,Bernhard Langer,67,0.39,17.92,46
45,46,46,Greg Owen,84,0.386,27.412,71
46,47,47,Tommy Armour III,103,0.37799999999999995,34.809,92
47,48,48,J.J. Henry,102,0.371,32.256,87
48,49,49,Stephen Ames,82,0.369,22.483,61
49,50,50,Carlos Franco,78,0.368,24.66,67
50,51,51,John Senden,101,0.36200000000000004,32.914,91
