,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Luke Donald,67,"7' 4""",409.25,56,42
1,2,2,José María Olazábal,55,"7' 5""",408.333,55,5
2,3,3,Shigeki Maruyama,99,"7' 6""",925.5,124,29
3,T4,T4,Pat Perez,89,"7' 7""",843.1669999999999,111,12
4,T4,T4,Brett Quigley,96,"7' 7""",1048.167,138,28
5,T4,T4,Justin Rose,99,"7' 7""",990.8330000000001,131,18
6,7,7,Jeff Sluman,94,"7' 10""",1063.917,136,44
7,T8,T8,Marco Dawson,82,"8' 1""",901.25,112,60
8,T8,T8,Rory Sabbatini,81,"8' 1""",636.75,79,108
9,T10,T10,Brian Davis,75,"8' 2""",683.5,84,17
10,T10,T10,Chris Riley,67,"8' 2""",537.5,66,83
11,T10,T10,Charlie Wi,67,"8' 2""",788.4169999999999,97,36
12,13,13,Bob Estes,92,"8' 3""",930.25,113,23
13,T14,T14,Doug Barron,70,"8' 4""",705.6669999999999,85,52
14,T14,T14,Mark Brooks,72,"8' 4""",770.25,92,79
15,T14,T14,Tim Clark,92,"8' 4""",743.6669999999999,89,86
16,T14,T14,Richard Johnson,50,"8' 4""",358.833,43,21
17,T14,T14,Mark Wilson,74,"8' 4""",800.6669999999999,96,36
18,T19,T19,Fred Funk,102,"8' 5""",1042.667,124,11
19,T19,T19,Geoff Ogilvy,97,"8' 5""",1039.083,123,92
20,T19,T19,Tiger Woods,76,"8' 5""",657.4169999999999,78,14
21,T22,T22,Steve Flesch,90,"8' 6""",815.0,96,159
22,T22,T22,Sergio Garcia,73,"8' 6""",622.1669999999999,73,56
23,T22,T22,Tim Herron,100,"8' 6""",962.6669999999999,113,20
24,T25,T25,Jay Haas,54,"8' 7""",497.5,58,116
25,T25,T25,Franklin Langham,91,"8' 7""",907.8330000000001,106,125
26,T27,T27,Jim Furyk,94,"8' 8""",863.0,100,3
27,T27,T27,J.P. Hayes,63,"8' 8""",647.4169999999999,75,55
28,T27,T27,Joe Ogilvie,103,"8' 8""",1164.667,135,77
29,T27,T27,Tom Pernice Jr.,111,"8' 8""",1066.333,123,8
30,T27,T27,Kevin Sutherland,89,"8' 8""",854.8330000000001,99,6
31,T32,T32,John Daly,78,"8' 10""",652.25,74,192
32,T32,T32,Ryuji Imada,78,"8' 10""",873.8330000000001,99,32
33,T32,T32,Carl Pettersson,109,"8' 10""",1117.417,126,25
34,T32,T32,Steve Stricker,62,"8' 10""",797.0830000000001,90,16
35,T36,T36,Rich Beem,66,"8' 11""",644.6669999999999,72,189
36,T36,T36,Chris DiMarco,83,"8' 11""",711.75,80,27
37,T36,T36,Corey Pavin,77,"8' 11""",827.1669999999999,93,4
38,T36,T36,Phillip Price,77,"8' 11""",881.25,99,22
39,T36,T36,Vijay Singh,111,"8' 11""",1104.583,124,2
40,T41,T41,Steve Allan,102,"9' 0""",1134.5,126,117
41,T41,T41,Stewart Cink,98,"9' 0""",842.8330000000001,94,53
42,T41,T41,Fred Couples,72,"9' 0""",503.917,56,168
43,T41,T41,Jeff Hart,63,"9' 0""",678.0,75,49
44,T41,T41,Andrew Magee,82,"9' 0""",945.4169999999999,105,139
45,T41,T41,Darron Stiles,78,"9' 0""",916.5,102,30
46,T41,T41,Mike Weir,71,"9' 0""",746.5,83,81
47,T48,T48,Robert Damron,89,"9' 1""",1116.0,123,93
48,T48,T48,Kevin Na,88,"9' 1""",1179.75,130,13
49,T48,T48,Greg Owen,84,"9' 1""",1015.9169999999999,112,101
50,T48,T48,Ryan Palmer,101,"9' 1""",1110.583,122,171
51,T48,T48,David Toms,87,"9' 1""",675.0,74,118
52,T53,T53,Craig Barlow,81,"9' 2""",633.75,69,172
53,T53,T53,Brendan Jones,81,"9' 2""",733.75,80,78
54,T53,T53,Kenny Perry,82,"9' 2""",567.0830000000001,62,70
55,T53,T53,Hideto Tanihara,50,"9' 2""",666.6669999999999,73,190
56,T57,T57,Stuart Appleby,84,"9' 3""",775.0,84,58
57,T57,T57,Alex Cejka,84,"9' 3""",984.5,106,142
58,T57,T57,José Coceres,56,"9' 3""",786.0,85,18
59,T57,T57,James Driscoll,73,"9' 3""",932.0830000000001,101,65
60,T61,T61,Chris Anderson,66,"9' 4""",875.3330000000001,94,153
61,T61,T61,Paul Gow,78,"9' 4""",1129.75,121,75
62,T61,T61,John Senden,101,"9' 4""",1077.333,115,80
63,T61,T61,Omar Uresti,84,"9' 4""",957.9169999999999,103,47
64,T65,T65,Olin Browne,99,"9' 5""",863.9169999999999,92,66
65,T65,T65,Mark Calcavecchia,92,"9' 5""",1110.083,118,110
66,T65,T65,Daniel Chopra,108,"9' 5""",1277.167,136,23
67,T65,T65,Glen Day,80,"9' 5""",854.75,91,45
68,T65,T65,Adam Scott,72,"9' 5""",450.75,48,150
69,T70,T70,Billy Andrade,83,"9' 6""",1056.667,111,104
70,T70,T70,Chad Campbell,95,"9' 6""",1063.5,112,144
71,T70,T70,K.J. Choi,78,"9' 6""",943.0,99,89
72,T70,T70,Brian Gay,101,"9' 6""",1314.3329999999999,138,15
73,T70,T70,Padraig Harrington,50,"9' 6""",485.583,51,170
74,T70,T70,Neal Lancaster,95,"9' 6""",1275.75,134,90
75,T76,T76,Jonathan Byrd,103,"9' 7""",1440.4170000000001,150,99
76,T76,T76,Carlos Franco,78,"9' 7""",739.9169999999999,77,39
77,T76,T76,Ian Poulter,62,"9' 7""",702.4169999999999,73,180
