,3-Putt_Avoidance_-_Inside_5_RANK THIS WEEK,3-Putt_Avoidance_-_Inside_5_RANK LAST WEEK,3-Putt_Avoidance_-_Inside_5_PLAYER NAME,3-Putt_Avoidance_-_Inside_5_ROUNDS,3-Putt_Avoidance_-_Inside_5_%,3-Putt_Avoidance_-_Inside_5_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Inside_5_ATTEMPTS,3-Putt_Avoidance_-_Inside_5_2 PUTT OR BETTER %
0,T1,T1,Michael Allen,90,0.0,,323,100.0
1,T1,T1,Robert Allenby,95,0.0,,218,100.0
2,T1,T1,Jason Allred,75,0.0,,216,100.0
3,T1,T1,Stephen Ames,82,0.0,,244,100.0
4,T1,T1,Stuart Appleby,84,0.0,,237,100.0
5,T1,T1,Tommy Armour III,103,0.0,,316,100.0
6,T1,T1,Arjun Atwal,65,0.0,,219,100.0
7,T1,T1,Paul Azinger,66,0.0,,231,100.0
8,T1,T1,Aaron Baddeley,84,0.0,,301,100.0
9,T1,T1,Briny Baird,98,0.0,,293,100.0
10,T1,T1,Craig Barlow,81,0.0,,222,100.0
11,T1,T1,Doug Barron,70,0.0,,247,100.0
12,T1,T1,Brian Bateman,98,0.0,,304,100.0
13,T1,T1,Cameron Beckman,96,0.0,,341,100.0
14,T1,T1,Justin Bolli,65,0.0,,232,100.0
15,T1,T1,Jeff Brehaut,71,0.0,,216,100.0
16,T1,T1,D.J. Brigman,76,0.0,,221,100.0
17,T1,T1,Olin Browne,99,0.0,,268,100.0
18,T1,T1,Jonathan Byrd,103,0.0,,351,100.0
19,T1,T1,Mark Calcavecchia,92,0.0,,303,100.0
20,T1,T1,Chad Campbell,95,0.0,,239,100.0
21,T1,T1,K.J. Choi,78,0.0,,205,100.0
22,T1,T1,Stewart Cink,98,0.0,,236,100.0
23,T1,T1,Tim Clark,92,0.0,,262,100.0
24,T1,T1,John Cook,72,0.0,,203,100.0
25,T1,T1,Ben Crane,78,0.0,,264,100.0
26,T1,T1,Ben Curtis,65,0.0,,196,100.0
27,T1,T1,John Daly,78,0.0,,230,100.0
28,T1,T1,Robert Damron,89,0.0,,310,100.0
29,T1,T1,Matt Davidson,53,0.0,,170,100.0
30,T1,T1,Marco Dawson,82,0.0,,296,100.0
31,T1,T1,Luke Donald,67,0.0,,140,100.0
32,T1,T1,James Driscoll,73,0.0,,246,100.0
33,T1,T1,Joe Durant,81,0.0,,258,100.0
34,T1,T1,Steve Elkington,67,0.0,,183,100.0
35,T1,T1,John Elliott,58,0.0,,198,100.0
36,T1,T1,Bob Estes,92,0.0,,319,100.0
37,T1,T1,Brad Faxon,75,0.0,,224,100.0
38,T1,T1,Todd Fischer,99,0.0,,362,100.0
39,T1,T1,Steve Flesch,90,0.0,,224,100.0
40,T1,T1,Carlos Franco,78,0.0,,237,100.0
41,T1,T1,Fred Funk,102,0.0,,282,100.0
42,T1,T1,Jim Furyk,94,0.0,,258,100.0
43,T1,T1,Robert Gamez,91,0.0,,308,100.0
44,T1,T1,Sergio Garcia,73,0.0,,185,100.0
45,T1,T1,Brian Gay,101,0.0,,360,100.0
46,T1,T1,Brent Geiberger,61,0.0,,181,100.0
47,T1,T1,Bill Glasson,54,0.0,,149,100.0
48,T1,T1,Lucas Glover,88,0.0,,283,100.0
49,T1,T1,Matt Gogel,78,0.0,,245,100.0
50,T1,T1,Retief Goosen,71,0.0,,159,100.0
51,T1,T1,Paul Gow,78,0.0,,262,100.0
52,T1,T1,Scott Gutschewski,86,0.0,,245,100.0
53,T1,T1,Jay Haas,54,0.0,,155,100.0
54,T1,T1,Padraig Harrington,50,0.0,,142,100.0
55,T1,T1,Jeff Hart,63,0.0,,205,100.0
56,T1,T1,Dudley Hart,84,0.0,,263,100.0
57,T1,T1,J.P. Hayes,63,0.0,,222,100.0
58,T1,T1,David Hearn,68,0.0,,208,100.0
59,T1,T1,J.J. Henry,102,0.0,,301,100.0
60,T1,T1,Glen Hnatiuk,59,0.0,,173,100.0
61,T1,T1,Charles Howell III,95,0.0,,242,100.0
62,T1,T1,Bradley Hughes,52,0.0,,149,100.0
63,T1,T1,Ryuji Imada,78,0.0,,267,100.0
64,T1,T1,Freddie Jacobson,72,0.0,,186,100.0
65,T1,T1,Brandt Jobe,96,0.0,,278,100.0
66,T1,T1,Zach Johnson,96,0.0,,296,100.0
67,T1,T1,Richard Johnson,50,0.0,,160,100.0
68,T1,T1,Kent Jones,99,0.0,,293,100.0
69,T1,T1,Brendan Jones,81,0.0,,257,100.0
70,T1,T1,Skip Kendall,80,0.0,,248,100.0
71,T1,T1,Matt Kuchar,60,0.0,,201,100.0
72,T1,T1,Neal Lancaster,95,0.0,,329,100.0
73,T1,T1,Bernhard Langer,67,0.0,,182,100.0
74,T1,T1,Franklin Langham,91,0.0,,288,100.0
75,T1,T1,Stephen Leaney,89,0.0,,273,100.0
76,T1,T1,Tom Lehman,69,0.0,,199,100.0
77,T1,T1,Justin Leonard,78,0.0,,210,100.0
78,T1,T1,Peter Lonard,85,0.0,,243,100.0
79,T1,T1,Michael Long,72,0.0,,222,100.0
80,T1,T1,Davis Love III,80,0.0,,201,100.0
81,T1,T1,Steve Lowery,100,0.0,,356,100.0
82,T1,T1,Andrew Magee,82,0.0,,259,100.0
83,T1,T1,Jeff Maggert,79,0.0,,223,100.0
84,T1,T1,Shigeki Maruyama,99,0.0,,342,100.0
85,T1,T1,Len Mattiace,86,0.0,,279,100.0
86,T1,T1,Billy Mayfair,114,0.0,,323,100.0
87,T1,T1,Scott McCarron,78,0.0,,219,100.0
88,T1,T1,Rocco Mediate,73,0.0,,237,100.0
89,T1,T1,Phil Mickelson,81,0.0,,200,100.0
90,T1,T1,Kevin Na,88,0.0,,323,100.0
91,T1,T1,Sean O'Hair,103,0.0,,302,100.0
92,T1,T1,Arron Oberholser,65,0.0,,183,100.0
93,T1,T1,Geoff Ogilvy,97,0.0,,288,100.0
94,T1,T1,José María Olazábal,55,0.0,,163,100.0
95,T1,T1,Rod Pampling,89,0.0,,273,100.0
96,T1,T1,Jesper Parnevik,84,0.0,,258,100.0
97,T1,T1,Dennis Paulson,63,0.0,,201,100.0
98,T1,T1,Craig Perks,67,0.0,,210,100.0
99,T1,T1,Tom Pernice Jr.,111,0.0,,356,100.0
100,T1,T1,Kenny Perry,82,0.0,,206,100.0
101,T1,T1,Ian Poulter,62,0.0,,113,100.0
102,T1,T1,Phillip Price,77,0.0,,255,100.0
103,T1,T1,Ted Purdy,122,0.0,,359,100.0
104,T1,T1,Brett Quigley,96,0.0,,312,100.0
105,T1,T1,Rob Rashell,65,0.0,,217,100.0
106,T1,T1,Tag Ridings,93,0.0,,318,100.0
107,T1,T1,Chris Riley,67,0.0,,191,100.0
108,T1,T1,Loren Roberts,54,0.0,,175,100.0
109,T1,T1,John Rollins,97,0.0,,304,100.0
110,T1,T1,Adam Scott,72,0.0,,197,100.0
111,T1,T1,Patrick Sheehan,114,0.0,,361,100.0
112,T1,T1,Joey Sindelar,104,0.0,,372,100.0
113,T1,T1,Vijay Singh,111,0.0,,336,100.0
114,T1,T1,Heath Slocum,103,0.0,,321,100.0
115,T1,T1,Chris Smith,93,0.0,,271,100.0
116,T1,T1,Kevin Stadler,96,0.0,,302,100.0
117,T1,T1,Darron Stiles,78,0.0,,259,100.0
118,T1,T1,Steve Stricker,62,0.0,,241,100.0
119,T1,T1,Hidemichi Tanaka,106,0.0,,352,100.0
120,T1,T1,Hideto Tanihara,50,0.0,,175,100.0
121,T1,T1,Vaughn Taylor,99,0.0,,339,100.0
122,T1,T1,Roland Thatcher,75,0.0,,224,100.0
123,T1,T1,Mario Tiziani,67,0.0,,219,100.0
124,T1,T1,David Toms,87,0.0,,209,100.0
125,T1,T1,D.J. Trahan,81,0.0,,252,100.0
126,T1,T1,Bob Tway,87,0.0,,232,100.0
127,T1,T1,Omar Uresti,84,0.0,,291,100.0
128,T1,T1,Tjaart van der Walt,56,0.0,,181,100.0
129,T1,T1,Bo Van Pelt,112,0.0,,337,100.0
130,T1,T1,Scott Verplank,87,0.0,,235,100.0
131,T1,T1,Duffy Waldorf,86,0.0,,264,100.0
132,T1,T1,Charles Warren,89,0.0,,296,100.0
133,T1,T1,Nick Watney,91,0.0,,298,100.0
134,T1,T1,Lee Westwood,50,0.0,,132,100.0
135,T1,T1,Brett Wetterich,76,0.0,,244,100.0
136,T1,T1,Charlie Wi,67,0.0,,234,100.0
137,T1,T1,Jay Williamson,53,0.0,,179,100.0
138,T1,T1,Tiger Woods,76,0.0,,217,100.0
139,140,140,Carl Pettersson,109,0.27,1.0,364,99.7
140,T141,T141,Steve Allan,102,0.29,1.0,342,99.7
141,T141,T141,Harrison Frazar,105,0.29,1.0,343,99.7
142,T141,T141,Justin Rose,99,0.29,1.0,343,99.7
143,T144,T144,Woody Austin,100,0.3,1.0,330,99.7
144,T144,T144,Glen Day,80,0.3,1.0,333,99.7
145,T144,T144,John Huston,90,0.3,1.0,330,99.7
146,T144,T144,Hunter Mahan,103,0.3,1.0,338,99.7
147,T148,T148,Tim Herron,100,0.32,1.0,315,99.6
148,T148,T148,Frank Lickliter II,100,0.32,1.0,310,99.6
149,T148,T148,Pat Perez,89,0.32,1.0,309,99.6
150,T148,T148,Jeff Sluman,94,0.32,1.0,313,99.6
151,152,152,Jason Bohn,91,0.33,1.0,305,99.6
152,T153,T153,Todd Hamilton,94,0.34,1.0,293,99.6
153,T153,T153,D.A. Points,94,0.34,1.0,296,99.6
154,T153,T153,Joey Snyder III,102,0.34,1.0,293,99.6
155,T153,T153,Kevin Sutherland,89,0.34,1.0,291,99.6
156,T157,T157,Billy Andrade,83,0.35,1.0,283,99.6
157,T157,T157,Hunter Haas,83,0.35,1.0,285,99.6
158,T159,T159,Hank Kuehne,84,0.36,1.0,281,99.6
159,T159,T159,Tim Petrovic,97,0.36,1.0,277,99.6
160,161,161,Ryan Palmer,101,0.38,1.0,265,99.6
161,T162,T162,Bart Bryant,91,0.4,1.0,253,99.6
162,T162,T162,Alex Cejka,84,0.4,1.0,248,99.6
163,T162,T162,Paul Claxton,79,0.4,1.0,247,99.6
164,T162,T162,Scott Hend,75,0.4,1.0,250,99.6
165,T162,T162,Jonathan Kaye,77,0.4,1.0,252,99.6
166,T167,T167,Tom Byrum,83,0.41,1.0,244,99.5
167,T167,T167,Tom Gillis,77,0.41,1.0,246,99.5
168,T167,T167,Corey Pavin,77,0.41,1.0,245,99.5
