,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Dan Forsman,52,"87' 11""",49570,47,"4' 11""","171' 11"""
1,2,2,Ben Crane,78,"87' 1""",67925,65,"4' 11""","144' 4"""
2,3,3,Brenden Pappas,51,"86' 11""",51117,49,"4' 11""","142' 9"""
3,4,4,Len Mattiace,86,"85' 5""",77890,76,"4' 10""","174' 7"""
4,T5,T5,Brad Faxon,75,"85' 2""",57207,56,"4' 9""","184' 9"""
5,T5,T5,Kent Jones,99,"85' 2""",89900,88,"4' 9""","151' 7"""
6,7,7,Gavin Coles,70,"84' 7""",62941,62,"4' 9""","171' 8"""
7,8,8,Joe Ogilvie,103,"84' 5""",78027,77,"4' 9""","162' 9"""
8,9,9,Bob Tway,87,"84' 3""",66755,66,"4' 9""","161' 1"""
9,T10,T10,Freddie Jacobson,72,"83' 11""",54389,54,"4' 9""","160' 6"""
10,T10,T10,Ryan Palmer,101,"83' 11""",79526,79,"4' 9""","150' 2"""
11,12,12,Arjun Atwal,65,"83' 8""",61259,61,"4' 9""","169' 6"""
12,T13,T13,Richard Johnson,50,"83' 7""",46128,46,"4' 9""","169' 5"""
13,T13,T13,David Toms,87,"83' 7""",62181,62,"4' 9""","132' 8"""
14,15,15,Sean O'Hair,103,"83' 4""",84035,84,"4' 8""","163' 3"""
15,16,16,Phil Mickelson,81,"83' 2""",49895,50,"4' 8""","135' 7"""
16,17,17,Dudley Hart,84,"82' 8""",70430,71,"4' 8""","147' 10"""
17,18,18,Chris Anderson,66,"82' 7""",57479,58,"4' 8""","140' 1"""
18,19,19,Tim Herron,100,"82' 6""",75225,76,"4' 8""","162' 1"""
